UniqueCount	AmbigCount
2127	0
9869	0
12307	0
243	0
127	0
4	0
24	0
12	0
28	0
124	0
66	0
53	0
22	0
170	0
260	0
367	0
260	0
196	0
151	0
442	0
748	0
307	0
698	0
21	0
23	0
71	0
656	0
774	0
13	0
18	0
33	0
4	0
7	0
60	0
10	0
24	0
51	0
49	0
291	0
170	0
240	0
803	0
1447	0
142	0
471	0
774	0
97	0
595	0
159	0
461	0
150	0
518	0
816	0
334	0
209	0
63	0
265	0
664	0
159	0
787	0
1142	0
3905	0
134	0
711	0
25139	0
374	0
2183	0
1735	0
2821	0
4085	0
249	0
326	0
411	0
214	0
3589	0
294	0
1596	0
72	0
104	0
1184	0
185	0
186	0
1425	0
804	0
1022	0
68	0
149	0
195	0
226	0
14	0
52	0
11	0
2149	0
893	0
838	0
2304	0
446	0
12	0
585	0
1748	0
3239	0
4403	0
3044	0
11242	0
5464	0
11087	0
596	0
312	0
61	0
697	0
2175	0
510	0
1020	0
6415	0
59	0
535	0
1772	0
201	0
61	0
36	0
51	0
181	0
1169	0
1337	0
62	0
207	0
858	0
141	0
302	0
77	0
92	0
43	0
58	0
3952	0
300	0
318	0
203	0
813	0
33	0
16	0
90	0
579	0
340	0
6623	0
2085	0
2459	0
243	0
820	0
111	0
932	0
509	0
1846	0
21	0
159	0
35	0
105	0
31	0
32	0
118	0
147	0
173	0
42	0
45	0
11	0
17	0
19	0
11	0
112	0
49	0
92	0
73	0
29	0
6	0
23	0
59	0
32	0
22	0
836	0
63	0
34	0
16	0
193	0
673	0
996	0
49	0
167	0
2555	0
2593	0
7	0
633	0
691	0
1219	0
1774	0
3354	0
12	0
7	0
17	0
57	0
6	0
1	0
3	0
64	0
29	0
9	0
7	0
2960	0
1795	0
765	0
652	0
1167	0
116	0
207	0
36	0
18	0
187	0
107	0
488	0
22	0
158	0
1194	0
1563	0
524	0
826	0
2439	0
48	0
3355	0
1086	0
930	0
581	0
1131	0
128	0
180	0
165	0
793	0
69	0
26	0
194	0
496	0
1320	0
4918	0
71408	0
2006	0
477	0
612	0
372	0
183	0
461	0
1371	0
305	0
499	1
321	0
117	0
2348	0
1741	0
935	0
5701	0
1766	0
4331	1
2168	0
976	0
