UniqueCount	AmbigCount
2084	0
9829	0
13563	0
163	0
71	0
0	0
24	0
8	0
29	0
99	0
69	0
61	0
8	0
127	0
214	0
219	0
164	0
167	0
131	0
364	0
524	0
338	0
713	0
79	0
77	0
98	0
693	0
1033	0
7	0
7	0
21	0
14	0
5	0
40	0
11	0
109	0
223	0
225	0
1850	0
1120	0
1244	0
569	0
833	0
98	0
444	0
699	0
91	0
382	0
219	0
444	0
121	0
408	0
627	0
248	0
157	0
61	0
213	0
671	0
82	0
474	0
1007	0
3916	0
74	0
660	0
21688	0
266	0
1452	0
1640	0
3000	0
2969	0
149	0
287	0
394	0
239	0
5282	0
173	0
886	0
41	0
69	0
1487	0
76	0
99	0
367	0
264	0
518	0
29	0
75	0
58	0
139	0
9	0
35	0
16	0
2330	0
756	0
773	0
2677	0
372	0
18	0
476	0
2188	0
4365	0
8628	0
4738	0
21174	0
9200	0
18298	0
768	0
245	0
36	0
881	0
1861	0
364	0
1489	0
13982	0
27	0
315	0
1374	0
148	0
44	0
54	0
35	0
158	0
1160	0
1094	0
50	0
183	0
943	0
190	0
330	0
88	0
85	0
29	0
56	0
6471	0
343	0
332	0
159	0
770	0
48	0
12	0
72	0
638	0
390	0
12369	0
3426	0
3834	0
311	0
862	0
95	0
909	0
463	0
1874	0
20	0
129	0
32	0
156	0
19	0
20	0
186	0
184	0
332	0
23	0
47	0
6	0
7	0
12	0
4	0
66	0
47	0
83	0
44	0
41	0
10	0
35	0
65	0
24	0
22	0
684	0
81	0
22	0
10	0
185	0
605	0
863	0
72	0
108	0
3180	0
3657	0
6	0
159	0
607	0
1004	0
1943	0
2752	0
6	0
10	0
22	0
61	0
3	0
0	0
0	0
37	0
25	0
10	0
5	0
4135	0
2653	0
911	0
810	0
1142	0
209	0
258	0
33	0
11	0
211	0
61	0
605	0
11	0
283	0
2517	0
3000	0
639	0
716	0
2236	0
52	0
1912	0
913	0
924	0
685	0
729	0
95	0
736	0
510	0
3152	0
559	0
180	0
2175	0
4046	0
2315	0
13894	0
162006	0
1414	0
914	0
463	0
412	0
102	0
385	0
5033	0
492	0
814	0
1435	0
676	0
3451	0
2441	0
1352	0
8967	0
2621	0
5665	0
2720	0
1114	0
3995	0
2502	0
1549	0
463	0
1026	0
75	0
758	0
709	0
2786	0
682	0
1928	0
14188	0
560	0
2473	0
290	0
477	0
28	0
792	4092
19	0
53	0
1301	0
64	0
750	0
444	0
712	0
3722	0
221	0
6	362
106	0
46	0
225	0
1344	0
277	0
8	0
29	0
6	0
37	0
23	0
54	0
103	0
19	0
21	0
26	0
204	0
4538	0
139	0
123	0
116	0
7	0
37	0
37	0
101	0
183	0
4448	0
271	0
56	0
4249	0
2590	0
3810	0
41	0
291	0
145	0
8934	0
290	0
763	0
63	0
22	0
117	0
28	0
85	0
168	0
14	0
1695	86629
5832	0
8996	0
10124	0
15487	0
13699	0
21215	0
47934	0
60300	0
1208	0
7732	0
14448	0
59501	1
1430	86629
8152	0
19480	0
35734	0
14252	0
22050	0
17142	0
4406	0
29495	0
13519	0
1865	0
8450	0
16127	0
13531	0
23470	0
25301	0
16755	0
23835	0
12353	0
13688	0
6406	0
7300	0
19766	0
5106	0
5744	0
20293	0
13360	0
14675	0
16302	0
2727	0
575	0
1225	0
3936	0
826	0
2239	0
1721	0
1125	0
710	0
150	0
855	0
204	0
1072	9
47	0
19	0
33	0
198	0
1045	0
1415	0
830	0
1895	0
134	0
144	0
427	0
136	0
4354	0
5921	0
18253	0
3295	0
326	0
18	0
106	0
162	0
84	0
1362	0
1688	0
372	0
1947	0
983	0
793	0
529	0
1138	0
1581	0
4273	0
163	0
933	0
167	0
312	0
870	0
448	0
1180	0
309	0
443	0
67	0
224	0
2754	0
916	0
522	0
158	0
1659	0
1619	0
2667	0
1539	0
1000	0
783	0
1153	0
1247	0
1720	0
3413	0
15418	0
1146	0
380	0
92	0
70	0
120	0
55	0
414	0
431	0
379	0
2732	0
1408	0
1928	0
2	0
570	0
2651	0
8379	0
1938	0
68	0
568	0
2334	0
1223	0
3951	0
11091	0
33871	0
105150	0
5134	0
2729	0
871	0
5587	0
2227	0
4462	0
1253	0
1098	0
1828	0
4588	0
13	0
154	0
198	0
1008	0
779	0
3760	0
902	0
1648	0
134	0
9	0
31	0
50	0
366	0
27	0
110	0
1618	0
329	0
317	0
110	0
327	0
55	0
524	0
478	0
2492	0
1879	0
2060	0
343	0
210	0
2165	0
47	0
366	0
1538	0
8	0
210	0
2091	0
357	0
322	0
4593	0
3	0
45	0
20	0
128	0
244	0
84	0
3892	0
494	0
4837	0
1903	0
726	0
300	0
414	0
1001	0
1289	0
1660	0
2036	0
442	0
1174	0
659	0
1186	0
137	0
58	0
92	0
186	12
375	0
1155	0
252	0
3409	0
6	0
1364	0
1069	0
1523	0
2630	0
424	0
939	0
1149	0
762	0
377	0
1292	0
584	0
690	0
936	0
1923	0
738	0
2769	0
15245	0
2489	0
3639	0
1363	0
16341	0
2776	0
1994	0
170	0
143	0
1307	0
60	0
79	0
10	0
52	0
597	0
1649	0
10012	0
5284	0
1731	0
1343	0
1280	0
4126	0
4094	0
340	0
1762	0
3587	0
580	0
163	0
164	0
78594	0
50757	0
10406	0
30537	0
9676	0
4561	0
3850	0
1396	0
837	0
2944	0
1605	0
822	0
576	0
232	93
750	0
2153	0
397	0
2481	0
390	0
67	0
1472	0
231	0
5210	0
3151	0
2262	0
2576	0
9667	0
7953	0
2816	0
3107	0
1784	0
879	0
97	0
117	0
90	0
223	0
4534	0
769	0
1867	0
1174	0
326	0
223	0
191	0
17203	0
24177	0
31	0
37	0
17	0
8	0
38	0
312	0
338	0
160	0
36	0
1822	0
2340	0
1558	0
127	0
246	0
12949	0
1587	0
992	0
1762	0
154	0
89	0
2387	0
1545	0
835	0
2589	0
167	0
160	0
5996	0
207	0
3627	0
18726	0
715	0
934	0
1966	0
46	0
1035	0
380	0
27	0
663	0
160	0
27435	0
2814	0
5840	0
161	0
3848	0
282	0
288	0
57	0
245	0
2046	0
236	0
56	0
3113	0
373	0
2423	0
132	0
785	0
678	0
90	0
931	0
210	0
931	0
125	0
840	0
10	0
12	0
77	0
68	0
0	0
883	0
658	0
216	0
1116	0
89	0
323	0
490	0
3373	0
7682	0
63	0
178	0
2135	0
4997	0
1726	0
1261	0
742	0
1108	0
2510	0
3458	0
54	0
3445	0
476	0
290	0
205	0
204	0
422	0
953	0
2337	0
390	0
78682	0
541	0
2695	0
967	0
642	0
1507	0
545	0
1069	0
1629	0
1014	0
172	0
65	0
8	0
2956	0
561	0
24248	0
2559	0
434	0
371	0
470	0
1737	0
3594	0
1449	0
347	0
7712	0
28	0
66	0
286	0
1988	0
212	0
744	0
295	0
445	0
2040	0
344	0
462	0
475	0
867	0
98	0
319	0
914	0
462	0
198	0
170	0
1348	0
71	0
802	0
70	0
205	0
299	0
214	0
191	0
2204	0
133	0
106	0
225	0
327	0
1337	0
259	0
175	0
8826	0
22577	0
10267	0
1187	0
1130	0
540	0
148	0
2121	0
37602	0
398	0
68	0
927	0
1602	0
16283	0
10389	0
927	0
96	0
121	0
540	0
43	0
4	0
18	0
50	0
92	0
40	0
156	0
154	0
2810	0
24731	0
9	0
407	0
95	0
20	0
122	0
912	0
995	0
82	0
36	0
57	0
211	0
150	0
2102	0
665	0
73	0
127	0
110	0
87	0
37	0
49	0
343	0
12	0
47	0
20	0
1	0
103	0
122	0
38	0
37	0
35	0
67	0
9	0
7347	0
54171	0
744	0
1935	0
372	0
1344	0
348	0
266	0
1360	0
886	0
385	0
303	0
3032	0
2513	0
1628	0
2538	0
524	0
776	0
1242	0
2177	0
2935	0
2571	0
764	0
5476	0
15	0
406	0
164	0
92	0
292	0
136	0
612	0
62	0
62	0
106	0
3832	0
295	0
1277	0
286	0
14	0
12	0
13	0
27	0
2	0
11	0
46	0
201	0
213	0
10	0
23	0
5	0
4	0
64	0
294	0
2593	0
666	0
12528	0
54	0
281	0
530	0
666	0
85	0
3302	0
171	0
203	0
21	0
14	0
706	0
87	0
293	0
29	0
123	0
379	0
2051	0
15	0
24	0
10	0
62	0
29	0
52	0
14	0
12	0
17	0
55	0
46	0
6	0
17	0
112	0
22	0
66	0
198	0
193	0
695	0
82	0
978	0
6261	0
935	0
1948	0
3638	0
4395	0
476	0
573	0
943	0
2527	0
147	0
477	0
111	0
3263	0
2249	0
7235	0
15213	0
2019	0
1681	0
2809	0
18	0
331	0
3416	0
2054	0
2266	0
1118	0
70	0
2023	0
34	0
31	0
891	0
917	0
3390	0
708	0
15	0
4	0
269	0
633	0
68	0
80	0
23	0
55	0
106	0
1494	0
595	0
1485	0
2238	0
2977	0
6125	0
5776	0
1020	0
11389	0
378	0
8087	0
1607	0
271	0
6329	0
93	0
495	0
11	0
554	0
11	0
2479	0
1733	0
1755	0
82	0
511	0
169	0
895	0
420	0
224	0
92	0
977	0
441	0
4	0
399	0
676	0
791	0
7	0
23	0
22	0
11	0
316	0
121	0
153	0
693	0
1481	0
102080	0
16291	0
11056	0
3214	0
1339	0
490	0
1303	0
4871	0
75725	0
3699	0
606	0
819	0
1531	5
656	0
1360	0
671	0
2235	0
1640	0
622	0
142	0
553	0
240	0
510	0
9631	0
7283	0
1833	0
477	0
618	0
39	0
108	0
13520	0
2880	0
1204	0
11482	0
454	0
530	0
58	0
546	0
782	0
1512	0
887	0
2140	0
3293	0
134	0
2	0
46	0
2527	0
108	0
121	0
32	0
638	0
8075	0
57	0
36	0
454	0
1518	0
1	0
9	0
185	0
1040	0
1163	0
2094	0
350	0
415	0
1120	0
632	0
180	0
239	0
239	0
30	0
256	0
18812	0
1627	0
978	0
208	0
1176	0
96	0
173	0
2135	0
6627	0
2445	0
2125	0
1597	0
1749	0
6712	0
5767	0
72	0
5894	0
3896	0
2765	0
3335	0
207	0
3856	0
2311	0
2838	0
1614	0
751	0
563	0
182	0
468	0
1177	0
7640	0
189	0
837	0
301	0
223	0
36	0
38	0
2121	0
5536	0
204	0
101	0
145	0
172	0
209	0
1178	0
450	0
847	0
683	0
799	0
5974	0
422	0
8	0
137	0
1157	0
35	0
236	0
281	0
171	0
295	0
77	0
1315	0
137	0
99	0
331	0
16	0
27	2
265	91
102	0
343	0
906	0
353	0
264	0
405	0
578	0
145	0
9	0
1311	0
650	0
2327	0
768	0
1092	0
477	353
1616	0
83	0
95	41
107	1
222	1
176	0
370	0
4	0
23	0
15	0
3	0
462	0
287	0
63	0
178	0
449	0
1022	0
4230	0
236	0
25	0
370	0
979	0
1228	0
531	0
239	0
58	0
99	0
180	0
24	0
362	0
11640	0
20	0
87	0
139	0
87	0
40	0
34	0
19	0
6	0
1	0
0	0
3	0
8	0
28	0
23	0
15	0
9	0
11	0
134	0
236	0
396	0
240	0
348	0
230	0
115	0
6	0
37	0
20	0
174	0
7	0
33	0
52	0
23	0
52	0
20	0
410	0
100	0
44	0
67	0
1965	0
1900	0
168	0
7	0
251	0
7	0
12	0
632	0
74	0
203	0
169	0
64	0
61	0
43	0
5	0
101	0
304	0
65	0
10	0
6787	907
1189	0
69	0
510	0
1239	0
465	0
2519	0
2515	0
74	0
2741	0
451	0
5179	0
4243	0
245	0
920	0
1200	0
23687	0
149	0
909	0
832	0
96	0
80	0
508	0
443	0
335	0
86	0
1076	0
1318	0
343	0
771	0
2786	0
219	0
64	0
34	0
115	0
126	0
452	0
804	0
97	0
240	0
1834	0
241	0
267	0
44	0
219	0
450	0
29	0
1	0
16	0
0	0
5	0
2	0
1	0
3	0
18	0
1	0
23	0
177	0
545	0
117	0
172	0
116	0
148	0
68	0
88	0
12	0
149	0
16	0
42	0
21	0
119	0
209	0
33	0
397	0
581	0
39	0
297	0
11	0
663	0
257	0
221	0
87	0
83	0
49	0
138	0
67	0
16	0
27	0
12	0
70	0
144	0
216	0
344	0
161	0
584	0
191	0
138	0
229	0
1765	0
797	0
2238	0
575	0
93	0
321	0
574	0
652	0
77	0
145	0
138	0
101	0
81	0
81	0
12	8
165	0
2	0
39	69
1	0
36	1
26	0
51	0
14	0
62	0
4415	0
678	0
9224	0
431	0
114	0
466	0
8060	0
78	0
16	0
194	0
75	0
30	0
53	0
44	0
26	0
105	0
10	0
69	0
67	0
49	0
37	0
23	0
18	0
14	0
25	0
38	0
44	0
37	0
146	0
256	0
131	0
245	0
1563	0
2885	0
1517	0
697	0
517	0
4659	1
11990	0
4501	0
267	0
825	0
349	0
82	0
5	0
43	0
487	0
841	0
11	0
397	0
2029	0
288	0
620	0
467	0
1125	0
3322	0
1114	0
2071	0
1052	1849
1323	0
438	0
279	0
15177	0
7362	0
52	0
19	0
7	0
64	0
1250	0
1098	0
2603	0
101	0
10601	0
11545	0
48623	0
12801	0
2838	0
3185	0
746	0
220	0
44	0
0	0
280	0
7940	0
710	0
602	0
38256	0
96	0
605	0
307	0
102	0
245	0
520	0
3177	0
6600	0
2621	0
10087	0
30992	0
584	0
144	0
314	0
1104	0
956	0
188	0
9180	0
40003	0
12809	0
6757	0
1006	0
84	0
4855	0
822	0
960	0
1153	0
15650	0
470	0
427	0
682	0
1631	0
680	0
1577	0
273	0
342	0
1183	0
113	0
770	0
869	0
1119	0
463	0
51	0
283	0
782	0
869	0
70	0
277	0
77	0
32	0
105	0
811	0
419	0
1104	0
626	0
15	0
6940	0
615	0
98	0
1066	0
170	0
336	0
81	0
2423	0
1128	0
575	0
345	0
1975	0
146	0
143	0
563	0
58	0
44	0
13	0
25	0
44	0
1311	0
263	0
1561	0
13	0
10	0
3810	0
4544	0
21	0
877	0
244	0
558	0
254	0
40	0
1090	0
209	0
64	0
42	0
128	0
66	0
136	0
80	0
28	0
780	0
24	0
19	0
89	0
763	0
372	0
1311	0
40	0
109	0
391	0
464	0
1154	0
2133	0
450	0
82	0
149	0
404	0
1090	0
2905	0
720	0
932	0
1847	0
664	0
272	0
51	0
46225	0
10337	0
9072	0
616	0
45	0
3	0
7	0
1223	0
118	0
255	0
242	0
104	0
1	0
6391	0
1356	0
289	0
473	0
9	0
472	0
15119	0
37868	0
41336	0
6655	0
3621	0
2193	0
2428	0
14791	0
205228	0
79429	0
24282	0
82101	0
182421	0
29388	0
32733	0
185	0
296	0
554	0
64	0
76	0
281	0
7	0
123	0
21	0
806	0
1192	0
335	0
41	0
95	0
210	0
320	0
103	0
30	0
100	0
124	0
3	0
42	0
187	0
3249	0
279	0
202	0
73	0
421	0
272	0
203	0
69	0
149	0
12	0
27	0
252	0
609	0
1830	0
173	0
48	0
10	0
12	0
20	0
1229	0
15	0
53	0
71	0
162	0
52	0
62	0
12	0
18	0
231	0
127	0
14	0
20	0
14	0
0	0
364	0
18	0
18	0
21	0
12	0
10	0
22	0
67	0
3	0
50	0
26	0
5	0
10	0
3	0
175	0
278	0
677	0
714	0
280	0
61	0
683	0
192	0
43	0
115	0
172	0
27	0
185	0
180	0
64	0
104	0
526	0
138	0
180	0
335	0
32	0
113	0
89	0
468	0
234	0
251	0
6372	0
4379	0
217	0
82	0
81	0
316	0
2694	0
111	0
53	0
12	0
6	0
2151	0
1875	0
1308	0
346	0
248	0
42	0
24	0
50	0
152	0
58	0
100	0
284	0
118	0
179	0
3695	0
107	0
1188	0
39	0
16	0
813	0
587	0
28	0
309	0
471	0
160	0
324	0
725	0
10	0
231	0
653	0
73	0
259	0
4575	0
11044	0
1738	5408
2842	0
811	0
1624	0
5345	0
2327	0
4670	0
9017	0
2008	0
985	0
3309	0
16221	0
846	0
29	0
1424	0
2745	0
5734	0
10115	0
2116	0
3457	0
1757	0
5658	0
4232	0
2398	0
3250	0
7815	0
6415	0
1094	0
27	0
844	0
6399	0
5743	0
937	0
1647	0
1044	0
2066	0
4909	0
6237	0
5509	0
10241	0
23	0
12	0
100	0
4960	0
160	0
48	0
5	0
37	0
14	0
17	0
4	0
8	0
199	0
127	0
153	0
4019	0
1360	0
13537	0
440	0
567	0
374	0
773	0
774	0
2671	0
3719	0
2778	0
232	0
677	0
184	0
1526	0
559	0
646	0
10619	0
1743	0
2785	0
4769	0
628	0
540	41
331	0
1264	0
1303	0
4677	0
18645	0
7081	0
13741	0
145	0
206	0
424	0
45	0
105	0
116	0
2913	0
225	0
1860	0
19	0
17651	139
505	0
200	0
531	0
1012	0
2079	0
208	0
720	0
763	0
585	0
2053	0
926	0
72	0
277	0
470	0
1511	0
135	0
76	0
229	0
713	0
279	0
1145	0
149	0
1671	0
1086	0
396	0
157	0
2251	0
94	0
6072	0
186	0
166	0
2612	0
398	0
604	0
3259	0
35950	0
12798	0
7398	0
27282	0
376	0
531	0
295	0
336	0
6	0
2	0
13	0
135	0
249	0
195	0
154	0
151	0
414	0
4511	0
656	0
84329	0
4232	0
307	0
321	0
4022	0
4612	0
757	0
36	0
1100	9
2250	0
879	0
1318	0
2339	0
226	0
55	0
328	0
164	0
169	0
264	0
19	0
283	0
398	0
436	0
427	0
16	0
27	0
60	0
477	0
102	0
649	0
38	0
19	0
48	0
1	0
37	0
8	0
16	0
3	0
2	0
189	0
26	0
25	0
92	0
90	0
170	0
24	0
22	0
51	0
99	0
4805	0
699	0
14605	0
6	0
33	0
206	0
369	0
38	0
44	0
625	0
2863	0
1303	0
291	0
23249	0
565	0
153	0
596	0
1100	0
3182	0
1095	0
2578	0
2832	0
10677	0
644	0
1037	0
257	0
827	0
9079	0
2422	0
12700	0
25849	0
4095	0
3045	0
1450	0
271	0
697	0
1366	0
5548	0
68	20
307	156
1565	0
5766	0
747	0
1162	0
628	0
190	0
448	0
2135	0
43	0
621	0
1287	0
611	0
158	0
143	0
964	0
142	0
329	0
1283	0
14201	0
5886	0
180	0
152	0
55	0
1587	0
462	0
214	0
139	0
2941	0
205	0
1960	0
232	0
150	0
72	0
411	0
284	0
25	0
67	0
113	0
13	0
371	0
1071	0
3938	0
1720	0
222	0
171	0
6813	0
305	0
3331	0
1216	0
