UniqueCount	AmbigCount
1338	0
6010	0
7803	0
247	0
77	0
0	0
52	0
2	0
33	0
88	0
43	0
98	0
8	0
154	0
189	0
300	0
315	0
197	0
118	0
524	0
282	0
292	0
600	0
142	0
95	0
122	0
672	0
538	0
5	0
18	0
28	0
8	0
6	0
25	0
15	0
105	0
172	0
156	0
1452	0
935	0
712	0
527	0
640	0
145	0
283	0
466	0
70	0
295	0
101	0
410	0
176	0
511	0
670	0
231	0
206	0
68	0
182	0
841	0
74	0
902	0
1144	0
3029	0
112	0
637	0
23896	0
365	0
677	0
900	0
1622	0
3865	0
202	0
223	0
789	0
205	0
2536	0
205	0
520	0
65	0
103	0
1089	0
126	0
96	0
277	0
155	0
294	0
35	0
75	0
71	0
153	0
16	0
52	0
17	0
1946	0
804	0
793	0
2487	0
507	0
9	0
926	0
1772	0
3399	0
3741	0
2569	0
11004	0
6186	0
11617	0
914	0
254	0
29	0
388	0
1545	0
508	0
870	0
7574	0
35	0
284	0
666	0
158	0
40	0
45	0
49	0
101	0
1110	0
1006	0
103	0
204	0
1058	0
92	0
206	0
83	0
62	0
45	0
43	0
3090	0
187	0
260	0
187	0
592	0
104	0
27	0
105	0
718	0
314	0
6165	0
2984	0
1913	0
306	0
543	0
120	0
824	1
483	0
1511	0
35	0
121	0
30	0
130	0
40	0
18	0
91	0
121	0
258	0
23	0
28	0
4	0
3	0
11	0
7	0
92	0
46	0
50	0
71	0
30	0
2	0
14	0
46	0
42	0
24	0
520	0
66	0
11	0
12	0
132	0
586	0
807	0
58	0
176	0
2302	0
3097	0
17	0
180	0
682	0
832	0
1404	0
1946	0
6	0
2	0
21	0
59	0
7	0
1	0
1	0
21	0
20	0
6	0
10	0
2807	0
1865	0
766	0
473	0
1298	0
179	0
283	0
24	0
13	0
218	0
39	0
527	0
14	0
231	0
2036	0
1960	0
569	0
657	0
1327	0
40	0
253	0
948	0
535	0
506	0
404	0
116	0
643	0
533	0
2713	0
355	0
128	0
1035	0
2411	0
1218	0
5702	0
81366	0
1705	0
685	0
480	0
474	0
148	0
271	0
4442	0
715	0
707	1
1299	0
737	0
3499	0
2430	0
1199	0
7415	0
2584	0
5807	0
2003	0
1489	0
3817	0
2630	0
1206	0
365	0
1114	0
82	0
864	0
493	0
1578	0
526	0
1075	0
8945	0
375	0
1629	0
290	0
265	0
27	0
346	1847
58	0
52	0
1857	0
95	0
616	0
311	0
552	0
2476	0
186	0
1	332
117	0
67	0
202	0
907	0
275	0
9	0
25	0
5	0
33	0
15	0
36	0
95	0
29	0
38	0
34	0
261	0
3713	0
133	0
129	0
138	0
6	0
49	0
31	0
53	0
159	0
2857	0
281	0
48	0
2785	0
1874	0
2279	0
55	0
242	0
137	0
6186	0
222	0
622	0
62	0
10	0
81	0
25	0
114	0
217	0
12	0
1267	57038
3496	0
6396	0
5280	0
7854	0
9957	0
24320	0
18210	0
24522	0
1239	0
4193	0
8314	0
22100	0
705	57038
3044	0
7721	0
11850	0
6161	0
8205	0
6063	0
3299	0
14004	0
7856	0
1756	0
6426	0
9027	0
6071	0
9006	0
8120	0
8066	0
10705	0
6039	0
6578	0
4770	0
7504	0
11276	0
3529	0
3355	0
12362	0
8650	0
9432	0
10638	0
2753	0
450	0
1377	0
2586	0
513	0
2744	0
1337	0
1238	0
479	0
149	0
742	0
366	0
865	3
54	0
16	0
29	0
212	0
942	0
1366	0
572	0
1348	0
94	0
175	0
491	0
137	0
2068	0
3353	0
9726	0
2565	0
241	0
38	0
115	0
152	0
47	0
