,SampleName,strain,rep
wt_1,wt_1,wt,1
wt_2,wt_2,wt,2
wt_3,wt_3,wt,3
A244T_1,A244T_1,A244T,1
A244T_2,A244T_2,A244T,2
A244T_3,A244T_3,A244T,3
N274Y_1,N274Y_1,N274Y,1
N274Y_2,N274Y_2,N274Y,2
N274Y_3,N274Y_3,N274Y,3
N445K_1,N445K_1,N445K,1
N445K_2,N445K_2,N445K,2
N445K_3,N445K_3,N445K,3
P421L_1,P421L_1,P421L,1
P421L_2,P421L_2,P421L,2
P421L_3,P421L_3,P421L,3
S3C_1,S3C_1,S3C,1
S3C_2,S3C_2,S3C,2
S3C_3,S3C_3,S3C,3
T41T_1,T41T_1,T41T,1
T41T_2,T41T_2,T41T,2
T41T_3,T41T_3,T41T,3
tRNA_1,tRNA_1,tRNA,1
tRNA_2,tRNA_2,tRNA,2
tRNA_3,tRNA_3,tRNA,3
