UniqueCount	AmbigCount
1987	0
9382	0
13459	0
267	0
79	0
3	0
58	0
6	0
34	0
103	0
46	0
97	0
23	0
140	0
234	0
260	0
374	0
193	0
92	0
339	0
395	0
256	0
437	0
83	0
59	0
182	0
640	0
586	0
12	0
11	0
22	0
7	0
4	0
26	0
8	0
28	0
72	0
68	0
459	0
284	0
355	0
1000	0
1652	0
169	0
459	0
453	0
95	0
414	0
111	0
434	0
92	0
328	0
481	0
240	0
173	0
87	0
182	0
879	0
141	0
638	0
901	0
3260	0
124	0
664	0
18590	0
280	0
1564	0
1449	0
2121	0
3480	0
226	0
241	0
825	0
245	0
2905	0
308	0
908	0
83	0
82	0
1041	0
125	0
119	0
386	0
284	0
462	0
24	0
112	0
158	0
145	0
13	0
52	0
16	0
1943	0
747	0
836	0
2203	0
387	0
9	0
1003	0
1814	0
2790	0
3705	0
2297	0
7842	0
4488	0
7879	0
665	0
234	0
50	0
443	0
2809	0
537	0
1313	0
5644	0
58	0
579	0
1374	0
235	0
47	0
34	0
40	0
164	0
1264	0
1008	0
104	0
186	0
813	0
164	0
236	0
72	0
78	0
35	0
79	0
3890	0
269	0
352	0
143	0
467	0
75	0
30	0
55	0
746	0
398	0
6810	0
2546	0
2684	0
356	0
625	0
132	0
1101	0
778	0
1848	0
45	0
153	0
35	0
102	0
33	0
23	0
71	0
89	0
171	0
16	0
25	0
3	0
6	0
11	0
4	0
119	0
69	0
67	0
61	0
30	0
6	0
27	0
55	0
26	0
16	0
331	0
41	0
12	0
25	0
142	0
699	0
1124	0
58	0
181	0
5260	0
5625	0
18	0
1971	0
2157	0
766	0
1361	0
2225	0
7	0
4	0
17	0
71	0
3	0
1	0
2	0
37	0
26	0
5	0
15	0
2745	0
1865	0
752	0
486	0
1368	0
80	0
152	0
52	0
16	0
244	0
72	0
482	0
12	0
151	0
1123	0
1477	0
409	0
750	0
1468	0
91	0
644	0
999	0
622	0
461	0
801	0
97	0
253	0
186	0
900	0
95	0
37	0
307	0
634	0
1064	0
3579	0
43318	0
3932	0
452	0
599	0
486	0
165	0
426	0
2454	0
358	0
2471	0
121	0
68	0
3192	0
2014	0
1030	0
5349	0
1612	0
3742	0
1371	0
854	0
2355	0
1788	0
835	0
383	0
783	0
60	0
249	0
165	0
461	0
186	0
394	0
6322	0
350	0
1304	0
266	0
227	0
24	0
378	1821
69	0
48	0
2917	0
132	0
697	0
423	0
861	0
6273	0
427	0
1	621
160	0
101	0
384	0
1121	0
366	0
9	0
22	0
7	0
67	0
18	0
66	0
116	0
30	0
36	0
31	0
261	0
1213	0
140	0
125	0
148	0
9	0
85	0
82	0
140	0
458	0
3208	0
179	0
49	0
4475	0
1618	0
2872	0
413	0
866	0
166	0
9430	0
221	0
735	0
81	0
23	0
114	0
46	0
87	0
248	0
21	0
1694	70548
6007	0
9213	0
8167	0
10635	0
11688	0
20138	0
18823	0
24029	0
1253	0
6095	0
12105	0
29663	0
913	70548
4732	0
12997	0
17062	0
8485	0
12240	0
8439	0
4458	0
17377	0
9416	0
2439	0
7459	0
16613	0
10106	0
14522	0
13085	0
11912	0
16005	0
8851	0
10057	0
5726	0
10241	0
17732	0
5504	0
4557	0
16459	0
11471	0
12667	0
14965	0
4410	0
561	0
1566	0
3473	0
879	0
4561	0
2192	0
1477	0
