"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1754.5986513196	0.379637976837109	0.143061554783148	2.65366874708276	0.00796219477710206	0.10011059126248
"Bcen2424_0002"	8400.24913497892	0.325019758371501	0.201514062506048	1.61288872016932	0.106768686243203	0.296670242691037
"Bcen2424_0003"	11136.1065994631	0.527582818160734	0.227822789081244	2.31575963181011	0.0205713964748116	0.145165570877185
"Bcen2424_0004"	114.432778344344	-0.0971404072722125	0.165400964862821	-0.58730254296145	0.557000533554576	NA
"Bcen2424_0005"	112.238285153256	0.0647922596555356	0.175575437338389	0.369028040811088	0.712106824045879	NA
"Bcen2424_0006"	23.1441124985321	-0.0222466073127301	0.340229445207169	-0.0653870722423332	0.947865816908471	NA
"Bcen2424_0007"	54.2687915324456	0.0659121203612957	0.334932761257181	0.196792096759637	0.843990236055337	NA
"Bcen2424_0008"	16.9924052448428	-0.374973462600726	0.369917657369316	-1.0136673801066	0.310741494199184	NA
"Bcen2424_0009"	33.4057502509344	0.149728269329741	0.269711563049392	0.555142195747544	0.578797403022911	NA
"Bcen2424_0010"	98.2986643004325	0.0882685058742461	0.172070662540457	0.512978241444804	0.607966541094336	NA
"Bcen2424_0011"	49.9822721991336	-0.215555913996537	0.266573081483526	-0.808618457636196	0.418734644542995	NA
"Bcen2424_0012"	81.1381508348994	-0.383245945339999	0.232788351481761	-1.6463278463056	0.0996962793868891	NA
"Bcen2424_0014"	169.749909215066	0.0835618233261752	0.177250588565638	0.471433262943617	0.637331367094683	NA
"Bcen2424_0015"	234.939411688515	0.0767440001640169	0.134212015005669	0.571811697788571	0.567449551470943	0.741014675177484
"Bcen2424_0016"	382.535791533817	0.270455126056854	0.144725818309387	1.86874138433745	0.0616588033627332	0.224628527058913
"Bcen2424_0017"	378.708592977355	0.298719945726058	0.193692977959865	1.54223425584357	0.123016678539848	0.317075246968169
"Bcen2424_0018"	216.630899987879	-0.0549686836892496	0.129358005584149	-0.424934532973236	0.670884399802215	0.81430800064915
"Bcen2424_0019"	154.07328276838	-0.407505412424989	0.173512053431087	-2.34857120509404	0.0188455954912875	NA
"Bcen2424_0020"	438.65044793248	-0.0241263116652631	0.219226000218718	-0.110052236692695	0.912367947579605	0.947959846581284
"Bcen2424_0022"	319.092232091329	-0.512004396168036	0.216343401774136	-2.36662820298338	0.0179509558751776	0.140083904230626
"Bcen2424_0023"	551.161279824397	-0.672976759493224	0.288094784949231	-2.33595606255704	0.0194935315970953	0.144091710272754
"Bcen2424_0024"	88.0891233716244	-2.49071430344301	0.814165416177495	-3.05922390456833	0.00221911228299468	NA
"Bcen2424_0025"	52.2667919613623	-1.82431871434114	0.724244310145528	-2.5189272304736	0.0117712981647528	NA
"Bcen2424_0026"	115.813433158473	-0.542312973072304	0.326636390533506	-1.6602956338898	0.0968549936465784	NA
"Bcen2424_0027"	669.514497573781	-0.0476566933781706	0.14060220727866	-0.338946978860151	0.734649672939342	0.851330855517964
"Bcen2424_0028"	670.907496613716	0.127850400785702	0.189614014750485	0.674266619764059	0.500141821918497	0.69308993595812
"Bcen2424_0029"	13.5674587008659	0.431577340218279	0.414376410196018	1.04151039875586	0.297638729563866	NA
"Bcen2424_0030"	19.9923730948425	-0.7853039424821	0.437896264687139	-1.79335611150548	0.0729160005423509	NA
