"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108418.575663976	3.40697888700438	0.933102128729024	3.65123900386447	0.000260978228955827	0.00635969066690512
"BCEN2424_RS00050"	53095.6558538707	4.20140025959531	1.09282162830113	3.8445434742417	0.000120777072948246	0.0036083003488719
"BCEN2424_RS00095"	5.9447309034006	1.09743750152418	0.642647678479	1.70768142214653	0.0876954711272634	NA
"BCEN2424_RS00745"	188.684658476946	1.41774207193163	0.404265885453218	3.50695451421091	0.000453266620766006	0.00900571843735632
"BCEN2424_RS01415"	6.14697610170209	0.683275431832164	0.58801066954756	1.16201196205828	0.245230605996418	NA
"BCEN2424_RS01610"	49150.963866132	3.7991840713097	1.09885249437657	3.45741042656064	0.000545393518866211	0.0100140309991824
"BCEN2424_RS01615"	491.669371733018	1.87724229997249	0.302509217977831	6.2055705691258	5.44988087276496e-10	4.11699572216873e-07
"BCEN2424_RS01620"	57.6812644097308	1.71376738627204	0.327947634698101	5.22573485809611	1.7346478298805e-07	3.43420300199022e-05
"BCEN2424_RS01625"	108418.575663976	3.40697888700438	0.933102128729024	3.65123900386447	0.000260978228955827	0.00635969066690512
"BCEN2424_RS01630"	0.0364313507131842	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.209548968156	1.11212504841335	0.334252515367043	3.32720023719829	0.000877233136597732	0.0135242239834659
"BCEN2424_RS01640"	3442.16879995629	1.19233823475283	0.31818283289437	3.74733678717564	0.000178722052360424	0.00484813199525045
"BCEN2424_RS01645"	1136.20891737932	0.611530288832951	0.259535746504879	2.35624686413459	0.0184606448655544	0.087316538505413
"BCEN2424_RS01655"	291.499764039455	0.218031770561267	0.197568063991562	1.10357800828872	0.269776235270378	0.458014938760394
"BCEN2424_RS02220"	1.63386906734623	1.28604356490163	0.872107031793427	1.4746396004364	0.140309462390358	NA
"BCEN2424_RS02700"	51080.9872207125	4.00538969125409	1.10451844833257	3.62636739775675	0.000287436316326812	0.00667514623131654
"BCEN2424_RS02705"	491.669371733018	1.87724229997249	0.302509217977831	6.2055705691258	5.44988087276496e-10	4.11699572216873e-07
"BCEN2424_RS02710"	57.6812644097308	1.71376738627204	0.327947634698101	5.22573485809611	1.7346478298805e-07	3.43420300199022e-05
