"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1754.5986513196	0.447385837983786	0.143735747660626	3.11255790758543	0.00185473623358001	0.0479704988363607
"Bcen2424_0002"	8400.24913497892	0.362081223224328	0.201603107332695	1.79601013106809	0.0724929057995961	0.239409454757968
"Bcen2424_0003"	11136.1065994631	0.563100804221361	0.227884824210461	2.47098860651341	0.0134740111494816	0.111795817841201
"Bcen2424_0004"	114.432778344344	-0.026062591665259	0.173604290399651	-0.150126426053531	0.880664871275539	NA
"Bcen2424_0005"	112.238285153256	0.118362027360408	0.183634692011045	0.644551560841722	0.519217833954355	NA
"Bcen2424_0006"	23.1441124985321	-0.079054087157832	0.356165638657377	-0.221958770239147	0.824345979336433	NA
"Bcen2424_0007"	54.2687915324456	-0.256502169381128	0.337886665576314	-0.759136703260033	0.447770785280686	NA
"Bcen2424_0008"	16.9924052448428	-0.552926720907386	0.383729969712646	-1.44092660086321	0.149605420073223	NA
"Bcen2424_0009"	33.4057502509344	0.168612580142012	0.285355587282924	0.590885854899475	0.554596904249626	NA
"Bcen2424_0010"	98.2986643004325	0.384610731026782	0.18555640169433	2.07274299089049	0.0381962045209108	NA
"Bcen2424_0011"	49.9822721991336	-0.227200493230476	0.277743321632982	-0.818023244968263	0.413343914355628	NA
"Bcen2424_0012"	81.1381508348994	-0.727345726433759	0.235449130943756	-3.08918416270352	0.00200706982905373	NA
"Bcen2424_0014"	169.749909215066	-0.250381340907431	0.179157937344906	-1.39754534249525	0.162249641493067	0.362894236316554
"Bcen2424_0015"	234.939411688515	0.0767138852022949	0.138790989397349	0.552729579458998	0.580448595517774	0.748979960268352
"Bcen2424_0016"	382.535791533817	-0.0776755571218668	0.145727958232338	-0.533017535303876	0.594021441886285	0.759780951022451
"Bcen2424_0017"	378.708592977355	0.019290295810544	0.194655245733572	0.0990997994317966	0.921059031335443	0.962728715939241
"Bcen2424_0018"	216.630899987879	-0.287591663598406	0.132249466781656	-2.17461491979563	0.0296589853334626	0.155607541508483
"Bcen2424_0019"	154.07328276838	-0.319359704547823	0.179130920150795	-1.78282847137156	0.074614229579204	0.243326712728757
"Bcen2424_0020"	438.65044793248	-0.409674876247564	0.219699902449663	-1.86470213085974	0.0622231679350286	0.224439438129284
"Bcen2424_0022"	319.092232091329	-0.278639811582599	0.21918448091859	-1.27125702702507	0.20363722480895	0.407969349199239
"Bcen2424_0023"	551.161279824397	-0.678516098333704	0.288941241202034	-2.348284016193	0.0188601338812252	0.128871379804114
"Bcen2424_0024"	88.0891233716244	-3.1701218435388	0.813900435758098	-3.89497499234784	9.82088616027733e-05	NA
"Bcen2424_0025"	52.2667919613623	-2.45901556310048	0.723896097786101	-3.39691783202164	0.000681494271220747	NA
"Bcen2424_0026"	115.813433158473	-0.93730719426208	0.327610719018422	-2.86103945887489	0.0042225449383523	NA
"Bcen2424_0027"	669.514497573781	-0.18123443216918	0.141694927627507	-1.27904671821151	0.20088060479186	0.40399832024822
"Bcen2424_0028"	670.907496613716	0.073098243818093	0.190571033977099	0.383574787272642	0.701293629998911	0.834237175723252
"Bcen2424_0029"	13.5674587008659	-0.262391768560723	0.407460491827498	-0.643968614929687	0.519595786072286	NA
"Bcen2424_0030"	19.9923730948425	-1.08045920161015	0.444103527782956	-2.43289938948243	0.0149784622575875	NA
"Bcen2424_0031"	34.0164693476881	-0.340370494435429	0.279518499894079	-1.21770292329277	0.223336885781863	NA
"Bcen2424_0032"	10.8908105989855	0.12729651025538	0.471274504297619	0.270111175322547	0.787074724896893	NA
"Bcen2424_0033"	11.8341113505583	-0.143226828556194	0.461203675286823	-0.310550058967162	0.756142698206433	NA
"Bcen2424_0034"	44.7349171840306	-0.0533895952078806	0.300643105790959	-0.177584631676215	0.859049194839876	NA
"Bcen2424_0035"	20.8617172571671	-1.09221132948489	0.468320754714209	-2.33218647367317	0.0196908834446024	NA
"Bcen2424_0036"	88.0547904415828	-0.940941459653223	0.693079454051098	-1.35762422930496	0.174582950704568	NA
"Bcen2424_0037"	136.561025488652	-1.14285977554971	0.502579218770231	-2.27398931922851	0.0229666287130884	NA
"Bcen2424_0038"	219.155102302684	-1.11717954308165	0.552005963549096	-2.02385411907291	0.0429851638837138	0.184506356921007
"Bcen2424_0039"	1458.03439377073	-1.59594518548006	0.750991306503986	-2.12511805617232	0.0335767632928047	0.163035487403136
"Bcen2424_0040"	752.209602833791	-1.2766496436687	0.723346993071903	-1.76492009491466	0.0775771959165774	0.248730251890777
"Bcen2424_0041"	756.740374619579	-0.939433633703496	0.560504088491006	-1.67605134912155	0.0937281350423876	0.274623435674196
"Bcen2424_0042"	781.018514675338	-0.0495342688882967	0.278802296669949	-0.17766808049984	0.858983654446906	0.928980334976793
"Bcen2424_0043"	1308.91092522569	0.385753459679092	0.3894494220321	0.99050977574001	0.321925013352843	0.530827868338086
"Bcen2424_0044"	255.52989687889	0.441722629482827	0.172006022758685	2.56806489911425	0.010226800741076	0.0983683939968646
"Bcen2424_0045"	448.395281320971	-0.0564619338179879	0.236696747955829	-0.238541231789651	0.811461339782209	0.901650012610978
"Bcen2424_0046"	655.49453544704	-0.223078146855253	0.241613816527037	-0.923283900158459	0.355859275739948	0.561842579657713
"Bcen2424_0047"	149.833704017697	-0.327204555903106	0.16999673292786	-1.92476967214399	0.0542581797420218	0.207916908085876
"Bcen2424_0048"	440.548517892977	0.0485730683248807	0.126837040157159	0.382956494922113	0.70175202156317	0.834261376446352
"Bcen2424_0049"	374.246509048035	-0.0598998455732229	0.273616277215957	-0.218919160010154	0.826713020936684	0.910627500505445
"Bcen2424_0050"	520.191793349763	-0.0798983606114312	0.122522037878888	-0.652114199164805	0.514327504774438	0.695012640620995
"Bcen2424_0051"	175.122924535086	-0.463732234272666	0.229947432785832	-2.01668802584361	0.043728080301451	0.186100846780142
"Bcen2424_0052"	432.988105111732	-0.556771213402116	0.25980432916761	-2.14304055358108	0.0321098421566814	0.160296708748099
"Bcen2424_0053"	591.584012156032	-0.362084085207465	0.213579246053055	-1.69531493297584	0.0900156934894829	0.26974472659555
"Bcen2424_0054"	252.818796619019	-0.134639153343653	0.161264268880586	-0.834897614197178	0.403775358192271	0.604617599696338
"Bcen2424_0055"	185.908163341581	-0.175472069970169	0.228007145488384	-0.769590223123551	0.441543006375636	0.636696538024643
"Bcen2424_0056"	72.947969724206	0.00711930802181612	0.225807357289756	0.0315282376414361	0.974848272953161	NA
"Bcen2424_0057"	217.681840637692	-0.201159156165214	0.159389967688642	-1.26205657157899	0.206928430744462	0.412665127071024
"Bcen2424_0058"	990.489050467424	-0.244563822397785	0.176720963420878	-1.38389819557136	0.16638962937134	0.367194726694921
"Bcen2424_0059"	252.040546658123	-0.268908327289379	0.171012615051326	-1.57244731453684	0.115846848630256	0.304858036236396
"Bcen2424_0060"	777.603939834833	-0.594205805645469	0.237429518543032	-2.50266188168922	0.0123263240462739	0.107933260441971
"Bcen2424_0061"	1081.63317795693	-0.384437043296515	0.184149319546421	-2.08763759889759	0.0368305376770241	0.170375288428494
"Bcen2424_0062"	3211.3077603674	-0.165305763626433	0.143466935353003	-1.15222203094877	0.249229846818768	0.462999034542339
"Bcen2424_0063"	133.733012677833	-0.171707042016565	0.162813858919809	-1.05462178192789	0.291598337718472	NA
"Bcen2424_0064"	670.626361194971	-0.102590080516395	0.123678317079029	-0.829491239364459	0.406826492033659	0.606847625266258
"Bcen2424_0065"	22844.7252763443	-0.225091451981464	0.234342067816191	-0.960525159136245	0.336790974910466	0.544266789747121
"Bcen2424_0066"	772.673899458528	-0.20288142275233	0.176107174689251	-1.15203382889041	0.249307172445875	0.462999034542339
"Bcen2424_0068"	1413.38737511355	0.0223234643169946	0.191072776493589	0.11683226007732	0.90699297895997	0.957185432347917
"Bcen2424_0069"	2000.09630454632	0.19886732319232	0.204189660727151	0.973934343610362	0.330089140047395	0.537771400530593
"Bcen2424_0070"	3670.19162556583	0.125068859527224	0.112410616775734	1.11260718172861	0.265877174678732	0.478024702608002
"Bcen2424_0071"	248.465709880639	0.00937623625674501	0.159562322337617	0.0587622197983925	0.953141500669368	0.978408173385314
"Bcen2424_0072"	248.06044827862	0.0620396425223376	0.178519464294809	0.347523127337446	0.728198346815563	0.852599324319703
"Bcen2424_0073"	651.966110270334	0.177675173934282	0.237138902140832	0.749245156869134	0.453709456467456	0.647258172166495
"Bcen2424_0074"	277.759789492172	0.100950805425869	0.167984227998613	0.600954069489802	0.547870578698441	0.722935323876247
"Bcen2424_0075"	3064.19513517118	-0.12596242099477	0.195201797293968	-0.64529334637772	0.518737103698229	0.699422877163382
"Bcen2424_0076"	546.442026867833	0.0503814648256024	0.124134189081906	0.405862923004717	0.684843322111439	0.82413587379873
"Bcen2424_0077"	947.81163793848	0.274654784894993	0.233947162862457	1.17400348666109	0.240393629064435	0.45393738457037
"Bcen2424_0078"	97.9874581659005	0.0164760686291	0.207387830898622	0.0794456866524346	0.936678130758809	NA
"Bcen2424_0079"	162.270897104379	-0.16069903851286	0.151948134085509	-1.0575913911679	0.29024176900907	0.500013974742446
"Bcen2424_0080"	1814.40696529638	-0.580130486737752	0.18318053834485	-3.16698756308717	0.00154026905573321	0.0438597196584378
"Bcen2424_0081"	126.319806066491	0.164319015144477	0.319154867879541	0.514856678314855	0.606653175576546	NA
"Bcen2424_0082"	165.227664292106	-0.118435523335496	0.156979415578397	-0.75446530934719	0.45056986834595	0.644468880409209
"Bcen2424_0083"	394.410207195311	0.365871655619548	0.404192735393425	0.905191072430886	0.365364170644225	0.572025126409887
"Bcen2424_0084"	270.489004361055	0.489825054406628	0.338175414598535	1.44843484553164	0.147495475432022	0.348301466782747
"Bcen2424_0085"	586.603602653052	0.720344159845162	0.309956372763904	2.32401790426762	0.0201245344623583	0.133311916116735
"Bcen2424_0086"	46.9126014013488	0.380042037434308	0.300223399357703	1.26586414732286	0.205561724270189	NA
"Bcen2424_0087"	114.684611265735	0.6135657263405	0.23643398826829	2.5950825887362	0.00945681921382939	NA
"Bcen2424_0089"	168.451679881017	0.180827505655787	0.180042112118789	1.00436227684599	0.315204025842419	0.524545163173203
"Bcen2424_0090"	45.50812365061	-0.256338184714849	0.245550505472612	-1.04393262893707	0.296516560732643	NA
"Bcen2424_0091"	72.7602637675319	0.208775007349567	0.255339741557117	0.817636166138538	0.413564969965515	NA
"Bcen2424_0092"	16.3333283315669	0.0565669985996144	0.422526818465637	0.13387788923087	0.893499134707972	NA
"Bcen2424_0093"	2057.46909478145	-0.0606912097916242	0.117423039630977	-0.516859467974575	0.605254263582421	0.76744789946253
"Bcen2424_0094"	800.174067915185	-0.101196957027712	0.138523654967164	-0.730539177959897	0.465060674342763	0.655109507607834
"Bcen2424_0095"	853.279352388425	-0.155924333607452	0.128663198040831	-1.21187982252679	0.225558386967608	0.434531660206481
"Bcen2424_0096"	2407.52151678705	-0.169801667094921	0.168671790252932	-1.00669867107176	0.314079600954048	0.524016294364419
"Bcen2424_0097"	520.939398082472	-0.428809392185288	0.200341648686037	-2.14039065265601	0.0323232093014061	0.160520344496813
"Bcen2424_0099"	2349.89048075426	0.45280559167272	0.193459578158053	2.34056951836619	0.0192543534501462	0.130366503649568
