"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0	6.00582262393133	0	1	NA
"BCEN2424_RS00045"	108418.575663976	1.91420274995359	0.933091046731605	2.05146406308214	0.0402217758605296	0.315300642958755
"BCEN2424_RS00050"	53095.6558538707	1.99643032676568	1.09276582694727	1.82695164648666	0.0677070399104142	0.427134697491984
"BCEN2424_RS00095"	5.9447309034006	-0.558813780973949	0.596505665317227	-0.93681219385698	0.348855171797904	NA
"BCEN2424_RS00745"	188.684658476946	-0.921345956392349	0.39990122040601	-2.30393384510537	0.0212263574618509	0.222391213626158
"BCEN2424_RS01415"	6.14697610170209	-0.450522072766312	0.618181589413264	-0.728785975644984	0.466132591584109	NA
"BCEN2424_RS01610"	49150.963866132	1.72509560984662	1.0988066364205	1.5699719610962	0.116421634533022	0.551111119836843
"BCEN2424_RS01615"	491.669371733018	-0.467044782342136	0.301580245984514	-1.54865840372754	0.121463858198451	0.556841904846792
"BCEN2424_RS01620"	57.6812644097308	-0.185326040261529	0.325976988226622	-0.568524917264065	0.569678591284355	0.912587905360959
"BCEN2424_RS01625"	108418.575663976	1.91420274995359	0.933091046731605	2.05146406308214	0.0402217758605296	0.315300642958755
"BCEN2424_RS01630"	0.0364313507131842	0	6.00582262393133	0	1	NA
"BCEN2424_RS01635"	139.209548968156	-0.0348723620777833	0.338927671300845	-0.102890277279335	0.918050054352508	0.992455378102104
"BCEN2424_RS01640"	3442.16879995629	-0.17424221679618	0.318351056671751	-0.547327276428172	0.584153907693949	0.917362608953228
"BCEN2424_RS01645"	1136.20891737932	-0.218161379087754	0.260265780779617	-0.838225364987512	0.401904143883008	0.849087888348491
"BCEN2424_RS01655"	291.499764039455	0.0638884901883186	0.201376435714026	0.317259017728601	0.751047071369419	0.960041644297768
"BCEN2424_RS02220"	1.63386906734623	-1.46783336771702	1.09225349520889	-1.34385778956587	0.178994377828237	NA
"BCEN2424_RS02700"	51080.9872207125	1.90188022511698	1.1044672459215	1.72198879789339	0.0850715477684529	0.473939388072525
"BCEN2424_RS02705"	491.669371733018	-0.467044782342136	0.301580245984514	-1.54865840372754	0.121463858198451	0.556841904846792
"BCEN2424_RS02710"	57.6812644097308	-0.185326040261529	0.325976988226622	-0.568524917264065	0.569678591284355	0.912587905360959
"BCEN2424_RS02715"	108418.575663976	1.91420274995359	0.933091046731605	2.05146406308214	0.0402217758605296	0.315300642958755
"BCEN2424_RS02720"	0.0364313507131842	0	6.00582262393133	0	1	NA
