"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108417.039324967	-0.148664098117397	0.933099894444559	-0.159322810990019	0.873414549728607	0.945324090070561
"BCEN2424_RS00050"	53094.5056749782	-0.189674942963857	1.09276791757524	-0.173572942537267	0.862201097931567	0.94471674790879
"BCEN2424_RS00095"	5.94461275011663	-0.619313564792029	0.581659163621003	-1.06473619522577	0.286995325783777	NA
"BCEN2424_RS00745"	188.673930941216	-1.06336733336952	0.398848384575123	-2.66609412120919	0.00767382054146383	0.0890447695102003
"BCEN2424_RS01415"	6.14690100726549	-1.20092134528212	0.56508019319505	-2.12522286171795	0.0335680212788215	NA
"BCEN2424_RS01610"	49149.4313278682	-0.215904616736469	1.09880649493162	-0.196490116988165	0.844226567397957	0.938872218506206
"BCEN2424_RS01615"	491.663646619144	-0.586928701462447	0.30094183619128	-1.95030610861759	0.0511396450246352	0.276757067277714
"BCEN2424_RS01620"	57.6820648306588	-0.333895678744855	0.32133762180904	-1.03908056848469	0.298767267269199	0.646222282585879
"BCEN2424_RS01625"	108417.039324967	-0.148664098117397	0.933099894444559	-0.159322810990019	0.873414549728607	0.945324090070561
"BCEN2424_RS01630"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.213386703414	-0.74763634256728	0.334174069916594	-2.23726617314707	0.0252689486806232	0.190060877291473
"BCEN2424_RS01640"	3442.29860733233	-0.561013282617413	0.318087415646053	-1.76370788350103	0.0777811731599581	0.341198560350764
"BCEN2424_RS01645"	1136.24466512706	-0.588514781103093	0.259777552216715	-2.26545664196625	0.0234846718387227	0.181937314296858
"BCEN2424_RS01655"	291.510433080119	-0.239318967963372	0.199228570541322	-1.20122815373879	0.229662711215037	0.575076203135166
"BCEN2424_RS02220"	1.63403593823059	-1.0410612862088	1.11489442234552	-0.933775670003453	0.35041962226269	NA
"BCEN2424_RS02700"	51079.5409334602	-0.228532733119745	1.10446818896922	-0.206916537209668	0.836075041172435	0.936114168955456
