"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"BCEN2424_RS00045"	108418.575663976	-1.02108714617287	0.933083223522951	-1.09431519121911	0.273816764968718	0.487104401252508
"BCEN2424_RS00050"	53095.6558538707	-1.26463011904866	1.09275418003477	-1.15728691974295	0.24715515579926	0.466333057628973
"BCEN2424_RS00095"	5.9447309034006	-0.107130893632911	0.575835389145123	-0.186044303028954	0.852410018972593	NA
"BCEN2424_RS00745"	188.684658476946	-0.382363369850155	0.399729630723713	-0.956554982321135	0.338791920156543	NA
"BCEN2424_RS01415"	6.14697610170209	-0.418404313562705	0.575447586875818	-0.727093697332677	0.467168559447355	NA
"BCEN2424_RS01610"	49150.963866132	-1.43718880958942	1.09879996851674	-1.30796218672037	0.190886135123748	0.406138184133156
"BCEN2424_RS01615"	491.669371733018	-0.833677623164359	0.300331081978362	-2.77586195099322	0.00550555796988982	0.0945988267030053
"BCEN2424_RS01620"	57.6812644097308	-0.985373754217232	0.317057943934576	-3.1078664738347	0.00188443187211351	NA
"BCEN2424_RS01625"	108418.575663976	-1.02108714617287	0.933083223522951	-1.09431519121911	0.273816764968718	0.487104401252508
"BCEN2424_RS01630"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"BCEN2424_RS01635"	139.209548968156	-0.637830863835485	0.332229834768518	-1.91984824084175	0.054877071373808	NA
"BCEN2424_RS01640"	3442.16879995629	-0.980229264990393	0.318150290454696	-3.08102583715848	0.00206288747546028	0.0683306005687712
"BCEN2424_RS01645"	1136.20891737932	-0.210772215113121	0.259328338103189	-0.812761986039691	0.416354534363578	0.620987972029833
"BCEN2424_RS01655"	291.499764039455	-0.124076888678797	0.19750574817251	-0.628219126920916	0.52986040211181	0.716475264747153
"BCEN2424_RS02220"	1.63386906734623	-0.933188088921034	0.838123083184071	-1.11342606789424	0.265525484458219	NA
"BCEN2424_RS02700"	51080.9872207125	-1.3408688635644	1.10445762837232	-1.21405188313153	0.224727912451706	0.443847254179403
"BCEN2424_RS02705"	491.669371733018	-0.833677623164359	0.300331081978362	-2.77586195099322	0.00550555796988982	0.0945988267030053
"BCEN2424_RS02710"	57.6812644097308	-0.985373754217232	0.317057943934576	-3.1078664738347	0.00188443187211351	NA
"BCEN2424_RS02715"	108418.575663976	-1.02108714617287	0.933083223522951	-1.09431519121911	0.273816764968718	0.487104401252508
"BCEN2424_RS02720"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"BCEN2424_RS02890"	52.4395763284917	-1.47192919815617	0.51163567785253	-2.876908827653	0.00401591607724769	NA
"BCEN2424_RS34380"	301077.210127116	-0.160946435825367	0.268074515718894	-0.600379470587715	0.548253366422421	0.730933184965046
"BCEN2424_RS03940"	35.1265201832364	-1.09548144265279	0.418261690833778	-2.61912928355695	0.00881545309347748	NA
"BCEN2424_RS04540"	24.4780569336125	0.401314594880374	0.345340331804066	1.16208434961505	0.245201203925655	NA
"BCEN2424_RS04845"	290.695511046648	-1.25558707739988	0.498468982720883	-2.51888707406884	0.0117726406787523	0.119635706044412
"BCEN2424_RS04920"	5.98174339049577	-0.548377854282046	0.572148395927548	-0.958453887462245	0.337833933335648	NA
"BCEN2424_RS04960"	668.611886869286	-0.16514202688068	0.336431842423591	-0.490863247934645	0.623523172489602	0.782820383618702
"BCEN2424_RS04965"	668.611886869286	-0.16514202688068	0.336431842423591	-0.490863247934645	0.623523172489602	0.782820383618702
"BCEN2424_RS04970"	668.611886869286	-0.16514202688068	0.336431842423591	-0.490863247934645	0.623523172489602	0.782820383618702
"BCEN2424_RS05030"	4.06222976564641	-0.871550271247351	0.635193549612912	-1.37210189205869	0.17003172056134	NA
"BCEN2424_RS34430"	2350568.99752413	-0.282746138620423	0.132093810899994	-2.14049497621418	0.0323147863681622	0.172530664093766
"BCEN2424_RS05455"	64.3944779684545	-0.745237457157408	0.435326195232395	-1.71190584283486	0.0869140217589894	NA
"BCEN2424_RS05460"	64.3944779684545	-0.745237457157408	0.435326195232395	-1.71190584283486	0.0869140217589894	NA
"BCEN2424_RS05690"	294.317743008999	-0.749247897736857	0.271757762531351	-2.75704322392786	0.00583266408633646	0.0948154885024001
"BCEN2424_RS05695"	294.317743008999	-0.749247897736857	0.271757762531351	-2.75704322392786	0.00583266408633646	0.0948154885024001
"BCEN2424_RS05700"	294.317743008999	-0.749247897736857	0.271757762531351	-2.75704322392786	0.00583266408633646	0.0948154885024001
"BCEN2424_RS05705"	5.41454253001788	-0.526321531239884	0.590646201701551	-0.891094414428877	0.372878521208516	NA
"BCEN2424_RS06505"	14.2084639721394	-0.372286564134219	0.47848599371455	-0.778051121714367	0.436538876140305	NA
"BCEN2424_RS06555"	37.1994787889135	-0.380522779414856	0.328812804806845	-1.15726265477522	0.247165066349133	NA
"BCEN2424_RS07300"	5.9447309034006	-0.107130893632911	0.575835389145123	-0.186044303028954	0.852410018972593	NA
"BCEN2424_RS07355"	0.861428335097561	3.91727031915053	1.42435785462777	2.7502009459373	0.0059558728508435	NA
"BCEN2424_RS07650"	22.3626126545683	-0.91863650188451	0.441587487114441	-2.08030464786797	0.0374975987634933	NA
"BCEN2424_RS07655"	22.3626126545683	-0.91863650188451	0.441587487114441	-2.08030464786797	0.0374975987634933	NA
"BCEN2424_RS07665"	22.3626126545683	-0.91863650188451	0.441587487114441	-2.08030464786797	0.0374975987634933	NA
"BCEN2424_RS07730"	0.0304374376686802	0	6.00631008342226	0	1	NA
"BCEN2424_RS07790"	3894.53869301865	-1.20227110938394	0.446219716466337	-2.69434779553188	0.00705265295960636	0.0988836838648454
"BCEN2424_RS34315"	38.782514507619	0.228436247813627	0.335515428326782	0.680851694221157	0.495965336405021	NA
"BCEN2424_RS09510"	94.5944699859387	-0.445547473623718	0.2993699931458	-1.48828367513349	0.136676098315455	NA
"BCEN2424_RS09515"	415.744304991668	-1.28349893133353	0.474901946935912	-2.70266091687921	0.00687868793230089	0.0983450906471638
"BCEN2424_RS09590"	8.57015190292294	-0.313902039709089	0.558789956285982	-0.561753188613931	0.574284189958125	NA
"BCEN2424_RS10205"	94.5944699859387	-0.445547473623718	0.2993699931458	-1.48828367513349	0.136676098315455	NA
"BCEN2424_RS10210"	873.795039282693	-0.970414318811198	0.261606409781406	-3.70944396821951	0.000207714918295632	0.0260142503718421
"BCEN2424_RS10215"	105.514528485815	-1.01311859217739	0.306057010676562	-3.31022834581639	0.000932198891873838	NA
"BCEN2424_RS10220"	873.795039282693	-0.970414318811198	0.261606409781406	-3.70944396821951	0.000207714918295632	0.0260142503718421
"BCEN2424_RS10225"	94.5944699859387	-0.445547473623718	0.2993699931458	-1.48828367513349	0.136676098315455	NA
"BCEN2424_RS10230"	873.795039282693	-0.970414318811198	0.261606409781406	-3.70944396821951	0.000207714918295632	0.0260142503718421
"BCEN2424_RS10235"	377.666722318479	-0.770831440704109	0.315140658453527	-2.44599171838622	0.0144454318572687	0.128100389473941
"BCEN2424_RS10330"	92.795276291588	-0.984954309346656	0.379261325481627	-2.59703334658722	0.00940327946807953	NA
"BCEN2424_RS10685"	0.320139784796404	-0.392615179066896	2.64394070984919	-0.148496211584597	0.881951175528338	NA
"BCEN2424_RS10775"	0.160377742026796	-0.392613442215073	3.97968524133721	-0.0986543956132449	0.921412679179449	NA
"BCEN2424_RS10905"	7.96379328067389	-0.266583771640082	0.48639560858916	-0.54808013668819	0.583636878888936	NA
"BCEN2424_RS11060"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"BCEN2424_RS11065"	120744.713648497	-1.07111077476472	0.932616339923712	-1.14850097399359	0.250761811161968	0.46899458606483
"BCEN2424_RS11070"	57.6812644097308	-0.985373754217232	0.317057943934576	-3.1078664738347	0.00188443187211351	NA
"BCEN2424_RS11075"	491.669371733018	-0.833677623164359	0.300331081978362	-2.77586195099322	0.00550555796988982	0.0945988267030053
"BCEN2424_RS11080"	66987.4090172819	-1.21274887425779	1.06614621242567	-1.13750708873089	0.255326362909191	0.471636261377206
"BCEN2424_RS11245"	187.559727206177	-1.03505371124154	0.505211241816241	-2.04875431417659	0.040486145173789	NA
"BCEN2424_RS11825"	23.9065011637045	-0.903913879891219	0.41702496274856	-2.16752943021356	0.0301945081366104	NA
"BCEN2424_RS11915"	0.0304374376686802	0	6.00631008342226	0	1	NA
"BCEN2424_RS34440"	59287.903360277	-0.28724006883733	0.325902185806505	-0.881368954695721	0.378118155289338	0.584628840101207
"BCEN2424_RS12390"	32.6482931312269	-0.616180387787401	0.423735820176292	-1.45416166971922	0.145901489145944	NA
"BCEN2424_RS13285"	0.461393995484675	-2.20590860507823	1.85639893416427	-1.18827293233246	0.234725898132627	NA
"BCEN2424_RS14005"	289.368313515837	-0.489675567511116	0.246895682577329	-1.98332981119565	0.0473306015734232	0.202490434275903
"BCEN2424_RS15585"	2.44281107145626	0.123674162453033	0.920533366285065	0.134350548261099	0.893125383787091	NA
"BCEN2424_RS15665"	0.19728554985344	-1.35440336859681	3.8189439108017	-0.354653904385959	0.722848887847613	NA
"BCEN2424_RS37005"	246.635549502719	0.475816457828728	0.250353474235709	1.90057860902999	0.0573572295531559	0.218494596859681
"BCEN2424_RS19265"	0.83257471062926	0.264897915996484	1.56196142877298	0.169593122542456	0.865330131613721	NA
"BCEN2424_RS19780"	178.271359375513	-0.397862073143797	0.205543154641656	-1.93566199680758	0.0529091118281701	NA
"BCEN2424_RS24650"	187.559727206177	-1.03505371124154	0.505211241816241	-2.04875431417659	0.040486145173789	NA
"BCEN2424_RS37130"	16.0637319388132	-0.278264929173031	0.382076733360204	-0.728295928217893	0.466432454331041	NA
"BCEN2424_RS26145"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"BCEN2424_RS26150"	121616.0398003	-0.976105963884227	0.922540786757549	-1.05806266551633	0.290026873900341	0.506603490600548
"BCEN2424_RS26155"	57.6812644097308	-0.985373754217232	0.317057943934576	-3.1078664738347	0.00188443187211351	NA
"BCEN2424_RS26160"	491.669371733018	-0.833677623164359	0.300331081978362	-2.77586195099322	0.00550555796988982	0.0945988267030053
"BCEN2424_RS26165"	51060.0047653463	-1.36094732280957	1.08651082165502	-1.25258515210785	0.210356721212049	0.430006968144992
"BCEN2424_RS30710"	66987.4090172819	-1.21274887425779	1.06614621242567	-1.13750708873089	0.255326362909191	0.471636261377206
"BCEN2424_RS30715"	491.669371733018	-0.833677623164359	0.300331081978362	-2.77586195099322	0.00550555796988982	0.0945988267030053
"BCEN2424_RS30720"	57.6812644097308	-0.985373754217232	0.317057943934576	-3.1078664738347	0.00188443187211351	NA
"BCEN2424_RS30725"	99097.244156862	-0.952967692351135	0.915271112750065	-1.04118624424604	0.297789118638779	0.513652407061437
"BCEN2424_RS30730"	0.0364313507131842	0.56916987558796	6.00631008342226	0.0947619865912183	0.924503881255639	NA
"Bcen2424_0001"	1754.53195702518	-0.378688221292142	0.142930863899711	-2.64945030737274	0.00806228277294193	0.102333631662337
"Bcen2424_0002"	8399.93322447976	-0.324069584287438	0.201455662312179	-1.60863974021864	0.107695139289369	0.299669618038905
"Bcen2424_0003"	11135.690336472	-0.526650030943931	0.227831325087634	-2.31157866786474	0.0208009133273477	0.145733167514996
"Bcen2424_0004"	114.431691852825	0.0980555897194165	0.165184131544373	0.593613858683976	0.552770409620242	NA
"Bcen2424_0005"	112.233089706265	-0.0638344072328102	0.175404645767017	-0.363926547975239	0.715912859616513	NA
"Bcen2424_0006"	23.143874602911	0.0231943627421022	0.340214145170432	0.0681757742038704	0.945645711477172	NA
"Bcen2424_0007"	54.2700908414726	-0.0650054973178629	0.335073089230631	-0.194003933491417	0.84617280193981	NA
"Bcen2424_0008"	16.9920653564258	0.375930895500162	0.369782654268835	1.0166266350256	0.309331078539421	NA
"BCEN2424_RS36745"	309721.285148309	-0.730017315409897	0.257805837295375	-2.83165549340723	0.00463077118463601	0.090816411313344
"Bcen2424_0009"	33.4051279451431	-0.148823160074139	0.269542284561321	-0.552132888226973	0.580857310596109	NA
"Bcen2424_0010"	98.2960013870058	-0.0873439927816453	0.171871410676052	-0.508193843514053	0.611317407971077	NA
"Bcen2424_0011"	49.9801383537423	0.216504751377719	0.266415240358712	0.812659032141736	0.416413575873633	NA
"Bcen2424_0012"	81.1395971366993	0.384189139914296	0.232729024608662	1.65080028397969	0.0987793621440162	NA
"Bcen2424_0014"	169.749919271237	-0.0826323145940498	0.177062282292142	-0.466685019103682	0.64072524946308	NA
"Bcen2424_0015"	234.935038374499	-0.0758342115043573	0.133938177204844	-0.566188170445065	0.571265870686634	0.747120735894481
"Bcen2424_0016"	382.53481869969	-0.269536924635364	0.144583069642506	-1.8642357317618	0.0622886075738358	0.22702993753325
"Bcen2424_0017"	378.711893587757	-0.297831823373116	0.193653943752264	-1.53795898809127	0.124058642777853	0.32242803801744
"Bcen2424_0018"	216.634902511371	0.0559295267548536	0.129092255883425	0.433252377318124	0.664831431217623	0.811331785882363
"Bcen2424_0019"	154.072226515272	0.408435474932628	0.173377215144103	2.35576211437677	0.0184847509170827	NA
"Bcen2424_0020"	438.658102936269	0.0250626058156436	0.219246521359423	0.114312444549836	0.908990117842267	0.947823995321033
"Bcen2424_0022"	319.089843522038	0.51291980760254	0.216331581478484	2.37098903496693	0.0177405573850683	0.139355136976502
"Bcen2424_0023"	551.158158976301	0.673932882440332	0.288166357513205	2.33869383038389	0.0193512846951049	0.144500860979009
"Bcen2424_0024"	88.0999489026171	2.4916981386661	0.81417585830183	3.06039305054214	0.00221046691238267	NA
"Bcen2424_0025"	52.2719071512341	1.82449352017828	0.654141602022559	2.78914154754426	0.00528479618190673	NA
"Bcen2424_0026"	115.821151508492	0.543259380641381	0.326711157345937	1.66281245199763	0.0963499832984919	NA
"Bcen2424_0027"	669.520086555716	0.0485882434735993	0.140464612106201	0.345910921939991	0.729409660255242	0.848017451606547
"Bcen2424_0028"	670.891464306537	-0.126886205937278	0.189535651493998	-0.669458251981138	0.503203203284045	0.698393722835736
"Bcen2424_0029"	13.567170764476	-0.430628598310363	0.414189077921508	-1.03969085923596	0.29848354869738	NA
"Bcen2424_0030"	19.9924084772498	0.786250399422303	0.438040343588644	1.79492690782988	0.0726653461719382	NA
"Bcen2424_0031"	34.0157347304041	0.367141679234285	0.263254546630302	1.39462616670349	0.163128600147526	NA
