"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS00045"	108540.676241725	2.39887782792091	0.932825616445603	2.57162516297686	0.010122241918851	0.172494095165077
"BCEN2424_RS00050"	53157.9040492512	2.94980075228434	1.09259788970178	2.69980454848718	0.0069380222560451	0.135423607430962
"BCEN2424_RS00095"	5.95267744096508	1.00298253476121	0.626184451701755	1.60173656825148	0.109213875098021	NA
"BCEN2424_RS00745"	188.991700800308	1.04773284430384	0.404497975972645	2.59020540655239	0.00959186795781189	0.168292446371671
"BCEN2424_RS01415"	6.15401250847583	0.277530631847461	0.589699390966146	0.470630690991156	0.637904486783656	NA
"BCEN2424_RS01610"	49210.2475604751	2.37511445006646	1.09862134322958	2.16190452215721	0.0306255363699575	0.323922732488674
"BCEN2424_RS01615"	492.233377556381	1.0561253821242	0.303331255002236	3.48175588472217	0.0004981375879324	0.0218198295559122
"BCEN2424_RS01620"	57.7341205348431	0.741076960935013	0.334250686976571	2.2171292081352	0.0266142633810635	0.302081602609881
"BCEN2424_RS01625"	108540.676241725	2.39887782792091	0.932825616445603	2.57162516297686	0.010122241918851	0.172494095165077
"BCEN2424_RS01630"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS01635"	139.322750890354	0.486860664543089	0.335390692493695	1.45162246728789	0.14660660813807	0.619072031648875
"BCEN2424_RS01640"	3444.53896386762	0.224729949017056	0.318423425585027	0.705758216764888	0.480338510258527	0.865795097430829
"BCEN2424_RS01645"	1136.98615969727	0.413343400541792	0.259787868327487	1.59108045807872	0.111591469821382	0.572216770230007
"BCEN2424_RS01655"	291.63866017563	0.106944110546455	0.196789117854396	0.543445245918438	0.586823280293252	0.902203706655634
"BCEN2424_RS02220"	1.63438758679466	0.365160631069735	0.923011303505879	0.395618807356685	0.69238626050967	NA
"BCEN2424_RS02700"	51142.405738372	2.67757086523511	1.10429687576076	2.42468390883613	0.0153217206602992	0.224766751195899
"BCEN2424_RS02705"	492.233377556381	1.0561253821242	0.303331255002236	3.48175588472217	0.0004981375879324	0.0218198295559122
"BCEN2424_RS02710"	57.7341205348431	0.741076960935013	0.334250686976571	2.2171292081352	0.0266142633810635	0.302081602609881
"BCEN2424_RS02715"	108540.676241725	2.39887782792091	0.932825616445603	2.57162516297686	0.010122241918851	0.172494095165077
"BCEN2424_RS02720"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS02890"	52.5052074499287	0.678203269597373	0.529649043527968	1.28047671922504	0.20037752735646	0.683113825648486
"BCEN2424_RS34380"	301448.812073588	0.775190627981609	0.268021853421813	2.89226650023054	0.00382473365447449	0.0907036290239298
"BCEN2424_RS03940"	35.1454208667713	-0.0551442742894362	0.426370103953394	-0.129334289102653	0.897093140494155	0.979343924952674
"BCEN2424_RS04540"	24.4975140623395	0.0596449480444559	0.321583706397701	0.185472543719903	0.852858413574575	0.971327003473065
"BCEN2424_RS04845"	290.926115072516	-0.0639636899800151	0.499632138008811	-0.128021568498236	0.898131904294862	0.979343924952674
"BCEN2424_RS04920"	5.9884815812081	0.602754796519215	0.612651397420866	0.983846277110746	0.325191101679959	NA
"BCEN2424_RS04960"	669.385873662808	0.555675721184442	0.336692976510207	1.65039296911973	0.0988625882061466	0.547394181169082
"BCEN2424_RS04965"	669.385873662808	0.555675721184442	0.336692976510207	1.65039296911973	0.0988625882061466	0.547394181169082
"BCEN2424_RS04970"	669.385873662808	0.555675721184442	0.336692976510207	1.65039296911973	0.0988625882061466	0.547394181169082
"BCEN2424_RS05030"	4.06589701104427	0.885325171589132	0.759107229272757	1.16627155881165	0.243504668474727	NA
"BCEN2424_RS34430"	2352838.13384569	0.356377724182194	0.132069462079021	2.69841126458866	0.0069671309289241	0.135423607430962
"BCEN2424_RS05455"	64.4518253813447	0.480352406509443	0.44131172424681	1.08846509194666	0.27638983906391	0.748354836268169
"BCEN2424_RS05460"	64.4518253813447	0.480352406509443	0.44131172424681	1.08846509194666	0.27638983906391	0.748354836268169
"BCEN2424_RS05690"	294.583564069096	0.647000314508679	0.274733993166851	2.35500640838334	0.0185223862625987	0.247107224662634
"BCEN2424_RS05695"	294.583564069096	0.647000314508679	0.274733993166851	2.35500640838334	0.0185223862625987	0.247107224662634
"BCEN2424_RS05700"	294.583564069096	0.647000314508679	0.274733993166851	2.35500640838334	0.0185223862625987	0.247107224662634
"BCEN2424_RS05705"	5.41872955854121	0.392696308821092	0.619501999604703	0.63389030071197	0.526152415900181	NA
"BCEN2424_RS06505"	14.2185072023137	-0.427854802658735	0.459744013203434	-0.930637029240468	0.352041353238881	NA
"BCEN2424_RS06555"	37.2341392797413	0.677672891054865	0.339707659375865	1.99487080244212	0.0460569727161945	0.397239369755122
"BCEN2424_RS07300"	5.95267744096508	1.00298253476121	0.626184451701755	1.60173656825148	0.109213875098021	NA
"BCEN2424_RS07355"	0.863600332259204	3.44761281600258	1.42154324057076	2.42526060242694	0.0152974012555337	NA
"BCEN2424_RS07650"	22.3875832367545	0.761293718785862	0.473405051841147	1.60812335192679	0.107808165760853	NA
"BCEN2424_RS07655"	22.3875832367545	0.761293718785862	0.473405051841147	1.60812335192679	0.107808165760853	NA
"BCEN2424_RS07665"	22.3875832367545	0.761293718785862	0.473405051841147	1.60812335192679	0.107808165760853	NA
"BCEN2424_RS07730"	0.0302934904296065	-0.862492002970379	6.00631008342226	-0.143597648305055	0.885818197791568	NA
"BCEN2424_RS07790"	3899.93001177735	0.620666243238829	0.446551546237364	1.38990951541553	0.164556355777068	0.645659569796064
"BCEN2424_RS34315"	38.8272658077631	0.793863554956396	0.337183734772158	2.35439457212498	0.0185529057745097	0.247107224662634
"BCEN2424_RS09510"	94.6674201473428	0.506903137022939	0.303188197480773	1.67190920106672	0.0945422281490572	0.537525282529374
"BCEN2424_RS09515"	416.105789505161	0.31118587307096	0.476371842426936	0.653241533936146	0.513600577865484	0.876672775610129
"BCEN2424_RS09590"	8.58340128431047	0.753378142475351	0.594059120493774	1.26818714920016	0.204731125103695	NA
"BCEN2424_RS10205"	94.6674201473428	0.506903137022939	0.303188197480773	1.67190920106672	0.0945422281490572	0.537525282529374
"BCEN2424_RS10210"	874.426378105654	0.134365725182298	0.262322562576244	0.512215662513761	0.608500082581126	0.905977572530873
"BCEN2424_RS10215"	105.570215572398	0.31975096887718	0.311416189032499	1.02676411868816	0.30453154889931	0.767739349081545
"BCEN2424_RS10220"	874.426378105654	0.134365725182298	0.262322562576244	0.512215662513761	0.608500082581126	0.905977572530873
"BCEN2424_RS10225"	94.6674201473428	0.506903137022939	0.303188197480773	1.67190920106672	0.0945422281490572	0.537525282529374
"BCEN2424_RS10230"	874.426378105654	0.134365725182298	0.262322562576244	0.512215662513761	0.608500082581126	0.905977572530873
"BCEN2424_RS10235"	378.00468817035	0.511912775176283	0.317031583534796	1.61470592131114	0.106374394644373	0.564546701952221
"BCEN2424_RS10330"	92.8607626407149	0.0791394932128779	0.383628088838881	0.206292228111888	0.836562649044052	0.967450186951248
"BCEN2424_RS10685"	0.319900008467917	-0.999116194147174	2.53109932331097	-0.394736067820608	0.693037681553152	NA
"BCEN2424_RS10775"	0.160671156273562	1.06107759702091	3.93851000318189	0.269410918383774	0.787613485024883	NA
"BCEN2424_RS10905"	7.96873695026595	1.25544531886529	0.558372223524333	2.2484021696874	0.0245505569660339	NA
"BCEN2424_RS11060"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS11065"	120878.120040172	2.3538338324164	0.932354859410731	2.52461153460827	0.0115826243930192	0.188596658964868
"BCEN2424_RS11070"	57.7341205348431	0.741076960935013	0.334250686976571	2.2171292081352	0.0266142633810635	0.302081602609881
"BCEN2424_RS11075"	492.233377556381	1.0561253821242	0.303331255002236	3.48175588472217	0.0004981375879324	0.0218198295559122
"BCEN2424_RS11080"	67061.2127563833	2.91925261694128	1.06596956422985	2.73858908818883	0.00617034403991286	0.126704084059482
"BCEN2424_RS11245"	187.767878455572	1.20151910439445	0.510204486938221	2.35497557382308	0.0185239232949467	0.247107224662634
"BCEN2424_RS11825"	23.9168265773279	-0.303245340321721	0.41904513148502	-0.723657948839721	0.469275755493731	0.86133316959669
"BCEN2424_RS11915"	0.0302934904296065	-0.862492002970379	6.00631008342226	-0.143597648305055	0.885818197791568	NA
"BCEN2424_RS34440"	59351.43955963	0.288945274423718	0.326268514258906	0.885605756596022	0.375830008459656	0.815368905692034
"BCEN2424_RS12390"	32.6755556144894	0.555905050364374	0.435723368392311	1.27582106145809	0.202018780612911	0.683625562492063
"BCEN2424_RS13285"	0.461233456945996	-0.862505946191288	1.93509212600442	-0.445718286277248	0.655800753830284	NA
"BCEN2424_RS14005"	289.574917223258	0.198530053286956	0.247677694562252	0.801566138758842	0.422803971404457	0.8440684057816
"BCEN2424_RS15585"	2.44492242698648	-0.6608726659199	0.774022671211163	-0.853815644554428	0.393207144768918	NA
"BCEN2424_RS15665"	0.197100161949481	0	3.78204200280038	0	1	NA
"BCEN2424_RS37005"	247.024169362804	0.423951582821107	0.247097182147121	1.71572811610894	0.0862118162355922	0.520543760757098
"BCEN2424_RS19265"	0.833722323080593	-0.294695505514693	1.36664510310859	-0.215634260017012	0.829272848357825	NA
"BCEN2424_RS19780"	178.354800435865	0.0414154717780903	0.205580343517976	0.201456379872568	0.840341733974231	0.968923671488759
"BCEN2424_RS24650"	187.767878455572	1.20151910439445	0.510204486938221	2.35497557382308	0.0185239232949467	0.247107224662634
"BCEN2424_RS37130"	16.0666382926929	-0.832176198413064	0.349305049195683	-2.3823766656945	0.0172012929246907	NA
"BCEN2424_RS26145"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS26150"	121757.057763255	2.38819853674211	0.922299496296805	2.58939590266627	0.00961444868270703	0.168292446371671
"BCEN2424_RS26155"	57.7341205348431	0.741076960935013	0.334250686976571	2.2171292081352	0.0266142633810635	0.302081602609881
"BCEN2424_RS26160"	492.233377556381	1.0561253821242	0.303331255002236	3.48175588472217	0.0004981375879324	0.0218198295559122
"BCEN2424_RS26165"	51119.9841603115	2.64573602333021	1.08633598530699	2.43546753409125	0.0148725591694467	0.222288097250378
"BCEN2424_RS30710"	67061.2127563833	2.91925261694128	1.06596956422985	2.73858908818883	0.00617034403991286	0.126704084059482
"BCEN2424_RS30715"	492.233377556381	1.0561253821242	0.303331255002236	3.48175588472217	0.0004981375879324	0.0218198295559122
"BCEN2424_RS30720"	57.7341205348431	0.741076960935013	0.334250686976571	2.2171292081352	0.0266142633810635	0.302081602609881
"BCEN2424_RS30725"	99210.0098158821	2.36925185504188	0.915027756339709	2.58926774475056	0.00961802792892501	0.168292446371671
"BCEN2424_RS30730"	0.0365656061014192	1.06106668670819	6.00631008342226	0.176658659305119	0.859776515149511	NA
"BCEN2424_RS00005"	1755.38046840766	-0.0868798024351728	0.142854764081485	-0.608168743925237	0.543075562474195	0.88493454145605
"BCEN2424_RS00010"	8404.14867693511	-0.0563526668225854	0.201606404330815	-0.279518237576007	0.779847143998833	0.954338121691444
"BCEN2424_RS00015"	11141.2428102889	-0.0478751570285343	0.227843157265566	-0.210123304132117	0.833571437409262	0.967450186951248
"BCEN2424_RS00020"	114.51546739685	0.118243646564037	0.159556290287175	0.741077937768661	0.458646185718802	0.855733722442809
"BCEN2424_RS00025"	112.279426030089	-0.0711519775806423	0.169883255933349	-0.418828666720148	0.675341352666221	0.927794158593696
"BCEN2424_RS34465"	23.1529821084137	-0.0567422562147368	0.322656496006513	-0.17585964304773	0.860404211336119	0.972661466741235
"BCEN2424_RS00030"	54.3289484487793	0.553274201344977	0.336875023960695	1.6423722804975	0.10051287591245	0.550828271520212
"BCEN2424_RS34470"	17.0004826125754	0.214882024966849	0.340116928626509	0.631788678777636	0.527524972350944	NA
"BCEN2424_RS36745"	310058.771714419	0.299911015922957	0.25763513619736	1.1640920580538	0.244386706805674	0.718903790592579
"BCEN2424_RS00055"	33.4272858099987	0.0544579728633678	0.262680504513723	0.207316385980684	0.835762777969975	0.967450186951248
"BCEN2424_RS00060"	98.3538173460028	0.00820310483646754	0.167095173531668	0.0490924104095257	0.960845651732137	0.993357543102036
"BCEN2424_RS00065"	49.9898677688525	-0.661304631166601	0.242504773917922	-2.72697572292092	0.00639177415871666	0.128725453886829
"BCEN2424_RS00070"	81.2029536459481	-0.181518138575652	0.217930988744832	-0.832915684093856	0.404892283464371	0.832814154480287
"BCEN2424_RS00075"	169.878866584567	-0.100685114515381	0.172990936636132	-0.582025373544058	0.560549589972483	0.889897511390721
"BCEN2424_RS00080"	235.082643201693	-0.0998681073307244	0.130586973656207	-0.764763165380066	0.444412585369608	0.851118902095276
"BCEN2424_RS00085"	382.832227484421	0.00858580792007458	0.143752810766466	0.0597261916083342	0.952373711080945	0.991725642112739
"BCEN2424_RS00090"	379.070959174031	0.304589736071495	0.19421177805095	1.56833812618506	0.116802242646126	0.57751188335366
"BCEN2424_RS00100"	216.831391399523	-0.000145597193035587	0.124196655399871	-0.00117231170651749	0.99906463080317	0.999694055060949
"BCEN2424_RS00105"	154.174307642535	0.120531499359355	0.166144417815897	0.725462227042231	0.46816850983128	0.86131934066207
