"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364261381045796	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108417.039324967	-3.40734251904941	0.933120471933372	-3.65155692275145	0.000260655308278219	0.00645641974871306
"BCEN2424_RS00050"	53094.5056749782	-4.20180521370293	1.09284161771097	-3.84484370434564	0.000120629299732266	0.00365770221487032
"BCEN2424_RS00095"	5.94461275011663	-1.09769218222647	0.642621169864315	-1.70814818076758	0.0876088508070208	NA
"BCEN2424_RS00745"	188.673930941216	-1.41794959127642	0.404023091125874	-3.50957562184152	0.000448822410177681	0.00909979248280481
"BCEN2424_RS01415"	6.14690100726549	-0.683562293387108	0.58809111144278	-1.16234080074787	0.245097059593677	NA
"BCEN2424_RS01610"	49149.4313278682	-3.79960300937022	1.09886768411745	-3.45774387971181	0.0005447189684146	0.0101194974554769
"BCEN2424_RS01615"	491.663646619144	-1.87746495071446	0.302351991962045	-6.20953392279996	5.31419774092403e-10	4.00538675444503e-07
"BCEN2424_RS01620"	57.6820648306588	-1.71403705944098	0.327813341135044	-5.22869829978908	1.70707671462489e-07	3.50385987908327e-05
"BCEN2424_RS01625"	108417.039324967	-3.40734251904941	0.933120471933372	-3.65155692275145	0.000260655308278219	0.00645641974871306
"BCEN2424_RS01630"	0.0364261381045796	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.213386703414	-1.11236452923329	0.334093988390867	-3.32949579425507	0.000870033781713971	0.0135807640009554
"BCEN2424_RS01640"	3442.29860733233	-1.1926092887298	0.318044180231973	-3.74982270658103	0.000176959637759966	0.00489591359276442
"BCEN2424_RS01645"	1136.24466512706	-0.611779635483883	0.259487842475036	-2.35764276911254	0.0183913817309456	0.0876539566508302
"BCEN2424_RS01655"	291.510433080119	-0.218334939917095	0.197618889563005	-1.1048282904529	0.269233999503953	0.457775888296119
"BCEN2424_RS02220"	1.63403593823059	-1.28646809555142	0.872456906331086	-1.47453482941795	0.140337647170269	NA
"BCEN2424_RS02700"	51079.5409334602	-4.00579767801231	1.10453664305205	-3.62667703530732	0.000287092008981864	0.00682009677250787
"BCEN2424_RS02705"	491.663646619144	-1.87746495071446	0.302351991962045	-6.20953392279996	5.31419774092403e-10	4.00538675444503e-07
"BCEN2424_RS02710"	57.6820648306588	-1.71403705944098	0.327813341135044	-5.22869829978908	1.70707671462489e-07	3.50385987908327e-05
"BCEN2424_RS02715"	108417.039324967	-3.40734251904941	0.933120471933372	-3.65155692275145	0.000260655308278219	0.00645641974871306
