"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108418.575663976	-2.99408921749166	0.933102237377972	-3.20874722785478	0.00133314639424133	0.0715161425208305
"BCEN2424_RS00050"	53095.6558538707	-3.95154824531652	1.09282118119676	-3.61591476566106	0.0002992888484036	0.0348351586959148
"BCEN2424_RS00095"	5.9447309034006	-0.574659336676054	0.653961722981283	-0.878735431266979	0.379544742901469	NA
"BCEN2424_RS00745"	188.684658476946	-0.74054881701368	0.40544370339818	-1.82651453409402	0.067772794017074	0.489057789278279
"BCEN2424_RS01415"	6.14697610170209	0.071028501387006	0.618478114537303	0.11484400129525	0.908568771775268	NA
"BCEN2424_RS01610"	49150.963866132	-3.55775513209931	1.09885195989976	-3.23770194888114	0.00120496623498495	0.0703907298873611
"BCEN2424_RS01615"	491.669371733018	-0.779875557221451	0.303622475280931	-2.56856992058925	0.0102119108504519	0.241038230291938
"BCEN2424_RS01620"	57.6812644097308	-0.707611421849472	0.335005124801075	-2.11224058816906	0.0346658188242538	0.396886797969093
"BCEN2424_RS01625"	108418.575663976	-2.99408921749166	0.933102237377972	-3.20874722785478	0.00133314639424133	0.0715161425208305
"BCEN2424_RS01630"	0.0364313507131842	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.209548968156	-0.0782652385069711	0.33741790430153	-0.231953424845619	0.816574188838417	0.953306305710462
"BCEN2424_RS01640"	3442.16879995629	-0.0819095136666601	0.318326869677719	-0.257312597424111	0.796937468447026	0.946321161044816
"BCEN2424_RS01645"	1136.20891737932	0.270975642091439	0.259936262574282	1.04246956314532	0.297194029710309	0.750449337009944
"BCEN2424_RS01655"	291.499764039455	0.337984157250286	0.198337032268576	1.70409001982347	0.0883642708530596	0.525730964351247
"BCEN2424_RS02220"	1.63386906734623	0.833685497481838	1.11846504097319	0.745383598897682	0.45603985595072	NA
"BCEN2424_RS02700"	51080.9872207125	-3.78143997641324	1.10451786681215	-3.42361141456877	0.000617949146887672	0.0520923105512712
"BCEN2424_RS02705"	491.669371733018	-0.779875557221451	0.303622475280931	-2.56856992058925	0.0102119108504519	0.241038230291938
"BCEN2424_RS02710"	57.6812644097308	-0.707611421849472	0.335005124801075	-2.11224058816906	0.0346658188242538	0.396886797969093
"BCEN2424_RS02715"	108418.575663976	-2.99408921749166	0.933102237377972	-3.20874722785478	0.00133314639424133	0.0715161425208305
"BCEN2424_RS02720"	0.0364313507131842	0	6.00631008342226	0	1	NA
"BCEN2424_RS02890"	52.4395763284917	-0.759444176378502	0.528967643380533	-1.43571007769972	0.151084856401473	0.609557294889891
"BCEN2424_RS34380"	301077.210127116	-0.685532173028593	0.26807665905861	-2.55722439781195	0.0105511129400902	0.245474100695791
"BCEN2424_RS03940"	35.1265201832364	-0.50166366824203	0.417656121218497	-1.20114046641635	0.229696718137544	0.693824378760338
"BCEN2424_RS04540"	24.4780569336125	0.451000971183014	0.335898066365229	1.34267212688456	0.17937816395753	0.647132257501387
"BCEN2424_RS04845"	290.695511046648	-0.697152925957911	0.498294548736382	-1.3990779705012	0.161789602989972	0.623094472771795
"BCEN2424_RS04920"	5.98174339049577	0.255828203370014	0.675189011839843	0.378898647465989	0.704763128617777	NA
"BCEN2424_RS04960"	668.611886869286	-0.219102475007483	0.337115267452674	-0.649933409017856	0.515735236635897	0.855943133007026
"BCEN2424_RS04965"	668.611886869286	-0.219102475007483	0.337115267452674	-0.649933409017856	0.515735236635897	0.855943133007026
"BCEN2424_RS04970"	668.611886869286	-0.219102475007483	0.337115267452674	-0.649933409017856	0.515735236635897	0.855943133007026
"BCEN2424_RS05030"	4.06222976564641	-1.12421175821403	0.743623049622571	-1.51180327019802	0.130583917250305	NA
"BCEN2424_RS34430"	2350568.99752413	-0.456248494307414	0.132093891364053	-3.45397118364835	0.000552396396900226	0.0512229287468481
"BCEN2424_RS05455"	64.3944779684545	-0.212017898939577	0.443756239619996	-0.477780096390613	0.632806728906392	0.894592642940538
"BCEN2424_RS05460"	64.3944779684545	-0.212017898939577	0.443756239619996	-0.477780096390613	0.632806728906392	0.894592642940538
"BCEN2424_RS05690"	294.317743008999	-0.460655839168111	0.275172464679791	-1.67406226383937	0.0941183631453058	0.533873773743492
"BCEN2424_RS05695"	294.317743008999	-0.460655839168111	0.275172464679791	-1.67406226383937	0.0941183631453058	0.533873773743492
"BCEN2424_RS05700"	294.317743008999	-0.460655839168111	0.275172464679791	-1.67406226383937	0.0941183631453058	0.533873773743492
"BCEN2424_RS05705"	5.41454253001788	-0.146186141819498	0.639318063058897	-0.228659489331574	0.819133583427626	NA
"BCEN2424_RS06505"	14.2084639721394	0.462762571514345	0.462860149056203	0.999789185692358	0.317412540398258	0.76009856229055
"BCEN2424_RS06555"	37.1994787889135	-0.264384095696098	0.34696212835551	-0.761996984942404	0.446061803656311	0.830975867648019
"BCEN2424_RS07300"	5.9447309034006	-0.574659336676054	0.653961722981283	-0.878735431266979	0.379544742901469	NA
"BCEN2424_RS07355"	0.861428335097561	-1.03384646039397	1.69396839440742	-0.610310359866913	0.541656235541197	NA
"BCEN2424_RS07650"	22.3626126545683	-0.648033577307991	0.477020311189292	-1.35850311214702	0.174304095738725	0.639213494598907
"BCEN2424_RS07655"	22.3626126545683	-0.648033577307991	0.477020311189292	-1.35850311214702	0.174304095738725	0.639213494598907
"BCEN2424_RS07665"	22.3626126545683	-0.648033577307991	0.477020311189292	-1.35850311214702	0.174304095738725	0.639213494598907
