"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108418.575663976	-3.69796551269537	0.933101913271902	-3.96308855452727	7.39863219435163e-05	0.00285263818778246
"BCEN2424_RS00050"	53095.6558538707	-4.77068558315586	1.09282025231502	-4.36548057473284	1.26843574700414e-05	0.000731171576144367
"BCEN2424_RS00095"	5.9447309034006	-1.04053900545883	0.658518429827031	-1.58012131221923	0.114079087475045	NA
"BCEN2424_RS00745"	188.684658476946	-1.68125988990696	0.404015694454514	-4.16137272136651	3.16340291819956e-05	0.00152209353634362
"BCEN2424_RS01415"	6.14697610170209	-0.358013708441949	0.627134908753339	-0.570871918378189	0.568086467656228	NA
"BCEN2424_RS01610"	49150.963866132	-4.4914191564703	1.09885054507821	-4.08737946810647	4.3627320734236e-05	0.00196549497656287
"BCEN2424_RS01615"	491.669371733018	-1.37072290343576	0.303543594298524	-4.5157365504729	6.30970682571698e-06	0.000432177801639109
"BCEN2424_RS01620"	57.6812644097308	-1.20302309770247	0.33565362205598	-3.58412070852562	0.000338215655308816	0.00890991649415351
"BCEN2424_RS01625"	108418.575663976	-3.69796551269537	0.933101913271902	-3.96308855452727	7.39863219435163e-05	0.00285263818778246
"BCEN2424_RS01630"	0.0364313507131842	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.209548968156	-0.0879193612164296	0.341208177095318	-0.257670733347838	0.796661034956053	0.930963181017024
"BCEN2424_RS01640"	3442.16879995629	-0.323955199610105	0.318411717516985	-1.01740979300746	0.308958525258034	0.645097232546815
"BCEN2424_RS01645"	1136.20891737932	0.324515674698175	0.260622119994277	1.24515783504984	0.213073738321887	0.547514009017752
"BCEN2424_RS01655"	291.499764039455	0.398590197627363	0.201479123232284	1.97832009209128	0.0478926078879686	0.253054585304813
"BCEN2424_RS02220"	1.63386906734623	1.77523591911383	1.39448491027748	1.27304060877976	0.203003632143087	NA
"BCEN2424_RS02700"	51080.9872207125	-4.68093868476266	1.10451663424805	-4.23799745483184	2.25522325300705e-05	0.00115174647184272
"BCEN2424_RS02705"	491.669371733018	-1.37072290343576	0.303543594298524	-4.5157365504729	6.30970682571698e-06	0.000432177801639109
"BCEN2424_RS02710"	57.6812644097308	-1.20302309770247	0.33565362205598	-3.58412070852562	0.000338215655308816	0.00890991649415351
"BCEN2424_RS02715"	108418.575663976	-3.69796551269537	0.933101913271902	-3.96308855452727	7.39863219435163e-05	0.00285263818778246
"BCEN2424_RS02720"	0.0364313507131842	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4395763284917	-1.6074681278246	0.525836957129467	-3.05697061804049	0.00223586191172932	0.0362595767411925
"BCEN2424_RS34380"	301077.210127116	-1.19326456399014	0.268076794570701	-4.45120423758066	8.53900798939585e-06	0.00052887345227939
"BCEN2424_RS03940"	35.1265201832364	-0.632675547467957	0.424295475919595	-1.49112018245476	0.135929944403202	0.442937196689307
"BCEN2424_RS04540"	24.4780569336125	0.386491570358858	0.352936456543535	1.09507409391465	0.273484177117236	NA
"BCEN2424_RS04845"	290.695511046648	-0.777668657604199	0.499097280116764	-1.55815046201467	0.119197584896193	0.415301220386377
"BCEN2424_RS04920"	5.98174339049577	-0.533872460429283	0.653758247487718	-0.816620612406597	0.414145271886909	NA
"BCEN2424_RS04960"	668.611886869286	-0.61363578360216	0.337317174209645	-1.81916555253953	0.068886176542756	0.309160764216158
"BCEN2424_RS04965"	668.611886869286	-0.61363578360216	0.337317174209645	-1.81916555253953	0.068886176542756	0.309160764216158
"BCEN2424_RS04970"	668.611886869286	-0.61363578360216	0.337317174209645	-1.81916555253953	0.068886176542756	0.309160764216158
"BCEN2424_RS05030"	4.06222976564641	-1.03801685401647	0.795304152860779	-1.30518223786791	0.19183080092002	NA
"BCEN2424_RS34430"	2350568.99752413	-0.876158900908688	0.13209399239339	-6.63284442413848	3.2927882402864e-11	1.19816332093421e-08
"BCEN2424_RS05455"	64.3944779684545	-0.414738370068205	0.447401528659659	-0.926993636590139	0.35392983820888	0.680989045199962
"BCEN2424_RS05460"	64.3944779684545	-0.414738370068205	0.447401528659659	-0.926993636590139	0.35392983820888	0.680989045199962
"BCEN2424_RS05690"	294.317743008999	-0.746636091368888	0.276095311203095	-2.70426936305218	0.00684547725837965	0.0801898764553045
"BCEN2424_RS05695"	294.317743008999	-0.746636091368888	0.276095311203095	-2.70426936305218	0.00684547725837965	0.0801898764553045
"BCEN2424_RS05700"	294.317743008999	-0.746636091368888	0.276095311203095	-2.70426936305218	0.00684547725837965	0.0801898764553045
