"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108417.039324967	0.290061704139678	0.933099702422475	0.310858210957127	0.755908414395138	0.874487131271228
"BCEN2424_RS00050"	53094.5056749782	0.568320306797357	1.09276798698344	0.520074081201984	0.60301194260003	0.783595503879038
"BCEN2424_RS00095"	5.94461275011663	-0.0578455664455702	0.610369514242133	-0.0947713886356109	0.92449641311962	NA
"BCEN2424_RS00745"	188.673930941216	0.262533885103687	0.399308421429513	0.657471445665541	0.51087782545915	0.719910294653851
"BCEN2424_RS01415"	6.14690100726549	-0.326200815202779	0.61344358224928	-0.53175357056751	0.594896683595261	NA
"BCEN2424_RS01610"	49149.4313278682	0.691261116474959	1.09880632433059	0.629101872794634	0.529282364478477	0.734566779527214
"BCEN2424_RS01615"	491.663646619144	-0.507449959657765	0.300632330943936	-1.68794207217985	0.0914223493637491	0.28433290029889
"BCEN2424_RS01620"	57.6820648306588	-0.5117247424993	0.318469958855585	-1.6068226476939	0.10809327863481	0.306910899359576
"BCEN2424_RS01625"	108417.039324967	0.290061704139678	0.933099702422475	0.310858210957127	0.755908414395138	0.874487131271228
"BCEN2424_RS01630"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.213386703414	-1.02515460487649	0.338142767114151	-3.03172122717744	0.00243163661461647	0.0451169166910092
"BCEN2424_RS01640"	3442.29860733233	-0.869362157160193	0.318136945574811	-2.73266644837312	0.00628239189119517	0.0751257188477339
"BCEN2424_RS01645"	1136.24466512706	-0.93699142291485	0.260484573785294	-3.59710906983372	0.000321773581122556	0.0147728549476088
"BCEN2424_RS01655"	291.510433080119	-0.617566057902027	0.20238531995795	-3.05143702137259	0.00227748820685199	0.0442368167023773
"BCEN2424_RS02220"	1.63403593823059	-3.0623297703975	1.3392488276884	-2.28660253948716	0.0222190328861182	NA
"BCEN2424_RS02700"	51079.5409334602	0.674575988830306	1.10446825325563	0.610769921943765	0.541351908462679	0.742301736884025
"BCEN2424_RS02705"	491.663646619144	-0.507449959657765	0.300632330943936	-1.68794207217985	0.0914223493637491	0.28433290029889
"BCEN2424_RS02710"	57.6820648306588	-0.5117247424993	0.318469958855585	-1.6068226476939	0.10809327863481	0.306910899359576
"BCEN2424_RS02715"	108417.039324967	0.290061704139678	0.933099702422475	0.310858210957127	0.755908414395138	0.874487131271228
"BCEN2424_RS02720"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4403257560337	-0.530794098058703	0.507383413217337	-1.04614002789906	0.295496386851668	NA
"BCEN2424_RS34380"	301063.553539327	0.268817727080753	0.267939648905322	1.00327714908569	0.315727158275495	0.553899847024228
"BCEN2424_RS03940"	35.128593393722	-0.396053204602583	0.415782680147798	-0.952548587309596	0.3408188370571	NA
"BCEN2424_RS04540"	24.4775422672597	-0.0328935742768978	0.374807504181284	-0.0877612478670868	0.930066438599142	NA
"BCEN2424_RS04845"	290.707586819257	-0.401964111722064	0.497492446971482	-0.807980330493551	0.419101905346851	0.647932049697387
"BCEN2424_RS04920"	5.98174165402909	-0.605736703646921	0.615249346294234	-0.984538557083223	0.32485078324657	NA
"BCEN2424_RS04960"	668.582130634971	-0.0958086759133166	0.336813836355959	-0.284455879098927	0.776061041390594	0.886188291101584
"BCEN2424_RS04965"	668.582130634971	-0.0958086759133166	0.336813836355959	-0.284455879098927	0.776061041390594	0.886188291101584
"BCEN2424_RS04970"	668.582130634971	-0.0958086759133166	0.336813836355959	-0.284455879098927	0.776061041390594	0.886188291101584
"BCEN2424_RS05030"	4.06240305055943	-0.706859440193448	0.677784422765964	-1.0428971461292	0.296995931534967	NA
"BCEN2424_RS34430"	2350536.70250936	0.248798887293328	0.132132910575918	1.88294412201251	0.0597079409458103	0.225914814086355
"BCEN2424_RS05455"	64.3969569226063	-0.799219985786187	0.441329055357195	-1.81093897191819	0.0701502990495135	0.248130856166911
"BCEN2424_RS05460"	64.3969569226063	-0.799219985786187	0.441329055357195	-1.81093897191819	0.0701502990495135	0.248130856166911
"BCEN2424_RS05690"	294.322948372925	-0.638028036288762	0.273277215924982	-2.33472825068559	0.0195576214679655	0.128942013170055
"BCEN2424_RS05695"	294.322948372925	-0.638028036288762	0.273277215924982	-2.33472825068559	0.0195576214679655	0.128942013170055
"BCEN2424_RS05700"	294.322948372925	-0.638028036288762	0.273277215924982	-2.33472825068559	0.0195576214679655	0.128942013170055
"BCEN2424_RS05705"	5.41464011184626	-0.947216372210218	0.679691188616148	-1.39359813408609	0.163438992304178	NA
"BCEN2424_RS06505"	14.2082740671046	0.426844778770645	0.470230337072377	0.907735518359261	0.364017973532986	NA
"BCEN2424_RS06555"	37.1997841585617	-0.993649708022114	0.355928639956584	-2.79171046236493	0.00524302483144738	NA
"BCEN2424_RS07300"	5.94461275011663	-0.0578455664455702	0.610369514242133	-0.0947713886356109	0.92449641311962	NA
"BCEN2424_RS07355"	0.861278343019522	1.14472824485785	1.7963762997302	0.637243012519024	0.523966564534499	NA
"BCEN2424_RS07650"	22.3628118427417	-0.513772882985488	0.446128552503171	-1.15162519884184	0.249475121931789	NA
"BCEN2424_RS07655"	22.3628118427417	-0.513772882985488	0.446128552503171	-1.15162519884184	0.249475121931789	NA
"BCEN2424_RS07665"	22.3628118427417	-0.513772882985488	0.446128552503171	-1.15162519884184	0.249475121931789	NA
"BCEN2424_RS07730"	0.0304455128042565	0	6.00631008342227	0	1	NA
"BCEN2424_RS07790"	3894.43017535455	-0.142466469572573	0.445816644435533	-0.319562922001165	0.749299685522481	0.872545270551404
"BCEN2424_RS34315"	38.7824462737395	-0.464914887406714	0.359886368955816	-1.29183800085463	0.196413252251803	NA
"BCEN2424_RS09510"	94.5966480861352	-0.816629133510524	0.308206151189165	-2.64961984165368	0.00805823872663118	0.0850830873353953
"BCEN2424_RS09515"	415.763042051938	-0.528510076238224	0.47430998087106	-1.11427146286828	0.265162745641722	0.501285265271425
"BCEN2424_RS09590"	8.56976424963246	0.513697043387326	0.547005273304024	0.939108027760849	0.347675283028832	NA
"BCEN2424_RS10205"	94.5966480861352	-0.816629133510524	0.308206151189165	-2.64961984165368	0.00805823872663118	0.0850830873353953
"BCEN2424_RS10210"	873.817127735331	-0.561739570345025	0.261746715003507	-2.14611889336414	0.0318634942793509	0.163352031489952
"BCEN2424_RS10215"	105.520291192902	-1.08992782156168	0.311813110991351	-3.49545218960311	0.000473259230418338	0.0185119581071779
"BCEN2424_RS10220"	873.817127735331	-0.561739570345025	0.261746715003507	-2.14611889336414	0.0318634942793509	0.163352031489952
"BCEN2424_RS10225"	94.5966480861352	-0.816629133510524	0.308206151189165	-2.64961984165368	0.00805823872663118	0.0850830873353953
"BCEN2424_RS10230"	873.817127735331	-0.561739570345025	0.261746715003507	-2.14611889336414	0.0318634942793509	0.163352031489952
"BCEN2424_RS10235"	377.676078740963	-0.665272496591751	0.316144919146824	-2.10432765576975	0.0353498752293706	0.172948675955684
"BCEN2424_RS10330"	92.7990567430467	-0.110279141600514	0.376722164093458	-0.292733351290569	0.769725975370281	0.883861314281819
"BCEN2424_RS10685"	0.32014629197924	-0.77886058830224	2.63683356232298	-0.295377227987073	0.767705727099283	NA
"BCEN2424_RS10775"	0.160347215784573	-0.778857180248295	3.96284561964211	-0.19653987437407	0.844187625977067	NA
"BCEN2424_RS10905"	7.96427557087557	-0.849302483309171	0.564055255484731	-1.50570795157171	0.13214216182452	NA
"BCEN2424_RS11060"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS11065"	120743.444020321	0.243857854218346	0.932633463332905	0.261472340212717	0.793728277091794	0.89621229705885
"BCEN2424_RS11070"	57.6820648306588	-0.5117247424993	0.318469958855585	-1.6068226476939	0.10809327863481	0.306910899359576
"BCEN2424_RS11075"	491.663646619144	-0.507449959657765	0.300632330943936	-1.68794207217985	0.0914223493637491	0.28433290029889
"BCEN2424_RS11080"	66986.6323918707	0.456260587802162	1.06616345828221	0.427946188042578	0.668690298721556	0.820817740755846
"BCEN2424_RS11245"	187.563244139895	-0.98467876012663	0.506291192257456	-1.94488621407008	0.0517886746090488	0.20935327424507
"BCEN2424_RS11825"	23.9082602405452	-0.792475915776937	0.430642968503532	-1.8402156165019	0.0657365881568539	NA
"BCEN2424_RS11915"	0.0304455128042565	0	6.00631008342227	0	1	NA
"BCEN2424_RS34440"	59287.5409136029	0.560930939671019	0.325775433924605	1.72183314411865	0.0850997486743472	0.275959817234256
"BCEN2424_RS12390"	32.6494654769991	-0.447268971390178	0.431124974144994	-1.03744621215043	0.299527950904177	NA
"BCEN2424_RS13285"	0.461496974883779	-1.63034007277223	1.8563353473307	-0.878257301471182	0.379804101835316	NA
