"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108417.039324967	3.69740422318909	0.933120256420368	3.96240912974395	7.41972509362525e-05	0.00301406874607476
"BCEN2424_RS00050"	53094.5056749782	4.77012552050029	1.09284024183443	4.36488824065739	1.27187767725363e-05	0.00079444488464154
"BCEN2424_RS00095"	5.94461275011663	1.0398466157809	0.658493459679917	1.57912975519354	0.114306297942221	NA
"BCEN2424_RS00745"	188.673930941216	1.68048347638011	0.403772841013267	4.1619527260995	3.15537683199153e-05	0.00162208708115388
"BCEN2424_RS01415"	6.14690100726549	0.357361478184329	0.627210862887807	0.569762896865281	0.568838523834039	NA
"BCEN2424_RS01610"	49149.4313278682	4.49086412584518	1.09886573499683	4.08681787302991	4.37330157193372e-05	0.00209954618441017
"BCEN2424_RS01615"	491.663646619144	1.37001499105669	0.303386878155972	4.51573581357188	6.30972876943434e-06	0.000476015771709663
"BCEN2424_RS01620"	57.6820648306588	1.20231231694168	0.335522790896564	3.58339984514594	0.000339150840854247	0.00924942363625502
"BCEN2424_RS01625"	108417.039324967	3.69740422318909	0.933120256420368	3.96240912974395	7.41972509362525e-05	0.00301406874607476
"BCEN2424_RS01630"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.213386703414	0.0872099243568073	0.341052937419002	0.255707882233148	0.798176408335458	0.931981257491593
"BCEN2424_RS01640"	3442.29860733233	0.323247131569607	0.318273171084061	1.01562796031033	0.309806584977485	0.646664194083439
"BCEN2424_RS01645"	1136.24466512706	-0.325211787430968	0.260574413880007	-1.24805725392795	0.212010090877784	0.547849918998687
"BCEN2424_RS01655"	291.510433080119	-0.399231117984932	0.201528961536753	-1.98101114073435	0.047590024234837	0.254558426132751
"BCEN2424_RS02220"	1.63403593823059	-1.77586167484608	1.39470822348413	-1.27328544059903	0.202916771230971	NA
"BCEN2424_RS02700"	51079.5409334602	4.68037366684261	1.10453482913518	4.23741609896288	2.26106869837921e-05	0.00123910830838536
"BCEN2424_RS02705"	491.663646619144	1.37001499105669	0.303386878155972	4.51573581357188	6.30972876943434e-06	0.000476015771709663
"BCEN2424_RS02710"	57.6820648306588	1.20231231694168	0.335522790896564	3.58339984514594	0.000339150840854247	0.00924942363625502
"BCEN2424_RS02715"	108417.039324967	3.69740422318909	0.933120256420368	3.96240912974395	7.41972509362525e-05	0.00301406874607476
"BCEN2424_RS02720"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4403257560337	1.60673652404409	0.525465136489565	3.05774144175976	0.00223011906165597	0.0370136046547415
"BCEN2424_RS34380"	301063.553539327	1.19260584273024	0.267941432090475	4.45099450811151	8.54735279786603e-06	0.000577343865148881
"BCEN2424_RS03940"	35.128593393722	0.631945564457394	0.42406845635747	1.49019705423384	0.136172430717998	0.444431164137142
"BCEN2424_RS04540"	24.4775422672597	-0.387144508874346	0.352897643289541	-1.09704475571322	0.272621827952407	NA
"BCEN2424_RS04845"	290.707586819257	0.777001362067181	0.498697777886692	1.5580606060846	0.119218881973144	0.417354162708711
"BCEN2424_RS04920"	5.98174165402909	0.533127068723587	0.653615977514541	0.815657950637729	0.414695795084624	NA
"BCEN2424_RS04960"	668.582130634971	0.612914871004741	0.337096920156077	1.8182155764608	0.0690311901894932	0.312066173476701
"BCEN2424_RS04965"	668.582130634971	0.612914871004741	0.337096920156077	1.8182155764608	0.0690311901894932	0.312066173476701
"BCEN2424_RS04970"	668.582130634971	0.612914871004741	0.337096920156077	1.8182155764608	0.0690311901894932	0.312066173476701
"BCEN2424_RS05030"	4.06240305055943	1.03739817720797	0.795480482653492	1.30411518551343	0.192194312032501	NA
"BCEN2424_RS34430"	2350536.70250936	0.875499891893753	0.132133043485592	6.62589666292837	3.45146570675907e-11	2.22772936561816e-08
"BCEN2424_RS05455"	64.3969569226063	0.41399727365142	0.447126705086687	0.925905943307849	0.354494862380429	0.68346014585824
"BCEN2424_RS05460"	64.3969569226063	0.41399727365142	0.447126705086687	0.925905943307849	0.354494862380429	0.68346014585824
"BCEN2424_RS05690"	294.322948372925	0.74593301056275	0.276028466851703	2.70237711012431	0.00688456288333518	0.0818903281588464
"BCEN2424_RS05695"	294.322948372925	0.74593301056275	0.276028466851703	2.70237711012431	0.00688456288333518	0.0818903281588464
"BCEN2424_RS05700"	294.322948372925	0.74593301056275	0.276028466851703	2.70237711012431	0.00688456288333518	0.0818903281588464
"BCEN2424_RS05705"	5.41464011184626	-0.0404351589089509	0.705586350163445	-0.057307172820994	0.954300506660331	NA
"BCEN2424_RS06505"	14.2082740671046	0.359109248809592	0.451692612301561	0.795030157743296	0.426595959662696	NA
"BCEN2424_RS06555"	37.1997841585617	0.051970986915779	0.365701528320918	0.142113124750664	0.886990651346618	0.968114435320374
"BCEN2424_RS07300"	5.94461275011663	1.0398466157809	0.658493459679917	1.57912975519354	0.114306297942221	NA
"BCEN2424_RS07355"	0.861278343019522	0.662285613733498	1.7963762997302	0.368678663725952	0.712367254031876	NA
"BCEN2424_RS07650"	22.3628118427417	1.15375155115628	0.477685536294081	2.41529513350387	0.0157224643254377	NA
"BCEN2424_RS07655"	22.3628118427417	1.15375155115628	0.477685536294081	2.41529513350387	0.0157224643254377	NA
"BCEN2424_RS07665"	22.3628118427417	1.15375155115628	0.477685536294081	2.41529513350387	0.0157224643254377	NA
"BCEN2424_RS07730"	0.0304455128042565	-0.299504608978626	6.00631008342227	-0.0498649927857163	0.96022997429183	NA
"BCEN2424_RS07790"	3894.43017535455	1.66835898580398	0.446072240266497	3.74010941547777	0.000183940168097232	0.00590336152749626
"BCEN2424_RS34315"	38.7824462737395	0.0880104286767944	0.361232265184446	0.243639445197001	0.807510075821705	0.934986252830034
"BCEN2424_RS09510"	94.5966480861352	0.123475169437994	0.311619627191816	0.396236817785515	0.6919303326703	0.885794655507843
"BCEN2424_RS09515"	415.763042051938	1.05376943905125	0.47570841199204	2.21515830388319	0.0267492007091637	0.185313183239878
"BCEN2424_RS09590"	8.56976424963246	1.56867493915306	0.583393074868687	2.6888816592589	0.00716918296519902	NA
"BCEN2424_RS10205"	94.5966480861352	0.123475169437994	0.311619627191816	0.396236817785515	0.6919303326703	0.885794655507843
"BCEN2424_RS10210"	873.817127735331	0.530588659180112	0.262342201198474	2.0225059359729	0.0431241109833938	0.240680554747177
"BCEN2424_RS10215"	105.520291192902	0.230711437479483	0.316942922870565	0.727927399009008	0.466658029922552	0.770337168462662
"BCEN2424_RS10220"	873.817127735331	0.530588659180112	0.262342201198474	2.0225059359729	0.0431241109833938	0.240680554747177
"BCEN2424_RS10225"	94.5966480861352	0.123475169437994	0.311619627191816	0.396236817785515	0.6919303326703	0.885794655507843
"BCEN2424_RS10230"	873.817127735331	0.530588659180112	0.262342201198474	2.0225059359729	0.0431241109833938	0.240680554747177
"BCEN2424_RS10235"	377.676078740963	0.60525303816726	0.317708679375584	1.90505666813009	0.0567727052560022	0.284304004165618
"BCEN2424_RS10330"	92.7990567430467	0.94108189229964	0.380927384066233	2.4705020737916	0.0134923536644701	0.12132110635504
"BCEN2424_RS10685"	0.32014629197924	-1.40009558992561	2.54404412627948	-0.550342494244851	0.582084483112051	NA
"BCEN2424_RS10775"	0.160347215784573	0	3.96284561964211	0	1	NA
"BCEN2424_RS10905"	7.96427557087557	0.660168849826378	0.627389548523831	1.05224712681248	0.292686182866024	NA
"BCEN2424_RS11060"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS11065"	120743.444020321	3.65618229141274	0.932651519817587	3.92020193365239	8.84748025112994e-05	0.00342633418525426
"BCEN2424_RS11070"	57.6820648306588	1.20231231694168	0.335522790896564	3.58339984514594	0.000339150840854247	0.00924942363625502
"BCEN2424_RS11075"	491.663646619144	1.37001499105669	0.303386878155972	4.51573581357188	6.30972876943434e-06	0.000476015771709663
"BCEN2424_RS11080"	66986.6323918707	4.57567073105362	1.06621583343541	4.29150514142202	1.77466093185639e-05	0.0010106867993288
"BCEN2424_RS11245"	187.563244139895	1.23981714105396	0.511318377649729	2.42474590245079	0.0153191047324524	0.130290892226671
"BCEN2424_RS11825"	23.9082602405452	-0.204248959771379	0.432600574420118	-0.472142137224773	0.636825337575257	NA
"BCEN2424_RS11915"	0.0304455128042565	-0.299504608978626	6.00631008342227	-0.0498649927857163	0.96022997429183	NA
"BCEN2424_RS34440"	59287.5409136029	1.12466241543907	0.32577685002052	3.45224780511024	0.000555936901710069	0.0131501789286741
"BCEN2424_RS12390"	32.6494654769991	0.712493746454769	0.442794800470924	1.609083362535	0.107598114696973	0.395593321692857
"BCEN2424_RS13285"	0.461496974883779	-0.299509447893931	1.94015302449725	-0.154374136530567	0.877314745247614	NA
"BCEN2424_RS14005"	289.373117230632	-0.0184153156517855	0.250560031606334	-0.0734966208845258	0.941410932948002	0.982687530906549
"BCEN2424_RS15585"	2.4427565527679	0.235959142083772	0.733210382977248	0.321816422082902	0.747591772579246	NA
"BCEN2424_RS15665"	0.197361672493483	1.62407162826601	3.80356586731298	0.426986592298277	0.66938909339425	NA
"BCEN2424_RS37005"	246.607925560675	0.835065337898791	0.24796969381499	3.367610473084	0.000758226418139376	0.0166208953319684
"BCEN2424_RS19265"	0.832529821841146	-1.21726397322947	1.60462100417798	-0.758599052399324	0.448092439722091	NA
"BCEN2424_RS19780"	178.280892135297	0.0300366701755666	0.209410241917829	0.143434580374311	0.885946974128299	0.967926645234397
"BCEN2424_RS24650"	187.563244139895	1.23981714105396	0.511318377649729	2.42474590245079	0.0153191047324524	0.130290892226671
"BCEN2424_RS37130"	16.0644417901916	-0.668190637343487	0.368152734297971	-1.81498213945812	0.0695266542810027	NA
"BCEN2424_RS26145"	0.0364261381045796	0	6.00631008342227	0	1	NA
"BCEN2424_RS26150"	121613.9657769	3.64700459926653	0.922574258464491	3.95307430898464	7.7153463718451e-05	0.00309092738441712
"BCEN2424_RS26155"	57.6820648306588	1.20231231694168	0.335522790896564	3.58339984514594	0.000339150840854247	0.00924942363625502
"BCEN2424_RS26160"	491.663646619144	1.37001499105669	0.303386878155972	4.51573581357188	6.30972876943434e-06	0.000476015771709663
"BCEN2424_RS26165"	51058.7651739739	4.57930903952948	1.08658511030533	4.21440437209996	2.50438234287174e-05	0.00135099305223571
"BCEN2424_RS30710"	66986.6323918707	4.57567073105362	1.06621583343541	4.29150514142202	1.77466093185639e-05	0.0010106867993288
"BCEN2424_RS30715"	491.663646619144	1.37001499105669	0.303386878155972	4.51573581357188	6.30972876943434e-06	0.000476015771709663
"BCEN2424_RS30720"	57.6820648306588	1.20231231694168	0.335522790896564	3.58339984514594	0.000339150840854247	0.00924942363625502
"BCEN2424_RS30725"	99095.9085162832	3.54852458406641	0.915305699188184	3.87687369063005	0.000105807250819787	0.00389009063298825
"BCEN2424_RS30730"	0.0364261381045796	0	6.00631008342227	0	1	NA
"Bcen2424_0001"	1754.5986513196	-0.0492659818171116	0.143457651410775	-0.34341829336132	0.731283799306096	0.904728902318349
"Bcen2424_0002"	8400.24913497892	-0.158616455907548	0.201591787130556	-0.786820029552215	0.431387226640415	0.749828964558399
"Bcen2424_0003"	11136.1065994631	-0.118861644331085	0.227890240853379	-0.521574087095544	0.60196690929802	0.850493452615993
