"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364261381045796	0	6.00631008342227	0	1	1
"BCEN2424_RS00045"	108417.039324967	0.553815945783872	0.93309957008255	0.593522881737987	0.552831274302458	0.936269893007263
"BCEN2424_RS00050"	53094.5056749782	0.62806251583159	1.09276698824064	0.574745140171899	0.565463673851547	0.938835686673294
"BCEN2424_RS00095"	5.94461275011663	-0.15493694760034	0.586775298064026	-0.264048176723749	0.791742795990296	0.976230303965788
"BCEN2424_RS00745"	188.673930941216	-0.124210597255476	0.397396792454875	-0.312560643703687	0.754614482698146	0.971672131654017
"BCEN2424_RS01415"	6.14690100726549	-0.77346692603289	0.574547336202502	-1.34621967120265	0.178231682894683	0.877891846909847
"BCEN2424_RS01610"	49149.4313278682	0.716359514204635	1.09880507961381	0.651944123207377	0.514437219410659	0.934673351406012
"BCEN2424_RS01615"	491.663646619144	0.00249049582450336	0.300862076686963	0.00827786556527242	0.993395294298259	1
"BCEN2424_RS01620"	57.6820648306588	0.160060211839253	0.32201266265007	0.497061856269886	0.619145431916525	0.945124442121002
"BCEN2424_RS01625"	108417.039324967	0.553815945783872	0.93309957008255	0.593522881737987	0.552831274302458	0.936269893007263
"BCEN2424_RS01630"	0.0364261381045796	0	6.00631008342227	0	1	1
"BCEN2424_RS01635"	139.213386703414	-0.739444392663372	0.338000418240145	-2.18770259668142	0.0286912728033173	0.842779002043518
"BCEN2424_RS01640"	3442.29860733233	-0.320478861726765	0.318172327212998	-1.0072493247102	0.313814975263907	0.892896657501054
"BCEN2424_RS01645"	1136.24466512706	-0.643580858803765	0.260463839098402	-2.47090291317031	0.0134772402296552	0.807329867524051
"BCEN2424_RS01655"	291.510433080119	-0.301491965254095	0.202357048060591	-1.48990098513307	0.136250272512156	0.877254836163817
"BCEN2424_RS02220"	1.63403593823059	-1.98418653314098	1.39162607649701	-1.42580436415474	0.153924820844458	0.877254836163817
"BCEN2424_RS02700"	51079.5409334602	0.669565506748931	1.10446695593384	0.606234078033424	0.544359326513022	0.93557241293377
"BCEN2424_RS02705"	491.663646619144	0.00249049582450336	0.300862076686963	0.00827786556527242	0.993395294298259	1
"BCEN2424_RS02710"	57.6820648306588	0.160060211839253	0.32201266265007	0.497061856269886	0.619145431916525	0.945124442121002
"BCEN2424_RS02715"	108417.039324967	0.553815945783872	0.93309957008255	0.593522881737987	0.552831274302458	0.936269893007263
"BCEN2424_RS02720"	0.0364261381045796	0	6.00631008342227	0	1	1
"BCEN2424_RS02890"	52.4403257560337	0.0304118089172672	0.508903851853904	0.0597594394431854	0.952347230446425	0.995875513443348
"BCEN2424_RS34380"	301063.553539327	0.00241485157969029	0.267937991557284	0.0090127255401704	0.992808982794331	1
"BCEN2424_RS03940"	35.128593393722	-0.173582298729985	0.41457199510958	-0.418702422685603	0.675433624890915	0.960524447260438
"BCEN2424_RS04540"	24.4775422672597	-0.57410213196325	0.35241219377665	-1.62906432325977	0.103299402793787	0.86206861488413
"BCEN2424_RS04845"	290.707586819257	-0.117778473115728	0.497437075552562	-0.236770596532029	0.812834763576483	0.980045239066285
"BCEN2424_RS04920"	5.98174165402909	-0.529645003383408	0.604742219490701	-0.875819458792644	0.38112818984803	0.911064210244701
"BCEN2424_RS04960"	668.582130634971	-0.211737056992801	0.336383373702487	-0.629451612492808	0.529053437474424	0.934673351406012
"BCEN2424_RS04965"	668.582130634971	-0.211737056992801	0.336383373702487	-0.629451612492808	0.529053437474424	0.934673351406012
"BCEN2424_RS04970"	668.582130634971	-0.211737056992801	0.336383373702487	-0.629451612492808	0.529053437474424	0.934673351406012
"BCEN2424_RS05030"	4.06240305055943	-0.424028115604722	0.676130412667819	-0.627139539444213	0.53056777095127	0.934764710357317
"BCEN2424_RS34430"	2350536.70250936	0.285435704563895	0.132132688636114	2.16022021129055	0.0307556262482011	0.85272454065577
"BCEN2424_RS05455"	64.3969569226063	-0.630851488282818	0.440425156948883	-1.43236933297168	0.15203815028558	0.877254836163817
"BCEN2424_RS05460"	64.3969569226063	-0.630851488282818	0.440425156948883	-1.43236933297168	0.15203815028558	0.877254836163817
"BCEN2424_RS05690"	294.322948372925	-0.305322559318057	0.273293238099935	-1.11719763518777	0.263909831519111	0.889060479572278
"BCEN2424_RS05695"	294.322948372925	-0.305322559318057	0.273293238099935	-1.11719763518777	0.263909831519111	0.889060479572278
"BCEN2424_RS05700"	294.322948372925	-0.305322559318057	0.273293238099935	-1.11719763518777	0.263909831519111	0.889060479572278
"BCEN2424_RS05705"	5.41464011184626	-0.861149930205484	0.668472853060371	-1.28823470730787	0.197664273743025	0.880419129835229
"BCEN2424_RS06505"	14.2082740671046	0.505806005089531	0.461434281714323	1.09616043959794	0.273008568721219	0.889060479572278
"BCEN2424_RS06555"	37.1997841585617	-0.689340054328392	0.355707413612262	-1.93794120658898	0.0526303958969551	0.86206861488413
"BCEN2424_RS07300"	5.94461275011663	-0.15493694760034	0.586775298064026	-0.264048176723749	0.791742795990296	0.976230303965788
