"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0364313507131842	0	6.00582262393133	0	1	NA
"BCEN2424_RS00045"	108418.575663976	-2.32709241946631	0.933090938081543	-2.49396101118597	0.0126326419601568	0.072481244003701
"BCEN2424_RS00050"	53095.6558538707	-2.24628234104447	1.09276627407323	-2.05559266820303	0.0398217951014462	0.145152149096826
"BCEN2424_RS00095"	5.9447309034006	0.036035616125819	0.584079722279678	0.0616963999112502	0.950804606964258	NA
"BCEN2424_RS00745"	188.684658476946	0.244152701474395	0.398707030160989	0.612361164978234	0.540298829869438	0.716070278304934
"BCEN2424_RS01415"	6.14697610170209	-0.303781860452858	0.587698794835059	-0.516900601332892	0.605225547837025	NA
"BCEN2424_RS01610"	49150.963866132	-1.96652454905701	1.09880717091806	-1.78969031246307	0.0735037106342366	0.213763720965583
"BCEN2424_RS01615"	491.669371733018	-0.6303219604089	0.300459422146036	-2.09786052275151	0.035917468211929	0.135053308503945
"BCEN2424_RS01620"	57.6812644097308	-0.820829924161034	0.318719650027232	-2.57539792131078	0.0100124822859	0.0634407920157663
"BCEN2424_RS01625"	108418.575663976	-2.32709241946631	0.933090938081543	-2.49396101118597	0.0126326419601568	0.072481244003701
"BCEN2424_RS01630"	0.0364313507131842	0	6.00582262393133	0	1	NA
"BCEN2424_RS01635"	139.209548968156	-0.998987447828596	0.335776516081066	-2.97515579555127	0.00292839781166107	0.0325810070854647
"BCEN2424_RS01640"	3442.16879995629	-0.936186504289992	0.318207030865876	-2.94206731303996	0.0032602904958986	0.0343890879189067
"BCEN2424_RS01645"	1136.20891737932	-0.664344551836636	0.259865772632283	-2.55649116506275	0.0105733756058716	0.0646560832736871
"BCEN2424_RS01655"	291.499764039455	-0.619904417999871	0.200619117798349	-3.08995685357845	0.00200185573703846	0.0257517338440628
"BCEN2424_RS02220"	1.63386906734623	-0.651895694666451	0.838227359254468	-0.777707488868243	0.436741476287477	NA
"BCEN2424_RS02700"	51080.9872207125	-2.12582993995784	1.10446782746715	-1.92475496985092	0.0542600199104859	0.17776274949772
"BCEN2424_RS02705"	491.669371733018	-0.6303219604089	0.300459422146036	-2.09786052275151	0.035917468211929	0.135053308503945
"BCEN2424_RS02710"	57.6812644097308	-0.820829924161034	0.318719650027232	-2.57539792131078	0.0100124822859	0.0634407920157663
"BCEN2424_RS02715"	108418.575663976	-2.32709241946631	0.933090938081543	-2.49396101118597	0.0126326419601568	0.072481244003701
"BCEN2424_RS02720"	0.0364313507131842	0	6.00582262393133	0	1	NA
"BCEN2424_RS02890"	52.4395763284917	-0.690951660232444	0.506413805252233	-1.36440131186451	0.172441295251772	0.358110304923135
"BCEN2424_RS34380"	301077.210127116	0.239459615719244	0.268074147183543	0.893258892120218	0.371718546619983	0.572229429741178
"BCEN2424_RS03940"	35.1265201832364	-0.725500411478079	0.416541180202423	-1.74172553869827	0.0815564814737584	0.227731084696533
"BCEN2424_RS04540"	24.4780569336125	0.409265623702994	0.351664642173661	1.16379520321775	0.244507016537115	NA
"BCEN2424_RS04845"	290.695511046648	-0.405285152209937	0.497339132750669	-0.814907023238646	0.415125532709388	0.612608442224261
"BCEN2424_RS04920"	5.98174339049577	-1.40880269935776	0.664245570701744	-2.12090642602166	0.0339296777908459	NA
"BCEN2424_RS04960"	668.611886869286	0.225070919074678	0.336332424031124	0.669191856012818	0.503373100634935	0.686170121577196
"BCEN2424_RS04965"	668.611886869286	0.225070919074678	0.336332424031124	0.669191856012818	0.503373100634935	0.686170121577196
"BCEN2424_RS04970"	668.611886869286	0.225070919074678	0.336332424031124	0.669191856012818	0.503373100634935	0.686170121577196
"BCEN2424_RS05030"	4.06222976564641	0.0747420767557653	0.582496850532459	0.128313271887125	0.897901062479355	NA
"BCEN2424_RS34430"	2350568.99752413	-0.0166387176767418	0.132093818541311	-0.125961364888079	0.899762507278213	0.95045184869827
"BCEN2424_RS05455"	64.3944779684545	-0.926606698924861	0.439591543283399	-2.10788108434445	0.0350412767975819	0.13412972018406
"BCEN2424_RS05460"	64.3944779684545	-0.926606698924861	0.439591543283399	-2.10788108434445	0.0350412767975819	0.13412972018406
"BCEN2424_RS05690"	294.317743008999	-0.653426725597947	0.272315935911315	-2.39951702940642	0.0164167161894023	0.0840621469061242
"BCEN2424_RS05695"	294.317743008999	-0.653426725597947	0.272315935911315	-2.39951702940642	0.0164167161894023	0.0840621469061242
"BCEN2424_RS05700"	294.317743008999	-0.653426725597947	0.272315935911315	-2.39951702940642	0.0164167161894023	0.0840621469061242
"BCEN2424_RS05705"	5.41454253001788	-0.622678576041401	0.619208776712344	-1.00560360165998	0.314606290681851	NA
"BCEN2424_RS06505"	14.2084639721394	0.0287299487015912	0.474042570867635	0.0606062629544159	0.951672785579272	NA
"BCEN2424_RS06555"	37.1994787889135	-0.361553404289608	0.333215653984557	-1.08504327442661	0.277902489332107	0.48242122601633
"BCEN2424_RS07300"	5.9447309034006	0.036035616125819	0.584079722279678	0.0616963999112502	0.950804606964258	NA
"BCEN2424_RS07355"	0.861428335097561	1.73673006605159	1.69903194845775	1.02218799807035	0.306691930139073	NA
"BCEN2424_RS07650"	22.3626126545683	-0.647612146450459	0.441881405967574	-1.46557908457905	0.142762992714951	NA
"BCEN2424_RS07655"	22.3626126545683	-0.647612146450459	0.441881405967574	-1.46557908457905	0.142762992714951	NA
"BCEN2424_RS07665"	22.3626126545683	-0.647612146450459	0.441881405967574	-1.46557908457905	0.142762992714951	NA
"BCEN2424_RS07730"	0.0304374376686802	0	6.00582262393133	0	1	NA
