"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.036347332845231	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108501.764492238	0.385779705018547	0.933216014394553	0.413387360555349	0.679322833519029	0.813963395117395
"BCEN2424_RS00050"	53151.516151612	0.221769801914769	1.09301316956409	0.202897648528073	0.839215032259268	0.909335121161567
"BCEN2424_RS00095"	5.94585674434967	0.500254395701009	0.604320111678815	0.827797033448534	0.407785455023165	NA
"BCEN2424_RS00745"	188.744437170424	0.654199566280471	0.399890518795365	1.63594667923408	0.101850747330994	0.265627337783637
"BCEN2424_RS01415"	6.14661755555937	0.731729670977291	0.603738515657519	1.21199766455247	0.22551327462637	NA
"BCEN2424_RS01610"	49204.4335802718	0.213250176535799	1.09898499580134	0.194042846217664	0.846142333010313	0.914584232848344
"BCEN2424_RS01615"	491.66277909059	1.07444429054017	0.299723712929995	3.58478239855224	0.000337359360361685	0.00858863987299083
"BCEN2424_RS01620"	57.669570993258	0.982893302599056	0.316088990989404	3.10954614244064	0.00187375015066043	0.0237079139637765
"BCEN2424_RS01625"	108501.764492238	0.385779705018547	0.933216014394553	0.413387360555349	0.679322833519029	0.813963395117395
"BCEN2424_RS01630"	0.036347332845231	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.179954692716	1.01126572193766	0.332639507769956	3.04012511537571	0.00236479887839524	0.0265974635884286
"BCEN2424_RS01640"	3441.03820868252	1.08724380371557	0.316200785492692	3.43846016075345	0.000585032614820577	0.0123007408976429
"BCEN2424_RS01645"	1136.05625780117	0.859985053518456	0.25765701896543	3.33771250234732	0.000844711018592293	0.0148187187586789
"BCEN2424_RS01655"	291.472859672781	0.533835394083927	0.195838793340956	2.72589196949615	0.00641279835317324	0.0496821573129093
"BCEN2424_RS02220"	1.63276993596804	2.09678597086784	1.04908205030391	1.99868634704065	0.0456423011473616	NA
"BCEN2424_RS02700"	51137.4414035981	0.195732966912663	1.10469637006765	0.177182592625588	0.859364968405631	0.922430227911375
