"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108510.421961146	3.40106848395654	0.933211393339673	3.64447809813506	0.000267934949841611	0.00634235059351102
"BCEN2424_RS00050"	53156.5758450498	4.19461559298938	1.09305588141368	3.83751248615429	0.000124286916737181	0.00370289296761808
"BCEN2424_RS00095"	5.94609874363835	1.09214460771327	0.642231923599672	1.7005455001238	0.0890283655173379	NA
"BCEN2424_RS00745"	188.757382939893	1.40927418640053	0.403481209854833	3.49278764903963	0.000478006463234168	0.0092808445895353
"BCEN2424_RS01415"	6.1470026897975	0.678126876610158	0.587736587927247	1.15379387729065	0.248584684958507	NA
"BCEN2424_RS01610"	49209.6819809107	3.79292777401117	1.09901472782683	3.45120741148868	0.000558084503561061	0.0101512633910896
"BCEN2424_RS01615"	491.674928108545	1.87150275909607	0.30147867858569	6.20774499833867	5.37502738200521e-10	3.98059170690214e-07
"BCEN2424_RS01620"	57.6698861463102	1.70742604016889	0.326285160515171	5.23292581701551	1.66847713406715e-07	3.20347609740892e-05
"BCEN2424_RS01625"	108510.421961146	3.40106848395654	0.933211393339673	3.64447809813506	0.000267934949841611	0.00634235059351102
"BCEN2424_RS01630"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.178937975024	1.10668375796245	0.332587884231265	3.32749270323065	0.000876312840717708	0.0136534505559457
"BCEN2424_RS01640"	3440.97425325178	1.18621214891393	0.316308232327414	3.75017792039656	0.000176709144321891	0.00487266066045045
"BCEN2424_RS01645"	1136.06042452095	0.606621080673224	0.257425202615332	2.35649452543966	0.0184483395744528	0.0903045423706965
"BCEN2424_RS01655"	291.474344501018	0.215367219258954	0.194130349423755	1.10939489831568	0.267259862249798	0.463834993606613
"BCEN2424_RS02220"	1.63259602609419	1.28039706909314	0.873763038945612	1.46538250306195	0.142816588416037	NA
"BCEN2424_RS02700"	51142.6904691235	3.99877096198535	1.10473030544058	3.619680696992	0.000294966771491395	0.00682637385451514
"BCEN2424_RS02705"	491.674928108545	1.87150275909607	0.30147867858569	6.20774499833867	5.37502738200521e-10	3.98059170690214e-07
"BCEN2424_RS02710"	57.6698861463102	1.70742604016889	0.326285160515171	5.23292581701551	1.66847713406715e-07	3.20347609740892e-05
"BCEN2424_RS02715"	108510.421961146	3.40106848395654	0.933211393339673	3.64447809813506	0.000267934949841611	0.00634235059351102
"BCEN2424_RS02720"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS02890"	52.4050957707308	2.13171324989336	0.518228330969067	4.11346335679322	3.89766934337826e-05	0.00172500621405013
"BCEN2424_RS34380"	301401.792239889	0.918524674642195	0.26965406905199	3.40630748822522	0.000658479710422799	0.0113407269728631
"BCEN2424_RS03940"	35.1284731870312	1.02092519800565	0.413879624769344	2.46672012079507	0.0136356890344845	0.0740182324133695
"BCEN2424_RS04540"	24.4843259640494	-0.358960356548854	0.342631357480949	-1.04765763177065	0.294796374453636	NA
"BCEN2424_RS04845"	290.636730842277	1.17280971061562	0.49532865148198	2.3677405034146	0.0178970837269477	0.0885290859165049
"BCEN2424_RS04920"	5.97918953024371	1.13423769606086	0.604902958088485	1.87507381290562	0.0607825696034254	NA
"BCEN2424_RS04960"	669.036690730828	0.700587019745802	0.336769167845404	2.08031817231977	0.0374963590749694	0.137753094914874
"BCEN2424_RS04965"	669.036690730828	0.700587019745802	0.336769167845404	2.08031817231977	0.0374963590749694	0.137753094914874
"BCEN2424_RS04970"	669.036690730828	0.700587019745802	0.336769167845404	2.08031817231977	0.0374963590749694	0.137753094914874
"BCEN2424_RS05030"	4.06487308602026	1.73842301242252	0.726350462653384	2.39336670354969	0.0166945462564606	NA
"BCEN2424_RS34430"	2352420.17077002	0.620548606696286	0.133866220286804	4.63558771859533	3.55924746719773e-06	0.000292875220157984
"BCEN2424_RS05455"	64.3634535408548	1.20702484504405	0.436427034601705	2.76569678169827	0.00568013230280919	0.0442129217083526
"BCEN2424_RS05460"	64.3634535408548	1.20702484504405	0.436427034601705	2.76569678169827	0.00568013230280919	0.0442129217083526
"BCEN2424_RS05690"	294.325192204271	1.3774504661272	0.272339565166702	5.05784190880986	4.24027724047393e-07	6.10599922628245e-05
"BCEN2424_RS05695"	294.325192204271	1.3774504661272	0.272339565166702	5.05784190880986	4.24027724047393e-07	6.10599922628245e-05
"BCEN2424_RS05700"	294.325192204271	1.3774504661272	0.272339565166702	5.05784190880986	4.24027724047393e-07	6.10599922628245e-05
"BCEN2424_RS05705"	5.41304356047177	0.901251404947447	0.611327494539865	1.47425301985771	0.140413479252629	NA
"BCEN2424_RS06505"	14.2243891153878	-0.0745014426829095	0.46296828405215	-0.160921266638035	0.872155412240773	NA
"BCEN2424_RS06555"	37.2082434370167	1.04044009819481	0.338343583477318	3.0750992452752	0.00210432517768794	0.0239065221009613
"BCEN2424_RS07300"	5.94609874363835	1.09214460771327	0.642231923599672	1.7005455001238	0.0890283655173379	NA
"BCEN2424_RS07355"	0.863118120896289	-0.487260143852524	1.79915524615737	-0.270827181196961	0.786523953293247	NA
"BCEN2424_RS07650"	22.3532514782165	1.66076635867529	0.46063241232576	3.6054049047265	0.000311666605186641	NA
"BCEN2424_RS07655"	22.3532514782165	1.66076635867529	0.46063241232576	3.6054049047265	0.000311666605186641	NA
"BCEN2424_RS07665"	22.3532514782165	1.66076635867529	0.46063241232576	3.6054049047265	0.000311666605186641	NA
"BCEN2424_RS07730"	0.0305743017657464	-0.487252143162806	6.00631008342226	-0.0811233746502112	0.935343836667167	NA
"BCEN2424_RS07790"	3894.23352792239	1.80199695219675	0.444633464146295	4.05276952254734	5.06148604577318e-05	0.00204990184853814
"BCEN2424_RS34315"	38.7782999598158	0.5470865811342	0.344355081125243	1.58872806333072	0.112121800296663	0.267715916141715
"BCEN2424_RS09510"	94.6016569574322	0.934035888879586	0.301280439355137	3.10022081379994	0.00193376420266322	0.0230451347738071
"BCEN2424_RS09515"	415.541964454119	1.57513642614755	0.472923554448397	3.33063644500586	0.00086647686802941	0.0135704413409802
"BCEN2424_RS09590"	8.5707158731908	1.04773354518185	0.597212549398415	1.75437295521881	0.0793666223169227	NA
