"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.036347332845231	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108501.764492238	-0.88389828273543	0.933214700067405	-0.947154264363374	0.343560176798245	0.555122521694414
"BCEN2424_RS00050"	53151.516151612	-1.05053596395825	1.09301092805153	-0.961139488176024	0.336482037114503	0.549162811619271
"BCEN2424_RS00095"	5.94585674434967	0.286310169772894	0.628184396278739	0.455774087145348	0.648552439784141	NA
"BCEN2424_RS00745"	188.744437170424	-0.133600487716105	0.398821233548316	-0.334988402015261	0.737633835130392	0.861396319576833
"BCEN2424_RS01415"	6.14661755555937	-0.302487794485106	0.564609838233715	-0.535746588177399	0.592133700750723	NA
"BCEN2424_RS01610"	49204.4335802718	-1.11665450660337	1.09898236915696	-1.01608045583112	0.30959107512539	0.526240641956722
"BCEN2424_RS01615"	491.66277909059	0.385833281332219	0.299393633941075	1.28871571600669	0.197496936729659	0.40431919256291
"BCEN2424_RS01620"	57.669570993258	0.540782828700552	0.317062186293794	1.70560493202256	0.0880816604918486	NA
"BCEN2424_RS01625"	108501.764492238	-0.88389828273543	0.933214700067405	-0.947154264363374	0.343560176798245	0.555122521694414
"BCEN2424_RS01630"	0.036347332845231	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.179954692716	0.503981683883966	0.332650675585845	1.51504782906688	0.129760292155494	0.328413470486665
"BCEN2424_RS01640"	3441.03820868252	0.737384320527407	0.316242651704769	2.33170420420013	0.0197162574994425	0.132497928362943
"BCEN2424_RS01645"	1136.05625780117	0.855641934408103	0.258215672899857	3.31367157074135	0.000920795953226333	0.0336650932816188
"BCEN2424_RS01655"	291.472859672781	0.465112355152089	0.198020424763312	2.34881000638203	0.0188335140964508	0.129361410628787
"BCEN2424_RS02220"	1.63276993596804	4.02719175504887	1.3395013923844	3.00648568037709	0.00264286501072988	NA
"BCEN2424_RS02700"	51137.4414035981	-1.11515258550013	1.10469392930427	-1.0094674696026	0.312750495138597	0.529628815094765
"BCEN2424_RS02705"	491.66277909059	0.385833281332219	0.299393633941075	1.28871571600669	0.197496936729659	0.40431919256291
"BCEN2424_RS02710"	57.669570993258	0.540782828700552	0.317062186293794	1.70560493202256	0.0880816604918486	NA
"BCEN2424_RS02715"	108501.764492238	-0.88389828273543	0.933214700067405	-0.947154264363374	0.343560176798245	0.555122521694414
"BCEN2424_RS02720"	0.036347332845231	0	6.00631008342226	0	1	NA
"BCEN2424_RS02890"	52.4042435665494	0.517689305174067	0.504596293515329	1.02594749867765	0.30491633184931	NA
"BCEN2424_RS34380"	301383.427047255	-0.337692777547369	0.269625795771137	-1.25244981319966	0.210406004778571	0.422188639223236
