"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS00045"	108510.421961146	-0.385918642674491	0.933190948260027	-0.413547348904372	0.679205639362874	0.813185157094338
"BCEN2424_RS00050"	53156.5758450498	-0.221906513026695	1.09298320668782	-0.203028291440232	0.839112919324644	0.909288684988893
"BCEN2424_RS00095"	5.94609874363835	-0.500587253534436	0.605057719529183	-0.827338016485372	0.408045501873026	NA
"BCEN2424_RS00745"	188.757382939893	-0.654474083390002	0.400234690482226	-1.63522577865865	0.102001726029458	0.265167697153226
"BCEN2424_RS01415"	6.1470026897975	-0.732263183532541	0.604268874717362	-1.21181681561051	0.225582509949119	NA
"BCEN2424_RS01610"	49209.6819809107	-0.21339033218463	1.09895477177293	-0.194175718296732	0.846038295002326	0.914901877153678
"BCEN2424_RS01615"	491.674928108545	-1.07466320130384	0.299839678086984	-3.58412605082933	0.000338208733682954	0.00836957750393096
"BCEN2424_RS01620"	57.6698861463102	-0.983141859126828	0.316241365172441	-3.10883384465134	0.00187827314251664	0.0234156100727192
"BCEN2424_RS01625"	108510.421961146	-0.385918642674491	0.933190948260027	-0.413547348904372	0.679205639362874	0.813185157094338
"BCEN2424_RS01630"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS01635"	139.178937975024	-1.01150914236485	0.332822613154748	-3.03918394479566	0.00237219964447223	0.0263866596353857
"BCEN2424_RS01640"	3440.97425325178	-1.08750142843699	0.316316620923983	-3.43801544560108	0.000585994272351275	0.0120243522219838
"BCEN2424_RS01645"	1136.06042452095	-0.860250748022694	0.257739244399492	-3.33767855192947	0.000844814227934322	0.0145661127098867
"BCEN2424_RS01655"	291.474344501018	-0.534132126039902	0.195796801790289	-2.72799208749074	0.00637211364803069	0.0493155924615792
"BCEN2424_RS02220"	1.63259602609419	-2.09732069086351	1.04988884553196	-1.99765975206721	0.0457535604753457	NA
"BCEN2424_RS02700"	51142.6904691235	-0.195870855885977	1.10466315845031	-0.177312744059244	0.859262741089263	0.922283872881737
"BCEN2424_RS02705"	491.674928108545	-1.07466320130384	0.299839678086984	-3.58412605082933	0.000338208733682954	0.00836957750393096
"BCEN2424_RS02710"	57.6698861463102	-0.983141859126828	0.316241365172441	-3.10883384465134	0.00187827314251664	0.0234156100727192
"BCEN2424_RS02715"	108510.421961146	-0.385918642674491	0.933190948260027	-0.413547348904372	0.679205639362874	0.813185157094338
"BCEN2424_RS02720"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS02890"	52.4050957707308	-1.35534191487648	0.508704896281401	-2.66429893791851	0.00771489701772088	0.0551227957920428
"BCEN2424_RS34380"	301401.792239889	-0.216203864345211	0.269651901011816	-0.801788763713322	0.422675159425219	0.624908966473286
"BCEN2424_RS03940"	35.1284731870312	-0.502429284062165	0.407683530909718	-1.23240024668406	0.217799608822773	0.417220114442562
"BCEN2424_RS04540"	24.4843259640494	-0.0742801331505105	0.356986012687246	-0.208075752300097	0.835169819661132	0.907403274951213
"BCEN2424_RS04845"	290.636730842277	-0.457504532677566	0.494282789304243	-0.925592682119385	0.354657697810982	0.560569157230845
"BCEN2424_RS04920"	5.97918953024371	-1.37344542063976	0.637823420076862	-2.15333174889416	0.0312926153112647	NA
"BCEN2424_RS04960"	669.036690730828	-0.465622973144131	0.3366392928781	-1.38315099572389	0.166618571944073	0.353727056638263
"BCEN2424_RS04965"	669.036690730828	-0.465622973144131	0.3366392928781	-1.38315099572389	0.166618571944073	0.353727056638263
"BCEN2424_RS04970"	669.036690730828	-0.465622973144131	0.3366392928781	-1.38315099572389	0.166618571944073	0.353727056638263
"BCEN2424_RS05030"	4.06487308602026	-0.598138089435044	0.616482696924985	-0.970243110501813	0.331925326695938	NA
"BCEN2424_RS34430"	2352420.17077002	-0.147379878144434	0.133865940231542	-1.10095127923889	0.270917862228884	0.476689775285855
"BCEN2424_RS05455"	64.3634535408548	-0.978408954946179	0.435507195742067	-2.24659653046387	0.0246658241165178	0.112074973881672
"BCEN2424_RS05460"	64.3634535408548	-0.978408954946179	0.435507195742067	-2.24659653046387	0.0246658241165178	0.112074973881672
"BCEN2424_RS05690"	294.325192204271	-0.900360416285327	0.271081535133159	-3.32136386878235	0.000895786690659976	0.0150223812102676
"BCEN2424_RS05695"	294.325192204271	-0.900360416285327	0.271081535133159	-3.32136386878235	0.000895786690659976	0.0150223812102676
"BCEN2424_RS05700"	294.325192204271	-0.900360416285327	0.271081535133159	-3.32136386878235	0.000895786690659976	0.0150223812102676
"BCEN2424_RS05705"	5.41304356047177	-0.738405717433476	0.610191213962869	-1.21012184465575	0.226232142065434	NA
"BCEN2424_RS06505"	14.2243891153878	-0.372264421862465	0.48277276687136	-0.771096564280019	0.440649696924183	0.639171820771729
"BCEN2424_RS06555"	37.2082434370167	-0.758884847087705	0.335352869279762	-2.26294424949327	0.0236391262002539	0.109656638512199
"BCEN2424_RS07300"	5.94609874363835	-0.500587253534436	0.605057719529183	-0.827338016485372	0.408045501873026	NA
"BCEN2424_RS07355"	0.863118120896289	1.5390055417372	1.69708481235319	0.90685246284374	0.364484822371512	NA
"BCEN2424_RS07650"	22.3532514782165	-0.995682470892888	0.443160024316187	-2.24677862681605	0.0246541783576334	0.112074973881672
"BCEN2424_RS07655"	22.3532514782165	-0.995682470892888	0.443160024316187	-2.24677862681605	0.0246541783576334	0.112074973881672
"BCEN2424_RS07665"	22.3532514782165	-0.995682470892888	0.443160024316187	-2.24677862681605	0.0246541783576334	0.112074973881672
"BCEN2424_RS07730"	0.0305743017657464	0	6.00631008342226	0	1	NA
"BCEN2424_RS07790"	3894.23352792239	-0.905567850147941	0.444459220385018	-2.0374599257126	0.0416039739078342	0.154567341206554
"BCEN2424_RS34315"	38.7782999598158	-0.562255356905701	0.347565322085897	-1.6176969368847	0.105727926460582	0.270578214186012
"BCEN2424_RS09510"	94.6016569574322	-0.77795802505266	0.301110603030497	-2.58362879693701	0.00977669555718329	0.0620841702452851
"BCEN2424_RS09515"	415.541964454119	-0.860969625371257	0.47205397521714	-1.82387962091669	0.0681702732333197	0.207863456088483
"BCEN2424_RS09590"	8.5707158731908	-0.851294234693985	0.593691185367436	-1.43390074785617	0.151600588431537	NA
"BCEN2424_RS10205"	94.6016569574322	-0.77795802505266	0.301110603030497	-2.58362879693701	0.00977669555718329	0.0620841702452851
"BCEN2424_RS10210"	873.74069330442	-0.824897362983084	0.259412563740469	-3.17986666138637	0.00147342833364093	0.0204225667590711
"BCEN2424_RS10215"	105.502589781669	-1.04594771648065	0.306043410756398	-3.41764494747837	0.000631654495921644	0.0126024907386996
"BCEN2424_RS10220"	873.74069330442	-0.824897362983084	0.259412563740469	-3.17986666138637	0.00147342833364093	0.0204225667590711
"BCEN2424_RS10225"	94.6016569574322	-0.77795802505266	0.301110603030497	-2.58362879693701	0.00977669555718329	0.0620841702452851
"BCEN2424_RS10230"	873.74069330442	-0.824897362983084	0.259412563740469	-3.17986666138637	0.00147342833364093	0.0204225667590711
"BCEN2424_RS10235"	377.745607105376	-0.889867894837994	0.315368542224151	-2.82167615248547	0.00477733928097626	0.0413605680091728
"BCEN2424_RS10330"	92.8317054049353	-0.130484414770814	0.371417332118449	-0.351314824288279	0.72535217469957	0.841355992620744
"BCEN2424_RS10685"	0.319447342779303	-0.330277014561431	2.65869991122854	-0.124225006803726	0.901137123025964	NA
"BCEN2424_RS10775"	0.16046940293582	-1.29206448658736	4.01015252644651	-0.322198339855239	0.747302442090338	NA
"BCEN2424_RS10905"	7.96734747843281	-0.0311807948543256	0.477820160971122	-0.0652563399395993	0.947969903891603	NA
"BCEN2424_RS11060"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS11065"	120837.90117767	-0.426144003316358	0.932654461883762	-0.456915203574579	0.647731995689266	0.79144367178307
"BCEN2424_RS11070"	57.6698861463102	-0.983141859126828	0.316241365172441	-3.10883384465134	0.00187827314251664	0.0234156100727192
"BCEN2424_RS11075"	491.674928108545	-1.07466320130384	0.299839678086984	-3.58412605082933	0.000338208733682954	0.00836957750393096
"BCEN2424_RS11080"	67058.7642471181	-0.237136412192701	1.06634574646455	-0.222382292965413	0.824016294900137	0.90294145883584
"BCEN2424_RS11245"	187.395395340592	-1.67381958076193	0.505661265550521	-3.31015977452736	0.000932427302611712	0.0152943718376332
"BCEN2424_RS11825"	23.8954963437879	-0.749047159323539	0.412464363579912	-1.81602879051736	0.069365955837972	0.210286068013537
"BCEN2424_RS11915"	0.0305743017657464	0	6.00631008342226	0	1	NA
"BCEN2424_RS34440"	59343.5687448479	0.323908147482507	0.324719866988722	0.997500246862804	0.318521754035166	0.526396226359063
"BCEN2424_RS12390"	32.6398664554556	-0.513135868332298	0.420748319954585	-1.21957912603831	0.222624463418827	0.422949804307398
"BCEN2424_RS13285"	0.461528157128437	0.236579281210028	1.67555583866735	0.141194507369084	0.887716285092029	NA
"BCEN2424_RS14005"	289.386020280489	-0.65101936740803	0.245435750836516	-2.65250423049278	0.0079897126678487	0.0561128906733442
"BCEN2424_RS15585"	2.44565533638591	-0.0341382073401539	0.947338818445954	-0.0360359004354486	0.971253733126396	NA
"BCEN2424_RS15665"	0.197938013428537	0.442667702344952	3.81084462145987	0.116159997668804	0.907525739315103	NA
"BCEN2424_RS37005"	246.791442899157	-0.338418452081165	0.252624479468178	-1.33961068536826	0.180371948069027	0.372027073264799
"BCEN2424_RS19265"	0.831910467160844	-1.1580906552468	1.77392976827098	-0.652839067228442	0.513860034663224	NA
"BCEN2424_RS19780"	178.293843646042	-0.331298292269304	0.202264968504067	-1.63794202584637	0.101433788048113	0.264583400920409
"BCEN2424_RS24650"	187.395395340592	-1.67381958076193	0.505661265550521	-3.31015977452736	0.000932427302611712	0.0152943718376332
"BCEN2424_RS37130"	16.0766163354604	-0.092289799435749	0.378229244942176	-0.244004927355256	0.807227003766792	0.89199611166313
"BCEN2424_RS26145"	0.0363476981507572	0	6.00631008342226	0	1	NA
"BCEN2424_RS26150"	121724.302755735	-0.386444274123385	0.922763742312799	-0.418790050370648	0.675369576978861	0.811176205944212
"BCEN2424_RS26155"	57.6698861463102	-0.983141859126828	0.316241365172441	-3.10883384465134	0.00187827314251664	0.0234156100727192
"BCEN2424_RS26160"	491.674928108545	-1.07466320130384	0.299839678086984	-3.58412605082933	0.000338208733682954	0.00836957750393096
"BCEN2424_RS26165"	51118.0075337356	-0.237260518407128	1.08668421939182	-0.218334373660008	0.827168594119821	0.904333354890954
"BCEN2424_RS30710"	67058.7642471181	-0.237136412192701	1.06634574646455	-0.222382292965413	0.824016294900137	0.90294145883584
"BCEN2424_RS30715"	491.674928108545	-1.07466320130384	0.299839678086984	-3.58412605082933	0.000338208733682954	0.00836957750393096
"BCEN2424_RS30720"	57.6698861463102	-0.983141859126828	0.316241365172441	-3.10883384465134	0.00187827314251664	0.0234156100727192
"BCEN2424_RS30725"	99182.4358058196	-0.386816839974636	0.915377687196831	-0.422576216773635	0.672604481929339	0.809821975945827
"BCEN2424_RS30730"	0.0363476981507572	0	6.00631008342226	0	1	NA
"Bcen2424_0001"	1754.66283470676	-0.420526977442818	0.138638800840521	-3.03325602135408	0.0024193025195059	0.0266498414461097
"Bcen2424_0002"	8399.59899373807	-0.538044158986844	0.198679013147753	-2.70810766805406	0.00676680657849258	0.0508126743587313
"Bcen2424_0003"	11133.1721256947	-0.730801765012314	0.224645301326665	-3.25313621382905	0.00114138769002676	0.017475875346324
"Bcen2424_0004"	114.530505778387	0.0398072544232433	0.166765655635584	0.238701753496715	0.811336856961775	0.894487249950592
"Bcen2424_0005"	112.331345866526	0.18499108933147	0.173979534758376	1.06329224059823	0.287649442910626	0.493954307085378
"Bcen2424_0006"	23.1669084767032	0.263793647213386	0.335069051467434	0.787281445594878	0.431117128783355	0.632202788546496
