"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0365656061014192	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108540.676241725	-0.715638242184619	0.932803299997331	-0.767190941741594	0.442967997768865	0.748569152374765
"BCEN2424_RS00050"	53157.9040492512	-0.830894564687872	1.09251898610948	-0.760531007014107	0.446937242241083	0.752352089673211
"BCEN2424_RS00095"	5.95267744096508	-0.477866972944862	0.621883763783099	-0.768418474278631	0.442238608217842	NA
"BCEN2424_RS00745"	188.991700800308	-0.952999777346917	0.401059082882383	-2.37620794048043	0.0174916024234672	0.142703356887435
"BCEN2424_RS01415"	6.15401250847583	-0.440912863826735	0.642250016231932	-0.686512810717486	0.492389788735779	NA
"BCEN2424_RS01610"	49210.2475604751	-0.945416943096321	1.09855254710652	-0.860602385918144	0.389457071418507	0.715102654016596
"BCEN2424_RS01615"	492.233377556381	-0.603045037802462	0.302154765936211	-1.99581507819001	0.0459540549520788	0.255959168492552
"BCEN2424_RS01620"	57.7341205348431	-0.507625166716266	0.325939420280008	-1.55742182482922	0.119370367774005	0.419498105079521
"BCEN2424_RS01625"	108540.676241725	-0.715638242184619	0.932803299997331	-0.767190941741594	0.442967997768865	0.748569152374765
"BCEN2424_RS01630"	0.0365656061014192	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.322750890354	-0.0218473923718333	0.34162357192262	-0.0639516537131162	0.94900872270455	0.982928930396443
"BCEN2424_RS01640"	3444.53896386762	-0.254309287032337	0.318556431358758	-0.798317855168128	0.42468605906917	0.736108282193725
"BCEN2424_RS01645"	1136.98615969727	0.0413939060006415	0.261298577548843	0.158416116876503	0.874128914704964	0.958113033078237
"BCEN2424_RS01655"	291.63866017563	0.0485138310309259	0.203242560930486	0.238699172106569	0.811338858763749	0.935425898355813
"BCEN2424_RS02220"	1.63438758679466	0.92952539347895	1.51042873845085	0.615404997148231	0.538287292093982	NA
"BCEN2424_RS02700"	51142.405738372	-0.911255663778145	1.10422213210907	-0.825246693831104	0.409231548692029	0.727968079657832
"BCEN2424_RS02705"	492.233377556381	-0.603045037802462	0.302154765936211	-1.99581507819001	0.0459540549520788	0.255959168492552
"BCEN2424_RS02710"	57.7341205348431	-0.507625166716266	0.325939420280008	-1.55742182482922	0.119370367774005	0.419498105079521
"BCEN2424_RS02715"	108540.676241725	-0.715638242184619	0.932803299997331	-0.767190941741594	0.442967997768865	0.748569152374765
"BCEN2424_RS02720"	0.0365656061014192	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.5052074499287	-0.860253568723225	0.516512514385528	-1.6655038256849	0.0958122810139601	0.377883636319058
"BCEN2424_RS34380"	301448.812073588	-0.519715058225871	0.268020160185031	-1.93908942471745	0.0524904501885132	0.276154273697328
"BCEN2424_RS03940"	35.1454208667713	-0.143083425701026	0.418102362004486	-0.342221041314018	0.732184551496803	0.902739866815101
"BCEN2424_RS04540"	24.4975140623395	-0.0765778799167544	0.367020098257178	-0.208647647037288	0.834723312122535	0.943628670708565
"BCEN2424_RS04845"	290.926115072516	-0.0929066237670957	0.498017382842041	-0.186552973787591	0.852011140810036	0.949435631716768
"BCEN2424_RS04920"	5.9884815812081	-0.801621708391972	0.683788805445046	-1.17232353324391	0.241067186805629	NA
"BCEN2424_RS04960"	669.385873662808	-0.406748342876007	0.337161926128905	-1.20638871519703	0.227667645168919	0.56526438580292
"BCEN2424_RS04965"	669.385873662808	-0.406748342876007	0.337161926128905	-1.20638871519703	0.227667645168919	0.56526438580292
"BCEN2424_RS04970"	669.385873662808	-0.406748342876007	0.337161926128905	-1.20638871519703	0.227667645168919	0.56526438580292
"BCEN2424_RS05030"	4.06589701104427	0.0743747471142653	0.695865302881995	0.106880953549825	0.914883423491504	NA
"BCEN2424_RS34430"	2352838.13384569	-0.431981568133617	0.132069225202666	-3.27087228285562	0.00107216319409133	0.017917845921594
"BCEN2424_RS05455"	64.4518253813447	-0.215006612363524	0.446592185650021	-0.481438366528018	0.630204974195544	0.855786994946519
"BCEN2424_RS05460"	64.4518253813447	-0.215006612363524	0.446592185650021	-0.481438366528018	0.630204974195544	0.855786994946519
"BCEN2424_RS05690"	294.583564069096	-0.298135360091321	0.27505578440112	-1.08390870870232	0.278405277932187	0.616160717097981
"BCEN2424_RS05695"	294.583564069096	-0.298135360091321	0.27505578440112	-1.08390870870232	0.278405277932187	0.616160717097981
"BCEN2424_RS05700"	294.583564069096	-0.298135360091321	0.27505578440112	-1.08390870870232	0.278405277932187	0.616160717097981
"BCEN2424_RS05705"	5.41872955854121	0.174089898225098	0.703899212207573	0.247322195004475	0.804658883106736	NA
"BCEN2424_RS06505"	14.2185072023137	-0.834519564255632	0.47162755525971	-1.76944615501969	0.0768194489847663	0.337530347448567
"BCEN2424_RS06555"	37.2341392797413	0.199608809805036	0.363342611550748	0.549368016465518	0.582752918630885	0.828798814009967
"BCEN2424_RS07300"	5.95267744096508	-0.477866972944862	0.621883763783099	-0.768418474278631	0.442238608217842	NA
"BCEN2424_RS07355"	0.863600332259204	0.358647591471746	1.69166093732217	0.212009146489763	0.832099898654573	NA
"BCEN2424_RS07650"	22.3875832367545	-0.518763973963976	0.461026171193378	-1.12523758167816	0.260488371709547	0.601370060421579
"BCEN2424_RS07655"	22.3875832367545	-0.518763973963976	0.461026171193378	-1.12523758167816	0.260488371709547	0.601370060421579
"BCEN2424_RS07665"	22.3875832367545	-0.518763973963976	0.461026171193378	-1.12523758167816	0.260488371709547	0.601370060421579
"BCEN2424_RS07730"	0.0302934904296065	0	6.00631008342227	0	1	NA
"BCEN2424_RS07790"	3899.93001177735	-0.79993090973103	0.446296302096753	-1.79237628896511	0.0730727103292934	0.331029292781328
"BCEN2424_RS34315"	38.8272658077631	-0.133348501396703	0.364543123025962	-0.365796233624756	0.714517130533755	0.893243476715083
"BCEN2424_RS09510"	94.6674201473428	0.00335069674993562	0.311854749238904	0.0107444146934211	0.991427362342618	0.996938185451427
"BCEN2424_RS09515"	416.105789505161	-0.368905705008873	0.475265665890973	-0.77620945817176	0.437625322456913	0.745195855431531
"BCEN2424_RS09590"	8.58340128431047	-1.40149931737817	0.579536840443376	-2.41830927660431	0.0155928173883387	0.131889247076365
"BCEN2424_RS10205"	94.6674201473428	0.00335069674993562	0.311854749238904	0.0107444146934211	0.991427362342618	0.996938185451427
"BCEN2424_RS10210"	874.426378105654	-0.298941210971011	0.26239888144845	-1.13926252017862	0.254593675872353	0.596882780328414
"BCEN2424_RS10215"	105.570215572398	0.00797765198469368	0.316168785609579	0.0252322567811766	0.979869707950792	0.993690967422328
"BCEN2424_RS10220"	874.426378105654	-0.298941210971011	0.26239888144845	-1.13926252017862	0.254593675872353	0.596882780328414
"BCEN2424_RS10225"	94.6674201473428	0.00335069674993562	0.311854749238904	0.0107444146934211	0.991427362342618	0.996938185451427
"BCEN2424_RS10230"	874.426378105654	-0.298941210971011	0.26239888144845	-1.13926252017862	0.254593675872353	0.596882780328414
"BCEN2424_RS10235"	378.00468817035	-0.259715478583709	0.317558926893906	-0.81784971729193	0.41344300506707	0.730657172211276
"BCEN2424_RS10330"	92.8607626407149	-0.0565301125474106	0.375961560255942	-0.150361415962118	0.880479480740873	0.960490121936686
"BCEN2424_RS10685"	0.319900008467917	0.413389998708782	2.62410669925217	0.157535514400612	0.874822820869388	NA
"BCEN2424_RS10775"	0.160671156273562	0	3.93851000318189	0	1	NA
"BCEN2424_RS10905"	7.96873695026595	0.782450886837451	0.551693580061719	1.41827078493449	0.156111722755632	0.479947933389474
"BCEN2424_RS11060"	0.0365656061014192	0	6.00631008342227	0	1	NA
