"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1754.61997646276	-0.120086749956706	0.138784632163637	-0.865274116338154	0.386888353923446	0.703819611378346
"Bcen2424_0002"	8399.42442064214	-0.178307369261271	0.198725924741718	-0.897252683528912	0.369584098631026	0.693646414317494
"Bcen2424_0003"	11133.1039802008	-0.31718257693065	0.224674119830288	-1.4117450517676	0.158025042904606	0.475794759764899
"Bcen2424_0004"	114.524274861248	-0.157329186246576	0.160677483014674	-0.979161381512355	0.327500246761764	0.662482911429768
"Bcen2424_0005"	112.328772288954	0.0533283058725599	0.168974797265863	0.315599170618645	0.75230676728365	0.899128462871019
"Bcen2424_0006"	23.1653915145892	0.640017257033224	0.337653019366437	1.89548803157198	0.0580277758627308	NA
"Bcen2424_0007"	54.318558406825	-0.423896346262087	0.336241431333374	-1.26069040504947	0.207420412236434	0.538913127924255
"Bcen2424_0008"	17.0141323863039	0.434154158966103	0.335147660681201	1.29541157495674	0.195178287160176	NA
"Bcen2424_0009"	33.4206811835376	-0.199841281952323	0.269690188558498	-0.741003160035152	0.458691524295824	0.744241155315786
"Bcen2424_0010"	98.3279251239596	-0.122304304957689	0.168292682238052	-0.726735728085242	0.467387862204264	0.749997841205836
"Bcen2424_0011"	50.0250124037586	0.220220320179648	0.251913113564004	0.874191569720311	0.382013936269249	0.702285238257538
"Bcen2424_0012"	81.2139687671233	-0.333277346653855	0.224316663335855	-1.48574493618809	0.137346599827984	0.444341370326108
"Bcen2424_0014"	169.897703858415	-0.0497573052131356	0.176504299424295	-0.281904210693049	0.778016960764628	0.909705329790847
"Bcen2424_0015"	235.094778895892	-0.130549824669059	0.132960182637575	-0.981871580493486	0.326163118257007	0.662482911429768
"Bcen2424_0016"	382.796890570162	-0.123877973121393	0.144107650804818	-0.859621070980992	0.389997956041061	0.704985917537823
"Bcen2424_0017"	378.916328661882	-0.515332631262522	0.193461618133361	-2.66374610237821	0.00772758634531023	0.0871757970328238
"Bcen2424_0018"	216.768367094703	-0.276951165540288	0.127092460672178	-2.17913135110866	0.0293219118597214	0.200046353341095
"Bcen2424_0019"	154.223948066983	0.193591516882164	0.171851953738695	1.12650169329192	0.25995322425885	0.604548386800045
"Bcen2424_0020"	439.116907185514	-0.0022600238255473	0.21931752035584	-0.0103048029262798	0.991778102355727	0.995565683422581
"Bcen2424_0022"	319.327481665556	-0.0354451334755519	0.214789974292758	-0.165022290226825	0.868926437518913	0.948296923819166
"Bcen2424_0023"	551.675169219508	0.106825478342737	0.286995690051686	0.372219799968071	0.70972920529811	0.878927310306753
"Bcen2424_0024"	88.1959071268782	-1.00514381261435	0.796758463446268	-1.26154143159866	0.20711384248265	0.538741944547892
"Bcen2424_0025"	52.3303343330566	-0.481142382953736	0.701100656536177	-0.686267197824125	0.492544629880613	0.765639742594104
"Bcen2424_0026"	115.844087052016	-1.11577310825026	0.321022071945759	-3.47568969786846	0.000509541483697785	0.0142481892542514
"Bcen2424_0027"	669.862133716084	-0.238033229261814	0.139898188007572	-1.70147471280279	0.0888538822809998	0.360420416011741
"Bcen2424_0028"	670.939301520886	0.0778622877507328	0.187560465947673	0.415131660914382	0.678045523133225	0.864956397746024
"Bcen2424_0029"	13.5789025731954	-0.476280738529707	0.347073783637508	-1.37227517889149	0.169977789522354	NA
"Bcen2424_0030"	20.0288359833475	0.238601387997807	0.408531304344151	0.584046768168362	0.559188847228053	NA
"Bcen2424_0031"	34.0643206257045	0.348630141175855	0.236925857445919	1.47147358643804	0.141163085637734	0.450573370490326
"Bcen2424_0032"	10.8961014495847	-0.636883752535335	0.443461966177661	-1.43616319123112	0.150955910317589	NA
"Bcen2424_0033"	11.8436437770414	0.543772626284014	0.40736104852352	1.33486652259689	0.18192003637175	NA
"Bcen2424_0034"	44.7698968537539	0.782489724114381	0.282633172128627	2.76857000974488	0.00563028877005036	0.0699726431776708
"Bcen2424_0035"	20.8962116795942	0.553458057105219	0.436366511831821	1.26833302304033	0.204679048855052	NA
"Bcen2424_0036"	88.1481260866631	0.319506419165061	0.692839013797204	0.461155351824026	0.644687151909097	0.851800754715167
"Bcen2424_0037"	136.698620406039	0.500335102689323	0.499718313571849	1.00123427359119	0.316713560338367	0.655130648339918
"Bcen2424_0038"	219.465616387351	0.755357447074616	0.549102890937077	1.37562096201233	0.168939013421245	0.487944494249082
"Bcen2424_0039"	1460.13801570752	0.540745918983834	0.752378237662498	0.71871552354283	0.47231621654706	0.754471695651137
"Bcen2424_0040"	753.113905221234	0.441946454382578	0.724548492913669	0.609961180935389	0.541887522758608	0.797902614892347
"Bcen2424_0041"	757.461414098089	0.481129796735062	0.559831231440182	0.859419356610994	0.39010919423959	0.704985917537823
"Bcen2424_0042"	781.487439783877	-0.249532964882389	0.276252794950696	-0.903277611822619	0.366378575596076	0.691084381739711
"Bcen2424_0043"	1308.49373762288	-0.698462166934953	0.38616074250476	-1.808734265437	0.0704922969092552	0.316146354294052
"Bcen2424_0044"	255.619554062705	-0.257748340336857	0.166777435497169	-1.54546290730818	0.12223433429643	0.42182071870728
"Bcen2424_0045"	448.752632718858	0.425149128739903	0.234851700129296	1.81028763473222	0.0702511935962283	0.315920038268069
"Bcen2424_0046"	656.35068244756	1.05252574022697	0.241403904339801	4.3600195411315	1.30050829825845e-05	0.000905160035646909
"Bcen2424_0047"	149.963012237644	0.130174211886364	0.156514409167489	0.83170752506922	0.405574052087392	0.717287862442531
"Bcen2424_0048"	440.970244631286	0.418130120948026	0.12135544588351	3.44549944095127	0.000570005146205656	0.0155259950963893
"Bcen2424_0049"	374.612434440203	0.88329796015376	0.269721244666637	3.27485497571937	0.00105716229158582	0.0247000096305185
"Bcen2424_0050"	520.498702892523	-0.0923376306010406	0.119383647294449	-0.77345292000753	0.439254381280423	0.734254300826903
"Bcen2424_0051"	175.283788931699	0.186873594928563	0.226018280084136	0.826807437252414	0.408346213963826	0.718902427987395
"Bcen2424_0052"	433.509910688046	0.0502970411248487	0.258614408241293	0.194486616066342	0.845794874481693	0.938428618122486
"Bcen2424_0053"	592.002828827671	0.0495747380963871	0.212210316085041	0.233611348453581	0.815286716716933	0.926977609564002
"Bcen2424_0054"	252.999658005374	-0.0387577321796748	0.156825853096331	-0.247138666326067	0.804800910243597	0.923360625305673
"Bcen2424_0055"	186.037832128573	-0.108379431840119	0.225593574176804	-0.480418966877039	0.630929510288577	0.843685934076454
"Bcen2424_0056"	72.9747913274854	-0.336812170562167	0.218141085238556	-1.54401070387009	0.122585739563459	0.42182071870728
"Bcen2424_0057"	217.833861707048	0.135650743399003	0.15371530471716	0.88248039873846	0.377517075037316	0.699408114461675
"Bcen2424_0058"	991.1197421158	-0.33174582932344	0.177322092553736	-1.87086574800547	0.061363691637317	0.294332962534102
"Bcen2424_0059"	252.245224467242	-0.220411205591045	0.165466393036588	-1.33206025432794	0.182840389526328	0.507225291683328
"Bcen2424_0060"	778.402142521308	-0.297784361923085	0.238732633042927	-1.24735507721535	0.212267330599816	0.544264484999581
"Bcen2424_0061"	1082.51179043579	-0.276608561588214	0.18493800712777	-1.4956826121583	0.134736383542476	0.440490776295272
"Bcen2424_0062"	3212.3446318801	-0.267020246737934	0.141428208402449	-1.88802679291602	0.0590223536320495	0.286997622104911
"Bcen2424_0063"	133.80440729165	-0.275241039242802	0.15729374572708	-1.74985367644797	0.0801435657680041	0.338405401801123
"Bcen2424_0064"	670.896556636166	-0.334861958108273	0.119376247253945	-2.80509704242866	0.00503014329003757	0.0662743440494424
"Bcen2424_0065"	22861.5031169115	0.0344448153469511	0.235230419859849	0.146430106137945	0.883581862188767	0.952226899275818
"Bcen2424_0066"	773.465061482904	0.164791607691652	0.176406793528662	0.934156811057716	0.350223010368538	0.681140349799262
"Bcen2424_0068"	1413.65804781738	-0.16065192934706	0.187424787802708	-0.857154121557123	0.391359713730743	0.705925508234703
"Bcen2424_0069"	2000.23270355428	-0.123532909305292	0.200955859170239	-0.614726586302924	0.538735299042466	0.795199065010502
"Bcen2424_0070"	3672.52587382769	-0.147565796199987	0.113949731895735	-1.29500784025548	0.195317524859656	0.522536502894255
"Bcen2424_0071"	248.637749102	-0.0528145430331438	0.157155423989687	-0.336065671119374	0.736821344876599	0.891663704353631
"Bcen2424_0072"	248.146949938134	-0.126749538937068	0.172213398708658	-0.736002772650093	0.461729010432268	0.746669676284768
"Bcen2424_0073"	652.335029577103	-0.537193553702475	0.237573779702983	-2.26116516045702	0.0237490316206153	0.179380257513757
"Bcen2424_0074"	277.857695997422	-0.169571144920545	0.161490762841553	-1.05003618743767	0.293701475376606	0.636433906040733
"Bcen2424_0075"	3064.76180826918	0.0184408871972942	0.192604726674401	0.0957447281575215	0.923723316120967	0.968297801166087
"Bcen2424_0076"	546.689439108008	-0.403419825219447	0.122207983618716	-3.30109223042334	0.000963092174366183	0.0234397016696436
"Bcen2424_0077"	948.195159358415	0.227290154559126	0.230130512397628	0.987657621716868	0.323320355797032	0.661875043000388
"Bcen2424_0078"	98.0653831722519	-0.136090281049284	0.193770922278259	-0.702325609277203	0.482476125992635	0.761502317940438
"Bcen2424_0079"	162.387538236216	-0.0804043134354412	0.142667536594966	-0.563578199739367	0.573041226649168	0.814562627458171
"Bcen2424_0080"	1815.80516696258	0.0576806264902778	0.182363432731832	0.316294915193322	0.75177867029112	0.899128462871019
"Bcen2424_0081"	126.373823321476	-0.247256937286836	0.312733050806948	-0.790632575127049	0.429158431988754	0.730563906440689
"Bcen2424_0082"	165.378901769742	0.184850808229265	0.143418469895284	1.28889123112409	0.197435903001644	0.525795614022108
"Bcen2424_0083"	394.593957346099	0.889562918466293	0.400539787408426	2.22091024769835	0.026357041007928	0.188515598066228
"Bcen2424_0084"	270.582900759079	0.594963613209888	0.333551688610445	1.78372238404329	0.0744687870264552	0.325421790023338
"Bcen2424_0085"	586.551712543478	0.241231086943899	0.306191912179973	0.787842778819413	0.430788674942092	0.731902367625525
"Bcen2424_0086"	46.9412305587628	0.240196692767833	0.286257982615592	0.83909168426715	0.401417862175322	0.715038569761845
"Bcen2424_0087"	114.720601280929	-0.0908712928876633	0.227793463591547	-0.398919668084082	0.68995239654753	0.870011932993612
"Bcen2424_0089"	168.55252287432	-0.0489339972462635	0.173533749382715	-0.281985477870033	0.777954645625035	0.909705329790847
"Bcen2424_0090"	45.5510424572916	0.159942351408359	0.218241104803521	0.732869967609233	0.463637741865898	0.749029996616173
"Bcen2424_0091"	72.8312298891683	-0.0711506553206596	0.237198330961703	-0.299962714881612	0.76420559596085	0.904556642199416
"Bcen2424_0092"	16.3470369373163	-0.0771909612237019	0.379700965694536	-0.203294087183862	0.838905176780846	NA
"Bcen2424_0093"	2058.75573255061	0.0943405017052997	0.117334556067665	0.804029987984915	0.421379656334888	0.726054688086694
"Bcen2424_0094"	800.841038070079	0.193709800328647	0.137866130643557	1.40505720603322	0.160004268035249	0.477906927768006
"Bcen2424_0095"	853.878550101019	-0.0245750563255296	0.12876231970973	-0.190855961440656	0.848638443544497	0.938720429497147
"Bcen2424_0096"	2409.31157040163	0.0442880073092094	0.169959445168416	0.260579853419288	0.794416527695431	0.918146983862465
"Bcen2424_0097"	521.517922938159	0.323244835576362	0.200228268381588	1.61438161648751	0.106444676716781	0.39541678955539
"Bcen2424_0099"	2350.57689035318	-0.162559363037029	0.19049088569524	-0.853370818471085	0.393453698839944	0.706898870403823
"Bcen2424_0100"	1904.61790189759	-0.0265298940590054	0.173585199136802	-0.152835000857977	0.878528395282296	0.952226899275818
