"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0.578414406720552	6.00631008342226	0.0963011231000222	0.923281419129571	NA
"BCEN2424_RS00045"	108510.421961146	-1.0112614597126	0.933192498893266	-1.08365793864816	0.278516491446034	0.496942998025003
"BCEN2424_RS00050"	53156.5758450498	-1.2543210724786	1.0929884828077	-1.14760685241299	0.251130899689127	0.47456279992472
"BCEN2424_RS00095"	5.94609874363835	-0.09771161926646	0.575389772448368	-0.169818137105014	0.865153162756799	NA
"BCEN2424_RS00745"	188.757382939893	-0.373063644146954	0.398965409724864	-0.935077666016779	0.349748275492054	0.566380857436694
"BCEN2424_RS01415"	6.1470026897975	-0.409079016192119	0.575176537223619	-0.7112234065853	0.476945806178053	NA
"BCEN2424_RS01610"	49209.6819809107	-1.42659366825585	1.09896221553886	-1.29812804124148	0.194243339972471	0.413763217133667
"BCEN2424_RS01615"	491.674928108545	-0.82520308523084	0.299300820329122	-2.75710265118357	0.00583160412118847	0.0979404577736079
"BCEN2424_RS01620"	57.6698861463102	-0.976058026601547	0.315379634595321	-3.09486700957712	0.00196901162588646	NA
"BCEN2424_RS01625"	108510.421961146	-1.0112614597126	0.933192498893266	-1.08365793864816	0.278516491446034	0.496942998025003
"BCEN2424_RS01630"	0.0363476981507572	0.578414406720552	6.00631008342226	0.0963011231000222	0.923281419129571	NA
"BCEN2424_RS01635"	139.178937975024	-0.629509809994703	0.33056937462162	-1.90431981400352	0.0568685452434027	NA
"BCEN2424_RS01640"	3440.97425325178	-0.971297376003315	0.316276191984774	-3.07104170537779	0.00213313353411625	0.0701822052858248
"BCEN2424_RS01645"	1136.06042452095	-0.202411104963201	0.257217615666254	-0.786925516119524	0.431325469605943	0.637303039351066
"BCEN2424_RS01655"	291.474344501018	-0.115398015395877	0.194065786931216	-0.594633485998117	0.552088491486915	0.735920088178237
"BCEN2424_RS02220"	1.63259602609419	-0.92386263411213	0.839906730752962	-1.09995860288428	0.271350159207004	NA
"BCEN2424_RS02700"	51142.6904691235	-1.33032754233238	1.10466951934577	-1.20427649992574	0.22848272654111	0.455292884920578
"BCEN2424_RS02705"	491.674928108545	-0.82520308523084	0.299300820329122	-2.75710265118357	0.00583160412118847	0.0979404577736079
"BCEN2424_RS02710"	57.6698861463102	-0.976058026601547	0.315379634595321	-3.09486700957712	0.00196901162588646	NA
"BCEN2424_RS02715"	108510.421961146	-1.0112614597126	0.933192498893266	-1.08365793864816	0.278516491446034	0.496942998025003
"BCEN2424_RS02720"	0.0363476981507572	0.578414406720552	6.00631008342226	0.0963011231000222	0.923281419129571	NA
"BCEN2424_RS02890"	52.4050957707308	-1.46178511019529	0.509323999199833	-2.87004954114043	0.00410407492457627	NA
"BCEN2424_RS34380"	301401.792239889	-0.153176117773827	0.269651545085523	-0.568052067809384	0.569999613329062	0.747477788118577
"BCEN2424_RS03940"	35.1284731870312	-1.08527044352733	0.416748125950363	-2.60413994916582	0.00921051387837369	NA
"BCEN2424_RS04540"	24.4843259640494	0.410605080933222	0.343407507544189	1.19567881281799	0.231821922478224	NA
"BCEN2424_RS04845"	290.636730842277	-1.24543022096872	0.495672799085169	-2.51260553991933	0.0119843252274956	0.120765863036253
"BCEN2424_RS04920"	5.97918953024371	-0.54069619558913	0.571853336700411	-0.945515503518686	0.344395759587082	NA
"BCEN2424_RS04960"	669.036690730828	-0.155277684572964	0.336239642766409	-0.461806595127862	0.644220020970874	0.796111241980742
"BCEN2424_RS04965"	669.036690730828	-0.155277684572964	0.336239642766409	-0.461806595127862	0.644220020970874	0.796111241980742
"BCEN2424_RS04970"	669.036690730828	-0.155277684572964	0.336239642766409	-0.461806595127862	0.644220020970874	0.796111241980742
"BCEN2424_RS05030"	4.06487308602026	-0.861807179448669	0.635477484251288	-1.35615690690291	0.175049249788627	NA
"BCEN2424_RS34430"	2352420.17077002	-0.273291004283928	0.133865992151914	-2.04152675291714	0.0411984974957463	0.19501795894354
"BCEN2424_RS05455"	64.3634535408548	-0.736347399048537	0.43290851029992	-1.70093075448758	0.0889559907753107	NA
"BCEN2424_RS05460"	64.3634535408548	-0.736347399048537	0.43290851029992	-1.70093075448758	0.0889559907753107	NA
"BCEN2424_RS05690"	294.325192204271	-0.740530580188926	0.27042603561877	-2.73838492841303	0.0061741763049171	0.0979404577736079
"BCEN2424_RS05695"	294.325192204271	-0.740530580188926	0.27042603561877	-2.73838492841303	0.0061741763049171	0.0979404577736079
