"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1754.61997646276	-0.275496424928755	0.138557961636347	-1.98831176263843	0.0467772206795621	0.158346589028511
"Bcen2424_0002"	8399.42442064214	-0.251186914133451	0.198666862726425	-1.26436241397414	0.206099976986664	0.394404942934658
"Bcen2424_0003"	11133.1039802008	-0.462891822604625	0.224630696143119	-2.0606792862793	0.03933364704748	0.142055379771182
"Bcen2424_0004"	114.524274861248	-0.00281293274442712	0.165911771939494	-0.0169543891403496	0.986473002729026	0.993681790877873
"Bcen2424_0005"	112.328772288954	0.0252564911381576	0.174344531472248	0.144865404867476	0.884817141166472	0.937577296050693
"Bcen2424_0006"	23.1653915145892	0.0970081680425057	0.335442266720475	0.28919482625409	0.772432290836671	NA
"Bcen2424_0007"	54.318558406825	-0.600582802216638	0.341985628472745	-1.75616386249547	0.0790604331936999	0.2177443746556
"Bcen2424_0008"	17.0141323863039	0.178292116397081	0.373238311485864	0.477689751856659	0.632871039465552	NA
"Bcen2424_0009"	33.4206811835376	-0.186849277227013	0.268008469666117	-0.697176762584363	0.485692179435461	NA
"Bcen2424_0010"	98.3279251239596	-0.0784956715550665	0.169646092424748	-0.462702502799384	0.643577624062804	0.784932671473183
"Bcen2424_0011"	50.0250124037586	0.894900977233993	0.256645616642255	3.4869131565236	0.000488629997563305	0.00959767929944204
"Bcen2424_0012"	81.2139687671233	0.583005412659155	0.231544062742685	2.51790266506228	0.0118055940632324	0.0685743461851438
"Bcen2424_0014"	169.897703858415	0.0354014137032631	0.177692464095564	0.199228559767307	0.842083959741473	0.910331782838951
"Bcen2424_0015"	235.094778895892	0.0412210692492766	0.133658187140545	0.30840661639329	0.757772948030522	0.858586875907575
"Bcen2424_0016"	382.796890570162	-0.260637701308882	0.145198106765821	-1.79504889639674	0.0726459098187074	0.2059235216581
"Bcen2424_0017"	378.916328661882	-0.5849063307571	0.194697549866505	-3.0041792059435	0.00266298420501992	0.0284088480958764
"Bcen2424_0018"	216.768367094703	0.0734477597423008	0.128553214401147	0.571341293054789	0.567768315865846	0.730413980530943
"Bcen2424_0019"	154.223948066983	0.304879244169324	0.17522957470216	1.7398846324174	0.0818792776318176	0.221367931243581
"Bcen2424_0020"	439.116907185514	0.0694370906122663	0.22058850623813	0.314781090803106	0.752927869780028	0.855983687386976
"Bcen2424_0022"	319.327481665556	0.678164684098507	0.216087803862155	3.13837556760546	0.00169887048897144	0.0216168104228016
"Bcen2424_0023"	551.675169219508	0.97890001758142	0.288053397998736	3.39832831128663	0.000677990033257249	0.0118177110203687
"Bcen2424_0024"	88.1959071268782	1.24689277169076	0.818826623881776	1.52277995771518	0.127813765863514	0.290675977032371
"Bcen2424_0025"	52.3303343330566	1.19182065930108	0.72779522124594	1.63757692343838	0.101509980202181	0.252644878121787
"Bcen2424_0026"	115.844087052016	-0.234495394491056	0.329126293606712	-0.712478459017515	0.476168545824915	0.659428672941479
"Bcen2424_0027"	669.862133716084	-0.0231296512008227	0.140128854131018	-0.165059875385814	0.868896854555581	0.92809880060756
"Bcen2424_0028"	670.939301520886	-0.0249456645967823	0.186653338952836	-0.133647031104467	0.893681692318572	0.941899892667119
"Bcen2424_0029"	13.5789025731954	-0.0768267191265266	0.392951235257946	-0.195512094716015	0.844992070169164	NA
"Bcen2424_0030"	20.0288359833475	0.576706198289079	0.442248287962516	1.30403263050723	0.192222457014568	NA
"Bcen2424_0031"	34.0643206257045	0.208082310442591	0.265307454857561	0.784306308144664	0.432860398918664	0.623115389484818
"Bcen2424_0032"	10.8961014495847	-0.177903596458194	0.442213046724082	-0.402302912083001	0.687461111760067	NA
"Bcen2424_0033"	11.8436437770414	0.682041051294204	0.40903109586753	1.66745525752177	0.0954239140968302	NA
"Bcen2424_0034"	44.7698968537539	0.276322978956357	0.283989953026473	0.973002657353156	0.330551981383547	0.530224311720849
"Bcen2424_0035"	20.8962116795942	0.995970347659971	0.458003814268595	2.17458963578824	0.0296608816876443	NA
"Bcen2424_0036"	88.1481260866631	1.19163964308734	0.692091527495061	1.7217948721325	0.0851066838411423	0.226862917735176
"Bcen2424_0037"	136.698620406039	1.39398094684936	0.500358487092388	2.78596442912334	0.00533687277461391	0.0430128523621704
"Bcen2424_0038"	219.465616387351	1.62991544444871	0.550476133968861	2.96091936392815	0.00306722232221459	0.0309248180016224
"Bcen2424_0039"	1460.13801570752	1.90748321758329	0.752671264626489	2.53428463026268	0.0112677166996914	0.0664433477864831
"Bcen2424_0040"	753.113905221234	1.62430491367801	0.724776996560245	2.2411099157215	0.0250189560677629	0.107027847005355
"Bcen2424_0041"	757.461414098089	1.81742886138272	0.559986515210098	3.24548683230498	0.00117249986871153	0.0171766220083039
"Bcen2424_0042"	781.487439783877	-0.386483711680253	0.277026215462812	-1.39511602190636	0.162980855442977	0.339565461380788
"Bcen2424_0043"	1308.49373762288	-0.910287123840779	0.386296594623322	-2.35644615176689	0.0184507425027902	0.090555817916131
"Bcen2424_0044"	255.619554062705	-0.121413416437128	0.166259193859187	-0.730265879551649	0.465227680217125	0.649381214187823
"Bcen2424_0045"	448.752632718858	0.621053004370022	0.234637291327529	2.64686402087338	0.00812420136444562	0.0552574648359515
"Bcen2424_0046"	656.35068244756	0.765586061308928	0.241421462758306	3.17115989838641	0.0015183154316298	0.0198915243746032
"Bcen2424_0047"	149.963012237644	0.325792785730999	0.163436024625881	1.99339641597847	0.0462180560313645	0.156970438648135
"Bcen2424_0048"	440.970244631286	-0.103786070081466	0.123828873780782	-0.838141112913628	0.401951455045493	0.59545790315296
