"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0365656061014192	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108540.676241725	-3.15529222648548	0.932823835658669	-3.38251672595557	0.000718249039666031	0.0129647148613901
"BCEN2424_RS00050"	53157.9040492512	-4.15358839633247	1.09259208552218	-3.80159114400627	0.000143769832093252	0.00367458776732458
"BCEN2424_RS00095"	5.95267744096508	-1.20679445503339	0.619847862829421	-1.94692040967074	0.0515442773491423	NA
"BCEN2424_RS00745"	188.991700800308	-1.81668358576488	0.402686610975227	-4.51140796900407	6.43987235467078e-06	0.000299036210179102
"BCEN2424_RS01415"	6.15401250847583	-1.14300149061533	0.546867895596784	-2.09008702068348	0.0366099833857658	NA
"BCEN2424_RS01610"	49210.2475604751	-3.78608527015491	1.0986132154186	-3.44624042112247	0.00056844438606736	0.0109080353326428
"BCEN2424_RS01615"	492.233377556381	-1.37970486414961	0.302980163540659	-4.55377952149154	5.26905794595527e-06	0.000269341844413831
"BCEN2424_RS01620"	57.7341205348431	-1.05441622126473	0.331455434500422	-3.18117041240845	0.00146681319337573	0.0212950469100348
"BCEN2424_RS01625"	108540.676241725	-3.15529222648548	0.932823835658669	-3.38251672595557	0.000718249039666031	0.0129647148613901
"BCEN2424_RS01630"	0.0365656061014192	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.322750890354	-0.838868982047246	0.334307098374556	-2.50927660862104	0.0120978709000797	0.0874006516451123
"BCEN2424_RS01640"	3444.53896386762	-0.656045747386446	0.318355080325917	-2.060735913857	0.0393282413858931	0.17823571838193
"BCEN2424_RS01645"	1136.98615969727	-0.330699773340163	0.259883813643027	-1.27249084390615	0.2031987752249	0.449802820121204
"BCEN2424_RS01655"	291.63866017563	0.0852832528899195	0.197698797612119	0.431379724712556	0.666192289888219	0.836591184845177
"BCEN2424_RS02220"	1.63438758679466	-0.219968142728847	0.949478177768558	-0.231672668081547	0.816792261580451	NA
"BCEN2424_RS02700"	51142.405738372	-4.02230495966766	1.1042898237647	-3.64243595576657	0.000270070183202158	0.00610720046252314
"BCEN2424_RS02705"	492.233377556381	-1.37970486414961	0.302980163540659	-4.55377952149154	5.26905794595527e-06	0.000269341844413831
"BCEN2424_RS02710"	57.7341205348431	-1.05441622126473	0.331455434500422	-3.18117041240845	0.00146681319337573	0.0212950469100348
