"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0365656061014192	-0.399245975681028	6.00631008342227	-0.0664710895934208	0.947002773952373	NA
"BCEN2424_RS00045"	108540.676241725	1.89339323272912	0.932803844090919	2.02978712483155	0.0423781822543877	0.999606184086361
"BCEN2424_RS00050"	53157.9040492512	2.3028516288339	1.09252291643862	2.10782913034052	0.0350457721355755	0.999606184086361
"BCEN2424_RS00095"	5.95267744096508	-0.188770485428806	0.612490841221996	-0.308201319471463	0.757929148510121	NA
"BCEN2424_RS00745"	188.991700800308	0.506131672115129	0.400169979947041	1.2647917072193	0.205946004901407	0.999606184086361
"BCEN2424_RS01415"	6.15401250847583	0.711205823375448	0.567213903481477	1.25385823409858	0.209893538138194	NA
"BCEN2424_RS01610"	49210.2475604751	2.54140106616094	1.09855874229595	2.31339569593656	0.0207008935159811	0.939515142606455
"BCEN2424_RS01615"	492.233377556381	0.438454104084014	0.30136921969736	1.45487354191087	0.1457042737864	0.999606184086361
"BCEN2424_RS01620"	57.7341205348431	0.434641008683895	0.325372286083906	1.33582676605657	0.181605902196822	0.999606184086361
"BCEN2424_RS01625"	108540.676241725	1.89339323272912	0.932803844090919	2.02978712483155	0.0423781822543877	0.999606184086361
"BCEN2424_RS01630"	0.0365656061014192	-0.399245975681028	6.00631008342227	-0.0664710895934208	0.947002773952373	NA
"BCEN2424_RS01635"	139.322750890354	0.124640696025426	0.335625665318934	0.371368190531507	0.710363314541514	0.999606184086361
"BCEN2424_RS01640"	3444.53896386762	0.232963971899963	0.318472899114722	0.731503285044182	0.464471798728228	0.999606184086361
"BCEN2424_RS01645"	1136.98615969727	-0.653949371518757	0.260651526022837	-2.50890290763715	0.0121106767096457	0.724452202052338
"BCEN2424_RS01655"	291.63866017563	-0.350054113337494	0.200588179513614	-1.74513829372352	0.0809607992261684	0.999606184086361
"BCEN2424_RS02220"	1.63438758679466	-3.10382058210987	1.3727654626667	-2.2609984491309	0.0237593530981181	NA
"BCEN2424_RS02700"	51142.405738372	2.44359156892763	1.10422724987929	2.21294264309702	0.0269016002540962	0.979961582940335
"BCEN2424_RS02705"	492.233377556381	0.438454104084014	0.30136921969736	1.45487354191087	0.1457042737864	0.999606184086361
