"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.036347332845231	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108501.764492238	0.302861498353409	0.933215686651532	0.324535370210187	0.745532748486477	0.875702302754626
"BCEN2424_RS00050"	53151.516151612	0.581975704871965	1.0930122363917	0.532451225608608	0.594413514386051	0.779483249439224
"BCEN2424_RS00095"	5.94585674434967	-0.0512869656667937	0.609318961870306	-0.0841709660722985	0.932920501967771	NA
"BCEN2424_RS00745"	188.744437170424	0.268243266302934	0.398445808213777	0.673223963643796	0.500804817921611	0.71267819785947
"BCEN2424_RS01415"	6.14661755555937	-0.318229723006054	0.612577137031149	-0.519493307485082	0.603416778703279	NA
"BCEN2424_RS01610"	49204.4335802718	0.705042521224555	1.09898357733599	0.641540543247813	0.521171548402714	0.729194721995934
"BCEN2424_RS01615"	491.66277909059	-0.501059153440708	0.299644218017806	-1.67218028352188	0.0944887771739903	0.292766173313228
"BCEN2424_RS01620"	57.669570993258	-0.505098528373685	0.316787110531416	-1.59444154001838	0.110837174640707	0.316282024788212
"BCEN2424_RS01625"	108501.764492238	0.302861498353409	0.933215686651532	0.324535370210187	0.745532748486477	0.875702302754626
"BCEN2424_RS01630"	0.036347332845231	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.179954692716	-1.01901541756872	0.336486471657674	-3.02839936639538	0.00245852945486161	0.0458757518304856
"BCEN2424_RS01640"	3441.03820868252	-0.863256586884469	0.316286436796454	-2.7293506342797	0.0063459189685972	0.0761694986037822
"BCEN2424_RS01645"	1136.05625780117	-0.930818233188091	0.258348916868476	-3.60295001221919	0.000314626051918912	0.014590428745103
"BCEN2424_RS01655"	291.472859672781	-0.611450145295066	0.199019610032736	-3.07231104108028	0.00212408266926864	0.0434640416199096
"BCEN2424_RS02220"	1.63276993596804	-3.05467911396709	1.3395013923844	-2.28045982731646	0.0225804307927847	NA
"BCEN2424_RS02700"	51137.4414035981	0.688340631524342	1.10469513397422	0.623104610815102	0.533215779968291	0.739306238120914
"BCEN2424_RS02705"	491.66277909059	-0.501059153440708	0.299644218017806	-1.67218028352188	0.0944887771739903	0.292766173313228
"BCEN2424_RS02710"	57.669570993258	-0.505098528373685	0.316787110531416	-1.59444154001838	0.110837174640707	0.316282024788212
"BCEN2424_RS02715"	108501.764492238	0.302861498353409	0.933215686651532	0.324535370210187	0.745532748486477	0.875702302754626
"BCEN2424_RS02720"	0.036347332845231	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4042435665494	-0.524878910856953	0.504869297747795	-1.03963325398954	0.29851032115608	0.541676305204348
"BCEN2424_RS34380"	301383.427047255	0.275881365604698	0.269626061930342	1.0231999222537	0.3062133296915	0.550242832826549
"BCEN2424_RS03940"	35.129946303216	-0.387818992618202	0.414139237097478	-0.936445904851364	0.349043652252667	NA
"BCEN2424_RS04540"	24.482898144778	-0.0262982633369956	0.372819473350721	-0.0705388672448882	0.943764765991432	NA
