"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS00045"	108501.764492238	0.688641203371955	0.933215786300784	0.737922797150368	0.46056136478927	0.778455816296164
"BCEN2424_RS00050"	53151.516151612	0.803745506786734	1.09301176934348	0.735349361580532	0.462126753183186	0.779380436916088
"BCEN2424_RS00095"	5.94585674434967	0.448967430034216	0.621232935784214	0.722703842911132	0.469861854088993	0.783915732299247
"BCEN2424_RS00745"	188.744437170424	0.922442832583405	0.399640797133937	2.30817984349644	0.0209891357801777	0.17995008341795
"BCEN2424_RS01415"	6.14661755555937	0.413499947971237	0.641869480390179	0.644211885132596	0.519438044938989	0.811065555654111
"BCEN2424_RS01610"	49204.4335802718	0.918292697760354	1.09898302020357	0.835584063519246	0.403388937205782	0.74638171569015
"BCEN2424_RS01615"	491.66277909059	0.573385137099461	0.300767986608804	1.90640348251305	0.0565978772526096	0.312661820187972
"BCEN2424_RS01620"	57.669570993258	0.477794774225371	0.324083752270737	1.4742941319262	0.140402414450679	0.482886916752335
"BCEN2424_RS01625"	108501.764492238	0.688641203371955	0.933215786300784	0.737922797150368	0.46056136478927	0.778455816296164
"BCEN2424_RS01630"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS01635"	139.179954692716	-0.0077496956310592	0.33963239459637	-0.0228178929759312	0.981795535209523	0.995778515286937
"BCEN2424_RS01640"	3441.03820868252	0.2239872168311	0.316431316020855	0.707854139241825	0.479035841763964	0.789109429262343
"BCEN2424_RS01645"	1136.05625780117	-0.0708331796696351	0.258751554340483	-0.273749774567259	0.784276923678318	0.932587335288247
"BCEN2424_RS01655"	291.472859672781	-0.0776147512111388	0.199785868759311	-0.388489694957575	0.69765367864826	0.899823345870306
"BCEN2424_RS02220"	1.63276993596804	-0.95789314309925	1.51146023301406	-0.63375345389609	0.526241734140758	0.813705384131369
"BCEN2424_RS02700"	51137.4414035981	0.884073598437004	1.10469453077333	0.800287838682533	0.423544047498859	0.75828142980539
"BCEN2424_RS02705"	491.66277909059	0.573385137099461	0.300767986608804	1.90640348251305	0.0565978772526096	0.312661820187972
"BCEN2424_RS02710"	57.669570993258	0.477794774225371	0.324083752270737	1.4742941319262	0.140402414450679	0.482886916752335
"BCEN2424_RS02715"	108501.764492238	0.688641203371955	0.933215786300784	0.737922797150368	0.46056136478927	0.778455816296164
"BCEN2424_RS02720"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS02890"	52.4042435665494	0.83009771894241	0.513586203429449	1.61627729366457	0.10603437381689	0.427674941482423
"BCEN2424_RS34380"	301383.427047255	0.49186194339841	0.26962565898227	1.82424011592589	0.0681157792896225	0.345593673075449
"BCEN2424_RS03940"	35.129946303216	0.114320221410352	0.416348166460882	0.274578419264141	0.783640148206626	0.932531776365884
