"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS00045"	108501.764492238	-0.581036784382021	0.933214471973316	-0.622618703236993	0.533535117538391	1
"BCEN2424_RS00050"	53151.516151612	-0.468560259086283	1.09300952782805	-0.428688174399882	0.668150167733091	1
"BCEN2424_RS00095"	5.94585674434967	0.2350232041061	0.644471255256323	0.364676007175254	0.715353270498593	1
"BCEN2424_RS00745"	188.744437170424	0.134642778586829	0.398570841934558	0.337813920188713	0.735503419156065	1
"BCEN2424_RS01415"	6.14661755555937	-0.62071751749116	0.605211123491891	-1.02562146232508	0.305070046910024	1
"BCEN2424_RS01610"	49204.4335802718	-0.411611985378814	1.09898039355447	-0.374539880595615	0.708002691654814	1
"BCEN2424_RS01615"	491.66277909059	-0.115225872108489	0.300439054918987	-0.383524945315647	0.701330577962622	1
"BCEN2424_RS01620"	57.669570993258	0.0356843003268664	0.32503301099824	0.10978669587213	0.912578542415516	1
"BCEN2424_RS01625"	108501.764492238	-0.581036784382021	0.933214471973316	-0.622618703236993	0.533535117538391	1
"BCEN2424_RS01630"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS01635"	139.179954692716	-0.51503373368475	0.339643332479153	-1.51639583184328	0.129419292399051	1
"BCEN2424_RS01640"	3441.03820868252	-0.125872266357061	0.316473151736065	-0.397734422861998	0.690825960508927	1
"BCEN2424_RS01645"	1136.05625780117	-0.0751762987799884	0.259307850213968	-0.289911388019902	0.771884029220235	1
"BCEN2424_RS01655"	291.472859672781	-0.146337790142977	0.201924859792235	-0.724714085692806	0.468627451972892	1
"BCEN2424_RS02220"	1.63276993596804	0.972512641081785	1.7257470463283	0.563531395375067	0.573073087821342	1
"BCEN2424_RS02700"	51137.4414035981	-0.426811953975789	1.10469209000588	-0.386362822579381	0.6992279798112	1
"BCEN2424_RS02705"	491.66277909059	-0.115225872108489	0.300439054918987	-0.383524945315647	0.701330577962622	1
"BCEN2424_RS02710"	57.669570993258	0.0356843003268664	0.32503301099824	0.10978669587213	0.912578542415516	1
"BCEN2424_RS02715"	108501.764492238	-0.581036784382021	0.933214471973316	-0.622618703236993	0.533535117538391	1
"BCEN2424_RS02720"	0.036347332845231	0	6.00631008342227	0	1	1
"BCEN2424_RS02890"	52.4042435665494	-0.00718960568288592	0.510097179039857	-0.0140945803629393	0.988754524271093	1
"BCEN2424_RS34380"	301383.427047255	-0.0618114119426709	0.26962552289361	-0.229249112915252	0.818675302242452	1
"BCEN2424_RS03940"	35.129946303216	0.470697678378025	0.432712331736107	1.0877842942204	0.27669034461135	1
"BCEN2424_RS04540"	24.482898144778	0.112375985025507	0.38471319713433	0.292103275537669	0.770207662334903	1
