"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1754.61997646276	0.089889547612072	0.139572199448342	0.644036190354236	0.519551966372866	1
"Bcen2424_0002"	8399.42442064214	0.160383524860443	0.198856937949813	0.806527177346561	0.41993894409513	1
"Bcen2424_0003"	11133.1039802008	0.0964596121150715	0.224764228403759	0.429159091729645	0.667807451273715	1
"Bcen2424_0004"	114.524274861248	-0.208989378545143	0.170678886721615	-1.22445946630771	0.220778948178419	1
"Bcen2424_0005"	112.328772288954	-0.0710002935204635	0.185650992013734	-0.38243961290124	0.70213531252285	1
"Bcen2424_0006"	23.1653915145892	-0.641690148410896	0.34723878170767	-1.84797949484547	0.0646053092425406	1
"Bcen2424_0007"	54.318558406825	-0.00772836731591803	0.340494615828451	-0.0226974729016325	0.98189159164994	1
"Bcen2424_0008"	17.0141323863039	-0.518419780742442	0.380395314526959	-1.3628448115538	0.172931424925523	1
"Bcen2424_0009"	33.4206811835376	-0.0163034328407308	0.287369238259093	-0.0567333961682829	0.954757570553483	1
"Bcen2424_0010"	98.3279251239596	0.293374881163291	0.178347895487924	1.64495846929214	0.0999783759007475	1
"Bcen2424_0011"	50.0250124037586	-0.212317649879253	0.265425705881136	-0.799913667647299	0.423760818400707	1
"Bcen2424_0012"	81.2139687671233	0.164199793221164	0.231270821154848	0.709989234271898	0.477710812254932	1
"Bcen2424_0014"	169.897703858415	-0.00234511383046974	0.177651325682057	-0.0132006548302757	0.989467707207453	1
"Bcen2424_0015"	235.094778895892	-0.103478509101099	0.137369258886812	-0.753287234273882	0.451277328279889	1
"Bcen2424_0016"	382.796890570162	0.0484052167666094	0.145602491099899	0.332447723943116	0.73955120720721	1
"Bcen2424_0017"	378.916328661882	-0.000251869339315987	0.195350256393155	-0.00128932177498187	0.998971270346853	1
"Bcen2424_0018"	216.768367094703	-0.0550189131341316	0.12669787662469	-0.434252843061539	0.664104843755537	1
"Bcen2424_0019"	154.223948066983	-0.0895887963941113	0.176223279152935	-0.508382302410578	0.611185261598519	1
"Bcen2424_0020"	439.116907185514	0.0311906351382362	0.219454454592994	0.142128056575945	0.886978857188003	1
"Bcen2424_0022"	319.327481665556	-0.0487310448673562	0.217024358034055	-0.224541822442389	0.822335727994442	1
"Bcen2424_0023"	551.675169219508	-0.0257387653690443	0.287770368990011	-0.0894420278897366	0.928730623869193	1
"Bcen2424_0024"	88.1959071268782	1.09919837805957	0.793755166821848	1.38480784000525	0.166111233017597	1
"Bcen2424_0025"	52.3303343330566	0.558864070591092	0.696930408723289	0.80189365192843	0.422614478515228	1
"Bcen2424_0026"	115.844087052016	0.639521488050195	0.319088050789295	2.00421634864821	0.045046890034058	1
"Bcen2424_0027"	669.862133716084	0.0258181018535363	0.140535283285447	0.183712596936216	0.854238926183909	1
"Bcen2424_0028"	670.939301520886	0.15599818105795	0.188362849277924	0.828179132222509	0.407569059976156	1
"Bcen2424_0029"	13.5789025731954	0.474394462643934	0.397752270401943	1.19268825835875	0.232991485807002	1
"Bcen2424_0030"	20.0288359833475	-0.324838045498151	0.435102263347943	-0.746578615791718	0.455317960505104	1
"Bcen2424_0031"	34.0643206257045	-0.29800989620295	0.258722058511734	-1.15185345199097	0.249381298725482	1
"Bcen2424_0032"	10.8961014495847	-0.506022318095673	0.497927501209278	-1.01625701907755	0.309507010290522	1
"Bcen2424_0033"	11.8436437770414	0.02120312815343	0.438620974799939	0.0483404337038398	0.961444930768082	1
"Bcen2424_0034"	44.7698968537539	0.311191247403341	0.295747494222053	1.05221938810306	0.292698906231737	1
"Bcen2424_0035"	20.8962116795942	-0.43494446021434	0.454546346479418	-0.956875934837227	0.338629879122472	1
"Bcen2424_0036"	88.1481260866631	0.339768245367682	0.690625479357886	0.491971778515302	0.622739294299537	1
"Bcen2424_0037"	136.698620406039	-0.00200253134753866	0.498430281061151	-0.00401767593910084	0.996794367021956	1
"Bcen2424_0038"	219.465616387351	-0.149012700117881	0.548685532368107	-0.271581245225745	0.785944021762586	1
