"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00582262393133	0	1	NA
"BCEN2424_RS00045"	108510.421961146	-2.30885730653337	0.933200204791181	-2.47412858964172	0.013356161407107	0.0736015527388593
"BCEN2424_RS00050"	53156.5758450498	-2.22693058339763	1.09300054742876	-2.03744690580109	0.0416052774434497	0.146328695831395
"BCEN2424_RS00095"	5.94609874363835	0.0515916697857085	0.583648606693694	0.0883950877189097	0.929562665446994	NA
"BCEN2424_RS00745"	188.757382939893	0.260068323174565	0.397940490547661	0.653535715394653	0.51341097208434	0.693881602272372
"BCEN2424_RS01415"	6.1470026897975	-0.287900552140599	0.58740970252701	-0.490118823203062	0.624049819044416	NA
"BCEN2424_RS01610"	49209.6819809107	-1.94669413998282	1.09896938351343	-1.77138159550832	0.0764972669993861	0.216276458943463
"BCEN2424_RS01615"	491.674928108545	-0.615033235067231	0.299429309184008	-2.054018147867	0.0399739352770933	0.142479728460576
"BCEN2424_RS01620"	57.6698861463102	-0.805111419603872	0.317051866031005	-2.53936817872297	0.0111052886375285	0.0664647571201483
"BCEN2424_RS01625"	108510.421961146	-2.30885730653337	0.933200204791181	-2.47412858964172	0.013356161407107	0.0736015527388593
"BCEN2424_RS01630"	0.0363476981507572	0	6.00582262393133	0	1	NA
"BCEN2424_RS01635"	139.178937975024	-0.983769942627048	0.334133545719152	-2.94424177168351	0.00323746984562516	0.0336920468454688
"BCEN2424_RS01640"	3440.97425325178	-0.919974407393915	0.316333129542893	-2.90824552181207	0.00363462856557503	0.0359726956866326
"BCEN2424_RS01645"	1136.06042452095	-0.650019934525749	0.257760285572025	-2.52180017989666	0.0116756010317886	0.0680072374077409
"BCEN2424_RS01655"	291.474344501018	-0.605418297511376	0.197237554269825	-3.06948795706091	0.00214426050519106	0.0262199980962076
"BCEN2424_RS02220"	1.63259602609419	-0.636151120523791	0.839986028311189	-0.757335359259233	0.448848972040142	NA
"BCEN2424_RS02700"	51142.6904691235	-2.10612171230426	1.10467968465639	-1.90654516558741	0.0565795116559445	0.178647471489862
"BCEN2424_RS02705"	491.674928108545	-0.615033235067231	0.299429309184008	-2.054018147867	0.0399739352770933	0.142479728460576
