"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00582262393133	0	1	NA
"BCEN2424_RS00045"	108510.421961146	1.09221117742317	0.933220748999991	1.17036743835105	0.241853133480359	0.565124153913991
"BCEN2424_RS00050"	53156.5758450498	1.96768500959175	1.09307275331296	1.80014093629904	0.0718383871621905	0.316180544501048
"BCEN2424_RS00095"	5.94609874363835	1.14373627749898	0.633776685234053	1.80463608735718	0.0711316471115185	NA
"BCEN2424_RS00745"	188.757382939893	1.66934250957509	0.402392387565535	4.14854396146652	3.34596599567683e-05	0.00187175325500734
"BCEN2424_RS01415"	6.1470026897975	0.390226324469559	0.601753632726302	0.648481875716481	0.516673329588835	NA
"BCEN2424_RS01610"	49209.6819809107	1.84623363402836	1.09902878098495	1.67987742083857	0.0929811677412482	0.354710547494437
"BCEN2424_RS01615"	491.674928108545	1.25646952402884	0.302188922450394	4.15789405462107	3.21194914492013e-05	0.00182883042330507
"BCEN2424_RS01620"	57.6698861463102	0.902314620565017	0.334142491061726	2.70038874043808	0.0069258497792351	0.0822080908669713
"BCEN2424_RS01625"	108510.421961146	1.09221117742317	0.933220748999991	1.17036743835105	0.241853133480359	0.565124153913991
"BCEN2424_RS01630"	0.0363476981507572	0	6.00582262393133	0	1	NA
"BCEN2424_RS01635"	139.178937975024	0.122913815335406	0.337069654283276	0.364654052281159	0.715369661105738	0.897733543381774
"BCEN2424_RS01640"	3440.97425325178	0.266237741520019	0.31646960122511	0.841274297718849	0.400194286015296	0.71016022170744
"BCEN2424_RS01645"	1136.06042452095	-0.0433988538525254	0.257850314968667	-0.168310261159848	0.866339201782486	0.955869538782669
"BCEN2424_RS01655"	291.474344501018	-0.390051078252422	0.19636315246337	-1.98637612688145	0.0469915754050589	0.257020717365521
"BCEN2424_RS02220"	1.63259602609419	0.644245948569345	0.925767906554998	0.695904388138424	0.486488709044332	NA
"BCEN2424_RS02700"	51142.6904691235	1.89264924968109	1.10474622679366	1.71319820224612	0.0866760822697014	0.344383489836536
"BCEN2424_RS02705"	491.674928108545	1.25646952402884	0.302188922450394	4.15789405462107	3.21194914492013e-05	0.00182883042330507
"BCEN2424_RS02710"	57.6698861463102	0.902314620565017	0.334142491061726	2.70038874043808	0.0069258497792351	0.0822080908669713
"BCEN2424_RS02715"	108510.421961146	1.09221117742317	0.933220748999991	1.17036743835105	0.241853133480359	0.565124153913991
"BCEN2424_RS02720"	0.0363476981507572	0	6.00582262393133	0	1	NA
"BCEN2424_RS02890"	52.4050957707308	1.4569473958308	0.52226251242941	2.78968404041392	0.0052759501250684	0.0714096076655927
"BCEN2424_RS34380"	301401.792239889	1.17235327155836	0.269652942597515	4.3476375976665	1.37611738298517e-05	0.000959884347390889
"BCEN2424_RS03940"	35.1284731870312	0.311676681884735	0.423289902841384	0.736319670732912	0.461536177883342	0.754318601400312
"BCEN2424_RS04540"	24.4843259640494	0.0652196833426596	0.326200577131889	0.199937363434798	0.841529568570997	0.94921981681496
"BCEN2424_RS04845"	290.636730842277	0.784076067919228	0.495745689902437	1.58160944994506	0.11373875538446	0.39692647802483
"BCEN2424_RS04920"	5.97918953024371	-0.260214569863979	0.699678313005091	-0.371906010272589	0.709962830059175	NA
"BCEN2424_RS04960"	669.036690730828	0.94249331489852	0.336418297090669	2.80155188659226	0.00508574620403189	0.0700840635433662
"BCEN2424_RS04965"	669.036690730828	0.94249331489852	0.336418297090669	2.80155188659226	0.00508574620403189	0.0700840635433662
"BCEN2424_RS04970"	669.036690730828	0.94249331489852	0.336418297090669	2.80155188659226	0.00508574620403189	0.0700840635433662
"BCEN2424_RS05030"	4.06487308602026	1.82803808871253	0.716292670800028	2.55208263777262	0.0107081117392813	NA
"BCEN2424_RS34430"	2352420.17077002	0.620305031411385	0.133866128462131	4.63377135454292	3.59063565215252e-06	0.000302792409472563
"BCEN2424_RS05455"	64.3634535408548	0.295792727837573	0.443034551484201	0.66765160154359	0.504356010783295	0.780501632682995
"BCEN2424_RS05460"	64.3634535408548	0.295792727837573	0.443034551484201	0.66765160154359	0.504356010783295	0.780501632682995
"BCEN2424_RS05690"	294.325192204271	0.739886460760345	0.273750667222244	2.70277500423284	0.00687632753281478	0.0822080908669713
"BCEN2424_RS05695"	294.325192204271	0.739886460760345	0.273750667222244	2.70277500423284	0.00687632753281478	0.0822080908669713
"BCEN2424_RS05700"	294.325192204271	0.739886460760345	0.273750667222244	2.70277500423284	0.00687632753281478	0.0822080908669713
"BCEN2424_RS05705"	5.41304356047177	0.292436772585085	0.647206833532107	0.451844383331248	0.651381093226803	NA
"BCEN2424_RS06505"	14.2243891153878	-0.0291647482884785	0.457472400806923	-0.0637519295962677	0.949167754971524	NA
"BCEN2424_RS06555"	37.2082434370167	0.694720293851741	0.342350629905763	2.02926541727986	0.0424312636990268	0.242158222120708
