"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS00045"	108510.421961146	3.15300895343954	0.93321125208334	3.37866581269849	0.000728384924031742	0.0154911605185203
"BCEN2424_RS00050"	53156.5758450498	4.15223316832533	1.09305486094806	3.79874178019198	0.00014543251357543	0.00483283429727582
"BCEN2424_RS00095"	5.94609874363835	1.19992272299985	0.619857365400235	1.93580457372653	0.0528916405443247	NA
"BCEN2424_RS00745"	188.757382939893	1.80720847257981	0.401589622345834	4.50013738408687	6.79095578341575e-06	0.000469390863749697
"BCEN2424_RS01415"	6.1470026897975	1.13620307364796	0.547007538630235	2.07712507307145	0.0377900169916666	NA
"BCEN2424_RS01610"	49209.6819809107	3.78528133604592	1.09901345868723	3.44425384978217	0.000572637786692171	0.0133119026287543
"BCEN2424_RS01615"	491.674928108545	1.37224634454233	0.301708714219577	4.54824895625535	5.40941212087383e-06	0.000412388124038381
"BCEN2424_RS01620"	57.6698861463102	1.04719643401859	0.329741926726033	3.17580613547107	0.00149420770203821	0.0245125719220445
"BCEN2424_RS01625"	108510.421961146	3.15300895343954	0.93321125208334	3.37866581269849	0.000728384924031742	0.0154911605185203
"BCEN2424_RS01630"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS01635"	139.178937975024	0.830928738728747	0.332448410707546	2.49942160036287	0.0124396220428423	0.0910833342797941
"BCEN2424_RS01640"	3440.97425325178	0.64789527254203	0.316343975851595	2.04807210504926	0.0405529347230307	0.180606884539683
"BCEN2424_RS01645"	1136.06042452095	0.322703347342583	0.257405457307325	1.25367717809221	0.209959366338893	0.456364509476235
"BCEN2424_RS01655"	291.474344501018	-0.0907319037702154	0.194106301298266	-0.467434097519563	0.640189332094704	0.820658134910718
"BCEN2424_RS02220"	1.63259602609419	0.213928540554962	0.952004181244095	0.224713866566633	0.822201876519117	NA
"BCEN2424_RS02700"	51142.6904691235	4.02130720694683	1.104728984812	3.64008481920221	0.000272548245692076	0.00761388153894628
"BCEN2424_RS02705"	491.674928108545	1.37224634454233	0.301708714219577	4.54824895625535	5.40941212087383e-06	0.000412388124038381
"BCEN2424_RS02710"	57.6698861463102	1.04719643401859	0.329741926726033	3.17580613547107	0.00149420770203821	0.0245125719220445
"BCEN2424_RS02715"	108510.421961146	3.15300895343954	0.93321125208334	3.37866581269849	0.000728384924031742	0.0154911605185203
"BCEN2424_RS02720"	0.0363476981507572	0	6.00631008342227	0	1	NA
"BCEN2424_RS02890"	52.4050957707308	1.58108786732668	0.519723206290149	3.04217292626336	0.00234876918167229	0.0328194594010489
"BCEN2424_RS34380"	301401.792239889	1.19609251333859	0.269652424316381	4.4356824025258	9.17810792675918e-06	0.000559756605791995
"BCEN2424_RS03940"	35.1284731870312	0.81047311741114	0.412653827766682	1.96405088933135	0.0495241906603954	0.204894975565435
"BCEN2424_RS04540"	24.4843259640494	0.191964321758323	0.318012380003129	0.603637889054616	0.546084416627743	NA
"BCEN2424_RS04845"	290.636730842277	0.900530796027861	0.495272360543668	1.81825368780793	0.0690253676755269	0.244584761469536
"BCEN2424_RS04920"	5.97918953024371	1.06730313384617	0.594295225346819	1.79591403115062	0.0725081905741702	NA
"BCEN2424_RS04960"	669.036690730828	0.827594965915654	0.336338780232334	2.46059929617386	0.0138705183867896	0.0969377647635627
"BCEN2424_RS04965"	669.036690730828	0.827594965915654	0.336338780232334	2.46059929617386	0.0138705183867896	0.0969377647635627
"BCEN2424_RS04970"	669.036690730828	0.827594965915654	0.336338780232334	2.46059929617386	0.0138705183867896	0.0969377647635627
"BCEN2424_RS05030"	4.06487308602026	1.46631031795837	0.724809723712994	2.02302793407196	0.0430702675963937	NA
