"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0363476981507572	0	6.00582262393133	0	1	1
"BCEN2424_RS00045"	108510.421961146	2.06079777601637	0.9332000635334	2.20831294011438	0.0272224659030942	0.795711222278276
"BCEN2424_RS00050"	53156.5758450498	2.18454815873358	1.09299952691392	1.99867255652127	0.0456437942111258	0.795711222278276
"BCEN2424_RS00095"	5.94609874363835	0.056186445500871	0.558933828351214	0.100524324438573	0.919928072534497	0.990425073067919
"BCEN2424_RS00745"	188.757382939893	0.137865963004721	0.396022439473954	0.348126644509971	0.727745074966679	0.942086401348393
"BCEN2424_RS01415"	6.1470026897975	0.7459767491784	0.546656329505499	1.36461741850351	0.172373327202565	0.795711222278276
"BCEN2424_RS01610"	49209.6819809107	1.93904770201757	1.09896811432453	1.76442580703024	0.0776603164252382	0.795711222278276
"BCEN2424_RS01615"	491.674928108545	0.115776820513493	0.299660917985093	0.386359426821393	0.699230494372085	0.93631333387012
"BCEN2424_RS01620"	57.6698861463102	0.144881813453569	0.320608199431766	0.451896781524465	0.651343343159982	0.925617557232029
"BCEN2424_RS01625"	108510.421961146	2.06079777601637	0.9332000635334	2.20831294011438	0.0272224659030942	0.795711222278276
"BCEN2424_RS01630"	0.0363476981507572	0	6.00582262393133	0	1	1
"BCEN2424_RS01635"	139.178937975024	0.708014923393341	0.333994717683775	2.11983868578331	0.0340196516066897	0.795711222278276
"BCEN2424_RS01640"	3440.97425325178	0.381657531022011	0.316368870247013	1.20636878945777	0.227675324605071	0.813835833780556
"BCEN2424_RS01645"	1136.06042452095	0.366102201195109	0.257740565937099	1.42042910421969	0.155482794744284	0.795711222278276
"BCEN2424_RS01655"	291.474344501018	0.299319174482207	0.197213885037005	1.51773884696832	0.129080246820749	0.795711222278276
"BCEN2424_RS02220"	1.63259602609419	-0.430317408014384	0.92110065265186	-0.467177399967631	0.640372961544075	0.923017154325543
"BCEN2424_RS02700"	51142.6904691235	2.12865795726574	1.10467836397052	1.92694817486491	0.0539860889020686	0.795711222278276
"BCEN2424_RS02705"	491.674928108545	0.115776820513493	0.299660917985093	0.386359426821393	0.699230494372085	0.93631333387012
"BCEN2424_RS02710"	57.6698861463102	0.144881813453569	0.320608199431766	0.451896781524465	0.651343343159982	0.925617557232029
"BCEN2424_RS02715"	108510.421961146	2.06079777601637	0.9332000635334	2.20831294011438	0.0272224659030942	0.795711222278276
"BCEN2424_RS02720"	0.0363476981507572	0	6.00582262393133	0	1	1
"BCEN2424_RS02890"	52.4050957707308	0.12414047149588	0.505619461100311	0.245521545443939	0.806052627757454	0.964978989007576
"BCEN2424_RS34380"	301401.792239889	0.0237392417802329	0.269649532842134	0.0880373925740527	0.929846956532578	0.99326066457246
"BCEN2424_RS03940"	35.1284731870312	0.498796435526405	0.413806863085573	1.20538463718823	0.228054849415893	0.813835833780556
"BCEN2424_RS04540"	24.4843259640494	0.126744638415664	0.325707032471699	0.389136941421972	0.697174847565101	0.935858561320887
"BCEN2424_RS04845"	290.636730842277	0.116454728108633	0.494479869539978	0.235509543021383	0.813813272874067	0.966135434160499
"BCEN2424_RS04920"	5.97918953024371	1.32751770371015	0.654325079740795	2.02883512311042	0.0424750865442428	0.795711222278276
"BCEN2424_RS04960"	669.036690730828	-0.114898348982866	0.335708635523633	-0.342256161518303	0.73215812356159	0.942086401348393
"BCEN2424_RS04965"	669.036690730828	-0.114898348982866	0.335708635523633	-0.342256161518303	0.73215812356159	0.942086401348393
"BCEN2424_RS04970"	669.036690730828	-0.114898348982866	0.335708635523633	-0.342256161518303	0.73215812356159	0.942086401348393
"BCEN2424_RS05030"	4.06487308602026	-0.361727770754165	0.580981530648362	-0.62261492263013	0.533537602525178	0.884902426748283
"BCEN2424_RS34430"	2352420.17077002	-0.0247099652226272	0.133865779930977	-0.184587616307678	0.853552499782807	0.975585011259524
"BCEN2424_RS05455"	64.3634535408548	0.753221454153905	0.436293653575831	1.72640937584252	0.0842737902159375	0.795711222278276
"BCEN2424_RS05460"	64.3634535408548	0.753221454153905	0.436293653575831	1.72640937584252	0.0842737902159375	0.795711222278276
"BCEN2424_RS05690"	294.325192204271	0.315724080208836	0.271002839768591	1.1650212982212	0.244010371784751	0.816215035135502
"BCEN2424_RS05695"	294.325192204271	0.315724080208836	0.271002839768591	1.1650212982212	0.244010371784751	0.816215035135502
"BCEN2424_RS05700"	294.325192204271	0.315724080208836	0.271002839768591	1.1650212982212	0.244010371784751	0.816215035135502
"BCEN2424_RS05705"	5.41304356047177	0.534235498715804	0.606533765453759	0.880800920153444	0.378425581637876	0.844014879259951
"BCEN2424_RS06505"	14.2243891153878	-0.112273679304684	0.467115797063578	-0.240355132518464	0.810054957813013	0.966135434160499
"BCEN2424_RS06555"	37.2082434370167	0.0507020526386452	0.331696924097823	0.152856565602919	0.87851138891989	0.981482668492394
"BCEN2424_RS07300"	5.94609874363835	0.056186445500871	0.558933828351214	0.100524324438573	0.919928072534497	0.990425073067919
"BCEN2424_RS07355"	0.863118120896289	-0.199513173176437	1.59800318162168	-0.124851549403029	0.900641076111624	0.98634882084642
"BCEN2424_RS07650"	22.3532514782165	0.44028223970133	0.437580376954112	1.00617455189838	0.314331611367429	0.825240847524379
"BCEN2424_RS07655"	22.3532514782165	0.44028223970133	0.437580376954112	1.00617455189838	0.314331611367429	0.825240847524379
"BCEN2424_RS07665"	22.3532514782165	0.44028223970133	0.437580376954112	1.00617455189838	0.314331611367429	0.825240847524379
"BCEN2424_RS07730"	0.0305743017657464	0	6.00582262393133	0	1	1
"BCEN2424_RS07790"	3894.23352792239	0.110426732505511	0.444350197382959	0.248512846749883	0.80373763152105	0.964104628482681
"BCEN2424_RS34315"	38.7782999598158	1.22925209054569	0.343699070594839	3.57653597496852	0.000348177419892553	0.23207959354838
"BCEN2424_RS09510"	94.6016569574322	0.279112255502011	0.302529703206428	0.922594550365727	0.356218536710406	0.83428651216657
"BCEN2424_RS09515"	415.541964454119	0.459047986865968	0.472450184220342	0.971632570370376	0.331233373121371	0.829842451177141
"BCEN2424_RS09590"	8.5707158731908	-0.547907051808155	0.538642705742462	-1.01719942731411	0.309058568421312	0.825240847524379
"BCEN2424_RS10205"	94.6016569574322	0.279112255502011	0.302529703206428	0.922594550365727	0.356218536710406	0.83428651216657
"BCEN2424_RS10210"	873.74069330442	0.225941009991902	0.259505079023519	0.870661224982905	0.383939156062258	0.844014879259951
"BCEN2424_RS10215"	105.502589781669	0.0841872974231864	0.310206756596982	0.271390921160888	0.786090383984772	0.958543963270427
"BCEN2424_RS10220"	873.74069330442	0.225941009991902	0.259505079023519	0.870661224982905	0.383939156062258	0.844014879259951
"BCEN2424_RS10225"	94.6016569574322	0.279112255502011	0.302529703206428	0.922594550365727	0.356218536710406	0.83428651216657
"BCEN2424_RS10230"	873.74069330442	0.225941009991902	0.259505079023519	0.870661224982905	0.383939156062258	0.844014879259951
"BCEN2424_RS10235"	377.745607105376	0.2324831907192	0.315377762004659	0.737157842840439	0.46102636687029	0.863215653824961
"BCEN2424_RS10330"	92.8317054049353	-0.286867626058153	0.372729924311052	-0.769639375181358	0.441513841243483	0.856603060790518
"BCEN2424_RS10685"	0.319447342779303	-1.0601107239237	2.59888728129468	-0.40790946631421	0.68334014266853	0.933037215882958
"BCEN2424_RS10775"	0.16046940293582	-0.208399250854017	4.01000743720182	-0.0519697916070295	0.958552763679718	0.996315369728596
"BCEN2424_RS10905"	7.96734747843281	0.284602546224532	0.532274009182281	0.534691796546218	0.592862995042342	0.908222854619691
"BCEN2424_RS11060"	0.0363476981507572	0	6.00582262393133	0	1	1
"BCEN2424_RS11065"	120837.90117767	2.09087824066173	0.932662882886315	2.24183708714888	0.0249719033203399	0.795711222278276
"BCEN2424_RS11070"	57.6698861463102	0.144881813453569	0.320608199431766	0.451896781524465	0.651343343159982	0.925617557232029
"BCEN2424_RS11075"	491.674928108545	0.115776820513493	0.299660917985093	0.386359426821393	0.699230494372085	0.93631333387012
"BCEN2424_RS11080"	67058.7642471181	2.06998078442834	1.06635888479345	1.94116710044507	0.0522380122536116	0.795711222278276
"BCEN2424_RS11245"	187.395395340592	0.885125826580394	0.506041768176837	1.74911614464023	0.0802709450597006	0.795711222278276
"BCEN2424_RS11825"	23.8954963437879	0.526421064875987	0.425998670116446	1.23573405694457	0.216557433799406	0.813835833780556
