"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0	NA	NA	NA	NA	NA
"BCEN2424_RS00045"	123518.954786384	0.581075610688588	0.90707556057948	0.640603314587564	0.521780445512299	1
"BCEN2424_RS00050"	63791.6719911799	0.468586877722183	1.04811723484349	0.44707487115423	NA	NA
"BCEN2424_RS00095"	5.47150687481653	-0.25908000768433	0.752769717909819	-0.344169008822121	0.730719187577477	1
"BCEN2424_RS00745"	195.877337111776	-0.141802080257063	0.41144135114101	-0.344647128597592	0.730359670579805	1
"BCEN2424_RS01415"	5.44428623078742	0.617104976215793	0.637187224551943	0.968482970840679	0.332803219701847	1
"BCEN2424_RS01610"	60993.7810755797	0.411593758077671	1.06952560054834	0.384837686789964	0.700357675432746	1
"BCEN2424_RS01615"	457.130696888851	0.109884063140676	0.271200613041182	0.405176308078589	0.685347918647583	1
"BCEN2424_RS01620"	51.9753510092197	-0.0418290443786071	0.331639141985457	-0.126128188995379	0.899630454059821	1
"BCEN2424_RS01625"	123518.954786384	0.581075610688588	0.90707556057948	0.640603314587564	0.521780445512299	1
"BCEN2424_RS01630"	0	NA	NA	NA	NA	NA
"BCEN2424_RS01635"	104.08890240389	0.509315146823347	0.36607359766907	1.3912916693975	0.164136998965834	1
"BCEN2424_RS01640"	2714.83859753131	0.119166720513108	0.335517629079576	0.355172754528628	0.722460174568227	1
"BCEN2424_RS01645"	781.207535072071	0.0696142794544655	0.287961091398585	0.24174890821659	0.808974730032232	1
"BCEN2424_RS01655"	211.471291721346	0.140560596736419	0.226309230479494	0.621099706974414	0.534534022054941	1
"BCEN2424_RS02220"	0.828436554873006	-0.976357551450983	1.8867051907594	-0.517493435769898	0.604811750047652	1
"BCEN2424_RS02700"	62643.1621710609	0.426807756795394	1.06146092008247	0.402094649666643	0.687614370195638	1
"BCEN2424_RS02705"	457.130696888851	0.109884063140676	0.271200613041182	0.405176308078589	0.685347918647583	1
"BCEN2424_RS02710"	51.9753510092197	-0.0418290443786071	0.331639141985457	-0.126128188995379	0.899630454059821	1
"BCEN2424_RS02715"	123518.954786384	0.581075610688588	0.90707556057948	0.640603314587564	0.521780445512299	1
"BCEN2424_RS02720"	0	NA	NA	NA	NA	NA
"BCEN2424_RS02890"	51.0248235763858	0.000258979722783465	0.501237946433576	0.00051668020074331	0.999587748863297	1
"BCEN2424_RS34380"	304322.227543208	0.0588222530304563	0.259221332038459	0.226919029263106	0.820486704784471	1
"BCEN2424_RS03940"	27.9011193978532	-0.475438053090271	0.351532745498426	-1.35247159525968	0.17622449952533	1
"BCEN2424_RS04540"	19.2623572619195	-0.122016946044879	0.413223673784379	-0.295280628351773	0.767779513469191	1
"BCEN2424_RS04845"	264.945893233644	0.0645625382427651	0.537648185435803	0.120083244009152	0.904417205678716	1
"BCEN2424_RS04920"	4.60526505859169	0.0704889260673762	0.74790154024359	0.0942489382284439	0.924911410669127	1
"BCEN2424_RS04960"	643.723487990082	0.239706404155645	0.244928943968787	0.978677326866655	0.32773943836086	1
"BCEN2424_RS04965"	643.723487990082	0.239706404155645	0.244928943968787	0.978677326866655	0.32773943836086	1
"BCEN2424_RS04970"	643.723487990082	0.239706404155645	0.244928943968787	0.978677326866655	0.32773943836086	1
"BCEN2424_RS05030"	3.40833470778579	-1.21096702230518	0.983395887435174	-1.23141355152861	0.218168231105715	1
"BCEN2424_RS34430"	2330982.0852172	0.0524605233844901	0.135663989554245	0.386694535203197	0.6989823623139	1
"BCEN2424_RS05455"	48.3575695167736	0.052285289145224	0.506215273352028	0.103286668533338	0.917735455997145	1
"BCEN2424_RS05460"	48.3575695167736	0.052285289145224	0.506215273352028	0.103286668533338	0.917735455997145	1
"BCEN2424_RS05690"	243.698679599687	-0.0121397959066804	0.244423463373442	-0.0496670644427151	0.960387702819835	1
"BCEN2424_RS05695"	243.698679599687	-0.0121397959066804	0.244423463373442	-0.0496670644427151	0.960387702819835	1
"BCEN2424_RS05700"	243.698679599687	-0.0121397959066804	0.244423463373442	-0.0496670644427151	0.960387702819835	1
"BCEN2424_RS05705"	4.36623716199146	0.783353044543673	0.803032382830556	0.975493717678587	0.329315416448116	1
