"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0	NA	NA	NA	NA	NA
"BCEN2424_RS00045"	123485.317291808	3.19319610212735	0.907403104978446	3.51904912448277	0.000433096505249585	0.304226903863893
"BCEN2424_RS00050"	63776.7614173667	3.27644028051238	1.04846696671512	3.12498188739085	NA	NA
"BCEN2424_RS00095"	5.4704919160546	-0.327116490511431	0.732292766617244	-0.44670179117365	0.655090388397199	0.999973515151291
"BCEN2424_RS00745"	195.855212303663	-0.1262717514432	0.409972050358627	-0.308000877944589	0.758081664290716	0.999973515151291
"BCEN2424_RS01415"	5.44392672584192	0.591572185839437	0.612519763196249	0.965800977183979	0.334143779449343	0.999973515151291
"BCEN2424_RS01610"	60979.8572474841	3.06240923338872	1.06986105143983	2.86243641570773	0.00420397602829391	0.999973515151291
"BCEN2424_RS01615"	457.04863588874	0.229794965873467	0.270666192495927	0.848997666662508	0.395882590647936	0.999973515151291
"BCEN2424_RS01620"	51.9635023963518	0.265937449404669	0.331394137370016	0.802480851095259	0.422274860837581	0.999973515151291
"BCEN2424_RS01625"	123485.317291808	3.19319610212735	0.907403104978446	3.51904912448277	0.000433096505249585	0.304226903863893
"BCEN2424_RS01630"	0	NA	NA	NA	NA	NA
"BCEN2424_RS01635"	104.066170897887	0.482171058623883	0.36310471291266	1.32791187081029	0.184207222656097	0.999973515151291
"BCEN2424_RS01640"	2714.02336829592	0.185997471534541	0.33449208227468	0.556059414828845	0.578170238533157	0.999973515151291
"BCEN2424_RS01645"	781.143906806285	-0.205206025841053	0.287232644471204	-0.714424456241169	0.47496475375116	0.999973515151291
"BCEN2424_RS01655"	211.433553225545	0.142409559442179	0.224778901218599	0.633553944209758	0.526371965548736	0.999973515151291
"BCEN2424_RS02220"	0.828392440542687	-3.38922981161573	1.57181312909351	-2.15625493188898	0.0310637643098713	0.999973515151291
"BCEN2424_RS02700"	62628.4461306324	3.22048184253241	1.0617980024923	3.03304567815456	0.00242098951157763	0.944454908349896
"BCEN2424_RS02705"	457.04863588874	0.229794965873467	0.270666192495927	0.848997666662508	0.395882590647936	0.999973515151291
"BCEN2424_RS02710"	51.9635023963518	0.265937449404669	0.331394137370016	0.802480851095259	0.422274860837581	0.999973515151291
"BCEN2424_RS02715"	123485.317291808	3.19319610212735	0.907403104978446	3.51904912448277	0.000433096505249585	0.304226903863893
"BCEN2424_RS02720"	0	NA	NA	NA	NA	NA
"BCEN2424_RS02890"	51.0133019363183	0.158011608301425	0.498802365826293	0.316781994487276	0.751409027439768	0.999973515151291
"BCEN2424_RS34380"	304283.11959528	0.0845488639729843	0.259258609220702	0.326117864425515	0.744335181401353	0.999973515151291
"BCEN2424_RS03940"	27.8930953709022	-0.151790350511162	0.351844331472879	-0.431413374988144	0.666167826481405	0.999973515151291
"BCEN2424_RS04540"	19.261655828423	-0.56233880198599	0.392405663750834	-1.43305475413081	0.151842190346032	0.999973515151291
