"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1402.52575256134	0.0973726191342575	0.166936135145008	0.583292640923282	0.559696315699395	0.999604656775379
"Bcen2424_0002"	6611.82898204327	0.168859259647957	0.253586289388705	0.665884815993047	0.505484726525846	0.999604656775379
"Bcen2424_0003"	8607.97656953955	0.105391132005527	0.253675783505456	0.41545602244394	0.677808102621034	0.999604656775379
"Bcen2424_0004"	97.3092891381463	-0.206303506603773	0.21082000407789	-0.978576523163101	0.327789263936274	0.999604656775379
"Bcen2424_0005"	87.0959543138211	-0.0618667503235178	0.227851356660143	-0.271522413692697	0.785989263336305	0.999604656775379
"Bcen2424_0006"	20.8028354590228	-0.636801347091202	0.385124119924539	-1.65349640322703	0.098229877516067	0.999604656775379
"Bcen2424_0007"	51.6668997351954	-0.00481198497108844	0.36146991380652	-0.013312269672502	0.98937865927284	0.999604656775379
"Bcen2424_0008"	14.8312508576727	-0.515744350758328	0.44828441198881	-1.15048468553754	0.249944298244917	0.999604656775379
"Bcen2424_0009"	27.9831944327233	-0.0137392140246769	0.34008315654754	-0.0403995721639226	0.967774571335991	0.999604656775379
"Bcen2424_0010"	79.7603704937643	0.30759336234654	0.231456568198488	1.32894635369673	0.183865669376737	0.999604656775379
"Bcen2424_0011"	41.0174946230305	-0.206933650924342	0.257412358805105	-0.803899439346726	0.421455053892377	0.999604656775379
"Bcen2424_0012"	74.6292086169574	0.166249587449755	0.24801714148146	0.670314908303153	0.502657065427139	0.999604656775379
"Bcen2424_0014"	161.580054793743	-0.00116693831312731	0.22247619717169	-0.00524522770508684	0.99581493298644	0.999604656775379
"Bcen2424_0015"	201.168045555417	-0.100968753919048	0.165802407639413	-0.608970372364159	0.542544077256832	0.999604656775379
"Bcen2424_0016"	356.475808746603	0.0538488104103616	0.146046233875536	0.368710708803714	0.712343365838089	0.999604656775379
"Bcen2424_0017"	340.64143777055	0.00573812824369031	0.164067962233963	0.0349740934522468	0.972100398661558	0.999604656775379
"Bcen2424_0018"	209.864086418227	-0.0523751880241228	0.168112672199684	-0.311548126258511	0.755383962471767	0.999604656775379
"Bcen2424_0019"	135.798227932712	-0.0867210203111728	0.210407030901074	-0.41215837674144	0.680223343108802	0.999604656775379
"Bcen2424_0020"	434.944317616264	0.034703796255027	0.252587042193766	0.13739341477543	0.890719835935619	0.999604656775379
"Bcen2424_0022"	266.040314712557	-0.0451604165434989	0.2397079377052	-0.188397668328525	0.850564927376068	0.999604656775379
"Bcen2424_0023"	484.804232230079	-0.0232323572233499	0.32608368764616	-0.0712466097002674	0.943201486464519	0.999604656775379
"Bcen2424_0024"	112.713197392382	1.10284437762593	0.534469075120162	2.06343908181776	0.0390709300189339	0.999604656775379
"Bcen2424_0025"	63.5344425213978	0.561309426547178	0.546830108705201	1.02647864046159	0.304666026638979	0.999604656775379
"Bcen2424_0026"	123.612134899197	0.646652263117379	0.372592321302568	1.73554908715432	0.0826435948802699	0.999604656775379
"Bcen2424_0027"	614.837480075854	0.0292267444505877	0.181471294552977	0.161054366877046	0.872050580915848	0.999604656775379
"Bcen2424_0028"	571.213666469493	0.161884766410504	0.175703220024937	0.921353441260373	0.35686592827509	0.999604656775379
"Bcen2424_0029"	12.1049007893487	0.483040030067199	0.470376514602547	1.0269220827816	0.304457155068354	0.999604656775379
"Bcen2424_0030"	18.4915581676961	-0.322422598669515	0.438294200455661	-0.735630538424457	0.461955572483519	0.999604656775379
"Bcen2424_0031"	30.0551419052348	-0.297829599986684	0.298880490825447	-0.99648390955241	0.319015081220845	0.999604656775379
"Bcen2424_0032"	8.78291979529893	-0.502191194315874	0.5137072436327	-0.977582466551591	0.32828087262637	0.999604656775379
"Bcen2424_0033"	9.35609428895918	0.0184380385600894	0.484562641908819	0.0380508874713436	0.969647109045343	0.999604656775379
"Bcen2424_0034"	35.8146455111456	0.316648883513254	0.30814642638717	1.02759226263232	0.304141665344894	0.999604656775379
"Bcen2424_0035"	18.2476514686353	-0.431929981182588	0.460519021153644	-0.937919958442893	0.348285545551361	0.999604656775379
"Bcen2424_0036"	84.2061285825832	0.339675512719976	0.826392969305788	0.411033885011535	0.681047688274843	0.999604656775379
"Bcen2424_0037"	127.171483735506	0.000232502429926085	0.469238069716157	0.000495489272783698	0.999604656775379	0.999604656775379
"Bcen2424_0038"	192.723572231912	-0.148197818255654	0.511353819916296	-0.289814630268945	0.771958054659421	0.999604656775379
"Bcen2424_0039"	1347.52600832512	0.255991323176912	0.783953043892481	0.326539102273096	0.744016509792248	0.999604656775379
"Bcen2424_0040"	681.372770927244	0.128744904483589	0.567561237411401	0.226838790243645	0.820549099560274	0.999604656775379
