"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1402.55108465563	-0.1173429138432	0.164742199184444	-0.712282065093862	0.476290127746158	1
"Bcen2424_0002"	6612.14604025194	0.0537806436415938	0.251466387291359	0.213868120590134	0.830649901120653	1
"Bcen2424_0003"	8608.29871549957	0.0238364666049449	0.251364065196505	0.0948284576250414	0.924451082804739	1
"Bcen2424_0004"	97.3523113271017	0.0386760634683455	0.215911886731418	0.179128921773799	0.857836472982512	1
"Bcen2424_0005"	87.1162983475561	0.0736397170392552	0.230334192157497	0.319708143847363	0.749189585664194	1
"Bcen2424_0006"	20.8133258984844	0.215904376400691	0.402932398036341	0.535832753714727	0.592074143165694	1
"Bcen2424_0007"	51.7083830978822	0.23391718022391	0.361904961495825	0.646349746787345	0.518052877574379	1
"Bcen2424_0008"	14.8374616623056	0.507213450960037	0.456832339397093	1.11028359250887	0.266876841078065	1
"Bcen2424_0009"	27.9963701534039	0.0290474136307233	0.346452416050478	0.0838424334338922	0.933181709770337	1
"Bcen2424_0010"	79.745928017074	-0.456089534107042	0.23593827680751	-1.93308834953958	0.0532253150427486	1
"Bcen2424_0011"	41.0346117748149	-0.0313361598058431	0.268647481793652	-0.116644159835872	0.907142042068133	1
"Bcen2424_0012"	74.6642258288408	0.16575430521159	0.248134075501733	0.668002993447922	0.50413168169183	1
"Bcen2424_0014"	161.654336131523	-0.023103102509982	0.224912544070641	-0.102720382295466	0.918184896481932	1
"Bcen2424_0015"	201.255090654844	-0.0652743620238472	0.169968953178002	-0.38403697147848	0.700951045380311	1
"Bcen2424_0016"	356.551348803341	-0.0435044842152331	0.147042235446193	-0.295863865801691	0.767334047190456	1
"Bcen2424_0017"	340.750117198151	0.0884716669758369	0.165200876760751	0.535539936049883	0.592276549822409	1
"Bcen2424_0018"	209.931844582619	-0.0832238574520466	0.171083872540567	-0.486450629250941	0.626647701474573	1
"Bcen2424_0019"	135.848015990238	0.0307505715259239	0.212989869776733	0.144375746875465	0.885203767335243	1
"Bcen2424_0020"	435.118961159916	-0.110410973551712	0.252890108837353	-0.436596646896628	0.662403894828508	1
"Bcen2424_0022"	266.101158295417	-0.083186074370971	0.239825442270011	-0.346860923443289	0.728695804743356	1
"Bcen2424_0023"	484.968434232639	0.0168078511193614	0.324720602197921	0.0517609631344452	0.958719160737482	1
"Bcen2424_0024"	112.746565224824	0.0388714394464351	0.527391406143083	0.0737051059112047	0.941245035912777	1
"Bcen2424_0025"	63.5609978068994	-0.00685460209376184	0.541666293356841	-0.0126546587406836	0.989903312650537	1
"Bcen2424_0026"	123.605930536032	-0.186991605170304	0.369247948198757	-0.50641203582166	0.612567427056224	1
"Bcen2424_0027"	614.988783813294	-0.00198158359189355	0.18143013747419	-0.0109220200099085	0.991285662117976	1
"Bcen2424_0028"	571.290540156683	0.0478935307394976	0.174860935338428	0.273894970576498	0.784165336749465	1
"Bcen2424_0029"	12.1065674077607	-0.154598962516889	0.468435668597323	-0.33003243109095	0.741375457273623	1
