"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1402.55108465563	0.0906130607595672	0.164428606419753	0.551078445123169	0.581579900793026	0.999972590515088
"Bcen2424_0002"	6612.14604025194	0.16176499196012	0.251457644688861	0.643309103448728	0.520023550450927	0.999972590515088
"Bcen2424_0003"	8608.29871549957	0.0981732951645492	0.251347242866445	0.390588311393232	0.696101566838355	0.999972590515088
"Bcen2424_0004"	97.3523113271017	-0.212228189874581	0.211019189636512	-1.00572933788701	0.31454578650512	0.999972590515088
"Bcen2424_0005"	87.1162983475561	-0.0682043097601261	0.22723288339697	-0.300151583435109	0.764061534101151	0.999972590515088
"Bcen2424_0006"	20.8133258984844	-0.642635734279693	0.384551352284823	-1.67113112582092	0.0946957805834273	0.999972590515088
"Bcen2424_0007"	51.7083830978822	-0.0102439624586349	0.361272486974082	-0.0283552244579582	0.977378835534252	0.999972590515088
"Bcen2424_0008"	14.8374616623056	-0.521362365710528	0.44787964079066	-1.1640680178946	0.244396448287188	0.999972590515088
"Bcen2424_0009"	27.9963701534039	-0.0194866264560402	0.340073188762281	-0.0573012724906748	0.954305206719491	0.999972590515088
"Bcen2424_0010"	79.745928017074	0.300761548324365	0.229983294778797	1.30775388974944	0.190956798479392	0.999972590515088
"Bcen2424_0011"	41.0346117748149	-0.212729349967018	0.257680556893303	-0.825554525850788	0.40905684002859	0.999972590515088
"Bcen2424_0012"	74.6642258288408	0.160399068688589	0.248766287212414	0.644778158993986	0.519070957696396	0.999972590515088
"Bcen2424_0014"	161.654336131523	-0.00688048925473025	0.222947079796689	-0.0308615356657946	0.975379965392866	0.999972590515088
"Bcen2424_0015"	201.255090654844	-0.106918151483083	0.166907222581523	-0.64058433080007	0.521792782646435	0.999972590515088
"Bcen2424_0016"	356.551348803341	0.0478161405387706	0.145820872412158	0.327910125263959	0.742979617796296	0.999972590515088
"Bcen2424_0017"	340.750117198151	-4.03624977084152e-05	0.164432091661959	-0.000245466060186066	0.999804146422343	0.999972590515088
"Bcen2424_0018"	209.931844582619	-0.0581973213796452	0.168352154603136	-0.345688010449503	0.729577195676508	0.999972590515088
"Bcen2424_0019"	135.848015990238	-0.0925568457610912	0.210302045360661	-0.44011386385881	0.65985464123692	0.999972590515088
"Bcen2424_0020"	435.118961159916	0.0291868031176562	0.252119687016162	0.115765664566231	0.907838263213768	0.999972590515088
"Bcen2424_0022"	266.101158295417	-0.0507987665607504	0.23831745732144	-0.213155876752384	0.831205382596618	0.999972590515088
"Bcen2424_0023"	484.968434232639	-0.0284354605901801	0.32429663547521	-0.0876834893723522	0.930128242645802	0.999972590515088
"Bcen2424_0024"	112.746565224824	1.09793284016508	0.531458028209842	2.06588814522822	0.0388390424834504	0.999972590515088
"Bcen2424_0025"	63.5609978068994	0.557430316466934	0.543660893241122	1.02532722768365	0.305208812676796	0.999972590515088
"Bcen2424_0026"	123.605930536032	0.640557312795276	0.370253448896037	1.73005090082263	0.0836211814195459	0.999972590515088
"Bcen2424_0027"	614.988783813294	0.0237511376310006	0.180897053310923	0.131296431845009	0.895540814332998	0.999972590515088
"Bcen2424_0028"	571.290540156683	0.155929253738125	0.174689079622627	0.892610196784891	0.372065956663131	0.999972590515088
"Bcen2424_0029"	12.1065674077607	0.477010258976683	0.47057396006021	1.01367755010424	0.310736639803157	0.999972590515088
"Bcen2424_0030"	18.5104808063471	-0.327835781518029	0.438457959459548	-0.747701745275934	0.454640078221674	0.999972590515088
"Bcen2424_0031"	30.0704415380489	-0.303501153501091	0.299120308753524	-1.01464576165297	0.310274717213668	0.999972590515088
"Bcen2424_0032"	8.79079575813399	-0.508212042659241	0.514725894312396	-0.987345008819001	0.323473532917283	0.999972590515088
"Bcen2424_0033"	9.35926533446717	0.0134708284368789	0.485253327634508	0.0277604040399804	0.977853246780481	0.999972590515088
"Bcen2424_0034"	35.8162366920786	0.310238031817222	0.307589908130604	1.00860926713335	0.313162061174491	0.999972590515088
"Bcen2424_0035"	18.2559068836208	-0.436973607058412	0.459213921360816	-0.951568728063605	0.341315747460295	0.999972590515088
"Bcen2424_0036"	84.2504561905912	0.335997021333474	0.827163786254603	0.406203737297142	0.684592908288118	0.999972590515088
"Bcen2424_0037"	127.226513683343	-0.0049771819046479	0.466302321107507	-0.0106737232034931	0.99148376275679	0.999972590515088
"Bcen2424_0038"	192.830556605352	-0.152988482674766	0.507997421237226	-0.301159959241847	0.763292521107874	0.999972590515088
"Bcen2424_0039"	1348.16468657525	0.251544598325125	0.784678707770163	0.320570184757458	0.748536135149729	0.999972590515088
