"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82052.4440396893	2.3275616967193	0.872272955476097	2.66838686457829	0.00762164423877255	0.0477091933006786
"BCEN2424_RS00050"	37983.5682809975	2.24711176747533	1.04629946886166	2.1476755310983	0.0317395405101039	0.120743281482118
"BCEN2424_RS00095"	6.32098868638789	-0.0399641628452373	0.553033168735572	-0.0722635912356025	0.942392138900049	NA
"BCEN2424_RS00745"	189.564493445674	-0.244246503830045	0.348629564001525	-0.700590337281254	0.483558710354825	0.668171395920832
"BCEN2424_RS01415"	6.38429215107565	0.309454369434923	0.606631667364888	0.510119049305724	0.609968060317234	NA
"BCEN2424_RS01610"	34274.8353043177	1.96736482597472	1.04792298471962	1.87739447904284	0.0604640476248363	0.182270707136831
"BCEN2424_RS01615"	506.3507638889	0.630688802220475	0.295708039264531	2.13280911736147	0.0329403880295818	0.123736502288278
"BCEN2424_RS01620"	59.5552000546299	0.819731077790661	0.299596523884208	2.7361167852117	0.00621689581452034	0.0419462186453111
"BCEN2424_RS01625"	82052.4440396893	2.3275616967193	0.872272955476097	2.66838686457829	0.00762164423877255	0.0477091933006786
"BCEN2424_RS01630"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.908810638738	0.998555131656809	0.2866181131698	3.48392193575442	0.000494123587437194	0.00875110951043494
"BCEN2424_RS01640"	3774.44810498998	0.935928715824582	0.27775827269212	3.36957998317482	0.000752828391119047	0.0106983031677892
"BCEN2424_RS01645"	1325.08669146052	0.664677819821484	0.247350936348171	2.68718537974679	0.00720569492607678	0.0458968002473465
"BCEN2424_RS01655"	328.805246195226	0.619963881223742	0.202720677415439	3.05821729252235	0.00222658059281658	0.0215396128034374
"BCEN2424_RS02220"	2.26409018217593	0.651653587589071	0.83749633453082	0.778097241409587	0.436511688865704	NA
"BCEN2424_RS02700"	35827.6140151946	2.12662412082944	1.05651861406828	2.01286005992886	0.0441293533608219	0.150004373321031
"BCEN2424_RS02705"	506.3507638889	0.630688802220475	0.295708039264531	2.13280911736147	0.0329403880295818	0.123736502288278
"BCEN2424_RS02710"	59.5552000546299	0.819731077790661	0.299596523884208	2.7361167852117	0.00621689581452034	0.0419462186453111
"BCEN2424_RS02715"	82052.4440396893	2.3275616967193	0.872272955476097	2.66838686457829	0.00762164423877255	0.0477091933006786
"BCEN2424_RS02720"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	53.0509242852763	0.690034528808641	0.43043503610804	1.60310957734268	0.10891046390884	0.265026852319314
"BCEN2424_RS34380"	302713.771729274	-0.238963890500915	0.259577524195011	-0.920587755977634	0.357265697102737	0.552838687924826
"BCEN2424_RS03940"	38.4489405263451	0.726521060934397	0.428165453416522	1.69682316762635	0.089730097309837	0.235517922740984
"BCEN2424_RS04540"	28.0697753113152	-0.409295655956702	0.348946280031694	-1.17294746893283	0.240816872101019	NA
"BCEN2424_RS04845"	305.386949008273	0.40490916645445	0.396092347608564	1.02225950311617	0.30665809479403	0.505411667434125
"BCEN2424_RS04920"	6.30419051662464	1.41021424195783	0.641866290900924	2.19705297185564	0.0280166632482386	NA
"BCEN2424_RS04960"	702.643102783101	-0.225028467453906	0.344492457453331	-0.653217400222446	0.513616134139807	0.693375812971912
"BCEN2424_RS04965"	702.643102783101	-0.225028467453906	0.344492457453331	-0.653217400222446	0.513616134139807	0.693375812971912
"BCEN2424_RS04970"	702.643102783101	-0.225028467453906	0.344492457453331	-0.653217400222446	0.513616134139807	0.693375812971912
"BCEN2424_RS05030"	4.85462633839949	-0.0755784741290059	0.591664240639963	-0.127738789904318	0.898355691631695	NA
"BCEN2424_RS34430"	2331685.77341114	0.0166451370094873	0.147867330231878	0.112568049909234	0.910373016484954	0.956393714523322
"BCEN2424_RS05455"	71.4968693442337	0.924735106244597	0.338700918096384	2.73024092004807	0.0063288056184862	0.0424037276099035
"BCEN2424_RS05460"	71.4968693442337	0.924735106244597	0.338700918096384	2.73024092004807	0.0063288056184862	0.0424037276099035
"BCEN2424_RS05690"	320.401020741697	0.653444928805638	0.269713131043682	2.42274051054566	0.0154039253532638	0.0751944557790836
"BCEN2424_RS05695"	320.401020741697	0.653444928805638	0.269713131043682	2.42274051054566	0.0154039253532638	0.0751944557790836
"BCEN2424_RS05700"	320.401020741697	0.653444928805638	0.269713131043682	2.42274051054566	0.0154039253532638	0.0751944557790836
"BCEN2424_RS05705"	5.86635019371955	0.623991316893339	0.636720620865527	0.980008023055882	0.327082158338284	NA
"BCEN2424_RS06505"	14.2237824437863	-0.0297576041696841	0.486269431170654	-0.0611957122166719	0.951203344490175	NA
"BCEN2424_RS06555"	42.1734361564526	0.360973655160282	0.314029445028593	1.14948983566625	0.25035405559422	0.448168477333383
"BCEN2424_RS07300"	6.32098868638789	-0.0399641628452373	0.553033168735572	-0.0722635912356025	0.942392138900049	NA
"BCEN2424_RS07355"	0.939370068348851	-1.73457223959993	1.73201823175122	-1.00147458485245	0.31659742127376	NA
"BCEN2424_RS07650"	23.5845236696921	0.6406879754832	0.378640333643181	1.69207535108229	0.0906316075259853	NA
"BCEN2424_RS07655"	23.5845236696921	0.6406879754832	0.378640333643181	1.69207535108229	0.0906316075259853	NA
"BCEN2424_RS07665"	23.5845236696921	0.6406879754832	0.378640333643181	1.69207535108229	0.0906316075259853	NA
"BCEN2424_RS07730"	0.0439173929781132	0	5.26764854491342	0	1	NA
"BCEN2424_RS07790"	3877.60569257922	0.15033841075109	0.37249121954548	0.403602562590698	0.686505000964565	0.821422383650995
"BCEN2424_RS34315"	42.5332228173884	0.678637922786566	0.337616191468933	2.0100870157734	0.0444219800491613	0.15059155784289
"BCEN2424_RS09510"	105.70579881737	0.668995330510647	0.271165538337734	2.4671104396659	0.0136208340241842	0.0695166146807642
"BCEN2424_RS09515"	436.989044058072	0.881923927748927	0.368049654693002	2.39620908891915	0.0165656375303013	0.0787477810257941
"BCEN2424_RS09590"	8.17747849715001	-0.312956982593635	0.515283102091713	-0.607349593501579	0.543618932622583	NA
"BCEN2424_RS10205"	105.70579881737	0.668995330510647	0.271165538337734	2.4671104396659	0.0136208340241842	0.0695166146807642
"BCEN2424_RS10210"	944.762641712306	0.63464731395732	0.22669025852375	2.79962323079194	0.00511622840485702	0.0369653865719085
"BCEN2424_RS10215"	118.518695435291	0.965481628464391	0.276321965752193	3.49404588895491	0.000475759233662141	0.00860961180169276
"BCEN2424_RS10220"	944.762641712306	0.63464731395732	0.22669025852375	2.79962323079194	0.00511622840485702	0.0369653865719085
"BCEN2424_RS10225"	105.70579881737	0.668995330510647	0.271165538337734	2.4671104396659	0.0136208340241842	0.0695166146807642
"BCEN2424_RS10230"	944.762641712306	0.63464731395732	0.22669025852375	2.79962323079194	0.00511622840485702	0.0369653865719085
"BCEN2424_RS10235"	410.331607382792	0.629106771980571	0.299651230611352	2.09946333508146	0.0357760766414013	0.130214864243674
"BCEN2424_RS10330"	98.9833326976322	0.0904091942444265	0.327542549527459	0.276022746891537	0.782530595169455	0.879589827271549
"BCEN2424_RS10685"	0.46203687823173	-0.758247038085384	2.07078225279344	-0.366164543405047	0.714242297930084	NA
"BCEN2424_RS10775"	0.231731839343854	0.110437539550378	2.80307411415752	0.0393987226354772	0.968572498309593	NA
"BCEN2424_RS10905"	8.73684277814269	0.7005669025432	0.552972240501542	1.26691152146768	0.205186928562572	NA
"BCEN2424_RS11060"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS11065"	91777.7998217332	2.40248429615952	0.878852298795955	2.73366104799518	0.00626344846169599	0.0421115417986018
"BCEN2424_RS11070"	59.5552000546299	0.819731077790661	0.299596523884208	2.7361167852117	0.00621689581452034	0.0419462186453111
"BCEN2424_RS11075"	506.3507638889	0.630688802220475	0.295708039264531	2.13280911736147	0.0329403880295818	0.123736502288278
"BCEN2424_RS11080"	49088.6970967484	2.2912833974498	1.02005990627431	2.24622434756654	0.0246896414623902	0.102708549670474
"BCEN2424_RS11245"	198.058279004909	1.4540761269197	0.448230840316241	3.24403409166089	0.00117849640134774	0.0143856625751659
"BCEN2424_RS11825"	26.4100389877534	0.951693782315791	0.349604895554346	2.72219809967692	0.00648492557584614	NA
"BCEN2424_RS11915"	0.0439173929781132	0	5.26764854491342	0	1	NA
"BCEN2424_RS34440"	59345.6900936544	-0.518304320175489	0.284294840411929	-1.82312249995284	0.0682848395314721	0.197369813203391
"BCEN2424_RS12390"	34.5943900148768	1.12828779741112	0.389941981429234	2.89347608399502	0.00381003305132809	0.0309112877027442
"BCEN2424_RS13285"	0.666245202978848	0.0781120992431168	1.67311051593053	0.0466867541022379	0.962762887529663	NA
"BCEN2424_RS14005"	316.221015553731	0.483090761298123	0.225284621119936	2.14435747498688	0.0320042548461609	0.121041473772127
"BCEN2424_RS15585"	2.54474335302181	-0.770468724298458	0.887860507507083	-0.867781276207188	0.385514082050234	NA
"BCEN2424_RS15665"	0.219150611825132	1.07219357773131	3.39753698884037	0.315579662930253	0.752321576044748	NA
"BCEN2424_RS37005"	246.719949240007	-1.28151199624306	0.244214949246016	-5.24747563652254	1.54197433453455e-07	6.66066649430562e-05
"BCEN2424_RS19265"	1.06435719226105	-0.935299606353814	1.51303194687005	-0.618162497023698	0.536468228640388	NA
"BCEN2424_RS19780"	198.515420697844	0.502984580570169	0.181344391425288	2.77364288256686	0.00554324919432323	0.0388102258137445
"BCEN2424_RS24650"	198.058279004909	1.4540761269197	0.448230840316241	3.24403409166089	0.00117849640134774	0.0143856625751659
"BCEN2424_RS37130"	17.607761843701	0.218145995480236	0.411715180548933	0.529846859640651	0.596218112737216	NA
"BCEN2424_RS26145"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS26150"	92376.9313428225	2.23992150409046	0.854396396801676	2.6216420299469	0.00875072914310111	0.0523511695080065
"BCEN2424_RS26155"	59.5552000546299	0.819731077790661	0.299596523884208	2.7361167852117	0.00621689581452034	0.0419462186453111
"BCEN2424_RS26160"	506.3507638889	0.630688802220475	0.295708039264531	2.13280911736147	0.0329403880295818	0.123736502288278
"BCEN2424_RS26165"	36307.1602811788	2.08788368199901	1.03697407244335	2.01343865529778	0.0440685024425246	0.149967153303237
"BCEN2424_RS30710"	49088.6970967484	2.2912833974498	1.02005990627431	2.24622434756654	0.0246896414623902	0.102708549670474
"BCEN2424_RS30715"	506.3507638889	0.630688802220475	0.295708039264531	2.13280911736147	0.0329403880295818	0.123736502288278
"BCEN2424_RS30720"	59.5552000546299	0.819731077790661	0.299596523884208	2.7361167852117	0.00621689581452034	0.0419462186453111
"BCEN2424_RS30725"	76299.8182248042	2.27501134469765	0.853597463734166	2.66520396481186	0.00769416408546207	0.0480595690026335
"BCEN2424_RS30730"	0.0525796215936139	0	5.26764854491342	0	1	NA
"Bcen2424_0001"	1928.02425018203	0.425758830632792	0.144814757642349	2.94002377633566	0.00328187062181742	0.0280771523448268
"Bcen2424_0002"	9176.84891888058	0.581844889049208	0.168669542914294	3.4496144294697	0.000561387747715432	0.00931837402573208
"Bcen2424_0003"	12299.7661449204	0.689343840809379	0.213263254809015	3.23236106204377	0.00122771822169075	0.0147962969912895
"Bcen2424_0004"	125.438797570383	-0.195541312414996	0.173540764464879	-1.12677452480953	0.259837824024267	0.457116268854321
"Bcen2424_0005"	124.983858235296	0.127792551784785	0.190288419513311	0.671572931824397	0.501855615197517	0.683375355996806
"Bcen2424_0006"	25.6824665520017	-0.497394706000106	0.342518874559304	-1.45216729045974	0.146455095267117	NA
"Bcen2424_0007"	55.6944906859904	-0.0299792624104443	0.315922003869295	-0.0948945057427768	0.92439862060896	0.962148569357925
