"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Bcen2424_0001"	1928.02425018203	-0.440687507756763	0.144597242993694	-3.04768955917079	0.00230608028000558	0.0271811070765693
"Bcen2424_0002"	9176.84891888058	-0.557875567653693	0.168620190759128	-3.30847430039153	0.000938057938530191	0.0159735580647379
"Bcen2424_0003"	12299.7661449204	-0.750637757475492	0.213243254068524	-3.52010083861448	0.000431382758996927	0.0103134133374372
"Bcen2424_0004"	125.438797570383	0.0203743165735638	0.17282098359775	0.117892608579211	0.906152749905047	0.950121592513192
"Bcen2424_0005"	124.983858235296	0.164426109441279	0.18462805780641	0.890580290963606	0.373154376519314	0.588080132420106
"Bcen2424_0006"	25.6824665520017	0.243134712887991	0.342860320894714	0.709136339409345	0.478239874051039	0.679943743326045
"Bcen2424_0007"	55.6944906859904	-0.394882148275701	0.318603140192132	-1.23941700021403	0.215191108890224	0.425021262469999
"Bcen2424_0008"	18.5564288209107	0.67742443762749	0.351189588305411	1.9289422584999	0.0537380308967549	0.183292062372431
"Bcen2424_0009"	36.2556302074538	-0.331425012034504	0.268645019008468	-1.23369126015345	0.217317971883321	0.42814090705466
"Bcen2424_0010"	107.012009902135	-0.161228713422724	0.171064425615731	-0.942502877745598	0.345935238480929	0.562928419251093
"Bcen2424_0011"	55.5607611825859	0.437210909613419	0.281422402580205	1.55357535720282	0.120285741197966	0.302712380424295
"Bcen2424_0012"	83.4861573928449	0.20714025374893	0.23672643834957	0.875019517013345	0.38156328639363	0.595275327591256
"Bcen2424_0014"	176.251150467584	-0.0595607578897009	0.168441848445225	-0.353598339364396	0.723639919054678	0.845689085502971
"Bcen2424_0015"	255.898918645467	-0.119710488248617	0.143865998855569	-0.832097154302575	0.405354107971096	0.615705979832809
"Bcen2424_0016"	398.745978535143	-0.171977978011048	0.158828588760302	-1.08278981355548	0.278901727968677	0.498239387908007
"Bcen2424_0017"	399.386004481216	-0.444907427042588	0.211464921255812	-2.10393016676453	0.0353845390568047	0.144846728792336
"Bcen2424_0018"	225.02707158542	-0.141800405822137	0.138326304792057	-1.02511525942447	0.305308806247498	0.525099992785875
"Bcen2424_0019"	165.382550476482	0.286244195470733	0.175033827559315	1.63536500036675	0.101972554861348	0.273033743000481
"Bcen2424_0020"	448.151658799126	0.146024488169816	0.18895672799017	0.772793272422735	0.439644735549519	0.646192458485907
"Bcen2424_0022"	349.254940555481	0.288905184958972	0.221833025514294	1.3023542562663	0.192795312251393	0.400671412136117
"Bcen2424_0023"	589.176239481193	0.58958809476679	0.244737534305253	2.40906282087249	0.0159935447343113	0.0873105089868234
"Bcen2424_0024"	68.4016459215308	1.32849962463034	0.805909490239941	1.64844767398732	0.0992608399006449	0.268761679763112
"Bcen2424_0025"	45.0523134697692	1.24771448688571	0.600692103069968	2.07712816684121	0.037789731524573	0.150667279679877
"Bcen2424_0026"	108.064294759373	-0.188549129581746	0.274513459590318	-0.686848396661991	0.492178268301212	0.69031888512607
"Bcen2424_0027"	702.021937854643	-0.20772434909682	0.144849586493317	-1.43406932753932	0.151552479846732	0.346265654048951
"Bcen2424_0028"	714.135998110574	-0.349920177966421	0.204714817267616	-1.7093055726835	0.0873943616066227	0.25094241309704
"Bcen2424_0029"	13.9387837706994	0.16109417932317	0.385004586666625	0.418421454969992	0.675639002723393	0.81451422597363
"Bcen2424_0030"	20.9365238294967	0.775928631736512	0.420732257442674	1.84423375676688	0.0651490807733429	0.207123528464323
"Bcen2424_0031"	37.1732638348151	0.672005176867446	0.263483499946327	2.55046398352966	0.0107579639012384	0.0693746435861907
"Bcen2424_0032"	12.2161620917536	-0.496387787523253	0.481521518323224	-1.03087353032902	0.302600130863237	0.522432058933417
"Bcen2424_0033"	13.123456466342	0.453412883664538	0.432375366589049	1.04865567907222	0.294336619730894	0.515067330155953
"Bcen2424_0034"	48.4712341268014	0.471042215062415	0.294336495732729	1.60035273196343	0.109520354830185	0.284871231583761
"Bcen2424_0035"	22.5108380709749	0.883692047523056	0.432221168402828	2.04453671435976	0.0409005542371178	0.157628675796358
"Bcen2424_0036"	88.5185430096018	0.348122091877288	0.483050668914345	0.720674070609799	0.471110069312579	0.673837993776862
"Bcen2424_0037"	141.368408291742	0.647395193174011	0.44539990844735	1.45351442803572	0.146080976705636	0.339964772160649
"Bcen2424_0038"	235.969301300718	1.04069854524486	0.483877482702698	2.15074803529199	0.0314960926889418	0.134737726465004
