"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82052.4440396893	1.91475217508738	0.872273076036439	2.19512928656231	0.0281543249393771	0.26697110934076
"BCEN2424_RS00050"	37983.5682809975	1.99716422732576	1.04629900971094	1.9087891786092	0.0562892933987543	0.392280052255551
"BCEN2424_RS00095"	6.32098868638789	-0.558360176606473	0.566099190607041	-0.986329226169235	0.323971582470166	NA
"BCEN2424_RS00745"	189.564493445674	-0.918801993847436	0.349992816961389	-2.62520243079388	0.00865974656216636	0.127476007253549
"BCEN2424_RS01415"	6.38429215107565	-0.45001110606924	0.636625172661387	-0.706869796222455	0.479647395351193	NA
"BCEN2424_RS01610"	34274.8353043177	1.72584586023327	1.04792243295498	1.64692138078068	0.0995742065776673	0.516804696494714
"BCEN2424_RS01615"	506.3507638889	-0.464935303500244	0.296847087677688	-1.56624512349962	0.117291242602391	0.54725090493102
"BCEN2424_RS01620"	59.5552000546299	-0.184134436573486	0.307309897982027	-0.599181600666358	0.549051790958879	0.907570518078428
"BCEN2424_RS01625"	82052.4440396893	1.91475217508738	0.872273076036439	2.19512928656231	0.0281543249393771	0.26697110934076
"BCEN2424_RS01630"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.908810638738	-0.0334359687545633	0.29030626332197	-0.115174810119341	0.908306564400102	0.990905769957482
"BCEN2424_RS01640"	3774.44810498998	-0.172491196335697	0.277923235375879	-0.620643308582708	0.534834337684929	0.901892834199417
"BCEN2424_RS01645"	1325.08669146052	-0.216061080706955	0.247771279100958	-0.87201826414642	0.383198413849735	0.8388795760747
"BCEN2424_RS01655"	328.805246195226	0.0658661180455828	0.203470003869443	0.32371414357394	0.746154461947855	0.955869017076619
"BCEN2424_RS02220"	2.26409018217593	-1.4659384477601	1.091712851444	-1.34278757076195	0.179340769166174	NA
"BCEN2424_RS02700"	35827.6140151946	1.9025422422427	1.0565180144856	1.80076649537208	0.0717396918293273	0.440334305972857
"BCEN2424_RS02705"	506.3507638889	-0.464935303500244	0.296847087677688	-1.56624512349962	0.117291242602391	0.54725090493102
"BCEN2424_RS02710"	59.5552000546299	-0.184134436573486	0.307309897982027	-0.599181600666358	0.549051790958879	0.907570518078428
"BCEN2424_RS02715"	82052.4440396893	1.91475217508738	0.872273076036439	2.19512928656231	0.0281543249393771	0.26697110934076
"BCEN2424_RS02720"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	53.0509242852763	-0.682934869204225	0.44058945011208	-1.5500481662248	0.121129955674649	0.557065594241804
"BCEN2424_RS34380"	302713.771729274	-0.475430191077937	0.25957710331317	-1.8315567321219	0.0670174881109181	0.428288798952048
"BCEN2424_RS03940"	38.4489405263451	0.201272673943331	0.430326424837192	0.467720926084145	0.639984174388643	0.930108494013415
"BCEN2424_RS04540"	28.0697753113152	-0.503860140361101	0.340390892771546	-1.48023978038469	0.138809267683193	0.591016029310697
"BCEN2424_RS04845"	305.386949008273	-0.0734877470110336	0.396298002079296	-0.185435572789815	0.852887409171085	0.981257152326187
"BCEN2424_RS04920"	6.30419051662464	0.0166940175118317	0.708246541674516	0.0235709128524113	0.98119487388401	NA
"BCEN2424_RS04960"	702.643102783101	-0.712784653011204	0.344638819353795	-2.0682076799929	0.0386204983983663	0.317149086725682
"BCEN2424_RS04965"	702.643102783101	-0.712784653011204	0.344638819353795	-2.0682076799929	0.0386204983983663	0.317149086725682
"BCEN2424_RS04970"	702.643102783101	-0.712784653011204	0.344638819353795	-2.0682076799929	0.0386204983983663	0.317149086725682
"BCEN2424_RS05030"	4.85462633839949	-0.692959857398816	0.612977081855169	-1.13048248933154	0.258272972838625	NA
"BCEN2424_RS34430"	2331685.77341114	-0.151615870290634	0.147867193772442	-1.02535164442196	0.305197295759066	0.787251110717644
"BCEN2424_RS05455"	71.4968693442337	-0.0722879014655992	0.34502461958614	-0.209515197936626	0.834046072417012	0.974468653848506
"BCEN2424_RS05460"	71.4968693442337	-0.0722879014655992	0.34502461958614	-0.209515197936626	0.834046072417012	0.974468653848506
"BCEN2424_RS05690"	320.401020741697	-0.267572012229472	0.271233456256323	-0.986500765512533	0.323887439782319	0.798127165660489
"BCEN2424_RS05695"	320.401020741697	-0.267572012229472	0.271233456256323	-0.986500765512533	0.323887439782319	0.798127165660489
"BCEN2424_RS05700"	320.401020741697	-0.267572012229472	0.271233456256323	-0.986500765512533	0.323887439782319	0.798127165660489
"BCEN2424_RS05705"	5.86635019371955	-0.134549546003158	0.663179784711901	-0.20288547556016	0.839224547015707	NA
"BCEN2424_RS06505"	14.2237824437863	-0.421432796182424	0.487842994907958	-0.863869729772253	0.387659457110583	0.840693591010147
"BCEN2424_RS06555"	42.1734361564526	-0.41757667427269	0.321935150044233	-1.29708319894648	0.194602561671864	0.675945631525867
"BCEN2424_RS07300"	6.32098868638789	-0.558360176606473	0.566099190607041	-0.986329226169235	0.323971582470166	NA
"BCEN2424_RS07355"	0.939370068348851	-0.212882723036924	1.62518341832407	-0.130989967431771	0.89578324384982	NA
"BCEN2424_RS07650"	23.5845236696921	-0.372591663454901	0.395829624796479	-0.941293021325712	0.346554718060088	0.820566767880847
"BCEN2424_RS07655"	23.5845236696921	-0.372591663454901	0.395829624796479	-0.941293021325712	0.346554718060088	0.820566767880847
"BCEN2424_RS07665"	23.5845236696921	-0.372591663454901	0.395829624796479	-0.941293021325712	0.346554718060088	0.820566767880847
"BCEN2424_RS07730"	0.0439173929781132	0	5.26764854491342	0	1	NA
"BCEN2424_RS07790"	3877.60569257922	-0.77644964482678	0.372587829254135	-2.08393721926214	0.0371658782658908	0.310188698601097
"BCEN2424_RS34315"	42.5332228173884	0.0982490319186729	0.342257498510543	0.287061736693101	0.77406504938789	0.960427821594875
"BCEN2424_RS09510"	105.70579881737	-0.129804729543703	0.274842295764406	-0.472288041339063	0.636721205009736	0.930108494013415
"BCEN2424_RS09515"	436.989044058072	0.000412052458516835	0.368730842048844	0.00111748845371132	0.999108373401483	0.999906783638296
"BCEN2424_RS09590"	8.17747849715001	-1.18147551126484	0.549774987407099	-2.14901648552078	0.0316330931568248	0.28360414104164
"BCEN2424_RS10205"	105.70579881737	-0.129804729543703	0.274842295764406	-0.472288041339063	0.636721205009736	0.930108494013415
"BCEN2424_RS10210"	944.762641712306	-0.210616851611237	0.22720678617864	-0.926983102721417	0.353935307508606	0.823726836266528
"BCEN2424_RS10215"	118.518695435291	-0.101063638134205	0.280952522630909	-0.35971785263866	0.719058140058689	0.949993409756215
"BCEN2424_RS10220"	944.762641712306	-0.210616851611237	0.22720678617864	-0.926983102721417	0.353935307508606	0.823726836266528
"BCEN2424_RS10225"	105.70579881737	-0.129804729543703	0.274842295764406	-0.472288041339063	0.636721205009736	0.930108494013415
"BCEN2424_RS10230"	944.762641712306	-0.210616851611237	0.22720678617864	-0.926983102721417	0.353935307508606	0.823726836266528
"BCEN2424_RS10235"	410.331607382792	-0.280937764160081	0.300696362348656	-0.934290531371093	0.350154047231334	0.822843703880675
"BCEN2424_RS10330"	98.9833326976322	-0.0595074630844278	0.326193102429328	-0.182430169863327	0.855245150926211	0.981267422990268
