"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	0.571214693346607	5.26790435362004	0.108433003904878	0.91365222213894	NA
"BCEN2424_RS00045"	82052.4440396893	-1.01987199329625	0.872263907541402	-1.1692241126552	0.242313348659427	0.490888727677467
"BCEN2424_RS00050"	37983.5682809975	-1.26357318098736	1.04628576785439	-1.20767501557299	0.22717229190714	0.474119530712912
"BCEN2424_RS00095"	6.32098868638789	-0.101518212996762	0.544349192833073	-0.186494651472539	0.852056872791367	NA
"BCEN2424_RS00745"	189.564493445674	-0.38012552749565	0.349798802999414	-1.08669762227942	0.277170465174221	0.53130227106202
"BCEN2424_RS01415"	6.38429215107565	-0.421771197483594	0.594758565859689	-0.709146907155424	0.478233316781641	NA
"BCEN2424_RS01610"	34274.8353043177	-1.43611985479114	1.0479143116774	-1.37045542635289	0.170544780377591	0.412563616283999
"BCEN2424_RS01615"	506.3507638889	-0.832255194361158	0.295578140881639	-2.81568586864624	0.00486732327288991	0.0902066226985917
"BCEN2424_RS01620"	59.5552000546299	-0.982893167323901	0.29783938707832	-3.3000778606405	0.000966580078583973	0.0570805925808567
"BCEN2424_RS01625"	82052.4440396893	-1.01987199329625	0.872263907541402	-1.1692241126552	0.242313348659427	0.490888727677467
"BCEN2424_RS01630"	0.0525796215936139	0.571214693346607	5.26790435362004	0.108433003904878	0.91365222213894	NA
"BCEN2424_RS01635"	153.908810638738	-0.636037482573891	0.282459241641367	-2.25178499693579	0.0243358622442074	0.168759844716562
"BCEN2424_RS01640"	3774.44810498998	-0.978712463241009	0.27769345419955	-3.52443476228903	0.000424387302151791	0.0433078026353635
"BCEN2424_RS01645"	1325.08669146052	-0.209031687555326	0.246786195731204	-0.847015315974155	0.39698658458226	0.643313757735782
"BCEN2424_RS01655"	328.805246195226	-0.122249563402315	0.199640879665031	-0.612347348936912	0.540307968861586	0.757038575862674
"BCEN2424_RS02220"	2.26409018217593	-0.930993186577708	0.83741629904125	-1.11174476499155	0.266247906728683	NA
"BCEN2424_RS02700"	35827.6140151946	-1.33982044110696	1.05650684094615	-1.26816068687931	0.204740573055429	0.453497854077321
"BCEN2424_RS02705"	506.3507638889	-0.832255194361158	0.295578140881639	-2.81568586864624	0.00486732327288991	0.0902066226985917
"BCEN2424_RS02710"	59.5552000546299	-0.982893167323901	0.29783938707832	-3.3000778606405	0.000966580078583973	0.0570805925808567
"BCEN2424_RS02715"	82052.4440396893	-1.01987199329625	0.872263907541402	-1.1692241126552	0.242313348659427	0.490888727677467
"BCEN2424_RS02720"	0.0525796215936139	0.571214693346607	5.26790435362004	0.108433003904878	0.91365222213894	NA
"BCEN2424_RS02890"	53.0509242852763	-1.46984755320792	0.436580703712167	-3.36672587842309	0.000760662589645856	0.053709692501395
"BCEN2424_RS34380"	302713.771729274	-0.159153362416583	0.2595778902034	-0.613123722871289	0.53979453537497	0.757038575862674
"BCEN2424_RS03940"	38.4489405263451	-1.09495769543671	0.429850723516554	-2.54729755129641	0.0108560823210919	NA
"BCEN2424_RS04540"	28.0697753113152	0.403615304149402	0.342568919010216	1.17820176248203	0.238716180111083	NA
"BCEN2424_RS04845"	305.386949008273	-1.25349351290202	0.397511441646372	-3.15335203361801	0.0016140703164446	0.0650874601616489
"BCEN2424_RS04920"	6.30419051662464	-0.548633678471552	0.546083117686489	-1.00467064573589	0.315055467353172	NA
"BCEN2424_RS04960"	702.643102783101	-0.16295141493572	0.344589401668967	-0.472885742122331	0.636294697609878	0.82043768218872
"BCEN2424_RS04965"	702.643102783101	-0.16295141493572	0.344589401668967	-0.472885742122331	0.636294697609878	0.82043768218872
"BCEN2424_RS04970"	702.643102783101	-0.16295141493572	0.344589401668967	-0.472885742122331	0.636294697609878	0.82043768218872
"BCEN2424_RS05030"	4.85462633839949	-0.868819863675074	0.643636284823147	-1.34986153540707	0.177060401850357	NA
"BCEN2424_RS34430"	2331685.77341114	-0.280752615953973	0.147867324517736	-1.89867921712682	0.0576066657351153	0.239503808578969
"BCEN2424_RS05455"	71.4968693442337	-0.743258849463034	0.333169857633678	-2.23087062779926	0.0256896998565335	0.170917080595313
"BCEN2424_RS05460"	71.4968693442337	-0.743258849463034	0.333169857633678	-2.23087062779926	0.0256896998565335	0.170917080595313
"BCEN2424_RS05690"	320.401020741697	-0.747683802086524	0.269151119598847	-2.77793309275807	0.00547058815579974	0.0945380553824946
"BCEN2424_RS05695"	320.401020741697	-0.747683802086524	0.269151119598847	-2.77793309275807	0.00547058815579974	0.0945380553824946
"BCEN2424_RS05700"	320.401020741697	-0.747683802086524	0.269151119598847	-2.77793309275807	0.00547058815579974	0.0945380553824946
"BCEN2424_RS05705"	5.86635019371955	-0.52406956352211	0.608863485145959	-0.860734099362976	0.389384507890572	NA
"BCEN2424_RS06505"	14.2237824437863	-0.369336015129915	0.490608350076606	-0.752812329982246	0.451562696386367	NA
"BCEN2424_RS06555"	42.1734361564526	-0.377699390005771	0.309351498372724	-1.22093926162497	0.222109017645872	NA
"BCEN2424_RS07300"	6.32098868638789	-0.101518212996762	0.544349192833073	-0.186494651472539	0.852056872791367	NA
"BCEN2424_RS07355"	0.939370068348851	3.91874328076139	1.46305178891895	2.67847202022626	0.00739589110118042	NA
"BCEN2424_RS07650"	23.5845236696921	-0.911736790493122	0.378364280273724	-2.40967987208923	0.0159665234298029	NA
"BCEN2424_RS07655"	23.5845236696921	-0.911736790493122	0.378364280273724	-2.40967987208923	0.0159665234298029	NA
"BCEN2424_RS07665"	23.5845236696921	-0.911736790493122	0.378364280273724	-2.40967987208923	0.0159665234298029	NA
"BCEN2424_RS07730"	0.0439173929781132	0	5.26790435362004	0	1	NA
"BCEN2424_RS07790"	3877.60569257922	-1.20076061344457	0.372635907687468	-3.22234274441327	0.00127146939053807	0.0622215430912467
"BCEN2424_RS34315"	42.5332228173884	0.233026978625805	0.313931386749571	0.74228633536313	0.457913869156258	NA
"BCEN2424_RS09510"	105.70579881737	-0.443953102857497	0.266646579599203	-1.66494955054291	0.0959228212872036	0.302238201051212
"BCEN2424_RS09515"	436.989044058072	-1.2821273594683	0.368279519433728	-3.4813973946738	0.000498804846038951	0.0473339546004331
"BCEN2424_RS09590"	8.17747849715001	-0.305467013681637	0.53126980765263	-0.574975293686116	0.565308006238149	NA
"BCEN2424_RS10205"	105.70579881737	-0.443953102857497	0.266646579599203	-1.66494955054291	0.0959228212872036	0.302238201051212
"BCEN2424_RS10210"	944.762641712306	-0.968692640494856	0.226760244257704	-4.27188038920074	1.93831541643289e-05	0.00899460832125337
"BCEN2424_RS10215"	118.518695435291	-1.01066458394032	0.274321863824607	-3.68422906526514	0.000229395880084573	0.0360812645955263
"BCEN2424_RS10220"	944.762641712306	-0.968692640494856	0.226760244257704	-4.27188038920074	1.93831541643289e-05	0.00899460832125337
"BCEN2424_RS10225"	105.70579881737	-0.443953102857497	0.266646579599203	-1.66494955054291	0.0959228212872036	0.302238201051212
"BCEN2424_RS10230"	944.762641712306	-0.968692640494856	0.226760244257704	-4.27188038920074	1.93831541643289e-05	0.00899460832125337
"BCEN2424_RS10235"	410.331607382792	-0.769434729583535	0.29935424740771	-2.570315057316	0.0101606062620238	0.117583847976394
"BCEN2424_RS10330"	98.9833326976322	-0.982064540684271	0.332668076597813	-2.95208530595366	0.00315635718586379	0.0794935658584396
"BCEN2424_RS10685"	0.46203687823173	-0.390573173217649	2.14831827479163	-0.181804147830718	0.855736429274587	NA
"BCEN2424_RS10775"	0.231731839343854	-0.39057254006009	2.80311265750301	-0.139335298927303	0.889185197418338	NA
"BCEN2424_RS10905"	8.73684277814269	-0.270316992235145	0.513030622294285	-0.526902255904883	0.598261467203098	NA
"BCEN2424_RS11060"	0.0525796215936139	0.571214693346607	5.26790435362004	0.108433003904878	0.91365222213894	NA
"BCEN2424_RS11065"	91777.7998217332	-1.06990576481522	0.878844072706119	-1.21740112727937	0.223451634366998	0.470305713970688
"BCEN2424_RS11070"	59.5552000546299	-0.982893167323901	0.29783938707832	-3.3000778606405	0.000966580078583973	0.0570805925808567
"BCEN2424_RS11075"	506.3507638889	-0.832255194361158	0.295578140881639	-2.81568586864624	0.00486732327288991	0.0902066226985917
"BCEN2424_RS11080"	49088.6970967484	-1.21172092909034	1.02004869218769	-1.18790498764483	0.234870844469411	0.483048059975301
