"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	1.04996220572314	5.26790435362004	0.199313073139154	0.842017853445835	NA
"BCEN2424_RS00045"	82052.4440396893	2.38690942973857	0.872285896501546	2.73638429706555	0.00621184353751639	0.175765591904392
"BCEN2424_RS00050"	37983.5682809975	2.93758867911785	1.04636123972257	2.80743262230998	0.00499381253830709	0.159533516680756
"BCEN2424_RS00095"	6.32098868638789	0.9882756391313	0.597175053071349	1.65491782359037	0.0979411682699022	NA
"BCEN2424_RS00745"	189.564493445674	1.03408366131022	0.354860937274486	2.91405323238031	0.00356769065201828	0.13954432924642
"BCEN2424_RS01415"	6.38429215107565	0.265954492427103	0.609258759538322	0.43652140943962	0.662458469285907	NA
"BCEN2424_RS01610"	34274.8353043177	2.36275973790021	1.04797661088289	2.25459205230703	0.0241589467783616	0.335402948030431
"BCEN2424_RS01615"	506.3507638889	1.04452284837267	0.298378646058439	3.50066220277739	0.00046410371070033	0.0540726323329679
"BCEN2424_RS01620"	59.5552000546299	0.728370338793554	0.315956126924715	2.30528949029403	0.0211503657498276	0.31736088829404
"BCEN2424_RS01625"	82052.4440396893	2.38690942973857	0.872285896501546	2.73638429706555	0.00621184353751639	0.175765591904392
"BCEN2424_RS01630"	0.0525796215936139	1.04996220572314	5.26790435362004	0.199313073139154	0.842017853445835	NA
"BCEN2424_RS01635"	153.908810638738	0.473989208820802	0.285920847495563	1.65776372367586	0.0973651660425904	0.575093257082577
"BCEN2424_RS01640"	3774.44810498998	0.213177663619651	0.277849460907868	0.767241595226049	0.442937886295649	0.858711823129994
"BCEN2424_RS01645"	1325.08669146052	0.402060866838149	0.246880909545017	1.62856199606165	0.103405774987625	0.585700639696719
"BCEN2424_RS01655"	328.805246195226	0.0953476937771599	0.198772131365678	0.479683409953232	0.631452526253891	0.917605994375304
"BCEN2424_RS02220"	2.26409018217593	0.354192503928418	0.923449817250436	0.383553602276974	0.701309334401319	NA
"BCEN2424_RS02700"	35827.6140151946	2.66524840334082	1.05657644237636	2.5225324893165	0.0116513186663013	0.237545881294044
"BCEN2424_RS02705"	506.3507638889	1.04452284837267	0.298378646058439	3.50066220277739	0.00046410371070033	0.0540726323329679
"BCEN2424_RS02710"	59.5552000546299	0.728370338793554	0.315956126924715	2.30528949029403	0.0211503657498276	0.31736088829404
"BCEN2424_RS02715"	82052.4440396893	2.38690942973857	0.872285896501546	2.73638429706555	0.00621184353751639	0.175765591904392
"BCEN2424_RS02720"	0.0525796215936139	1.04996220572314	5.26790435362004	0.199313073139154	0.842017853445835	NA
"BCEN2424_RS02890"	53.0509242852763	0.664942792182722	0.457404131946791	1.45373149418789	0.146020762942555	0.635956917361277
"BCEN2424_RS34380"	302713.771729274	0.764273003391253	0.259579731498214	2.94427072167809	0.00323716700353333	0.132972034164403
"BCEN2424_RS03940"	38.4489405263451	-0.0658825978837029	0.437897027094461	-0.150452261164794	0.880407812011067	0.978720475092633
"BCEN2424_RS04540"	28.0697753113152	0.0487617276655642	0.318449220947369	0.153122458646627	0.878301705286806	NA
"BCEN2424_RS04845"	305.386949008273	-0.0753614634185209	0.399018262164081	-0.188867203746006	0.850196898547746	0.970021115816188
"BCEN2424_RS04920"	6.30419051662464	0.587667857199653	0.588738341026766	0.998181732439497	0.31819124287911	NA
"BCEN2424_RS04960"	702.643102783101	0.545232567450638	0.344866142423551	1.58099766946969	0.113878570607379	0.605247286716501
