"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	0.887516229981747	5.26790435362004	0.168476147326376	0.866208707120717	0.98528417830395
"BCEN2424_RS00045"	82052.4440396893	-0.753352318082982	0.872263767218758	-0.863674895593875	0.387766508197931	0.922936093166558
"BCEN2424_RS00050"	37983.5682809975	-1.20083075033897	1.04628472743996	-1.14770933651794	0.251088575582959	0.892114507879072
"BCEN2424_RS00095"	6.32098868638789	-0.200066211551941	0.517611325819979	-0.386518226267565	0.699112906814813	0.965401560463535
"BCEN2424_RS00745"	189.564493445674	-0.765434990413493	0.347613792019864	-2.20196956503312	0.0276674583926112	0.804205219184979
"BCEN2424_RS01415"	6.38429215107565	-0.861790553032236	0.554843377190027	-1.55321409331175	0.120371995485076	0.847681401063055
"BCEN2424_RS01610"	34274.8353043177	-1.40803248326297	1.04791300936341	-1.34365397765061	0.179060306029874	0.881330468333154
"BCEN2424_RS01615"	506.3507638889	-0.320110542381222	0.295811831485673	-1.08214245783717	0.279189232356687	0.899762845590241
"BCEN2424_RS01620"	59.5552000546299	-0.310109256664263	0.301618264729678	-1.02815145144541	0.303878591293611	0.90414071559276
"BCEN2424_RS01625"	82052.4440396893	-0.753352318082982	0.872263767218758	-0.863674895593875	0.387766508197931	0.922936093166558
"BCEN2424_RS01630"	0.0525796215936139	0.887516229981747	5.26790435362004	0.168476147326376	0.866208707120717	0.98528417830395
"BCEN2424_RS01635"	153.908810638738	-0.349087269056564	0.282287451624198	-1.23663757297046	0.216221664327758	0.887776089242849
"BCEN2424_RS01640"	3774.44810498998	-0.428047937368668	0.27773391135047	-1.54121596202387	0.123264233923922	0.848666928645572
"BCEN2424_RS01645"	1325.08669146052	0.0861303620033827	0.246764043530891	0.34903935261784	0.727059766066151	0.969789127346432
"BCEN2424_RS01655"	328.805246195226	0.195779128753227	0.199611146024301	0.980802588696086	0.326690101444972	0.907222520785328
