"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82024.3274194973	-3.41009518641533	0.872138664888016	-3.91003784570564	9.22816615283113e-05	0.0028415442312183
"BCEN2424_RS00050"	37969.4031903612	-4.20436097607924	1.04627263173706	-4.01841819096329	5.85901442544354e-05	0.0021187831236197
"BCEN2424_RS00095"	6.32578022785769	-1.09383804099069	0.613505857279933	-1.78293006987803	0.0745976874859883	NA
"BCEN2424_RS00745"	189.779166887702	-1.418128260697	0.355294333453766	-3.9914181769002	6.56793495458462e-05	0.00231005990157584
"BCEN2424_RS01415"	6.38837835003541	-0.69153772532657	0.606104997013438	-1.14095367755438	0.253889200159957	NA
"BCEN2424_RS01610"	34262.323987033	-3.80208570488818	1.04788637190842	-3.62833777288638	0.000285251904840397	0.0056325931685945
"BCEN2424_RS01615"	506.607663724147	-1.8807459708061	0.29801767973783	-6.31085367975688	2.7750046396634e-10	1.91783653985626e-07
"BCEN2424_RS01620"	59.5655556863287	-1.71525888800421	0.309411628417614	-5.54361481750492	2.96290231968866e-08	8.37693292202885e-06
"BCEN2424_RS01625"	82024.3274194973	-3.41009518641533	0.872138664888016	-3.91003784570564	9.22816615283113e-05	0.0028415442312183
"BCEN2424_RS01630"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.952355790483	-1.11409649842893	0.285073268649546	-3.90810581331126	9.30225667011496e-05	0.00285024810286281
"BCEN2424_RS01640"	3774.7001272504	-1.19579036849114	0.277780257279123	-4.30480690097992	1.67131450974172e-05	0.000898608874729187
"BCEN2424_RS01645"	1325.48074119514	-0.61525165024299	0.24738990618123	-2.48697151690691	0.0128835713575525	0.0695020068031019
"BCEN2424_RS01655"	328.795690922001	-0.221886106295009	0.200084397613343	-1.10896256250723	0.267446332655102	0.478847492548858
"BCEN2424_RS02220"	2.2647888480265	-1.28839372228555	0.869513542389436	-1.48174083493286	0.13840926718768	NA
"BCEN2424_RS02700"	35814.9819264053	-4.00826153539724	1.05649084007174	-3.7939387483237	0.00014827626605313	0.00377982940512487
"BCEN2424_RS02705"	506.607663724147	-1.8807459708061	0.29801767973783	-6.31085367975688	2.7750046396634e-10	1.91783653985626e-07
"BCEN2424_RS02710"	59.5655556863287	-1.71525888800421	0.309411628417614	-5.54361481750492	2.96290231968866e-08	8.37693292202885e-06
"BCEN2424_RS02715"	82024.3274194973	-3.41009518641533	0.872138664888016	-3.91003784570564	9.22816615283113e-05	0.0028415442312183
"BCEN2424_RS02720"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0773416583281	-2.13878510797362	0.447089373499573	-4.7837976806122	1.7201382954005e-06	0.000154119691631194
"BCEN2424_RS34380"	302933.942350017	-0.927693773419825	0.259973221272288	-3.56842050454184	0.000359139784285268	0.00666820733807274
"BCEN2424_RS03940"	38.4424205190436	-1.03263489214774	0.426989194245377	-2.41840989435981	0.0155885058022214	0.0786314473548117
"BCEN2424_RS04540"	28.0809867487239	0.350642579614142	0.341817718231347	1.02581744863449	0.304977639861952	0.517742672747544
"BCEN2424_RS04845"	305.384688593299	-1.18194345590931	0.397298346176031	-2.97495186497863	0.00293034525152591	0.0258902662847886
"BCEN2424_RS04920"	6.30786777006068	-1.1405471151272	0.579462559146191	-1.96828439926772	0.0490353239458706	NA
"BCEN2424_RS04960"	703.086214647304	-0.711953491215592	0.345135169081896	-2.06282510446408	0.0391292479566664	0.141502280401433
"BCEN2424_RS04965"	703.086214647304	-0.711953491215592	0.345135169081896	-2.06282510446408	0.0391292479566664	0.141502280401433
"BCEN2424_RS04970"	703.086214647304	-0.711953491215592	0.345135169081896	-2.06282510446408	0.0391292479566664	0.141502280401433
"BCEN2424_RS05030"	4.85818312040048	-1.7470825909944	0.732732817046677	-2.38433785187365	0.0171098862732623	NA
"BCEN2424_RS34430"	2332176.21399708	-0.630152770426176	0.147767566529357	-4.26448634992568	2.00362591953177e-05	0.000990859834124021
"BCEN2424_RS05455"	71.5224352064686	-1.21244936131606	0.337927771849746	-3.58789499507356	0.000333358484259317	0.00643940923010234
"BCEN2424_RS05460"	71.5224352064686	-1.21244936131606	0.337927771849746	-3.58789499507356	0.000333358484259317	0.00643940923010234
"BCEN2424_RS05690"	320.515509005767	-1.3871702348658	0.271234719565191	-5.11427975404303	3.14940314466821e-07	5.02289424611187e-05
"BCEN2424_RS05695"	320.515509005767	-1.3871702348658	0.271234719565191	-5.11427975404303	3.14940314466821e-07	5.02289424611187e-05
"BCEN2424_RS05700"	320.515509005767	-1.3871702348658	0.271234719565191	-5.11427975404303	3.14940314466821e-07	5.02289424611187e-05
"BCEN2424_RS05705"	5.86881621108196	-0.911573604400986	0.628674505423499	-1.44999295587295	0.147060483562577	NA
"BCEN2424_RS06505"	14.2236125289762	0.0632188977436561	0.473434622427628	0.133532476816944	0.893772281461723	NA
"BCEN2424_RS06555"	42.1914826756326	-1.04803522256877	0.320889373620423	-3.26603280982586	0.00109065611838114	0.0138729673953592
"BCEN2424_RS07300"	6.32578022785769	-1.09383804099069	0.613505857279933	-1.78293006987803	0.0745976874859883	NA
"BCEN2424_RS07355"	0.941372111166106	0.478834106597891	1.82292852220188	0.262673001582923	0.792802627849572	NA
"BCEN2424_RS07650"	23.5958207813418	-1.6599661583377	0.402440275381761	-4.1247515715544	3.71135132799797e-05	NA
"BCEN2424_RS07655"	23.5958207813418	-1.6599661583377	0.402440275381761	-4.1247515715544	3.71135132799797e-05	NA
"BCEN2424_RS07665"	23.5958207813418	-1.6599661583377	0.402440275381761	-4.1247515715544	3.71135132799797e-05	NA
"BCEN2424_RS07730"	0.0437176773309252	0.478828258077889	5.26790435362004	0.0908953970944524	0.927575707640313	NA
"BCEN2424_RS07790"	3880.49940613085	-1.81379672017297	0.373049023066655	-4.86208677149891	1.16154681362371e-06	0.000126751248784903
"BCEN2424_RS34315"	42.5626627810843	-0.5525533552709	0.325691823444574	-1.69655273941789	0.0897812512902211	0.239160335342687
"BCEN2424_RS09510"	105.732004360575	-0.941530898468124	0.270434251577665	-3.48155195939642	0.00049851705234034	0.00843121348230586
"BCEN2424_RS09515"	437.031260373027	-1.58488971463317	0.36904374252866	-4.29458498272759	1.7502043073499e-05	0.000899691800968295
"BCEN2424_RS09590"	8.18416003565834	-1.04775349962293	0.571468442745237	-1.83344069637459	0.066737060194906	NA
"BCEN2424_RS10205"	105.732004360575	-0.941530898468124	0.270434251577665	-3.48155195939642	0.00049851705234034	0.00843121348230586
"BCEN2424_RS10210"	944.87066282703	-1.09561224181876	0.226907632048707	-4.82845037836183	1.37599611218804e-06	0.000138043480932413
"BCEN2424_RS10215"	118.510998141257	-1.32132630500155	0.276413115164478	-4.78025908508464	1.75069434815331e-06	0.000154119691631194
"BCEN2424_RS10220"	944.87066282703	-1.09561224181876	0.226907632048707	-4.82845037836183	1.37599611218804e-06	0.000138043480932413
"BCEN2424_RS10225"	105.732004360575	-0.941530898468124	0.270434251577665	-3.48155195939642	0.00049851705234034	0.00843121348230586
"BCEN2424_RS10230"	944.87066282703	-1.09561224181876	0.226907632048707	-4.82845037836183	1.37599611218804e-06	0.000138043480932413
"BCEN2424_RS10235"	410.478380967854	-1.2740119628674	0.300796562883023	-4.23546050744885	2.28083789058611e-05	0.00105909570596975
"BCEN2424_RS10330"	98.9773339010387	-1.05372076021538	0.332782128819294	-3.16639827972122	0.00154339314845932	0.0174094464534089
"BCEN2424_RS10685"	0.462099885290339	0.550431712949055	2.02985754524063	0.271167656193234	0.786262087919008	NA
"BCEN2424_RS10775"	0.232167392848421	-1.44475292271614	2.77503565667595	-0.520624994219615	0.602628034288743	NA
"BCEN2424_RS10905"	8.73517052768566	-1.51672452584817	0.586380816329924	-2.58658619724488	0.00969319225154238	NA
"BCEN2424_RS11060"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS11065"	91743.3061433093	-3.41502050994178	0.87871797764392	-3.88636695370495	0.000101755654394532	0.00299962166035067
"BCEN2424_RS11070"	59.5655556863287	-1.71525888800421	0.309411628417614	-5.54361481750492	2.96290231968866e-08	8.37693292202885e-06
"BCEN2424_RS11075"	506.607663724147	-1.8807459708061	0.29801767973783	-6.31085367975688	2.7750046396634e-10	1.91783653985626e-07
"BCEN2424_RS11080"	49065.1412765978	-4.1219755898047	1.02001299578755	-4.04110105148429	5.32008260564112e-05	0.0019465243415934
"BCEN2424_RS11245"	198.144809451225	-2.22568788867182	0.450386670164721	-4.94172682299371	7.74336613206448e-07	9.44387006694923e-05
"BCEN2424_RS11825"	26.4047134834326	-0.588345840922671	0.327107405754666	-1.79863198011462	0.0720769151061337	0.208811556572031
"BCEN2424_RS11915"	0.0437176773309252	0.478828258077889	5.26790435362004	0.0908953970944524	0.927575707640313	NA
"BCEN2424_RS34440"	59361.3569339328	-0.566976742811384	0.28457346664025	-1.99237388329018	0.0463300506725271	0.157816492433252
"BCEN2424_RS12390"	34.5965218986819	-1.15948737455302	0.380774786192187	-3.04507392978429	0.00232623120458094	0.0225376294275599
"BCEN2424_RS13285"	0.666458794204504	-1.34216031867383	1.76814628521085	-0.759077645271742	0.447806110834633	NA
"BCEN2424_RS14005"	316.253404976196	-0.678457972636078	0.224549133221873	-3.02142325334966	0.00251589409727853	0.0236697586635544
"BCEN2424_RS15585"	2.54526728230704	0.793605152167049	0.854485477442455	0.928752065561576	0.353017591310728	NA
"BCEN2424_RS15665"	0.218804454835875	-1.44475030618389	3.36495048335184	-0.429352619995992	0.667666628534288	NA
"BCEN2424_RS37005"	247.041729787965	0.0606159108813385	0.247590747001602	0.24482300576825	0.806593479871188	0.894936040813198
"BCEN2424_RS19265"	1.06593171153557	0.56779596206732	1.5062473605002	0.376960635389106	0.7062028589854	NA
"BCEN2424_RS19780"	198.49339362342	-0.431952934220503	0.178629895851806	-2.41814469051058	0.0155998723530286	0.0786314473548117
"BCEN2424_RS24650"	198.144809451225	-2.22568788867182	0.450386670164721	-4.94172682299371	7.74336613206448e-07	9.44387006694923e-05
"BCEN2424_RS37130"	17.5982515239617	0.56308797556931	0.376360189497484	1.49614117348901	0.134616870380278	NA
"BCEN2424_RS26145"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS26150"	92352.7389213692	-3.35449879901798	0.854267937981859	-3.92675254433957	8.61004824211666e-05	0.00273483423196673
"BCEN2424_RS26155"	59.5655556863287	-1.71525888800421	0.309411628417614	-5.54361481750492	2.96290231968866e-08	8.37693292202885e-06
"BCEN2424_RS26160"	506.607663724147	-1.8807459708061	0.29801767973783	-6.31085367975688	2.7750046396634e-10	1.91783653985626e-07
"BCEN2424_RS26165"	36293.011258446	-3.99657223663631	1.03693777463336	-3.85420642820098	0.000116105605176006	0.00325185554113583
"BCEN2424_RS30710"	49065.1412765978	-4.1219755898047	1.02001299578755	-4.04110105148429	5.32008260564112e-05	0.0019465243415934
"BCEN2424_RS30715"	506.607663724147	-1.8807459708061	0.29801767973783	-6.31085367975688	2.7750046396634e-10	1.91783653985626e-07
"BCEN2424_RS30720"	59.5655556863287	-1.71525888800421	0.309411628417614	-5.54361481750492	2.96290231968866e-08	8.37693292202885e-06
"BCEN2424_RS30725"	76279.413610925	-3.31236375818071	0.853475890148355	-3.88102791937678	0.000104015897921896	0.00303745955433893
"BCEN2424_RS30730"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS00005"	1927.82528028006	-0.282686990227788	0.1446138740375	-1.95477088287175	0.0506101193630431	0.167801142024589
"BCEN2424_RS00010"	9175.73532538254	-0.258724204117353	0.168758768766312	-1.53310080423507	0.125251019579687	0.296446477087387
"BCEN2424_RS00015"	12298.9640366861	-0.469743374123294	0.213396385479781	-2.20127146515235	0.0277168116844419	0.113719372478383
"BCEN2424_RS00020"	125.465579011174	-0.012095493347939	0.172225058178904	-0.0702307403802671	0.944010007439948	0.975643062930051
"BCEN2424_RS00025"	124.959118297545	0.0142047819852002	0.184884192840098	0.0768307001642134	0.938758227714651	0.972531008725038
"BCEN2424_RS34465"	25.6774596193452	0.0887320032726519	0.343305218118128	0.258463893322239	0.796048911377274	0.889104727736872
"BCEN2424_RS00030"	55.7196133937177	-0.606648911162184	0.319909054775677	-1.89631678786826	0.0579181676958799	0.181578126546559
"BCEN2424_RS34470"	18.5550334527119	0.171114455136548	0.362827329260424	0.471614019498869	0.63720231805283	NA
"BCEN2424_RS36745"	306320.469237376	-1.02060971144301	0.276111548756448	-3.69636734153146	0.000218706456935866	0.0047564830844094
"BCEN2424_RS00055"	36.2586758131469	-0.19504681786744	0.262271093989439	-0.743684006119615	0.45706766765399	0.655060113550188
"BCEN2424_RS00060"	107.008348727776	-0.0867575932036225	0.168823776123776	-0.513894400395445	0.607325822679291	0.773457538301636
"BCEN2424_RS00065"	55.539437666751	0.887303396840958	0.274915837724386	3.2275455797149	0.00124857147614424	0.0152575924982655
"BCEN2424_RS00070"	83.4962273350315	0.574411061995842	0.23148545543109	2.48141318825466	0.0130862582166069	0.0701472185515468
"BCEN2424_RS00075"	176.269906856725	0.0266168336746871	0.167093645882405	0.15929291346853	0.873438103706843	0.933835253717998
"BCEN2424_RS00080"	255.921694588386	0.0339514731304291	0.142790863039525	0.237770627669862	0.812059001126099	0.898116462838609
"BCEN2424_RS00085"	398.801397581507	-0.27003968515076	0.159093988539988	-1.69735945166078	0.0896287236645518	0.23895870604094
"BCEN2424_RS00090"	399.544757650865	-0.594458469906573	0.211761768273265	-2.80720393843454	0.004997359286891	0.0365259397937274
"BCEN2424_RS00100"	225.101510295517	0.0642193370678718	0.136035806779613	0.472076717065467	0.636872030630744	0.792585840440822
"BCEN2424_RS00105"	165.388376529968	0.296740412979348	0.174362253229939	1.70186154102989	0.088781326751781	0.23741180240588
"BCEN2424_RS00110"	448.22344133506	0.061563393483437	0.188994389276413	0.325741910747403	0.74461963195443	0.859158474869118
"BCEN2424_RS00115"	349.253960781869	0.671236931573163	0.220976619986909	3.03759253631868	0.00238476172385773	0.0228907683987578
"BCEN2424_RS00120"	589.118597080694	0.970922119690667	0.244605700324939	3.96933562219064	7.20733062490732e-05	0.00247677328657036
"BCEN2424_RS00125"	68.4982898819697	1.24453311588903	0.805462328306675	1.54511647801756	0.122318091926134	0.291948784259613
"BCEN2424_RS00130"	45.0944786123275	1.18271937926411	0.600224832503357	1.97046059279378	0.0487856070794082	0.163936507851928
"BCEN2424_RS00135"	108.176217396601	-0.244371533293869	0.273967404409599	-0.891973020733947	0.37240739342314	0.57993516405053
"BCEN2424_RS00140"	702.184954609429	-0.0302412761629759	0.144459123736179	-0.209341406626587	0.834181729974549	0.912885767638852
"BCEN2424_RS00145"	714.008043021204	-0.0306892874343139	0.204245309604617	-0.150256999750559	0.880561856990646	0.936841163520901
"BCEN2424_RS00150"	13.9402277525411	-0.0846698459543663	0.389402636055119	-0.217435215159615	0.827869189873541	NA
"BCEN2424_RS00155"	20.9395375564268	0.568644789676177	0.422632669993447	1.34548233028221	0.178469523701624	NA
"BCEN2424_RS00160"	37.1747187234976	0.199082151434791	0.270843596357711	0.73504470518054	0.462312268210917	0.6585383791207
"BCEN2424_RS00165"	12.2181085844127	-0.183503925094412	0.461490509772564	-0.397633149996623	0.690900620993313	NA
"BCEN2424_RS00170"	13.1180169369846	0.677159818262258	0.420622849477376	1.6098978434092	0.107420159887818	NA
"BCEN2424_RS00175"	48.4491004269086	0.268383380872139	0.295603610151724	0.907916451813247	0.363922364821174	0.571926435314427
"BCEN2424_RS00180"	22.5102309129566	0.988366762547951	0.427475714084732	2.3121003836771	0.0207721520277637	NA
