"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82052.4440396893	-1.07921972631553	0.872294944174697	-1.23721882549326	0.216005854354512	0.52548700368501
"BCEN2424_RS00050"	37983.5682809975	-1.95405009262987	1.04637493957637	-1.86744733529358	0.0618391448000033	0.285778514035974
"BCEN2424_RS00095"	6.32098868638789	-1.1297580149733	0.605101355499875	-1.86705583239027	0.061893791419524	NA
"BCEN2424_RS00745"	189.564493445674	-1.65845569263592	0.353708431138631	-4.68876494489301	2.74858884279488e-06	0.000332636512245738
"BCEN2424_RS01415"	6.38429215107565	-0.378271320475774	0.620854613267582	-0.609275202909289	0.542342040551152	NA
"BCEN2424_RS01610"	34274.8353043177	-1.83151476671664	1.04798528327271	-1.74765313592676	0.0805241083666468	0.327991718775931
"BCEN2424_RS01615"	506.3507638889	-1.24608924051335	0.298507325286948	-4.17440087714939	2.98771265986023e-05	0.00177098192256409
"BCEN2424_RS01620"	59.5552000546299	-0.891532428326794	0.317613048626967	-2.80697670382519	0.00500088581423611	0.0715520829923585
"BCEN2424_RS01625"	82052.4440396893	-1.07921972631553	0.872294944174697	-1.23721882549326	0.216005854354512	0.52548700368501
"BCEN2424_RS01630"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.908810638738	-0.111471559737884	0.290030085173801	-0.38434481605963	0.700722895593825	0.884891152283593
"BCEN2424_RS01640"	3774.44810498998	-0.255961411036078	0.277914242990595	-0.921008611439682	0.357045931078798	0.663068994129391
"BCEN2424_RS01645"	1325.08669146052	0.053585265428009	0.247445433986707	0.216553866299621	0.828556041867317	0.940427579140582
"BCEN2424_RS01655"	328.805246195226	0.402366624044267	0.201865183860544	1.99324428487003	0.0462347040023296	0.244053342793654
"BCEN2424_RS02220"	2.26409018217593	-0.633532102917054	0.923522266410317	-0.685995482685611	0.492715957010684	NA
"BCEN2424_RS02700"	35827.6140151946	-1.87844472361834	1.05658821456758	-1.77783993586103	0.0754301473832156	0.318341567456486
"BCEN2424_RS02705"	506.3507638889	-1.24608924051335	0.298507325286948	-4.17440087714939	2.98771265986023e-05	0.00177098192256409
"BCEN2424_RS02710"	59.5552000546299	-0.891532428326794	0.317613048626967	-2.80697670382519	0.00500088581423611	0.0715520829923585
"BCEN2424_RS02715"	82052.4440396893	-1.07921972631553	0.872294944174697	-1.23721882549326	0.216005854354512	0.52548700368501
"BCEN2424_RS02720"	0.0525796215936139	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	53.0509242852763	-1.444755816582	0.451541960755863	-3.19960478127777	0.00137616154051659	0.0289642115538438
"BCEN2424_RS34380"	302713.771729274	-1.16239025630875	0.259579365492173	-4.47797633723625	7.53539515725335e-06	0.000643722212771834
"BCEN2424_RS03940"	38.4489405263451	-0.302554036618607	0.436242839092792	-0.693544992618782	0.487967600484392	0.763632486857175
"BCEN2424_RS04540"	28.0697753113152	-0.0544420794728646	0.325299787780338	-0.167359714078963	0.867087021562169	NA
"BCEN2424_RS04845"	305.386949008273	-0.773222883029046	0.397604545694754	-1.94470332746814	0.0518106948395766	0.26009927164865
"BCEN2424_RS04920"	6.30419051662464	0.273912706286625	0.678526599555729	0.403687499452448	0.686442533105525	NA
"BCEN2424_RS04960"	702.643102783101	-0.933212449840264	0.344769275957941	-2.70677381923704	0.0067940528126618	0.0852692575882605
"BCEN2424_RS04965"	702.643102783101	-0.933212449840264	0.344769275957941	-2.70677381923704	0.0067940528126618	0.0852692575882605
"BCEN2424_RS04970"	702.643102783101	-0.933212449840264	0.344769275957941	-2.70677381923704	0.0067940528126618	0.0852692575882605
"BCEN2424_RS05030"	4.85462633839949	-1.81811751336784	0.723451331101904	-2.51311655007757	0.0119669792114276	NA
"BCEN2424_RS34430"	2331685.77341114	-0.609448084753809	0.147867448959927	-4.12158381740239	3.76276518621903e-05	0.00212212650162586
"BCEN2424_RS05455"	71.4968693442337	-0.28362611122205	0.346150242336494	-0.819372851821772	0.412573719159256	0.707227378292505
"BCEN2424_RS05460"	71.4968693442337	-0.28362611122205	0.346150242336494	-0.819372851821772	0.412573719159256	0.707227378292505
"BCEN2424_RS05690"	320.401020741697	-0.729778526633454	0.272499518559621	-2.67809106779681	0.00740430838492391	0.088866998776907
"BCEN2424_RS05695"	320.401020741697	-0.729778526633454	0.272499518559621	-2.67809106779681	0.00740430838492391	0.088866998776907
"BCEN2424_RS05700"	320.401020741697	-0.729778526633454	0.272499518559621	-2.67809106779681	0.00740430838492391	0.088866998776907
"BCEN2424_RS05705"	5.86635019371955	-0.283376997056043	0.66439670990656	-0.426517760896041	0.669730608922966	NA
"BCEN2424_RS06505"	14.2237824437863	0.0377811659195761	0.468373198866939	0.080664662305559	0.935708640597117	NA
"BCEN2424_RS06555"	42.1734361564526	-0.682943654201508	0.325031286444598	-2.10116281934575	0.0356266759864149	0.216480502934189
"BCEN2424_RS07300"	6.32098868638789	-1.1297580149733	0.605101355499875	-1.86705583239027	0.061893791419524	NA
"BCEN2424_RS07355"	0.939370068348851	-1.25153050721261	1.73201823175122	-0.722585065370359	0.469934846354373	NA
"BCEN2424_RS07650"	23.5845236696921	-1.01535037832327	0.414938837717106	-2.44698805228618	0.014405561428466	NA
"BCEN2424_RS07655"	23.5845236696921	-1.01535037832327	0.414938837717106	-2.44698805228618	0.014405561428466	NA
"BCEN2424_RS07665"	23.5845236696921	-1.01535037832327	0.414938837717106	-2.44698805228618	0.014405561428466	NA
