"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82049.6856816024	-3.14180344837427	0.872290259877642	-3.60178669060798	0.000316037639624525	0.0080624467596333
"BCEN2424_RS00050"	37982.4986750589	-4.13998033756405	1.0463633741267	-3.95654171383752	7.60426148269863e-05	0.00323153360235558
"BCEN2424_RS00095"	6.3215262122337	-1.18982164033899	0.590474743073367	-2.01502545925347	0.0439019815538053	NA
"BCEN2424_RS00745"	189.585725096047	-1.80099438344094	0.352982396874792	-5.10222152545408	3.35689484090867e-07	6.97994348706081e-05
"BCEN2424_RS01415"	6.38455275807967	-1.1292165239882	0.567953114624117	-1.98822137763174	0.0467872116833797	NA
"BCEN2424_RS01610"	34273.8482761583	-3.77235400165762	1.04797192204491	-3.59967087123538	0.000318620208079749	0.0080624467596333
"BCEN2424_RS01615"	506.369651632037	-1.36610059205888	0.298156681995714	-4.58182115160014	4.60944040704669e-06	0.000487930219087743
"BCEN2424_RS01620"	59.555304283784	-1.03994876943484	0.313087161472642	-3.32159506171803	0.000895044872896693	0.0162842226562642
"BCEN2424_RS01625"	82049.6856816024	-3.14180344837427	0.872290259877642	-3.60178669060798	0.000316037639624525	0.0080624467596333
"BCEN2424_RS01630"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.913293182591	-0.824544576394614	0.284771223253594	-2.89546312641408	0.00378599506593129	0.0429669849392826
"BCEN2424_RS01640"	3774.43978302161	-0.64267008732721	0.277901986384791	-2.31257824273825	0.0207458388997969	0.120782274074617
"BCEN2424_RS01645"	1325.12271162055	-0.317382260160653	0.247041573040125	-1.28473218598354	0.198885886894276	0.440971146293907
"BCEN2424_RS01655"	328.80792715569	0.0989810021168502	0.19973812696248	0.495553871572268	0.620209204839744	0.808702797441655
"BCEN2424_RS02220"	2.26402159323192	-0.206463273230613	0.94985402742733	-0.217363160305606	0.827925338663675	NA
"BCEN2424_RS02700"	35826.7870358332	-4.00863797494218	1.05657396187185	-3.79399655831039	0.000148241729088404	0.00476830578316403
"BCEN2424_RS02705"	506.369651632037	-1.36610059205888	0.298156681995714	-4.58182115160014	4.60944040704669e-06	0.000487930219087743
"BCEN2424_RS02710"	59.555304283784	-1.03994876943484	0.313087161472642	-3.32159506171803	0.000895044872896693	0.0162842226562642
"BCEN2424_RS02715"	82049.6856816024	-3.14180344837427	0.872290259877642	-3.60178669060798	0.000316037639624525	0.0080624467596333
"BCEN2424_RS02720"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0520146510115	-1.57513485581733	0.448896149154351	-3.50890703514529	0.000449952150251547	0.0100651894158894
"BCEN2424_RS34380"	302741.35290309	-1.1884994608938	0.259711242739545	-4.57623416051227	4.73420627352982e-06	0.000492188373651618
"BCEN2424_RS03940"	38.4478804199173	-0.804767329541103	0.426181971961837	-1.88831856457121	0.0589831965180356	0.220069455651012
"BCEN2424_RS04540"	28.0710802640801	-0.186255091924979	0.317070559492977	-0.587424743006151	0.556918480172619	NA
"BCEN2424_RS04845"	305.381340148172	-0.894400754790284	0.397259243926214	-2.25142842731788	0.0243584153272824	0.131425896751221
"BCEN2424_RS04920"	6.30473280409143	-1.05808667085224	0.569338625607574	-1.8584487741774	0.0631053114423434	NA
"BCEN2424_RS04960"	702.684046573815	-0.823689099676957	0.344819086949992	-2.38875726678209	0.0169054675541694	0.108276822992711
"BCEN2424_RS04965"	702.684046573815	-0.823689099676957	0.344819086949992	-2.38875726678209	0.0169054675541694	0.108276822992711
"BCEN2424_RS04970"	702.684046573815	-0.823689099676957	0.344819086949992	-2.38875726678209	0.0169054675541694	0.108276822992711
"BCEN2424_RS05030"	4.85507822536895	-1.46039854880229	0.731891111940339	-1.99537680534278	0.0460017987296186	NA
"BCEN2424_RS34430"	2331761.62512928	-0.588616996057824	0.14780053520725	-3.98250923267937	6.81914748665937e-05	0.00298504335844593
"BCEN2424_RS05455"	71.4997002559466	-1.04189321080388	0.33667278328001	-3.09467608475302	0.00197027942568414	0.0281570239518308
"BCEN2424_RS05460"	71.4997002559466	-1.04189321080388	0.33667278328001	-3.09467608475302	0.00197027942568414	0.0281570239518308
"BCEN2424_RS05690"	320.411592378711	-1.04999462860209	0.271207210648673	-3.87155867312936	0.0001081416188622	0.00403590067317775
"BCEN2424_RS05695"	320.411592378711	-1.04999462860209	0.271207210648673	-3.87155867312936	0.0001081416188622	0.00403590067317775
"BCEN2424_RS05700"	320.411592378711	-1.04999462860209	0.271207210648673	-3.87155867312936	0.0001081416188622	0.00403590067317775
"BCEN2424_RS05705"	5.8667580650215	-0.821803379237064	0.617556654670821	-1.33073358212797	0.18327668897109	NA
"BCEN2424_RS06505"	14.2238913668747	0.146736185728475	0.465266928873495	0.315380648445729	0.752472657992536	NA
"BCEN2424_RS06555"	42.1748122224544	-0.740782574200263	0.320597333537305	-2.31063236249301	0.0208531701144053	0.121050226389755
"BCEN2424_RS07300"	6.3215262122337	-1.18982164033899	0.590474743073367	-2.01502545925347	0.0439019815538053	NA
"BCEN2424_RS07355"	0.939578512876733	-1.05507115917651	1.73028867480464	-0.609765974048023	0.542016844292213	NA
"BCEN2424_RS07650"	23.5854097051932	-1.46012472488491	0.400338749192868	-3.64722307752796	0.000265089764821392	NA
"BCEN2424_RS07655"	23.5854097051932	-1.46012472488491	0.400338749192868	-3.64722307752796	0.000265089764821392	NA
"BCEN2424_RS07665"	23.5854097051932	-1.46012472488491	0.400338749192868	-3.64722307752796	0.000265089764821392	NA
"BCEN2424_RS07730"	0.0439021912404579	0.797874458300117	5.26790435362004	0.151459556730909	0.879613211788083	NA
"BCEN2424_RS07790"	3877.84058502879	-1.77492872985963	0.372977410059428	-4.75881027104785	1.94737372704773e-06	0.000264885998559275
"BCEN2424_RS34315"	42.5367875544198	-1.10442101827994	0.312441539251271	-3.53480853066643	0.000408070731944347	0.0094652900453386
"BCEN2424_RS09510"	105.708533642856	-0.55187010550449	0.270786218280112	-2.03802877786643	0.0415470549631055	0.180939988913052
"BCEN2424_RS09515"	436.987739666135	-1.16328966217873	0.369113524210079	-3.15157691571508	0.00162391386048308	0.0248147677053346
"BCEN2424_RS09590"	8.17778385923615	-0.812571010156918	0.568158322652207	-1.43018411903882	0.152664182189977	NA
"BCEN2424_RS10205"	105.708533642856	-0.55187010550449	0.270786218280112	-2.03802877786643	0.0415470549631055	0.180939988913052
"BCEN2424_RS10210"	944.772724535046	-0.687751233922848	0.226977714371953	-3.03003859134741	0.0024452249249689	0.0322814047917664
"BCEN2424_RS10215"	118.514770077367	-0.44153398029357	0.279727598781737	-1.57844267857919	0.114463947018013	0.328743620237874
"BCEN2424_RS10220"	944.772724535046	-0.687751233922848	0.226977714371953	-3.03003859134741	0.0024452249249689	0.0322814047917664
"BCEN2424_RS10225"	105.708533642856	-0.55187010550449	0.270786218280112	-2.03802877786643	0.0415470549631055	0.180939988913052
"BCEN2424_RS10230"	944.772724535046	-0.687751233922848	0.226977714371953	-3.03003859134741	0.0024452249249689	0.0322814047917664
