"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0526133142853113	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82049.6856816024	1.08026886971572	0.872301215129675	1.23841266179496	0.215563088114813	0.523574592826217
"BCEN2424_RS00050"	37982.4986750589	1.95505595738239	1.04638314371402	1.86839397129729	0.061707176781612	0.284448185256038
"BCEN2424_RS00095"	6.3215262122337	1.13088551857979	0.605073407899151	1.8690054856423	0.0616220511859311	NA
"BCEN2424_RS00745"	189.585725096047	1.65956103402723	0.353897011611223	4.68938979301233	2.74020966668952e-06	0.000284883940704757
"BCEN2424_RS01415"	6.38455275807967	0.379377456082683	0.620895665399432	0.611016435166485	0.54118869987824	NA
"BCEN2424_RS01610"	34273.8482761583	1.83252362981036	1.04798912664883	1.74860939222742	0.0803585616813351	0.326709180243529
"BCEN2424_RS01615"	506.369651632037	1.24720644630662	0.298642693908556	4.17624965132586	2.96354564372769e-05	0.00162771346582855
"BCEN2424_RS01620"	59.555304283784	0.89265175134021	0.317710888933926	2.80963537112464	0.0049597656121154	0.0698588203015889
"BCEN2424_RS01625"	82049.6856816024	1.08026886971572	0.872301215129675	1.23841266179496	0.215563088114813	0.523574592826217
"BCEN2424_RS01630"	0.0526133142853113	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.913293182591	0.112598969348859	0.290154664652953	0.38806534261145	0.697967678665351	0.882808565107467
"BCEN2424_RS01640"	3774.43978302161	0.257114467153043	0.278045153185837	0.924721989241781	0.355110538281226	0.6605282919723
"BCEN2424_RS01645"	1325.12271162055	-0.0524751952101183	0.24750524679447	-0.212016496174297	0.832094164780986	0.9410512090964
"BCEN2424_RS01655"	328.80792715569	-0.401251754631553	0.201930667361797	-1.98707685104925	0.0469138810998711	0.244304665262477
"BCEN2424_RS02220"	2.26402159323192	0.634670839916215	0.923460389602923	0.687274567552503	0.4919097222746	NA
"BCEN2424_RS02700"	35826.7870358332	1.87946124722675	1.05659311519127	1.77879376668712	0.0752735795050666	0.31551782901854
"BCEN2424_RS02705"	506.369651632037	1.24720644630662	0.298642693908556	4.17624965132586	2.96354564372769e-05	0.00162771346582855
"BCEN2424_RS02710"	59.555304283784	0.89265175134021	0.317710888933926	2.80963537112464	0.0049597656121154	0.0698588203015889
"BCEN2424_RS02715"	82049.6856816024	1.08026886971572	0.872301215129675	1.23841266179496	0.215563088114813	0.523574592826217
"BCEN2424_RS02720"	0.0526133142853113	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	53.0520146510115	1.44587565803413	0.451850325641079	3.1998995596224	0.00137475487024176	0.02798539459632
"BCEN2424_RS34380"	302741.35290309	1.16348642283602	0.259711791900224	4.47991373176853	7.46732139058575e-06	0.000579436677335045
"BCEN2424_RS03940"	38.4478804199173	0.303741551968622	0.436473960794112	0.695898448136518	0.486492429249092	0.761473804462602
"BCEN2424_RS04540"	28.0710802640801	0.055542475448357	0.325302733423818	0.170740881466846	0.864427516033783	NA
"BCEN2424_RS04845"	305.381340148172	0.774260143410042	0.397850352128137	1.94610898109919	0.051641649997838	0.258296981346574
