"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82049.6856816024	0.147991576689287	0.87226839200028	0.169662890512304	0.865275259962903	0.937946654493168
"BCEN2424_RS00050"	37982.4986750589	0.188942114023454	1.04628744473246	0.180583371209016	0.856694609137237	0.937676454065405
"BCEN2424_RS00095"	6.3215262122337	0.618463958094894	0.550435987167609	1.12358925018209	0.261187318595147	NA
"BCEN2424_RS00745"	189.585725096047	1.06136405497603	0.349258670898356	3.03890538278123	0.00237439414209599	0.0387934101745389
"BCEN2424_RS01415"	6.38455275807967	1.20100384001374	0.585150394066208	2.05247036008635	0.0401239727282416	NA
"BCEN2424_RS01610"	34273.8482761583	0.215166382720167	1.04790907194744	0.205329248958881	0.837314893498779	0.929910242479534
"BCEN2424_RS01615"	506.369651632037	0.584988821572493	0.29649436658789	1.97301833523735	0.0484934734104392	0.248506683390212
"BCEN2424_RS01620"	59.555304283784	0.332594913437269	0.302629372095626	1.09901729344425	0.27176052285306	0.591887929574049
"BCEN2424_RS01625"	82049.6856816024	0.147991576689287	0.87226839200028	0.169662890512304	0.865275259962903	0.937946654493168
"BCEN2424_RS01630"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.913293182591	0.746545249055699	0.285052227790352	2.61897707252708	0.0088193874871753	0.0927614041508193
"BCEN2424_RS01640"	3774.43978302161	0.559248908727205	0.27791097129748	2.01233116532336	0.0441850392796671	0.236922845073544
"BCEN2424_RS01645"	1325.12271162055	0.587074237469788	0.247367927556451	2.37328356698874	0.0176307224622657	0.138920089755867
"BCEN2424_RS01655"	328.80792715569	0.237580041158012	0.201359854025517	1.17987789724909	0.238048781876853	0.560559975975378
"BCEN2424_RS02220"	2.26402159323192	1.03891540513955	1.11407680316519	0.932534814644641	0.351060203221162	NA
"BCEN2424_RS02700"	35826.7870358332	0.227821385019952	1.05650376170158	0.215637078899774	0.829270650902766	0.927662641048874
"BCEN2424_RS02705"	506.369651632037	0.584988821572493	0.29649436658789	1.97301833523735	0.0484934734104392	0.248506683390212
"BCEN2424_RS02710"	59.555304283784	0.332594913437269	0.302629372095626	1.09901729344425	0.27176052285306	0.591887929574049
"BCEN2424_RS02715"	82049.6856816024	0.147991576689287	0.87226839200028	0.169662890512304	0.865275259962903	0.937946654493168
"BCEN2424_RS02720"	0.0526133142853113	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0520146510115	0.813335897582608	0.437876355750112	1.85745561938212	0.0632463597026857	0.284489080059892
"BCEN2424_RS34380"	302741.35290309	0.501604389008719	0.259708981638194	1.93140947935145	0.0534324338079781	0.261974554107077
"BCEN2424_RS03940"	38.4478804199173	0.300943047732934	0.420122543359881	0.71632206481037	0.47379250540427	NA
"BCEN2424_RS04540"	28.0710802640801	0.635739943373679	0.332535465411282	1.91179591201615	0.0559023763357752	NA
"BCEN2424_RS04845"	305.381340148172	0.194752772630653	0.395951593095101	0.491860055690891	0.62281827780461	0.828280483774887
"BCEN2424_RS04920"	6.30473280409143	1.31532663159775	0.604448489070046	2.1760772925769	0.0295494815361604	NA
"BCEN2424_RS04960"	702.684046573815	0.603309943375717	0.344688611135828	1.75030425689921	0.0800658267640176	0.323465940126631
"BCEN2424_RS04965"	702.684046573815	0.603309943375717	0.344688611135828	1.75030425689921	0.0800658267640176	0.323465940126631
"BCEN2424_RS04970"	702.684046573815	0.603309943375717	0.344688611135828	1.75030425689921	0.0800658267640176	0.323465940126631
"BCEN2424_RS05030"	4.85507822536895	0.335295514219015	0.622916464423968	0.5382672209974	0.590392577867584	NA
"BCEN2424_RS34430"	2331761.62512928	0.130846067872824	0.1478002798905	0.88528971643195	0.376000394912035	0.680796021426452
"BCEN2424_RS05455"	71.4997002559466	0.830582884228174	0.33551472726865	2.47554821509554	0.0133031797972415	0.116932281154384
"BCEN2424_RS05460"	71.4997002559466	0.830582884228174	0.33551472726865	2.47554821509554	0.0133031797972415	0.116932281154384
"BCEN2424_RS05690"	320.411592378711	0.58782604558019	0.269934929713083	2.1776583201181	0.0294314841384678	0.187490704574757
"BCEN2424_RS05695"	320.411592378711	0.58782604558019	0.269934929713083	2.1776583201181	0.0294314841384678	0.187490704574757
"BCEN2424_RS05700"	320.411592378711	0.58782604558019	0.269934929713083	2.1776583201181	0.0294314841384678	0.187490704574757
"BCEN2424_RS05705"	5.8667580650215	0.673002714047289	0.616244208688881	1.0921039168533	0.274787428011288	NA
"BCEN2424_RS06505"	14.2238913668747	0.312490495244441	0.484859724239558	0.644496706206199	0.519253392825455	NA
"BCEN2424_RS06555"	42.1748122224544	0.475469029444085	0.317457621116506	1.4977401637795	0.134200772410248	0.419545073393473
"BCEN2424_RS07300"	6.3215262122337	0.618463958094894	0.550435987167609	1.12358925018209	0.261187318595147	NA
"BCEN2424_RS07355"	0.939578512876733	0.0164725197385049	1.623337389768	0.0101473173983007	0.991903751057063	NA
