"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82100.613365324	2.30827939511452	0.872352511898282	2.64603971861282	0.00814402534515119	0.0516428094277264
"BCEN2424_RS00050"	38028.7904786099	2.22665726751508	1.04658836887831	2.12753870932228	0.0333753485879411	0.127878483281696
"BCEN2424_RS00095"	6.32350563784984	-0.0559087624773288	0.552359470966419	-0.101218075213791	0.919377348460533	NA
"BCEN2424_RS00745"	189.694497756361	-0.260728523408653	0.348784876117593	-0.747533913485251	0.454741339558596	0.648319093743646
"BCEN2424_RS01415"	6.3827075361148	0.292775674540848	0.605592098169834	0.483453590999038	0.628773704362293	NA
"BCEN2424_RS01610"	34318.8023371233	1.94648105248375	1.048120837626	1.8571151174635	0.0632947778626672	0.190626596441402
"BCEN2424_RS01615"	506.257318585359	0.614856357799872	0.295142487223993	2.08325261328179	0.0372282036184792	0.136236599789073
"BCEN2424_RS01620"	59.5328866939838	0.803375664804667	0.298428449647558	2.69202103805267	0.00710204650936655	0.0472077209152012
"BCEN2424_RS01625"	82100.613365324	2.30827939511452	0.872352511898282	2.64603971861282	0.00814402534515119	0.0516428094277264
"BCEN2424_RS01630"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.836294292762	0.982807429074719	0.285139141966144	3.44676434914507	0.000567343215528954	0.00948369576254021
"BCEN2424_RS01640"	3772.0974957954	0.919058462921839	0.276279651242591	3.32655140828612	0.000879277990853372	0.0121265871302967
"BCEN2424_RS01645"	1324.62116204562	0.64980806783296	0.245393702878214	2.64802258660831	0.0080964115645304	0.0516306155074456
"BCEN2424_RS01655"	328.711169815562	0.605010991730875	0.19931489981937	3.03545290532302	0.00240174728705542	0.02335606225794
"BCEN2424_RS02220"	2.2615809924399	0.634859467206933	0.837320807574695	0.758203380907023	0.448329237553236	NA
"BCEN2424_RS02700"	35875.3286052039	2.10584068442785	1.05678195456047	1.99269175191744	0.0462952111195607	0.156743256197138
"BCEN2424_RS02705"	506.257318585359	0.614856357799872	0.295142487223993	2.08325261328179	0.0372282036184792	0.136236599789073
