"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.052473736195439	0	5.26790435362004	0	1	1
"BCEN2424_RS00045"	82100.613365324	-0.384299166566181	0.872341812907716	-0.440537368357047	0.659547953694293	0.804255318994625
"BCEN2424_RS00050"	38028.7904786099	-0.220204003704987	1.04656918265728	-0.210405587469985	0.833351132092803	0.910063852294336
"BCEN2424_RS00095"	6.32350563784984	-0.496209604354805	0.575035617832578	-0.862919772213618	0.388181578808372	0.597256037771589
"BCEN2424_RS00745"	189.694497756361	-0.651604482776027	0.351398078816379	-1.85431999221749	0.0636933935712938	0.197977548204244
"BCEN2424_RS01415"	6.3827075361148	-0.737050994712882	0.62211727618343	-1.18474606465608	0.236117863381798	0.441268243746856
"BCEN2424_RS01610"	34318.8023371233	-0.211664383051951	1.04810438693517	-0.201949715782503	0.839956035126092	0.914208577603269
"BCEN2424_RS01615"	506.257318585359	-1.07264077804281	0.295558618445886	-3.62919810521174	0.00028430300365965	0.00768258431961369
"BCEN2424_RS01620"	59.5328866939838	-0.980582643301983	0.297578718397625	-3.29520420204152	0.000983501839478486	0.0152455491861278
"BCEN2424_RS01625"	82100.613365324	-0.384299166566181	0.872341812907716	-0.440537368357047	0.659547953694293	0.804255318994625
"BCEN2424_RS01630"	0.052473736195439	0	5.26790435362004	0	1	1
"BCEN2424_RS01635"	153.836294292762	-1.00950278622105	0.283605506351054	-3.55953168614244	0.000371516708312076	0.00898551137259565
"BCEN2424_RS01640"	3772.0974957954	-1.085173136753	0.276260801300114	-3.92807496266593	8.56285230109327e-05	0.00377709933487195
"BCEN2424_RS01645"	1324.62116204562	-0.858347289371555	0.245371625129239	-3.49815219636524	0.000468493700098137	0.0103201985044832
"BCEN2424_RS01655"	328.711169815562	-0.532178652008643	0.197890321738926	-2.68926063352779	0.00716104837649865	0.0518116991658602
"BCEN2424_RS02220"	2.2615809924399	-2.09446955826686	1.04779036335319	-1.99893951263689	0.0456148988762744	0.160966928446335
"BCEN2424_RS02700"	35875.3286052039	-0.194173065170812	1.05676355996079	-0.183743149866008	0.854214956466376	0.921402947694644
"BCEN2424_RS02705"	506.257318585359	-1.07264077804281	0.295558618445886	-3.62919810521174	0.00028430300365965	0.00768258431961369
"BCEN2424_RS02710"	59.5328866939838	-0.980582643301983	0.297578718397625	-3.29520420204152	0.000983501839478486	0.0152455491861278
"BCEN2424_RS02715"	82100.613365324	-0.384299166566181	0.872341812907716	-0.440537368357047	0.659547953694293	0.804255318994625
"BCEN2424_RS02720"	0.052473736195439	0	5.26790435362004	0	1	1
"BCEN2424_RS02890"	52.996093977744	-1.35040195890715	0.433345319984091	-3.11622601337134	0.0018318181664784	0.0221769699228095
"BCEN2424_RS34380"	303105.791623296	-0.214574690133825	0.261589023816172	-0.820274058152434	0.412059891651647	0.618047737008581
"BCEN2424_RS03940"	38.4431432945406	-0.500999692441994	0.419506727257497	-1.19425901872242	0.232376662994089	0.436353675590442
"BCEN2424_RS04540"	28.0777397214332	-0.0722525833432075	0.354253745224173	-0.203957147432516	0.838386986354765	0.913354385325131
"BCEN2424_RS04845"	305.296489322211	-0.453985791587945	0.39296093141864	-1.1552949804679	0.247969650788184	0.454358562943896
"BCEN2424_RS04920"	6.30253645534007	-1.37250851643216	0.61430697907761	-2.23423884666425	0.0254673616756027	0.113165152152438
"BCEN2424_RS04960"	703.130856220553	-0.463432856906331	0.345216968352297	-1.34243939143047	0.179453569673766	0.373969675025174
"BCEN2424_RS04965"	703.130856220553	-0.463432856906331	0.345216968352297	-1.34243939143047	0.179453569673766	0.373969675025174
"BCEN2424_RS04970"	703.130856220553	-0.463432856906331	0.345216968352297	-1.34243939143047	0.179453569673766	0.373969675025174
"BCEN2424_RS05030"	4.85762173003301	-0.595866643886083	0.624311156870517	-0.954438563733158	0.339861693614281	0.553128133475875
"BCEN2424_RS34430"	2333806.37491745	-0.145208446192582	0.149767218200424	-0.969560948900438	0.332265386077677	0.546098644131503
"BCEN2424_RS05455"	71.4501486929124	-0.9743983714499	0.334125018855474	-2.91626881096078	0.00354245148213097	0.0326941022173903
"BCEN2424_RS05460"	71.4501486929124	-0.9743983714499	0.334125018855474	-2.91626881096078	0.00354245148213097	0.0326941022173903
"BCEN2424_RS05690"	320.346666574404	-0.898070034033866	0.268777864929867	-3.34130950206112	0.000833842149920557	0.0142513363457932
"BCEN2424_RS05695"	320.346666574404	-0.898070034033866	0.268777864929867	-3.34130950206112	0.000833842149920557	0.0142513363457932
"BCEN2424_RS05700"	320.346666574404	-0.898070034033866	0.268777864929867	-3.34130950206112	0.000833842149920557	0.0142513363457932
"BCEN2424_RS05705"	5.86561068195573	-0.73659998599681	0.627685730776407	-1.1735171756823	0.240588473268725	0.446325518875854
"BCEN2424_RS06505"	14.2410515238378	-0.369105427489365	0.494565289956328	-0.746322952672151	0.455472349428937	0.655065549588757
"BCEN2424_RS06555"	42.1718583715957	-0.756345684621023	0.316138765423486	-2.39244840349729	0.0167363811065029	0.0870030764799919
"BCEN2424_RS07300"	6.32350563784984	-0.496209604354805	0.575035617832578	-0.862919772213618	0.388181578808372	0.597256037771589
"BCEN2424_RS07355"	0.941148412139747	1.54392718028578	1.72630281730334	0.894354782260941	0.371132097723013	0.584976735218171
"BCEN2424_RS07650"	23.5730559128155	-0.989548955018666	0.3808878403034	-2.59800615905835	0.00937668120883338	0.0605148198036522
"BCEN2424_RS07655"	23.5730559128155	-0.989548955018666	0.3808878403034	-2.59800615905835	0.00937668120883338	0.0605148198036522
"BCEN2424_RS07665"	23.5730559128155	-0.989548955018666	0.3808878403034	-2.59800615905835	0.00937668120883338	0.0605148198036522
"BCEN2424_RS07730"	0.044150073151805	0	5.26790435362004	0	1	1
"BCEN2424_RS07790"	3877.42849859216	-0.902888663895318	0.371514649614178	-2.43029087771634	0.0150867094820426	0.0817193582509712
"BCEN2424_RS34315"	42.5225233223014	-0.557161382562531	0.326635798818315	-1.705757251894	0.0880532852391195	0.24379290941886
"BCEN2424_RS09510"	105.700594201386	-0.776547950885649	0.269173334929797	-2.88493639642344	0.00391492747191198	0.0346396016283185
"BCEN2424_RS09515"	436.718621415209	-0.858155964976482	0.365580841459745	-2.34737674312995	0.0189061273095091	0.0928893183699797
"BCEN2424_RS09590"	8.17611271825994	-0.844776963438549	0.567660333258687	-1.48817332116383	0.136705191086394	0.318246184808836
"BCEN2424_RS10205"	105.700594201386	-0.776547950885649	0.269173334929797	-2.88493639642344	0.00391492747191198	0.0346396016283185
"BCEN2424_RS10210"	944.57627626334	-0.822476512628788	0.224970326508609	-3.65593331970967	0.000256247961591504	0.00728997810965536
"BCEN2424_RS10215"	118.461678253961	-1.04331402625527	0.274578503624701	-3.79969302943429	0.00014487543065365	0.00526731944540149
"BCEN2424_RS10220"	944.57627626334	-0.822476512628788	0.224970326508609	-3.65593331970967	0.000256247961591504	0.00728997810965536
"BCEN2424_RS10225"	105.700594201386	-0.776547950885649	0.269173334929797	-2.88493639642344	0.00391492747191198	0.0346396016283185
"BCEN2424_RS10230"	944.57627626334	-0.822476512628788	0.224970326508609	-3.65593331970967	0.000256247961591504	0.00728997810965536
"BCEN2424_RS10235"	410.36647163861	-0.887951948942788	0.30027193661572	-2.9571592968382	0.00310487666960739	0.030534680558975
"BCEN2424_RS10330"	99.0248486444294	-0.126512827234357	0.324024516625188	-0.390442144785911	0.696209628790328	0.82769749566254
"BCEN2424_RS10685"	0.461109829813428	-0.328175636585562	2.14966317445817	-0.152663747737261	0.87866345069526	0.936581743414411
"BCEN2424_RS10775"	0.231802841722489	-1.28996798829388	2.81209064750655	-0.458722050598787	0.646433777185545	0.794327586406897
"BCEN2424_RS10905"	8.73802637328861	-0.0339393478202594	0.504212269299111	-0.0673116262470911	0.946333621475051	0.972705321023207
"BCEN2424_RS11060"	0.052473736195439	0	5.26790435362004	0	1	1
"BCEN2424_RS11065"	91818.5484809502	-0.424480935682559	0.878796575496257	-0.483025250118726	0.629077807770036	0.782586617637678
"BCEN2424_RS11070"	59.5328866939838	-0.980582643301983	0.297578718397625	-3.29520420204152	0.000983501839478486	0.0152455491861278
"BCEN2424_RS11075"	506.257318585359	-1.07264077804281	0.295558618445886	-3.62919810521174	0.00028430300365965	0.00768258431961369
"BCEN2424_RS11080"	49136.6785138846	-0.23543858126021	1.02027312659953	-0.23076034752077	0.817500987939173	0.90191617283209
"BCEN2424_RS11245"	197.806738947301	-1.67176187032538	0.447309227350544	-3.73737398673259	0.000185952232789212	0.00606264915490481
"BCEN2424_RS11825"	26.3955296909463	-0.737944739658857	0.333315455631805	-2.21395296014723	0.0268320149985276	0.117321616600705
"BCEN2424_RS11915"	0.044150073151805	0	5.26790435362004	0	1	1
"BCEN2424_RS34440"	59424.3498912252	0.326377774654888	0.283628811734156	1.15072151048181	0.249846824199672	0.457100060498271
"BCEN2424_RS12390"	34.5856937672552	-0.510801706199889	0.368246314455126	-1.3871196700385	0.165405274979662	0.355491316967252
"BCEN2424_RS13285"	0.666279519376648	0.243687892845822	1.57236469749492	0.154981788407017	0.876835674568226	0.935268721688115
"BCEN2424_RS14005"	316.178946214424	-0.648497375372326	0.222908634872194	-2.90925192621698	0.00362294785683539	0.0331817773941305
"BCEN2424_RS15585"	2.54765955621406	-0.031457743041447	0.949913882069746	-0.0331164157459247	0.973581752057609	0.988577679518213
"BCEN2424_RS15665"	0.219895917175552	0.451871283682777	3.37045238069199	0.13406843730277	0.893348457666173	0.94614632310109
"BCEN2424_RS37005"	246.942794756345	-0.336514213364224	0.24839978435858	-1.35472828301028	0.175504143300412	0.369050379194127
"BCEN2424_RS19265"	1.06317142978711	-1.15597128374796	1.77411587447333	-0.651575976733271	0.514674749414908	0.70135315129553
"BCEN2424_RS19780"	198.526429421201	-0.329497211562319	0.175277794336124	-1.87985713084941	0.0601275517643085	0.191762457753369
"BCEN2424_RS24650"	197.806738947301	-1.67176187032538	0.447309227350544	-3.73737398673259	0.000185952232789212	0.00606264915490481
"BCEN2424_RS37130"	17.6202404117814	-0.0873710790316363	0.398616753313237	-0.219185667198938	0.826505419954457	0.905813336625691
"BCEN2424_RS26145"	0.052473736195439	0	5.26790435362004	0	1	1
"BCEN2424_RS26150"	92440.4869889615	-0.384929303739065	0.854614943936949	-0.450412558860501	0.652412991010483	0.799229228726137
"BCEN2424_RS26155"	59.5328866939838	-0.980582643301983	0.297578718397625	-3.29520420204152	0.000983501839478486	0.0152455491861278
"BCEN2424_RS26160"	506.257318585359	-1.07264077804281	0.295558618445886	-3.62919810521174	0.00028430300365965	0.00768258431961369
"BCEN2424_RS26165"	36348.7542997036	-0.235527082336347	1.03717306294335	-0.227085614495188	0.820357169837952	0.902663731081781
"BCEN2424_RS30710"	49136.6785138846	-0.23543858126021	1.02027312659953	-0.23076034752077	0.817500987939173	0.90191617283209
"BCEN2424_RS30715"	506.257318585359	-1.07264077804281	0.295558618445886	-3.62919810521174	0.00028430300365965	0.00768258431961369
"BCEN2424_RS30720"	59.5328866939838	-0.980582643301983	0.297578718397625	-3.29520420204152	0.000983501839478486	0.0152455491861278
"BCEN2424_RS30725"	76348.0619491231	-0.385292093360397	0.853635664410215	-0.451354259696493	0.65173424409027	0.79872394898826
"BCEN2424_RS30730"	0.052473736195439	0	5.26790435362004	0	1	1
"Bcen2424_0001"	1927.86998428407	-0.418256845084179	0.139823616591673	-2.99131759912644	0.0027777642779333	0.0282437422090201
"Bcen2424_0002"	9174.88671528221	-0.535739008813898	0.165180835872294	-3.24334845495087	0.00118133636202438	0.0170767152669501
"Bcen2424_0003"	12294.2816854871	-0.728537938467835	0.209872653762188	-3.47133333194214	0.000517880704314134	0.0110872134289862
"Bcen2424_0004"	125.550987438916	0.042183628090391	0.172837082351751	0.244065842332033	0.807179826549987	0.896716996198773
"Bcen2424_0005"	125.099111497206	0.186735870285062	0.185040225683657	1.00916365398464	0.312896154491068	0.526969127117326
"Bcen2424_0006"	25.7046346532013	0.26550667230941	0.341736144651664	0.776934709613595	0.437197291745362	0.640944905469313
"Bcen2424_0007"	55.7402441777818	-0.372144081257076	0.319221353040435	-1.16578693033087	0.243700602721963	0.45038814409398
"Bcen2424_0008"	18.5834110567591	0.699774947894225	0.350705834016581	1.9953330684004	0.0460065655576174	0.16201979670728
"BCEN2424_RS36745"	306314.69236957	-0.655895393027252	0.275192355201594	-2.38340702650251	0.0171532167657501	0.0876284866970703
"Bcen2424_0009"	36.2705934304628	-0.309783865133016	0.267753414523568	-1.15697447102303	0.247282790627858	0.453675041181481
"Bcen2424_0010"	107.058149350875	-0.13938120433442	0.169935051363424	-0.820202796398602	0.412100508090402	0.618047737008581
"Bcen2424_0011"	55.6175647994754	0.459059051488757	0.281657583528437	1.6298480081308	0.103133624389758	0.270765257205321
"Bcen2424_0012"	83.5774963258946	0.229699927998171	0.23773611250098	0.966197039152913	0.333945594181131	0.547596267441519
"Bcen2424_0014"	176.419111802161	-0.0377078184969803	0.169759604719768	-0.22212480147575	0.824216731301212	0.904951732400979
"Bcen2424_0015"	256.077515854779	-0.0978932392985814	0.144001404668979	-0.679807530514108	0.496626337830163	0.685833655764997
"Bcen2424_0016"	399.057425721828	-0.150132431867689	0.159484437214629	-0.94136101609492	0.346519884156691	0.559197418729762
"Bcen2424_0017"	399.599709391151	-0.422939595252576	0.211311520697417	-2.00149804353637	0.0453387444040559	0.160472274499567
"Bcen2424_0018"	225.186719108492	-0.119652986460942	0.137550623201196	-0.869883274072301	0.384364196865679	0.593705697659795
"Bcen2424_0019"	165.568573757749	0.308209741633315	0.176311703064198	1.74809576605979	0.0804474460236435	0.230470023254937
"Bcen2424_0020"	448.70886203392	0.168464311727972	0.190709797688007	0.883354257464904	0.377044897119741	0.58858738897647
"Bcen2424_0022"	349.55858706387	0.310756897584185	0.222087098437311	1.39925686710659	0.161735969057776	0.352179338794047
"Bcen2424_0023"	589.822325534322	0.61123999431718	0.245245340405293	2.49236129545639	0.0126896883137754	0.0730919957838974
"Bcen2424_0024"	68.5251619116813	1.35413456101302	0.805882040510104	1.68031361035901	0.092896314344789	0.252165153735018
"Bcen2424_0025"	45.1230429659543	1.27139920509059	0.59998025923633	2.1190683951983	0.0340846872127412	0.135234152506107
"Bcen2424_0026"	108.107427611273	-0.165815689174365	0.271235157651647	-0.61133553116785	0.540977473042753	0.720280896790224
"Bcen2424_0027"	702.394112665963	-0.185550845955202	0.143529487531535	-1.29277160495981	0.196090063896053	0.394114985229302
"Bcen2424_0028"	714.052318829347	-0.327475499577395	0.201448784238888	-1.62560176679477	0.104034399125953	0.272295968741969
"Bcen2424_0029"	13.9543327802728	0.182782995741215	0.384601618122403	0.475252799594416	0.63460679746191	0.785922002059042
"Bcen2424_0030"	20.9800117075047	0.797612546420968	0.422103403956719	1.88961410626945	0.0588095891740743	0.188880299167231
"Bcen2424_0031"	37.2347213098648	0.693886386697842	0.26337403320658	2.63460439987105	0.00842353948306844	0.0570905601581661
"Bcen2424_0032"	12.2196031872036	-0.474382717684979	0.480823909991177	-0.986603843585241	0.323836885249518	0.537810971881916
"Bcen2424_0033"	13.1348052293842	0.47480178158776	0.431619096426138	1.10004813391988	0.271311150289501	0.482393476759549
"Bcen2424_0034"	48.514916173089	0.493565063563821	0.293646299746978	1.68081485783783	0.0927988817753937	0.252128845910592
"Bcen2424_0035"	22.5551304927324	0.906050675957673	0.433760107177453	2.08882896551619	0.0367231220073222	0.140858061970541
"Bcen2424_0036"	88.6077584370701	0.372589602324218	0.483977367413064	0.76984922728054	0.441389334672319	0.643786680938304
"Bcen2424_0037"	141.529915002729	0.671757230360769	0.446161783993506	1.50563596986726	0.132160649357331	0.312140224269445
"Bcen2424_0038"	236.347760767021	1.06497084811385	0.48502672364474	2.19569519821736	0.0281137670946151	0.12159660331694
"Bcen2424_0039"	1491.10446863683	1.18680039874762	0.674117133121349	1.76052549391885	0.0783187488441348	0.22581270770155
"Bcen2424_0040"	780.628171165894	0.808636273370019	0.673616702394681	1.20043976121042	0.229968594516173	0.434240352062488
"Bcen2424_0041"	834.720377738355	0.776879550149388	0.490938692358952	1.58243699720732	0.113549844353153	0.286388008531859
"Bcen2424_0042"	851.590110435297	-0.0408002047699527	0.237616276912341	-0.171706270715639	0.863668455719429	0.92586616616527
"Bcen2424_0043"	1408.58129121241	-0.721584128265372	0.297617248416309	-2.42453732807857	0.0153279074532381	0.0821011718933938
"Bcen2424_0044"	287.967313189927	-0.334699756364147	0.164150552711099	-2.03898038012221	0.0414519857242626	0.152465029037309
"Bcen2424_0045"	505.89587150842	0.299910847887215	0.234835388463499	1.27711095780536	0.201563076785462	0.400924984740174
"Bcen2424_0046"	735.095703092728	0.795916953558096	0.262901669747062	3.02743209780238	0.00246641119210065	0.0266115121248414
