"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82024.3274194973	-0.16102444954711	0.87211665119738	-0.184636366392077	0.853514260062184	0.937518842634611
"BCEN2424_RS00050"	37969.4031903612	-0.202027233647635	1.0461956497549	-0.193106551049955	0.846875522225854	0.935085170938944
"BCEN2424_RS00095"	6.32578022785769	-0.630975868121637	0.549843265218863	-1.14755587280037	0.25115195521328	NA
"BCEN2424_RS00745"	189.779166887702	-1.07383081470083	0.349421726250531	-3.07316555906117	0.00211800946641594	0.0292245992964631
"BCEN2424_RS01415"	6.38837835003541	-1.21329161613535	0.584172420678345	-2.0769409393317	0.0378070106109558	NA
"BCEN2424_RS01610"	34262.323987033	-0.228250011958837	1.04782220937547	-0.217832767731542	0.827559412606528	0.925963466937163
"BCEN2424_RS01615"	506.607663724147	-0.597584925995616	0.296588226768596	-2.01486394961275	0.043918906225238	0.224579308101024
"BCEN2424_RS01620"	59.5655556863287	-0.345155328271333	0.302593393113355	-1.14065718593543	0.254012609782061	0.569799264272244
"BCEN2424_RS01625"	82024.3274194973	-0.16102444954711	0.87211665119738	-0.184636366392077	0.853514260062184	0.937518842634611
"BCEN2424_RS01630"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.952355790483	-0.759109043818774	0.2851849197639	-2.66181341021548	0.00777209487249168	0.0751555255393626
"BCEN2424_RS01640"	3774.7001272504	-0.571775146666037	0.277829707552311	-2.05800578960182	0.0395895776387548	0.209803570915827
"BCEN2424_RS01645"	1325.48074119514	-0.599619018498196	0.247693960520491	-2.4208059705541	0.0154861406550948	0.115264178317708
"BCEN2424_RS01655"	328.795690922001	-0.250063895824163	0.201674803741726	-1.23993622993385	0.214998982007032	0.525739698189071
"BCEN2424_RS02220"	2.2647888480265	-1.05134925944595	1.11269675763295	-0.944865932459885	0.344727326001368	NA
"BCEN2424_RS02700"	35814.9819264053	-0.240916121808211	1.05641927645698	-0.228049721523633	0.81960758657502	0.921922889608785
"BCEN2424_RS02705"	506.607663724147	-0.597584925995616	0.296588226768596	-2.01486394961275	0.043918906225238	0.224579308101024
"BCEN2424_RS02710"	59.5655556863287	-0.345155328271333	0.302593393113355	-1.14065718593543	0.254012609782061	0.569799264272244
"BCEN2424_RS02715"	82024.3274194973	-0.16102444954711	0.87211665119738	-0.184636366392077	0.853514260062184	0.937518842634611
"BCEN2424_RS02720"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0773416583281	-0.825581724284725	0.437779183021631	-1.88584052486555	0.0593164481259228	0.263446539958822
"BCEN2424_RS34380"	302933.942350017	-0.514213472677645	0.259969257557574	-1.97797800212498	0.0479311883350985	0.235187109759761
"BCEN2424_RS03940"	38.4424205190436	-0.313441852028253	0.419755296247078	-0.746725186866381	0.455229462980753	0.731096304711461
"BCEN2424_RS04540"	28.0809867487239	-0.648245319757436	0.33255741846334	-1.94927336985236	0.0512627870424834	NA
"BCEN2424_RS04845"	305.384688593299	-0.207147898763422	0.395919026265371	-0.523207739515348	0.60082969611895	0.819571422771783
"BCEN2424_RS04920"	6.30786777006068	-1.3277608555312	0.603624437626147	-2.19964728524385	0.0278319295630077	NA
"BCEN2424_RS04960"	703.086214647304	-0.616002162012514	0.344584470061295	-1.78766664064384	0.0738298068730918	0.296730041855475
"BCEN2424_RS04965"	703.086214647304	-0.616002162012514	0.344584470061295	-1.78766664064384	0.0738298068730918	0.296730041855475
"BCEN2424_RS04970"	703.086214647304	-0.616002162012514	0.344584470061295	-1.78766664064384	0.0738298068730918	0.296730041855475
"BCEN2424_RS05030"	4.85818312040048	-0.347558649312393	0.621981693591872	-0.558792409637142	0.576303403285325	NA
"BCEN2424_RS34430"	2332176.21399708	-0.143385637265763	0.147767112878712	-0.970348777020874	0.33187267177884	0.643930433627655
"BCEN2424_RS05455"	71.5224352064686	-0.843005285618175	0.335581444118354	-2.51207359761185	0.0120024054505951	0.0975113459217064
