"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0524545196936085	0.908115557084562	5.26790435362004	0.172386493019851	0.863133690230369	0.962477158833065
"BCEN2424_RS00045"	82116.7680808003	-0.625046982885999	0.872327007694671	-0.716528294289354	0.473665202966909	0.824414447380433
"BCEN2424_RS00050"	38036.8742124617	-1.03216774135388	1.04656306454929	-0.986245145005562	0.324012830774615	0.744903405918933
"BCEN2424_RS00095"	6.324015024605	0.403443089775864	0.556444223137255	0.725037789953565	0.468428847275037	0.822721935030756
"BCEN2424_RS00745"	189.703352039673	0.280492707898371	0.351174590010544	0.798727231061761	0.424448593341575	0.796677959111158
"BCEN2424_RS01415"	6.38308378032519	0.324544984856409	0.62373841205354	0.520322267451681	0.602838978329171	0.879571339151194
"BCEN2424_RS01610"	34326.1217375473	-1.21304218874066	1.04810142460204	-1.15737099508403	0.247120819028829	0.693861124973733
"BCEN2424_RS01615"	506.314338861809	0.248551765745463	0.296061422781279	0.839527701415814	0.401173251017422	0.784709612913048
"BCEN2424_RS01620"	59.54150216731	0.0066832825304515	0.304295188661739	0.0219631554473271	0.982477346136927	0.994758065704231
"BCEN2424_RS01625"	82116.7680808003	-0.625046982885999	0.872327007694671	-0.716528294289354	0.473665202966909	0.824414447380433
"BCEN2424_RS01630"	0.0524545196936085	0.908115557084562	5.26790435362004	0.172386493019851	0.863133690230369	0.962477158833065
"BCEN2424_RS01635"	153.852899218971	0.38152618301873	0.284585132723371	1.34063989698854	0.180037397128883	0.635640120859319
"BCEN2424_RS01640"	3772.58581977394	0.115264587326339	0.276276049893972	0.417208032945942	0.676526250053741	0.91173979339066
"BCEN2424_RS01645"	1324.73895542244	0.657332120583022	0.245076356193607	2.68215233322524	0.00731501417763837	0.135714588981495
"BCEN2424_RS01655"	328.748794571344	0.418038134453065	0.196775206739919	2.12444515434098	0.0336329376137837	0.327522060232428
"BCEN2424_RS02220"	2.2618242145606	1.17292024399883	1.09074032333222	1.07534324981729	0.282221079427252	0.721002757660864
"BCEN2424_RS02700"	35882.9560480598	-1.13426965465206	1.05676025248141	-1.07334625047512	0.283115790959432	0.721884997327587
"BCEN2424_RS02705"	506.314338861809	0.248551765745463	0.296061422781279	0.839527701415814	0.401173251017422	0.784709612913048
"BCEN2424_RS02710"	59.54150216731	0.0066832825304515	0.304295188661739	0.0219631554473271	0.982477346136927	0.994758065704231
"BCEN2424_RS02715"	82116.7680808003	-0.625046982885999	0.872327007694671	-0.716528294289354	0.473665202966909	0.824414447380433
"BCEN2424_RS02720"	0.0524545196936085	0.908115557084562	5.26790435362004	0.172386493019851	0.863133690230369	0.962477158833065
"BCEN2424_RS02890"	53.0017878359545	-0.109760680400019	0.444030955168403	-0.247191505732729	0.804760018809412	0.95191033656496
"BCEN2424_RS34380"	303135.418987399	0.0626675304845861	0.261546884178976	0.239603429730414	0.81063770567825	0.95387912748109
"BCEN2424_RS03940"	38.4489908872493	-0.583864248599541	0.43031707801357	-1.35682332501135	0.174837354292663	0.630373152515198
"BCEN2424_RS04540"	28.0793560926753	0.484567910319447	0.331473794714611	1.46185888008627	0.14377988511944	0.594389075862852
"BCEN2424_RS04845"	305.33934606856	-0.789201794935112	0.394801200691748	-1.99898529576992	0.0456099448578528	0.377085770053784
"BCEN2424_RS04920"	6.30297534868675	0.831079680157863	0.62185311867922	1.33645656055087	0.181400089821411	0.638639219935304
"BCEN2424_RS04960"	703.18959139033	0.310154165128118	0.344923551399354	0.899196833239781	0.368547826821866	0.771443265652665
"BCEN2424_RS04965"	703.18959139033	0.310154165128118	0.344923551399354	0.899196833239781	0.368547826821866	0.771443265652665
"BCEN2424_RS04970"	703.18959139033	0.310154165128118	0.344923551399354	0.899196833239781	0.368547826821866	0.771443265652665
"BCEN2424_RS05030"	4.8581257689691	-0.264122645636895	0.66214310679529	-0.398890576563159	0.689973832997732	0.917381891781121
"BCEN2424_RS34430"	2334106.80523417	-0.126490970900676	0.149724793973701	-0.844823142136995	0.398209591594804	0.784375907746573
"BCEN2424_RS05455"	71.4572571292365	0.239806972374506	0.337053186470873	0.71148110150037	0.476786157758956	0.825206668515996
"BCEN2424_RS05460"	71.4572571292365	0.239806972374506	0.337053186470873	0.71148110150037	0.476786157758956	0.825206668515996
