	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bcen2424_0001	1928.152768	0.043237975	0.139897381	0.309069227	0.757268867	0.988365273
Bcen2424_0002	9176.205174	0.253613991	0.165074695	1.536358983	0.124450361	0.930625052
Bcen2424_0003	12296.10654	0.158063714	0.209752879	0.753571131	0.451106785	0.976943828
Bcen2424_0004	125.5648748	-0.100859444	0.167383487	-0.602565079	0.546798057	0.985327087
Bcen2424_0005	125.1189966	0.059622576	0.186860034	0.319076129	0.749668785	0.988365273
Bcen2424_0006	25.70880489	-0.478608325	0.328068955	-1.458865029	0.14460226	0.930625052
Bcen2424_0007	55.74717858	-0.0982932	0.311877465	-0.315166087	0.752635553	0.988365273
Bcen2424_0008	18.58622089	-0.185736787	0.327418853	-0.567275786	0.570526825	0.985327087
Bcen2424_0009	36.27509935	0.025046922	0.263981152	0.09488148	0.924408967	0.997464456
Bcen2424_0010	107.0720523	0.143573652	0.170238856	0.843365935	0.399023817	0.974340201
Bcen2424_0011	55.62468277	-0.252751892	0.272242389	-0.928407561	0.353196198	0.974340201
Bcen2424_0012	83.58671718	-0.013750835	0.226686024	-0.06066027	0.951629773	0.997464456
Bcen2424_0014	176.4396216	-0.360031775	0.166006909	-2.168775845	0.030099706	0.901492741
Bcen2424_0015	256.1076294	-0.169046882	0.141716363	-1.192853658	0.232926691	0.959404212
Bcen2424_0016	399.1084316	-0.341098814	0.15878593	-2.148167747	0.031700432	0.901492741
Bcen2424_0017	399.6458442	-0.188805117	0.210562769	-0.896669045	0.369895543	0.974340201
Bcen2424_0018	225.2081485	-0.370395418	0.130841805	-2.830864479	0.004642239	0.708238965
Bcen2424_0019	165.5881488	0.031073167	0.169946039	0.182841373	0.854922485	0.995663357
Bcen2424_0020	448.7658835	-0.462783639	0.188993838	-2.44867052	0.014338454	0.894753649
Bcen2424_0022	349.5949696	0.104542446	0.218940617	0.477492239	0.633011646	0.988365273
Bcen2424_0023	589.8860631	-0.01164224	0.24296436	-0.047917482	0.961782007	0.997464456
Bcen2424_0024	68.52599454	0.459321893	0.780458779	0.588528063	0.556177903	0.985327087
Bcen2424_0025	45.12520032	-0.081501436	0.561720805	-0.145092429	0.884637896	0.995971373
Bcen2424_0026	108.112157	0.05740844	0.257830859	0.222659305	0.823800676	0.992028744
Bcen2424_0027	702.4693781	-0.108293887	0.141975446	-0.7627649	0.445603617	0.976943828
Bcen2424_0028	714.1553088	0.150936941	0.201203859	0.750169214	0.453152798	0.976943828
Bcen2424_0029	13.95633992	-0.37287492	0.408140413	-0.913594705	0.36092985	0.974340201
Bcen2424_0030	20.98263189	0.019401213	0.386797629	0.050158563	0.959996032	0.997464456
Bcen2424_0031	37.23989224	-0.25940211	0.246120403	-1.053964266	0.291899278	0.972509027
Bcen2424_0032	12.22112974	-0.252150032	0.468283512	-0.538455926	0.590262325	0.985327087
Bcen2424_0033	13.1367134	0.23049283	0.411948858	0.55951807	0.575808202	0.985327087
Bcen2424_0034	48.52277536	0.497133975	0.292967652	1.696890328	0.089717397	0.920702312
Bcen2424_0035	22.55747423	0.312759993	0.386685142	0.808823405	0.418616732	0.974340201
Bcen2424_0036	88.61947983	0.184532649	0.475023649	0.388470447	0.69766792	0.988365273
Bcen2424_0037	141.5463204	0.206123135	0.438181894	0.470405414	0.638065397	0.988365273
Bcen2424_0038	236.3762069	0.263683645	0.479499583	0.549914233	0.582378202	0.985327087
Bcen2424_0039	1491.28337	0.450876093	0.673511753	0.669440571	0.503214478	0.982465625
Bcen2424_0040	780.7207519	0.395805756	0.672662097	0.588416915	0.556252487	0.985327087
Bcen2424_0041	834.8182603	0.793698183	0.489453984	1.621599188	0.104889197	0.930625052
Bcen2424_0042	851.6845403	0.038557064	0.236940409	0.16272895	0.870731852	0.995971373
Bcen2424_0043	1408.734271	0.160339824	0.297369599	0.539193733	0.589753184	0.985327087
Bcen2424_0044	288.0061463	0.125917295	0.165114568	0.762605606	0.44569864	0.976943828
Bcen2424_0045	505.9777351	0.131228975	0.23456694	0.559452135	0.575853189	0.985327087
Bcen2424_0046	735.2505744	0.145011685	0.262848322	0.551693401	0.581158432	0.985327087
Bcen2424_0047	160.445633	0.007476489	0.16782111	0.044550349	0.964465719	0.997464456
Bcen2424_0048	486.0026424	-0.043342473	0.133139327	-0.325542229	0.744770727	0.988365273
Bcen2424_0049	406.2533824	0.099573504	0.283207871	0.351591583	0.725144578	0.988365273
Bcen2424_0050	559.6521037	0.072048807	0.130878764	0.550500361	0.581976229	0.985327087
Bcen2424_0051	183.5963328	-0.017557198	0.19788794	-0.088722931	0.929302108	0.997464456
Bcen2424_0052	454.8121454	-0.127640448	0.194745711	-0.6554211	0.51219667	0.98480159
Bcen2424_0053	608.767164	-0.173625439	0.180568412	-0.961549349	0.336276025	0.974340201
Bcen2424_0054	271.4882259	-0.12015691	0.164313658	-0.731265507	0.464616995	0.977983279
Bcen2424_0055	197.3387072	-0.029329079	0.198365946	-0.147853397	0.882458468	0.995971373
Bcen2424_0056	79.90567932	-0.010930103	0.198999807	-0.054925192	0.956198062	0.997464456
Bcen2424_0057	232.5161978	-0.140991868	0.160743342	-0.877124151	0.380419208	0.974340201
Bcen2424_0058	1033.102125	0.062225717	0.173106349	0.359465249	0.71924707	0.988365273
Bcen2424_0059	268.9213933	-0.143561124	0.17758103	-0.808426014	0.418845381	0.974340201
Bcen2424_0060	783.9517596	-0.287990175	0.22074851	-1.304607563	0.192026512	0.958819871
Bcen2424_0061	1127.234066	-0.23471402	0.179215478	-1.309674938	0.190305825	0.958819871
Bcen2424_0062	3373.435165	-0.074857312	0.152894543	-0.48960094	0.624416311	0.988365273
Bcen2424_0063	136.8849925	0.018046517	0.168808968	0.106904964	0.914864375	0.997464456
Bcen2424_0064	711.2041291	-0.083012955	0.131979275	-0.628984774	0.529359024	0.985327087
