"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0527783595898573	0.886755132100713	5.26790435362004	0.168331669023441	0.866322361041896	0.98576535413573
"BCEN2424_RS00045"	82024.3274194973	-0.754103524520108	0.872118295903723	-0.864680316950209	0.387214275693232	0.92220900272894
"BCEN2424_RS00050"	37969.4031903612	-1.2015679033591	1.04620113364505	-1.14850564075833	0.250759885740711	0.898974870538244
"BCEN2424_RS00095"	6.32578022785769	-0.200804426829815	0.516941694385086	-0.388446954484252	0.6976853021684	0.964441710634098
"BCEN2424_RS00745"	189.779166887702	-0.76609222605185	0.347968937063578	-2.20161096135968	0.0276928009803751	0.813933977018346
"BCEN2424_RS01415"	6.38837835003541	-0.862584589397574	0.553876415187591	-1.55735930569534	0.119385202171112	0.850465125906537
"BCEN2424_RS01610"	34262.323987033	-1.40876964082244	1.04782998603153	-1.34446394892543	0.178798406696843	0.886493520476645
"BCEN2424_RS01615"	506.607663724147	-0.320734911055516	0.29604202332599	-1.08341007621859	0.278626445165808	0.902606008004598
"BCEN2424_RS01620"	59.5655556863287	-0.310783044287449	0.301682770933871	-1.03016504166084	0.302932537062944	0.906680885174471
"BCEN2424_RS01625"	82024.3274194973	-0.754103524520108	0.872118295903723	-0.864680316950209	0.387214275693232	0.92220900272894
"BCEN2424_RS01630"	0.0527783595898573	0.886755132100713	5.26790435362004	0.168331669023441	0.866322361041896	0.98576535413573
"BCEN2424_RS01635"	153.952355790483	-0.349762027629593	0.282548535309199	-1.23788299679855	0.215759447848795	0.894682450806118
"BCEN2424_RS01640"	3774.7001272504	-0.428675671990527	0.277783614034046	-1.54319999572757	0.122782258355988	0.854045609744704
"BCEN2424_RS01645"	1325.48074119514	0.0854506321548303	0.247150708459208	0.345743019259579	0.729535851052784	0.968394054561976
"BCEN2424_RS01655"	328.795690922001	0.195062089175459	0.199995064177297	0.975334516268535	0.329394354423943	0.910069429087171
"BCEN2424_RS02220"	2.2647888480265	0.148480282418481	0.917126714305714	0.161897238519417	0.871386777473826	0.98576535413573
"BCEN2424_RS02700"	35814.9819264053	-1.34255997412295	1.05642589884414	-1.27085106072454	0.203781639594307	0.893548406246151
"BCEN2424_RS02705"	506.607663724147	-0.320734911055516	0.29604202332599	-1.08341007621859	0.278626445165808	0.902606008004598
"BCEN2424_RS02710"	59.5655556863287	-0.310783044287449	0.301682770933871	-1.03016504166084	0.302932537062944	0.906680885174471
"BCEN2424_RS02715"	82024.3274194973	-0.754103524520108	0.872118295903723	-0.864680316950209	0.387214275693232	0.92220900272894
"BCEN2424_RS02720"	0.0527783595898573	0.886755132100713	5.26790435362004	0.168331669023441	0.866322361041896	0.98576535413573
"BCEN2424_RS02890"	53.0773416583281	-0.909317269071234	0.438555627624164	-2.07343655352772	0.0381316700400623	0.813933977018346
"BCEN2424_RS34380"	302933.942350017	-0.423475111014867	0.259968885004836	-1.62894536785427	0.103324584780705	0.829044780738152
"BCEN2424_RS03940"	38.4424205190436	-0.869790441870607	0.428563616648924	-2.02954802526583	0.0424025026051626	0.813933977018346
"BCEN2424_RS04540"	28.0809867487239	-0.136798699729648	0.317927475494541	-0.430282722551286	0.666989993620198	0.963312686540282
"BCEN2424_RS04845"	305.384688593299	-0.968922179887605	0.397653761107571	-2.43659754955894	0.0148261698969036	0.813933977018346
"BCEN2424_RS04920"	6.30786777006068	-0.469663623176943	0.533548831923021	-0.880263614267839	0.378716518902826	0.92220900272894
"BCEN2424_RS04960"	703.086214647304	-0.277749696124185	0.344192572118306	-0.806960168881031	0.419689431562601	0.926079595225438
"BCEN2424_RS04965"	703.086214647304	-0.277749696124185	0.344192572118306	-0.806960168881031	0.419689431562601	0.926079595225438
"BCEN2424_RS04970"	703.086214647304	-0.277749696124185	0.344192572118306	-0.806960168881031	0.419689431562601	0.926079595225438
"BCEN2424_RS05030"	4.85818312040048	-0.585955515289882	0.640884640775386	-0.914291711814085	0.360563584493511	0.915277090411108
"BCEN2424_RS34430"	2332176.21399708	-0.242550022866971	0.147767159831385	-1.64143388249284	0.100707381329939	0.828493706298308
"BCEN2424_RS05455"	71.5224352064686	-0.575935847848361	0.332226216776153	-1.73356532015177	0.0829952382377752	0.813933977018346
"BCEN2424_RS05460"	71.5224352064686	-0.575935847848361	0.332226216776153	-1.73356532015177	0.0829952382377752	0.813933977018346
"BCEN2424_RS05690"	320.515509005767	-0.413636745413992	0.269319777959402	-1.53585729406158	0.124573384137542	0.85502133018103
"BCEN2424_RS05695"	320.515509005767	-0.413636745413992	0.269319777959402	-1.53585729406158	0.124573384137542	0.85502133018103
"BCEN2424_RS05700"	320.515509005767	-0.413636745413992	0.269319777959402	-1.53585729406158	0.124573384137542	0.85502133018103
"BCEN2424_RS05705"	5.86881621108196	-0.437695878836298	0.595248794460584	-0.735315859367577	0.462147151718875	0.935254964368941
"BCEN2424_RS06505"	14.2236125289762	-0.289449414527994	0.481826443645154	-0.600733766993416	0.548017324745902	0.952965644055506
"BCEN2424_RS06555"	42.1914826756326	-0.0738466474438956	0.309170124296356	-0.238854409403121	0.811218478408134	0.981317482703612
"BCEN2424_RS07300"	6.32578022785769	-0.200804426829815	0.516941694385086	-0.388446954484252	0.6976853021684	0.964441710634098
"BCEN2424_RS07355"	0.941372111166106	2.38132924314181	1.33474233271484	1.7841115732789	0.0744055370686856	0.813933977018346
"BCEN2424_RS07650"	23.5958207813418	-0.715024100819316	0.375745878619145	-1.90294595764299	0.05704759732066	0.813933977018346
"BCEN2424_RS07655"	23.5958207813418	-0.715024100819316	0.375745878619145	-1.90294595764299	0.05704759732066	0.813933977018346
"BCEN2424_RS07665"	23.5958207813418	-0.715024100819316	0.375745878619145	-1.90294595764299	0.05704759732066	0.813933977018346
"BCEN2424_RS07730"	0.0437176773309252	0	5.26790435362004	0	1	1
"BCEN2424_RS07790"	3880.49940613085	-1.16480455824208	0.372854713028085	-3.12401725804211	0.00178399992754088	0.813933977018346
"BCEN2424_RS34315"	42.5626627810843	-0.322059672103395	0.300283610410655	-1.07251831581137	0.283487291772335	0.902606008004598
"BCEN2424_RS09510"	105.732004360575	-0.0576916130003172	0.267311065598272	-0.215822015714901	0.829126486655716	0.983008948866379
"BCEN2424_RS09515"	437.031260373027	-0.863569281562355	0.368658658242797	-2.34246304068522	0.0191569312504294	0.813933977018346
"BCEN2424_RS09590"	8.18416003565834	-0.0732452257942239	0.526162271533356	-0.139206533339555	0.889286945915545	0.988202786372047
"BCEN2424_RS10205"	105.732004360575	-0.0576916130003172	0.267311065598272	-0.215822015714901	0.829126486655716	0.983008948866379
"BCEN2424_RS10210"	944.87066282703	-0.564089487799556	0.226911956924804	-2.48593990129171	0.0129209784113657	0.813933977018346
"BCEN2424_RS10215"	118.510998141257	-0.134042634955439	0.27791192838375	-0.48232055289958	0.629578249065818	0.962547763807306
"BCEN2424_RS10220"	944.87066282703	-0.564089487799556	0.226911956924804	-2.48593990129171	0.0129209784113657	0.813933977018346
"BCEN2424_RS10225"	105.732004360575	-0.0576916130003172	0.267311065598272	-0.215822015714901	0.829126486655716	0.983008948866379
"BCEN2424_RS10230"	944.87066282703	-0.564089487799556	0.226911956924804	-2.48593990129171	0.0129209784113657	0.813933977018346
"BCEN2424_RS10235"	410.478380967854	-0.376889779632384	0.299902577967463	-1.2567073687285	0.208859618869983	0.894682450806118
"BCEN2424_RS10330"	98.9773339010387	-0.608835434993783	0.33321915948335	-1.82713213711292	0.0676799043120767	0.813933977018346
"BCEN2424_RS10685"	0.462099885290339	-0.075029086242698	2.13594379535346	-0.0351269010008206	0.971978550748245	0.995973934977339
"BCEN2424_RS10775"	0.232167392848421	-0.0750289684998006	2.77503565667595	-0.0270371187192864	0.978430128387467	0.995973934977339
