"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82116.7680808003	-3.39802791816625	0.872347112667023	-3.89527043630313	9.80892257395494e-05	0.0029713104582147
"BCEN2424_RS00050"	38036.8742124617	-4.19135537230963	1.04663394101797	-4.00460486522449	6.21212296456327e-05	0.00214849542267823
"BCEN2424_RS00095"	6.324015024605	-1.08227095784068	0.612991844029523	-1.76555523271946	0.077470496182205	NA
"BCEN2424_RS00745"	189.703352039673	-1.40361767554682	0.354932170850726	-3.95460820635821	7.66601713222685e-05	0.00257944411607969
"BCEN2424_RS01415"	6.38308378032519	-0.680109008731483	0.605353389323387	-1.12349087446533	0.261229074108727	NA
"BCEN2424_RS01610"	34326.1217375473	-3.78960565662834	1.04815706497621	-3.61549407360465	0.000299775333320994	0.00585843467386047
"BCEN2424_RS01615"	506.314338861809	-1.86890625611546	0.297128219187935	-6.28989821708376	3.17674189418882e-10	2.38573316253581e-07
"BCEN2424_RS01620"	59.54150216731	-1.70272051021313	0.308029884708333	-5.52777699418808	3.24313929105938e-08	1.00289313253525e-05
"BCEN2424_RS01625"	82116.7680808003	-3.39802791816625	0.872347112667023	-3.89527043630313	9.80892257395494e-05	0.0029713104582147
"BCEN2424_RS01630"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.852899218971	-1.10246823034446	0.283174569042054	-3.89324590154399	9.89117995411019e-05	0.0029713104582147
"BCEN2424_RS01640"	3772.58581977394	-1.18348464743559	0.276146704366012	-4.28570983728624	1.82156616779481e-05	0.000911997461342604
"BCEN2424_RS01645"	1324.73895542244	-0.604153264623848	0.244869018371418	-2.46725073119486	0.0136154982113167	0.0695594500455703
"BCEN2424_RS01655"	328.748794571344	-0.212969767145417	0.19605937078131	-1.08625140587118	0.277367779746462	0.478386620120457
"BCEN2424_RS02220"	2.2618242145606	-1.27614972574271	0.870221098742923	-1.46646608268424	0.14252135479111	NA
"BCEN2424_RS02700"	35882.9560480598	-3.99543357823398	1.05682442084409	-3.78060300219293	0.000156448976149355	0.00382535938426585
"BCEN2424_RS02705"	506.314338861809	-1.86890625611546	0.297128219187935	-6.28989821708376	3.17674189418882e-10	2.38573316253581e-07
"BCEN2424_RS02710"	59.54150216731	-1.70272051021313	0.308029884708333	-5.52777699418808	3.24313929105938e-08	1.00289313253525e-05
"BCEN2424_RS02715"	82116.7680808003	-3.39802791816625	0.872347112667023	-3.89527043630313	9.80892257395494e-05	0.0029713104582147
"BCEN2424_RS02720"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0017878359545	-2.12694889912272	0.444283356846813	-4.78737019144312	1.68980964842755e-06	0.000155569851261753
"BCEN2424_RS34380"	303135.418987399	-0.91645694630903	0.261549900194318	-3.50394684007966	0.000458416859255953	0.00800630375119118
"BCEN2424_RS03940"	38.4489908872493	-1.01975389361866	0.425390429624399	-2.39721870216746	0.0165200600968149	0.0789185713936423
"BCEN2424_RS04540"	28.0793560926753	0.361366205448185	0.33946398130917	1.06452002375789	0.287093188345936	NA
"BCEN2424_RS04845"	305.33934606856	-1.16977791145188	0.394163401046204	-2.96774867566854	0.00299989508505988	0.0255188750774936
"BCEN2424_RS04920"	6.30297534868675	-1.12986483641091	0.579135816937907	-1.95094967944635	0.0510630320691381	NA
"BCEN2424_RS04960"	703.18959139033	-0.697925941523342	0.345295607594938	-2.02124187557599	0.0432547327884412	0.147082878569751
"BCEN2424_RS04965"	703.18959139033	-0.697925941523342	0.345295607594938	-2.02124187557599	0.0432547327884412	0.147082878569751
"BCEN2424_RS04970"	703.18959139033	-0.697925941523342	0.345295607594938	-2.02124187557599	0.0432547327884412	0.147082878569751
"BCEN2424_RS05030"	4.8581257689691	-1.73514831214198	0.732410444784399	-2.36909280103556	0.017831778593562	NA
"BCEN2424_RS34430"	2334106.80523417	-0.618023171445415	0.149725132669382	-4.12771830905714	3.66380543260828e-05	0.00150457133301048
"BCEN2424_RS05455"	71.4572571292365	-1.20024058260804	0.335080904400079	-3.58194264981146	0.000341048672364873	0.00637865103425607
"BCEN2424_RS05460"	71.4572571292365	-1.20024058260804	0.335080904400079	-3.58194264981146	0.000341048672364873	0.00637865103425607
"BCEN2424_RS05690"	320.38356750069	-1.37475059535373	0.269935566976357	-5.0928842417944	3.52657033253535e-07	5.45270007004069e-05
"BCEN2424_RS05695"	320.38356750069	-1.37475059535373	0.269935566976357	-5.0928842417944	3.52657033253535e-07	5.45270007004069e-05
"BCEN2424_RS05700"	320.38356750069	-1.37475059535373	0.269935566976357	-5.0928842417944	3.52657033253535e-07	5.45270007004069e-05
"BCEN2424_RS05705"	5.86627330897442	-0.900027916114242	0.628295710947457	-1.43249094404452	0.15200336798609	NA
"BCEN2424_RS06505"	14.2431366042918	0.0762006761157917	0.475030367143948	0.160412220746933	0.872556363514249	NA
"BCEN2424_RS06555"	42.175734253336	-1.03682547101681	0.319022933902093	-3.25000293344116	0.00115403818065209	0.01380302570949
"BCEN2424_RS07300"	6.324015024605	-1.08227095784068	0.612991844029523	-1.76555523271946	0.077470496182205	NA
"BCEN2424_RS07355"	0.941100726491418	0.489654721434057	1.82574594316538	0.268194336275024	0.788549734355386	NA
"BCEN2424_RS07650"	23.5754003393331	-1.64726026601606	0.400392829694511	-4.11411030330606	3.88675561270716e-05	NA
"BCEN2424_RS07655"	23.5754003393331	-1.64726026601606	0.400392829694511	-4.11411030330606	3.88675561270716e-05	NA
"BCEN2424_RS07665"	23.5754003393331	-1.64726026601606	0.400392829694511	-4.11411030330606	3.88675561270716e-05	NA
"BCEN2424_RS07730"	0.0441550855053069	0.489648743266926	5.26790435362004	0.0929494368914359	0.925943730752849	NA
"BCEN2424_RS07790"	3877.76437359459	-1.79900590629888	0.371625527952171	-4.84091046223933	1.29245600869053e-06	0.000133224337993846
"BCEN2424_RS34315"	42.524321308147	-0.540645607979005	0.322925827908981	-1.67420986881046	0.0940893606330497	0.237652215770691
"BCEN2424_RS09510"	105.712585763975	-0.929506888431227	0.269153862055872	-3.45344065038263	0.000553484079260302	0.00889806056474437
"BCEN2424_RS09515"	436.775270111698	-1.57177268366467	0.366557090859687	-4.28793419322046	1.8034250038823e-05	0.000911596658212429
