"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82024.3274194973	-2.99169249186302	0.872138784950593	-3.43029405810968	0.000602927458664518	0.0429616914817093
"BCEN2424_RS00050"	37969.4031903612	-3.94887912967658	1.04627217109338	-3.7742369899315	0.000160498132996323	0.0212241335438399
"BCEN2424_RS00095"	6.32578022785769	-0.569489586935802	0.625306888319153	-0.910736148240123	0.362434412848957	NA
"BCEN2424_RS00745"	189.779166887702	-0.737844898693789	0.356631593506095	-2.06892746500649	0.0385528938413453	0.40957298776987
"BCEN2424_RS01415"	6.38837835003541	0.07328489834635	0.63608210962957	0.115212953228677	0.908276331856308	NA
"BCEN2424_RS01610"	34262.323987033	-3.55501821432848	1.04788581851644	-3.39256257839385	0.000692421137584164	0.0457302075860634
"BCEN2424_RS01615"	506.607663724147	-0.779205795147911	0.299148095092427	-2.6047493129019	0.00919415029768121	0.226915623535065
"BCEN2424_RS01620"	59.5655556863287	-0.705527617716487	0.316886338340097	-2.22643747096248	0.0259848929432025	0.343621964725002
"BCEN2424_RS01625"	82024.3274194973	-2.99169249186302	0.872138784950593	-3.43029405810968	0.000602927458664518	0.0429616914817093
"BCEN2424_RS01630"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.952355790483	-0.0761784015786995	0.288781505412844	-0.263792521857639	0.791939797230673	0.937474984622189
"BCEN2424_RS01640"	3774.7001272504	-0.0816286414420039	0.277945190947756	-0.293686108270703	0.768997770440166	0.929378440740292
"BCEN2424_RS01645"	1325.48074119514	0.271512010133882	0.247810310764811	1.09564452462015	0.273234368688006	0.706969232126388
"BCEN2424_RS01655"	328.795690922001	0.338276496437403	0.200844239107967	1.68427283719877	0.0921289523591692	0.512950200113467
"BCEN2424_RS02220"	2.2647888480265	0.834569979348136	1.11643174560152	0.747533364790229	0.45474167063466	NA
"BCEN2424_RS02700"	35814.9819264053	-3.77862587961339	1.0564902389288	-3.57658380587086	0.000348113747853065	0.0318004368427168
"BCEN2424_RS02705"	506.607663724147	-0.779205795147911	0.299148095092427	-2.6047493129019	0.00919415029768121	0.226915623535065
"BCEN2424_RS02710"	59.5655556863287	-0.705527617716487	0.316886338340097	-2.22643747096248	0.0259848929432025	0.343621964725002
"BCEN2424_RS02715"	82024.3274194973	-2.99169249186302	0.872138784950593	-3.43029405810968	0.000602927458664518	0.0429616914817093
"BCEN2424_RS02720"	0.0527783595898573	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0773416583281	-0.76020782952638	0.456870680784681	-1.66394531647492	0.0961233578324744	0.514206599757184
"BCEN2424_RS34380"	302933.942350017	-0.685031707570771	0.259972802265629	-2.6350129767453	0.0084134066559819	0.219651299091579
"BCEN2424_RS03940"	38.4424205190436	-0.501928025133515	0.429150982169447	-1.16958377351524	0.242168510440166	0.682369063457071
"BCEN2424_RS04540"	28.0809867487239	0.45122079355612	0.333079811511835	1.35469271316099	0.175515480470657	NA
"BCEN2424_RS04845"	305.384688593299	-0.698053647380729	0.397502779363873	-1.75609752590367	0.0790717575156508	0.497525519156294
"BCEN2424_RS04920"	6.30786777006068	0.259092800362076	0.652231109213816	0.39724078888905	0.691189906229604	NA
"BCEN2424_RS04960"	703.086214647304	-0.218390270859207	0.345281237719983	-0.632499675630558	0.527060420347448	0.843041040058802
"BCEN2424_RS04965"	703.086214647304	-0.218390270859207	0.345281237719983	-0.632499675630558	0.527060420347448	0.843041040058802
"BCEN2424_RS04970"	703.086214647304	-0.218390270859207	0.345281237719983	-0.632499675630558	0.527060420347448	0.843041040058802
"BCEN2424_RS05030"	4.85818312040048	-1.12361457800959	0.750051810736724	-1.49804928396338	0.13412044631852	NA
"BCEN2424_RS34430"	2332176.21399708	-0.455985313733282	0.147767430028843	-3.08583098213372	0.00202984169303973	0.092471822952606
"BCEN2424_RS05455"	71.5224352064686	-0.209596893280167	0.344264983798994	-0.60882431598836	0.542640894328768	0.843990287082348
