"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82100.613365324	-1.08948983225416	0.872374488875895	-1.24887860219071	0.211709479059487	0.518478224307379
"BCEN2424_RS00050"	38028.7904786099	-1.96443645875233	1.04666377891978	-1.87685529805927	0.06053792902045	0.276971251270082
"BCEN2424_RS00095"	6.32350563784984	-1.13802463853443	0.604455084702325	-1.88272820815938	0.0597372106249933	NA
"BCEN2424_RS00745"	189.694497756361	-1.66406598738506	0.353830379112688	-4.70300484531061	2.56360333281408e-06	0.000256162942528597
"BCEN2424_RS01415"	6.3827075361148	-0.387199914410872	0.619800385989254	-0.624717123712126	0.532156732421053	NA
"BCEN2424_RS01610"	34318.8023371233	-1.84286830925752	1.04818311624196	-1.7581549260827	0.0787211521964062	0.315875912183653
"BCEN2424_RS01615"	506.257318585359	-1.25377901955192	0.297941033744551	-4.20814482582108	2.57475834049819e-05	0.00139474659304787
"BCEN2424_RS01620"	59.5328866939838	-0.899082898066373	0.316475926677658	-2.84092034267782	0.0044983547009129	0.0637894958503801
"BCEN2424_RS01625"	82100.613365324	-1.08948983225416	0.872374488875895	-1.24887860219071	0.211709479059487	0.518478224307379
"BCEN2424_RS01630"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.836294292762	-0.119391564825856	0.288558793736934	-0.413751261154424	0.679056281449806	0.873582072112955
"BCEN2424_RS01640"	3772.0974957954	-0.264150825063575	0.276435823583274	-0.955559310799679	0.339294926819031	0.64317912103303
"BCEN2424_RS01645"	1324.62116204562	0.0459291333357866	0.245488228042026	0.187093017462018	0.851587702754854	0.948221164132669
"BCEN2424_RS01655"	328.711169815562	0.392317651374848	0.19844981555968	1.97691114133017	0.0480516752367395	0.243494784618726
"BCEN2424_RS02220"	2.2615809924399	-0.641386610596462	0.923199280630013	-0.694743403784679	0.487216122087255	NA
"BCEN2424_RS02700"	35875.3286052039	-1.8893353047306	1.05685151178779	-1.78770175720767	0.073824138091698	0.307856317199945
"BCEN2424_RS02705"	506.257318585359	-1.25377901955192	0.297941033744551	-4.20814482582108	2.57475834049819e-05	0.00139474659304787
"BCEN2424_RS02710"	59.5328866939838	-0.899082898066373	0.316475926677658	-2.84092034267782	0.0044983547009129	0.0637894958503801
"BCEN2424_RS02715"	82100.613365324	-1.08948983225416	0.872374488875895	-1.24887860219071	0.211709479059487	0.518478224307379
"BCEN2424_RS02720"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	52.996093977744	-1.45351561745399	0.449142406020777	-3.23620214428552	0.00121131569878724	0.0261798250880468
"BCEN2424_RS34380"	303105.791623296	-1.16979309272057	0.261590113040057	-4.47185514439318	7.75439487690996e-06	0.000567642662813801
"BCEN2424_RS03940"	38.4431432945406	-0.310199856274847	0.43470579618973	-0.713585737742173	0.475483379293417	0.752686576748229
"BCEN2424_RS04540"	28.0777397214332	-0.0630631714915515	0.323202740084561	-0.195119544701422	0.845299362177055	0.946214448566031
"BCEN2424_RS04845"	305.296489322211	-0.782128382423521	0.394799420583694	-1.98107783761987	0.0475825452409802	0.243145764049692
"BCEN2424_RS04920"	6.30253645534007	0.265882480590254	0.678152772782786	0.392068706729917	0.695007448640028	NA
"BCEN2424_RS04960"	703.130856220553	-0.940173584219029	0.345001043490723	-2.72513258135786	0.00642756710001181	0.0784192139206395
"BCEN2424_RS04965"	703.130856220553	-0.940173584219029	0.345001043490723	-2.72513258135786	0.00642756710001181	0.0784192139206395
"BCEN2424_RS04970"	703.130856220553	-0.940173584219029	0.345001043490723	-2.72513258135786	0.00642756710001181	0.0784192139206395
"BCEN2424_RS05030"	4.85762173003301	-1.82557634388077	0.72292871396478	-2.52525084232538	0.0115615732284081	NA
"BCEN2424_RS34430"	2333806.37491745	-0.6179792898812	0.149767385284321	-4.12626079241497	3.68709133693358e-05	0.00188424280869521
"BCEN2424_RS05455"	71.4501486929124	-0.291307317269339	0.343808885916888	-0.847294323101814	0.396831090086963	0.693603070203448
"BCEN2424_RS05460"	71.4501486929124	-0.291307317269339	0.343808885916888	-0.847294323101814	0.396831090086963	0.693603070203448
"BCEN2424_RS05690"	320.346666574404	-0.737497644483632	0.271468487591702	-2.7166970686957	0.0065936927884684	0.0791974142685883
"BCEN2424_RS05695"	320.346666574404	-0.737497644483632	0.271468487591702	-2.7166970686957	0.0065936927884684	0.0791974142685883
"BCEN2424_RS05700"	320.346666574404	-0.737497644483632	0.271468487591702	-2.7166970686957	0.0065936927884684	0.0791974142685883
"BCEN2424_RS05705"	5.86561068195573	-0.290204019467773	0.663878304835091	-0.437134362358566	0.662013908204103	NA
"BCEN2424_RS06505"	14.2410515238378	0.0297622285592388	0.469902475055196	0.0633370329784767	0.949498126896466	NA
"BCEN2424_RS06555"	42.1718583715957	-0.691779682681265	0.323520041969376	-2.13829003752029	0.0324932106298678	0.201621674664368
"BCEN2424_RS07300"	6.32350563784984	-1.13802463853443	0.604455084702325	-1.88272820815938	0.0597372106249933	NA
"BCEN2424_RS07355"	0.941148412139747	-1.25900241271752	1.73262901385889	-0.726642808499139	0.467444796873367	NA
"BCEN2424_RS07650"	23.5730559128155	-1.02311149401395	0.413105677441332	-2.47663382491095	0.0132627893751635	NA
"BCEN2424_RS07655"	23.5730559128155	-1.02311149401395	0.413105677441332	-2.47663382491095	0.0132627893751635	NA
"BCEN2424_RS07665"	23.5730559128155	-1.02311149401395	0.413105677441332	-2.47663382491095	0.0132627893751635	NA
"BCEN2424_RS07730"	0.044150073151805	0.584287143522321	5.26764854491342	0.110919917785047	0.911679850954346	NA
"BCEN2424_RS07790"	3877.42849859216	-1.66559337648005	0.371726590542339	-4.48069473332535	7.44004617198987e-06	0.000567642662813801
"BCEN2424_RS34315"	42.5225233223014	0.121568277641503	0.336636098705769	0.361126682815314	0.718004747285118	0.890845560248164
"BCEN2424_RS09510"	105.700594201386	-0.275440578317567	0.274128428249879	-1.00478662529117	0.314999605442766	0.621513737163829
"BCEN2424_RS09515"	436.718621415209	-0.705942198048501	0.367789955494687	-1.91941674181664	0.0549316138331313	0.261940626878585
"BCEN2424_RS09590"	8.17611271825994	-1.36419568086829	0.551644227480205	-2.47296284980566	0.0133998071583339	NA
"BCEN2424_RS10205"	105.700594201386	-0.275440578317567	0.274128428249879	-1.00478662529117	0.314999605442766	0.621513737163829
"BCEN2424_RS10210"	944.57627626334	-0.465564062748905	0.225694044812895	-2.06281057674724	0.0391306287500603	0.220572961435043
"BCEN2424_RS10215"	118.461678253961	-0.359706498729218	0.281522410125006	-1.27771888060171	0.201348565550726	0.508360793006658
"BCEN2424_RS10220"	944.57627626334	-0.465564062748905	0.225694044812895	-2.06281057674724	0.0391306287500603	0.220572961435043
"BCEN2424_RS10225"	105.700594201386	-0.275440578317567	0.274128428249879	-1.00478662529117	0.314999605442766	0.621513737163829
"BCEN2424_RS10230"	944.57627626334	-0.465564062748905	0.225694044812895	-2.06281057674724	0.0391306287500603	0.220572961435043
"BCEN2424_RS10235"	410.36647163861	-0.646380527403166	0.301810648074304	-2.14167568814216	0.0322195884074909	0.20080197005784
"BCEN2424_RS10330"	99.0248486444294	-0.967881292822889	0.330014441162529	-2.93284527008385	0.00335871234451611	0.0519750733406149
"BCEN2424_RS10685"	0.461109829813428	-0.211460121483864	1.9637130640131	-0.107683818659187	0.914246505706001	NA
"BCEN2424_RS10775"	0.231802841722489	-1.33925555817325	2.8120517326322	-0.476255661527125	0.633892249090213	NA
"BCEN2424_RS10905"	8.73802637328861	-0.821011950158245	0.616390979934063	-1.33196619821736	0.182871296151119	NA
"BCEN2424_RS11060"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS11065"	91818.5484809502	-1.01958254500531	0.87882546644498	-1.16016499741379	0.245981635026188	0.554320878586407
"BCEN2424_RS11070"	59.5328866939838	-0.899082898066373	0.316475926677658	-2.84092034267782	0.0044983547009129	0.0637894958503801
"BCEN2424_RS11075"	506.257318585359	-1.25377901955192	0.297941033744551	-4.20814482582108	2.57475834049819e-05	0.00139474659304787
"BCEN2424_RS11080"	49136.6785138846	-1.83781295961314	1.02034293155819	-1.80117184406479	0.0716757987306311	0.305451487181456
"BCEN2424_RS11245"	197.806738947301	-0.77473270390325	0.452951552255642	-1.71040964545806	0.0871901486474087	0.334821911184056
"BCEN2424_RS11825"	26.3955296909463	0.359060415146272	0.350187761610867	1.02533684642373	0.305204275662996	0.613223602178869
"BCEN2424_RS11915"	0.044150073151805	0.584287143522321	5.26764854491342	0.110919917785047	0.911679850954346	NA
"BCEN2424_RS34440"	59424.3498912252	-1.08908059445651	0.283630574715205	-3.83978559275588	0.0001231418062792	0.00517100127608081
"BCEN2424_RS12390"	34.5856937672552	-0.0348044119673172	0.400896526175454	-0.0868164468755832	0.930817414268306	0.975485989470755
"BCEN2424_RS13285"	0.666279519376648	-1.26754147820749	1.76777636372185	-0.717025922633578	0.473358101736986	NA
"BCEN2424_RS14005"	316.178946214424	-0.200386226453646	0.223755106617872	-0.895560461088672	0.370487560811155	0.670940038180102
"BCEN2424_RS15585"	2.54765955621406	0.0193670855987759	0.73497870058309	0.0263505399318526	0.978977743851642	NA
"BCEN2424_RS15665"	0.219895917175552	0	3.40846540944645	0	1	NA
"BCEN2424_RS37005"	246.942794756345	-1.22710434101955	0.23936143940984	-5.1265748737351	2.95060745524529e-07	4.0983180987343e-05
"BCEN2424_RS19265"	1.06317142978711	-0.366769495916291	1.3147835983647	-0.278958070645595	0.780277002673575	NA
"BCEN2424_RS19780"	198.526429421201	0.0661323987228736	0.177918746257926	0.371700004152472	0.710116221913309	0.887750923862552
"BCEN2424_RS24650"	197.806738947301	-0.77473270390325	0.452951552255642	-1.71040964545806	0.0871901486474087	0.334821911184056
"BCEN2424_RS37130"	17.6202404117814	0.777794619216334	0.381579777974236	2.0383538754217	0.04151455555014	NA
"BCEN2424_RS26145"	0.052473736195439	0	5.26764854491342	0	1	NA
"BCEN2424_RS26150"	92440.4869889615	-1.1215758358627	0.854643384726474	-1.31233196899039	0.189408150057167	0.492997778124429
"BCEN2424_RS26155"	59.5328866939838	-0.899082898066373	0.316475926677658	-2.84092034267782	0.0044983547009129	0.0637894958503801
"BCEN2424_RS26160"	506.257318585359	-1.25377901955192	0.297941033744551	-4.20814482582108	2.57475834049819e-05	0.00139474659304787
"BCEN2424_RS26165"	36348.7542997036	-1.9163396260077	1.03725796254657	-1.84750534120066	0.0646739347340903	0.287634404314095
"BCEN2424_RS30710"	49136.6785138846	-1.83781295961314	1.02034293155819	-1.80117184406479	0.0716757987306311	0.305451487181456
"BCEN2424_RS30715"	506.257318585359	-1.25377901955192	0.297941033744551	-4.20814482582108	2.57475834049819e-05	0.00139474659304787
"BCEN2424_RS30720"	59.5328866939838	-0.899082898066373	0.316475926677658	-2.84092034267782	0.0044983547009129	0.0637894958503801
"BCEN2424_RS30725"	76348.0619491231	-1.04481367476923	0.853670008589857	-1.22390814279058	0.220986881496529	0.529449773138742
"BCEN2424_RS30730"	0.052473736195439	0	5.26764854491342	0	1	NA
"Bcen2424_0001"	1927.86998428407	0.137385106184714	0.139884827114472	0.982130149628649	0.326035733905829	0.63014345811435
"Bcen2424_0002"	9174.88671528221	0.31760996605007	0.165199508311742	1.92258420921398	0.05453228869093	0.260643472307476
"Bcen2424_0003"	12294.2816854871	0.213375785862369	0.209892035459805	1.01659782085076	0.309344791287055	0.617432984664605
"Bcen2424_0004"	125.550987438916	-0.211336566881966	0.167796122205441	-1.25948421277111	0.207855488993837	0.514774327754952
"Bcen2424_0005"	125.099111497206	0.13833160048901	0.185406476226042	0.746099075419355	0.455607567812945	0.736913841094715
"Bcen2424_0006"	25.7046346532013	-0.413800745611431	0.324152128031581	-1.27656340905193	0.20175642708434	0.508360793006658
"Bcen2424_0007"	55.7402441777818	-0.641122475900838	0.318457871486567	-2.01320969994576	0.0440925732198859	0.233936796407563
"Bcen2424_0008"	18.5834110567591	-0.39189116149795	0.331685423695829	-1.18151457224521	0.237398367987338	NA
"BCEN2424_RS36745"	306314.69236957	-1.03868912624154	0.275192757215321	-3.77440575381435	0.000160389528411075	0.00634055356576679
"Bcen2424_0009"	36.2705934304628	-0.021531766843873	0.263139020274777	-0.0818265828511062	0.934784616894378	0.976422728445207
"Bcen2424_0010"	107.058149350875	0.143774608072206	0.169361853924322	0.848919663671433	0.395925996332479	0.693314751418371
"Bcen2424_0011"	55.6175647994754	0.416491303262258	0.262580533259145	1.58614691688213	0.112705986115948	0.383281276385444
"Bcen2424_0012"	83.5774963258946	0.175867395442498	0.223898435325104	0.78547844779324	0.432173101776544	0.71943827110738
"Bcen2424_0014"	176.419111802161	-0.250867813853107	0.164685400330733	-1.52331544477712	0.127679804926603	0.406843983559518
"Bcen2424_0015"	256.077515854779	-0.0614111531704799	0.1407463815791	-0.436324916360046	0.662601006521749	0.864061062187846
"Bcen2424_0016"	399.057425721828	-0.341451120625182	0.158632776813084	-2.15246260883092	0.0313609371812553	0.198925288888595
"Bcen2424_0017"	399.599709391151	-0.484735536479036	0.211370711142199	-2.29329566929891	0.0218309883966762	0.158099550995716
"Bcen2424_0018"	225.186719108492	-0.362302667884832	0.130234117116059	-2.78193361238794	0.00540360923529041	0.071726889178929
"Bcen2424_0019"	165.568573757749	-0.0816638050491981	0.170284512275016	-0.47957271015527	0.631531255060856	0.848876408856814
"Bcen2424_0020"	448.70886203392	-0.427791307774312	0.188712347075965	-2.26689622805713	0.0233965657095179	0.165889000586988
"Bcen2424_0022"	349.55858706387	0.260860922405479	0.218558674486241	1.19355099045452	0.232653654847467	0.539274646259619
"Bcen2424_0023"	589.822325534322	0.283652231936931	0.242669593264279	1.16888246327598	0.242450989936369	0.551135968311084
"Bcen2424_0024"	68.5251619116813	-0.796684019770942	0.784967831381535	-1.01492569239275	0.310141250004133	0.617432984664605
"Bcen2424_0025"	45.1230429659543	-0.729466247648952	0.566709410708672	-1.28719628413573	0.198025882099836	0.505661903025431
"Bcen2424_0026"	108.107427611273	-0.733726815980252	0.264300197532834	-2.77611149302717	0.00550133395995605	0.0726846977099559
"Bcen2424_0027"	702.394112665963	-0.189192051221386	0.142084407729411	-1.33154688994227	0.183009127013171	0.483826471952342
"Bcen2424_0028"	714.052318829347	0.243796221651661	0.20107762375475	1.2124482928494	0.225340824305396	0.532991139436047
"Bcen2424_0029"	13.9543327802728	-0.0274652273233486	0.386687771076611	-0.0710268836453769	0.943376359463855	NA
"Bcen2424_0030"	20.9800117075047	-0.196755789768719	0.390269744946604	-0.504153325530369	0.614153636509231	NA
"Bcen2424_0031"	37.2347213098648	-0.428226034552419	0.248138439738835	-1.72575452236713	0.084391584617379	0.329833487642382
"Bcen2424_0032"	12.2196031872036	-0.119786756983356	0.459369912365852	-0.260763175294675	0.794275144017267	NA
"Bcen2424_0033"	13.1348052293842	0.463217965830967	0.401255410842059	1.15442173068489	0.248327310276005	NA
"Bcen2424_0034"	48.514916173089	0.350143766070274	0.294037832207878	1.19081195586672	0.233727414264676	0.5405984347102
"Bcen2424_0035"	22.5551304927324	0.0818868370283659	0.389847895934762	0.210048169766367	0.833630077505144	NA
"Bcen2424_0036"	88.6077584370701	0.54921142591688	0.473565095032762	1.15973797832141	0.246155502549325	0.554438402207773
"Bcen2424_0037"	141.529915002729	0.465286213471961	0.437552110535683	1.06338468554597	0.287607534874076	0.596343467946608
"Bcen2424_0038"	236.347760767021	0.446635672587612	0.479394633530744	0.931665983196637	0.351509171488866	0.653521045046117
"Bcen2424_0039"	1491.10446863683	0.667742745767786	0.67336111175196	0.991656236325326	0.321365246363098	0.627328122359965
"Bcen2424_0040"	780.628171165894	0.66248217156046	0.672463831845237	0.985156584172881	0.324547162745724	0.629957802839214
"Bcen2424_0041"	834.720377738355	1.13999333766411	0.489563295033785	2.32859233775979	0.0198806723678577	0.150732753264593
"Bcen2424_0042"	851.590110435297	-0.464155659930465	0.237627370851945	-1.9532920734946	0.050784996204557	0.25009302221826
"Bcen2424_0043"	1408.58129121241	-0.359194665112028	0.297926901397679	-1.20564696718195	0.227953641426203	0.535356550031094
"Bcen2424_0044"	287.967313189927	0.281253219774584	0.164239860144955	1.71245408712815	0.0868130188282551	0.334708984336411
"Bcen2424_0045"	505.89587150842	0.60949765078524	0.233811341964408	2.60679249203411	0.00913947287214693	0.0968380923008682
"Bcen2424_0046"	735.095703092728	0.633344832244158	0.262389115575094	2.41376183175898	0.0157887791795624	0.132935281710172
"Bcen2424_0047"	160.425993323849	-0.0422823467975279	0.167730353048837	-0.252085242944769	0.800975176135523	0.932090768877793
"Bcen2424_0048"	485.918392699377	-0.0720933563923086	0.133086612913835	-0.541702541028558	0.588023438976064	0.824892338286668
"Bcen2424_0049"	406.16035949903	0.407949521848853	0.282609056127724	1.4435118514549	0.148876336385862	0.436161770796221
"Bcen2424_0050"	559.584260455545	0.0236699587026593	0.130936290139065	0.180774624647757	0.85654448152981	0.950604682738574
"Bcen2424_0051"	183.576717294014	-0.0822823556917962	0.197956340217142	-0.415659107465511	0.677659468262885	0.873080406235161
"Bcen2424_0052"	454.76607026644	-0.0902562129207827	0.194635927832134	-0.463718152789474	0.642849689774685	0.854975882521352
"Bcen2424_0053"	608.697372262697	-0.13490111110428	0.180512068614626	-0.747324609039186	0.454867641230651	0.736913841094715
"Bcen2424_0054"	271.457795198918	-0.187760242454724	0.164418508859444	-1.14196536483149	0.253468416626817	0.56202602200754
"Bcen2424_0055"	197.316492853956	-0.243434742350923	0.199308713253638	-1.22139538395961	0.221936354098546	0.530551293094363
"Bcen2424_0056"	79.8969904809608	-0.215005567475792	0.200761715758395	-1.07094904356436	0.284192342233562	0.594619512506452
"Bcen2424_0057"	232.488767610778	0.0577725475954569	0.159446030573306	0.362332931009504	0.717103252260464	0.890305910351575
"Bcen2424_0058"	1032.99788008169	-0.337821029781146	0.17351080249564	-1.94697404958193	0.0515378458973752	0.252029317626738
"Bcen2424_0059"	268.897509371259	-0.368581326748474	0.178475257311584	-2.06516764452677	0.0389071407912952	0.220362881301681
"Bcen2424_0060"	783.8743812231	-0.385975616065247	0.220918200637855	-1.74714267521111	0.0806125924451051	0.319676730069645
"Bcen2424_0061"	1127.13347800845	-0.239180057466545	0.179292876903535	-1.33401873848693	0.182197715468778	0.483045722107336
"Bcen2424_0062"	3373.06289352705	0.0732164788673519	0.152952458990981	0.478687818099539	0.632160733362602	0.849098609626882
"Bcen2424_0063"	136.869484008203	-0.313668408964104	0.171431369107479	-1.82970252525633	0.0672944330978517	0.295647967632654
"Bcen2424_0064"	711.131245294301	-0.170217511857832	0.132136266096747	-1.28819677508673	0.197677474308428	0.505661903025431
"Bcen2424_0065"	23515.9870909074	0.0390156199055342	0.189996317499282	0.205349347919239	0.837299191396228	0.944930617035796
"Bcen2424_0066"	838.726196036997	-0.0730537112078706	0.187389619834211	-0.389849295134402	0.696647989724484	0.880608266446742
"Bcen2424_0068"	1514.49606119703	0.11751681470978	0.18375362246412	0.639534683092989	0.522475158358647	0.784837727194807
"Bcen2424_0069"	2186.82169022103	0.252670250798101	0.212588896955285	1.18853926247732	0.234621020862805	0.541481042479803
"Bcen2424_0070"	3921.31020291806	-0.332626249244904	0.108619319755283	-3.0623120269424	0.00219634373199434	0.0386506912622763
