"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0524545196936085	0	5.26764854491342	0	1	NA
"BCEN2424_RS00045"	82116.7680808003	-2.30905563477181	0.872335942183389	-2.64697981948608	0.00812141993937992	0.0516634134393645
"BCEN2424_RS00050"	38036.8742124617	-2.22746956367536	1.04657722919022	-2.12833750013734	0.0333091110357726	0.127829417214681
"BCEN2424_RS00095"	6.324015024605	0.0552090477544832	0.551862313109516	0.100041344449493	0.920311501944704	NA
"BCEN2424_RS00745"	189.703352039673	0.259930100867471	0.348646764387782	0.74553997747234	0.455945352926518	0.649520077848528
"BCEN2424_RS01415"	6.38308378032519	-0.293391265857582	0.605008679926428	-0.484937283698574	0.627720834104193	NA
"BCEN2424_RS01610"	34326.1217375473	-1.94729375160964	1.04811065347878	-1.85790855683643	0.0631820010528191	0.189628228245635
"BCEN2424_RS01615"	506.314338861809	-0.615634488896295	0.295049849448295	-2.08654398586358	0.036929375171406	0.13532720018665
"BCEN2424_RS01620"	59.54150216731	-0.804132324433345	0.298277304619598	-2.69592192224909	0.00701941178613097	0.0468926499660569
"BCEN2424_RS01625"	82116.7680808003	-2.30905563477181	0.872335942183389	-2.64697981948608	0.00812141993937992	0.0516634134393645
"BCEN2424_RS01630"	0.0524545196936085	0	5.26764854491342	0	1	NA
"BCEN2424_RS01635"	153.852899218971	-0.983572492864155	0.285003681786124	-3.45108697087731	0.000558333617965135	0.00956393227939492
"BCEN2424_RS01640"	3772.58581977394	-0.919784985356652	0.276175201301753	-3.33044017356099	0.000867087943121327	0.0122072969629947
"BCEN2424_RS01645"	1324.73895542244	-0.650596629172883	0.245221512133672	-2.65309769731065	0.0079756782383267	0.0510565377113597
"BCEN2424_RS01655"	328.748794571344	-0.605778590584254	0.1991358711771	-3.04203651006457	0.00234983390884817	0.0231390498967949
"BCEN2424_RS02220"	2.2618242145606	-0.635407771227851	0.836423315578577	-0.759672476117338	0.447450384941303	NA
"BCEN2424_RS02700"	35882.9560480598	-2.1066497302101	1.05677262792478	-1.99347492028346	0.0462094671437433	0.156726177001449
"BCEN2424_RS02705"	506.314338861809	-0.615634488896295	0.295049849448295	-2.08654398586358	0.036929375171406	0.13532720018665
"BCEN2424_RS02710"	59.54150216731	-0.804132324433345	0.298277304619598	-2.69592192224909	0.00701941178613097	0.0468926499660569
"BCEN2424_RS02715"	82116.7680808003	-2.30905563477181	0.872335942183389	-2.64697981948608	0.00812141993937992	0.0516634134393645
"BCEN2424_RS02720"	0.0524545196936085	0	5.26764854491342	0	1	NA
"BCEN2424_RS02890"	53.0017878359545	-0.673944759843712	0.427766083788157	-1.57549835151838	0.115141458668878	0.279522353952219
"BCEN2424_RS34380"	303135.418987399	0.252836723034573	0.261546934215335	0.966697330225286	0.333695362142965	0.536960113178356
