"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BCEN2424_RS00040"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS00045"	82116.7680808003	0.135816969210646	0.872325089833343	0.155695360357678	0.876273154469793	0.949807829494371
"BCEN2424_RS00050"	38036.8742124617	0.177564355421241	1.0465569719279	0.169665254911199	0.865273400403608	0.945684462769598
"BCEN2424_RS00095"	6.324015024605	0.606222961484164	0.549293308768733	1.10364162790011	0.269748625958296	NA
"BCEN2424_RS00745"	189.703352039673	1.04894094427783	0.349085360307905	3.00482650820025	0.00265732375481603	0.0433348310623195
"BCEN2424_RS01415"	6.38308378032519	1.18894261711691	0.583433543871336	2.03783726459702	0.041566210278643	NA
"BCEN2424_RS01610"	34326.1217375473	0.203767880358224	1.0480928664374	0.194417772397266	0.845848775053567	0.936307342395583
"BCEN2424_RS01615"	506.314338861809	0.571912243851929	0.295700958610825	1.93408992158401	0.0531020728608187	0.265106929752444
"BCEN2424_RS01620"	59.54150216731	0.320207681756832	0.301208303771424	1.06307720520157	0.287746940769772	0.619246249497808
"BCEN2424_RS01625"	82116.7680808003	0.135816969210646	0.872325089833343	0.155695360357678	0.876273154469793	0.949807829494371
"BCEN2424_RS01630"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS01635"	153.852899218971	0.733126752599468	0.283305114424768	2.58776391696293	0.00966011628296328	0.100262588302111
"BCEN2424_RS01640"	3772.58581977394	0.545780956843685	0.276197263643511	1.97605490236908	0.0481485593606596	0.253370346905893
"BCEN2424_RS01645"	1324.73895542244	0.57315752440567	0.24517874616721	2.33771292726483	0.0194021451143679	0.151106780542566
"BCEN2424_RS01655"	328.748794571344	0.224742696750472	0.197686855392597	1.13686211611866	0.255595931291718	0.589586577797527
"BCEN2424_RS02220"	2.2618242145606	1.0273507605951	1.11316195719145	0.922912208738378	0.35605295773853	NA
"BCEN2424_RS02700"	35882.9560480598	0.216469230790685	1.0567528473299	0.204843763929889	0.837694193272215	0.932012354292494
"BCEN2424_RS02705"	506.314338861809	0.571912243851929	0.295700958610825	1.93408992158401	0.0531020728608187	0.265106929752444
"BCEN2424_RS02710"	59.54150216731	0.320207681756832	0.301208303771424	1.06307720520157	0.287746940769772	0.619246249497808
"BCEN2424_RS02715"	82116.7680808003	0.135816969210646	0.872325089833343	0.155695360357678	0.876273154469793	0.949807829494371
"BCEN2424_RS02720"	0.0524545196936085	0	5.26790435362004	0	1	NA
"BCEN2424_RS02890"	53.0017878359545	0.800488231938745	0.43495434869606	1.84039597336711	0.0657101242072681	0.298341003495465
"BCEN2424_RS34380"	303135.418987399	0.490270753173059	0.261545971787312	1.87451081667488	0.0608600525991223	0.284645281595717
"BCEN2424_RS03940"	38.4489908872493	0.288327179162591	0.418147114718577	0.689535259275057	0.490486492594979	0.75975805486037
"BCEN2424_RS04540"	28.0793560926753	0.622202162205282	0.330178604458358	1.88444118971904	0.059505322732432	NA
"BCEN2424_RS04845"	305.33934606856	0.181629375818841	0.392774945711299	0.462426073256577	0.643775805261079	0.848202859212404
"BCEN2424_RS04920"	6.30297534868675	1.30265629578003	0.603433082814219	2.15874192661904	0.0308701941213762	NA
"BCEN2424_RS04960"	703.18959139033	0.589376830426147	0.344748912480121	1.70958285607393	0.0873430380959024	0.343941836157422
"BCEN2424_RS04965"	703.18959139033	0.589376830426147	0.344748912480121	1.70958285607393	0.0873430380959024	0.343941836157422
"BCEN2424_RS04970"	703.18959139033	0.589376830426147	0.344748912480121	1.70958285607393	0.0873430380959024	0.343941836157422
"BCEN2424_RS05030"	4.8581257689691	0.32357086289512	0.621742458712558	0.520425874670259	0.602766779699586	NA
"BCEN2424_RS34430"	2334106.80523417	0.118931690279788	0.149724686385996	0.79433587840804	0.426999922331702	0.723409149757575
"BCEN2424_RS05455"	71.4572571292365	0.817461833380193	0.332749847531725	2.45668582403258	0.0140225259871733	0.126226745059196
"BCEN2424_RS05460"	71.4572571292365	0.817461833380193	0.332749847531725	2.45668582403258	0.0140225259871733	0.126226745059196
"BCEN2424_RS05690"	320.38356750069	0.575023990335531	0.268684346739685	2.14014696915948	0.0323428912834987	0.205098407089689
"BCEN2424_RS05695"	320.38356750069	0.575023990335531	0.268684346739685	2.14014696915948	0.0323428912834987	0.205098407089689
"BCEN2424_RS05700"	320.38356750069	0.575023990335531	0.268684346739685	2.14014696915948	0.0323428912834987	0.205098407089689
"BCEN2424_RS05705"	5.86627330897442	0.662078040164399	0.614737232730496	1.07700982617179	0.281475875872309	NA
"BCEN2424_RS06505"	14.2431366042918	0.301390976071113	0.485848218353153	0.620339778321546	0.535034111355792	NA
"BCEN2424_RS06555"	42.175734253336	0.461642054659354	0.315658954073903	1.46247096336533	0.143612195647772	0.442537697843106
"BCEN2424_RS07300"	6.324015024605	0.606222961484164	0.549293308768733	1.10364162790011	0.269748625958296	NA
"BCEN2424_RS07355"	0.941100726491418	0.00519844372581847	1.62172863229198	0.00320549543388868	0.997442389063571	NA
"BCEN2424_RS07650"	23.5754003393331	0.804361828169372	0.378115477735397	2.12729146393806	0.0333958735638746	NA
"BCEN2424_RS07655"	23.5754003393331	0.804361828169372	0.378115477735397	2.12729146393806	0.0333958735638746	NA
"BCEN2424_RS07665"	23.5754003393331	0.804361828169372	0.378115477735397	2.12729146393806	0.0333958735638746	NA
